fish_id,dfo,fac_code,genbc,ahc,fish,v6,farm_dx1,farm_dx2,farm_dx3,Company,Farm,size,type,coll_date,year,sw_entry,sw_transfer,quarter,carcass_sum,km_result,pcr_ihnv,pcr_ipnv,pcr_isav,pcr_vhsv,pcr_prs,pcr_sav,pcr_toti,vcm,bkd,wu,furunculosis,mouth_rot,vibriosis,photobacteriosis,listonelliosis,hks,jaundice,ricketsiosis,loma,anemia,ik_comment,hf_commment,path_comment,ns_mbd,ns_ahs,ns_vpt,ns_gif,ns_vwf,ns_bhm,ns_mrt,heart_peri,heart_myo,liver_cong,liver_nec,liver_itis,spleen_cong,spleen_ellipnec,spleen_wpulpitis,spleen_capprolif,kid_itis,kid_osis,kid_inthplasia,kid_nec,kid_glomitis,pancreatitis,enteritis,cns_itis,cns_malacia,cns_gliosis,cns_cong,cns_msporidia,gill_itis,gill_cong,gil_prolif,skinmus_itisnec,nud,chip,geneticsassignednumber,avgct_hkg,hkgalert,stddevoffamctvic_hkg,sumlowctfails,assayrepsdalert,Arena,ASPV,COV,CTV,MitoV,Ortho,ReoV,SmallUK,Toti,avgct_prv,avgct_ae_hyd,avgct_ae_sal,avgct_aspv,avgct_c_b_cys,avgct_ce_sha,avgct_cr_sal,avgct_de_sal,avgct_fa_mar,avgct_fl_psy,avgct_gy_sal,avgct_ic_hof,avgct_ic_mul,avgct_ihnv,avgct_ipnv,avgct_isav7,avgct_isav8,avgct_ku_thy,avgct_lo_sal,avgct_my_arc,avgct_my_cer,avgct_my_ins,avgct_na_sal,avgct_ne_per,avgct_nu_sal,avgct_omv,avgct_pa_kab,avgct_pa_min,avgct_pa_pse,avgct_pa_ther,avgct_pch_sal,avgct_pisck_sal,avgct_pmcv,avgct_prv,avgct_pspv,avgct_re_sal,avgct_rlo,avgct_sav,avgct_sch,avgct_sp_des,avgct_sp_sal,avgct_te_bry,avgct_ven,avgct_ver,avgct_vhsv,avgct_vi_ang,avgct_vi_sal,,,,,calc_ae_hyd,calc_ae_sal,calc_aspv,calc_c_b_cys,calc_ce_sha,calc_cr_sal,calc_de_sal,calc_fa_mar,calc_fl_psy,calc_gy_sal,calc_ic_hof,calc_ic_mul,calc_ihnv,calc_ipnv,calc_isav7,calc_isav8,calc_ku_thy,calc_lo_sal,calc_my_arc,calc_my_cer,calc_my_ins,calc_na_sal,calc_ne_per,calc_nu_sal,calc_omv,calc_pa_kab,calc_pa_min,calc_pa_pse,calc_pa_ther,calc_pch_sal,calc_pisck_sal,calc_pmcv,calc_prv,calc_pspv,calc_re_sal,calc_rlo,calc_sav,calc_sch,calc_sp_des,calc_sp_sal,calc_te_bry,calc_ven,calc_ver,calc_vhsv,calc_vi_ang,calc_vi_sal,dup,ae_hyd_call,ae_sal_call,aspv_call,c_b_cys_call,ce_sha_call,cr_sal_call,de_sal_call,fa_mar_call,fl_psy_call,gy_sal_call,ic_hof_call,ic_mul_call,ihnv_call,ipnv_call,isav7_call,isav8_call,ku_thy_call,lo_sal_call,my_arc_call,my_cer_call,my_ins_call,na_sal_call,ne_per_call,nu_sal_call,omv_call,pa_kab_call,pa_min_call,pa_pse_call,pa_ther_call,pch_sal_call,pisck_sal_call,pmcv_call,prv_call,pspv_call,re_sal_call,rlo_call,sav_call,sch_call,sp_des_call,sp_sal_call,te_bry_call,ven_call,ver_call,vhsv_call,vi_ang_call,vi_sal_call,_merge,salmon,salmon2,coll_date1,sw_entry1,time_sea,month_sea,month_sea6,month_sea4,heart_peri1,heart_myo1,liver_cong1,liver_nec1,liver_itis1,spleen_cong1,spleen_ellipnec1,spleen_wpulpitis1,spleen_capprolif1,kid_itis1,kid_osis1,kid_inthplasia1,kid_nec1,kid_glomitis1,pancreatitis1,enteritis1,cns_itis1,cns_malacia1,cns_gliosis1,cns_cong1,cns_msporidia1,gill_itis1,gill_cong1,gill_prolif1,samp,zone2,zone1,zone,fac_code,c_noted,,,,,,
G215,A.3.3-112,18,215,12.2955,6,G215,no_dz,,,Marine Harvest,Althorpe,1,G,17/07/2012,2012,2010-09-09,,3,1,,0,0,0,0,0,,,0,1,0,0,0,0,0,0,0,0,0,0,0,Rs infection,"BKD-like lesions everywhere, including gills.","VWF-liver/spleen, swollen spleen/kidney, suspect BKD",1,2,1,0,1,0,0,0,3,0,0,3,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,New,3_May262015_1195,G215,9.4501734,0,0.12059736,0,,999,-999,999,-999,999,999,999,999,999,25.422493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.060978,0,0,0,0,0,0,0,0,0,0,0,17.06534,0,0,0,25.422493,0,20.708603,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3025036,0,0,0,0,0,0,0,0,0,0,0,4989.6177,0,0,0,0.22515815,0,21.271631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,matched (3),A,Atlantic,19191,18514,677,22.566668,4,6,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12.2955,3.3,3.3,33,18,,,,,,,
G201,A.2.4-42,51,201,12-1861,10,G201,no_dz,,,Grieg Seafood,Atrevida,1,G,30/04/2012,2012,2011-01-01,,2,1,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,Gill lesions - no agent,,__,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,2,0,New,3_May262015_1195,G201,11.290648,0,0.17293669,0,,999,-999,999,-999,999,999,999,999,999,21.461002,0,0,0,18.058632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.908384,0,0,0,21.461002,0,,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,302.28049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2312.5313,0,0,0,3.2812893,0,-999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,matched (3),A,Atlantic,19113,18628,485,16.166666,3,5,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,12-1861,2.4,2.4000001,24,51,,,,,,,
G549,A.2.3-5,22,549,12-397,5,G549,no_dz,,,Mainstream Canada,Bare Bluff,1,G,27/01/2012,2012,2010-12-01,,1,1,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,Brain hemorrhage,,__,1,0,0,0,0,1,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,New,6_June52015_1226,G549,11.665508,0,0.093322329,0,,999,-999,999,23.53553554,999,999,999,999,999,20.896976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.701548,0,0,0,20.896976,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15471.932,0,0,0,15.373543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,matched (3),A,Atlantic,19019,18274,745,24.833334,4,7,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12-397,2.3,2.3,23,22,,,,,,,
G198,A.2.3-49,22,198,12-1646,7,G198,Wu,,,Mainstream Canada,Bare Bluff,1,G,18/04/2012,2012,2010-12-02,,2,1,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,Microsporidian encephalitis,,red gut; kidney not sampled for bacteriology,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,1,0,0,0,New,3_May262015_1195,G198,9.5862198,0,0.085206747,0,,999,-999,999,-999,999,999,999,999,999,16.376863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.669078,0,,0,16.376863,0,22.474802,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19760.023,0,,0,135.92671,0,6.066071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,matched (3),A,Atlantic,19101,18305,796,26.533333,4,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,12-1646,2.3,2.3,23,22,,,,,,,
G713,A.2.3-55,22,713,11.5048,5,G713,no_mort,,,Mainstream Canada,Bare Bluff,1,G,2011-08-11,2011,2010-12-01,,4,1,,0,0,0,0,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,Net pen liver dz suspected,Unusual liver lesions here. Might be IHN or net-pen (toxic).,Severe BHM,0,0,0,0,0,1,0,0,0,0,0,3,0,2,0,0,2,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,New,8_June82015_1228,G713,11.914539,0,0.18144108,0,,999,-999,999,19.10795281,-999,999,999,999,999,16.217134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.383881,0,19.22937,0,16.217134,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13357.435,0,271.6593,0,399.47632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,matched (3),A,Atlantic,18939,18274,665,22.166666,4,6,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,11.5048,2.3,2.3,23,22,NPLD,,,,,,
G255,A.3.2-5,44,255,13-0571,2,G255,no_dz,,,Grieg Seafood or Marine Harvest,Barnes Bay,1,G,30/01/2013,2013,2011-01-05,,1,1,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,Gill proliferative response - no agents found,No brain.,No brain sample collected,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,New,3_May262015_1195,G255,11.613842,0,0.14201035,0,,999,-999,999,-999,999,999,999,999,999,,0,0,0,27.2045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.215562,0,,0,0,0,0,27.247091,0,0,0,25.850849,0,0,0,0,,,,,0,0,0,0.31950304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2068.6196,0,,0,0,0,0,103.23291,0,0,0,0.2688359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,matched (3),A,Atlantic,19388,18748,640,21.333334,4,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13-0571,3.2,3.2,32,44,,,,,,,
G193,A.3.2-48,44,193,12-1643,4,G193,no_dz,,,Greig?,Barnes Bay,1,G,13/04/2012,2012,2011-04-01,,2,1,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Hemorrhaging in plycoric caecae; enlarged irregularly shaped heart,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,New,3_May262015_1195,G193,10.796889,0,0.005611806,0,,999,-999,999,-999,-999,999,999,999,999,15.965484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.181517,0,0,0,15.965484,0,22.394445,0,0,,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,338.884,0,0,0,183.71065,0,6.4244819,0,0,-999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,,0,0,0,0,0,0,0,0,matched (3),A,Atlantic,19096,18631,465,15.5,3,4,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12-1643,3.2,3.2,32,44,,,,,,,
G227,A.2.3-100,12,227,12.3857,4,G227,no_dz,,,Mainstream Canada,Bedwell,1,G,19/09/2012,2012,2010-12-01,,3,1,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,Branchitis major lesion. Contribution to death unknown,,"Deformed heart; heart intruding into liver, no pericardial lniing",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,New,3_May262015_1195,G227,10.520157,0,0.10501293,0,,999,-999,999,-999,-999,999,999,999,999,20.690401,0,22.99485,0,22.385744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.704666,0,14.800436,0,20.690401,0,14.749187,0,0,27.175787,0,0,0,0,0,0,23.13825,0,,,,,0,2.7969067,0,11.625507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35373.598,0,2826.168,0,5.7669659,0,1444.0922,0,0,108.2898,0,0,0,0,0,0,6.1426001,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,matched (3),A,Atlantic,19255,18274,981,32.700001,4,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,12.3857,2.3,2.3,23,12,,,,,,,
G492,A.2.3-3,12,492,11.243,4,G492,MR,,,Mainstream Canada,Bedwell,0,G,2011-02-06,2011,2010-12-01,,2,1,,0,0,0,0,0,,,0,0,0,0,1,0,0,0,0,0,0,0,0,Ulcerative stomatitis,Tenacibaculum-like stomatitis.,brain congestion,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,New,6_June52015_1226,G492,12.268511,0,0.1397302,0,,999,-999,999,15.9497114,25.40035197,999,-999,999,999,25.677221,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.828826,0,0,0,25.677221,0,26.538651,0,0,24.304144,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,281211.28,0,0,0,0.6138919,0,1.2031175,0,0,1478.9504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,matched (3),A,Atlantic,18780,18274,506,16.866667,3,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.243,2.3,2.3,23,12,,,,,,,
G237,A.3.4-154,45,237,12.4427,1,G237,no_dz,,,Marine Harvest,Bell Island,1,G,31/10/2012,2012,2012-04-06,,4,1,,0,0,0,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Mild cranial convestion of blood vessels,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,New,3_May262015_1195,G237,13.971016,0,0.052720789,0,,999,-999,999,-999,999,999,999,999,999,0,0,0,0,0,0,0,0,28.681387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.369989,0,0,0,0,0,0,0,0,0,0,0,0,22.181648,0,0,0,0,,,,,0,0,0,0,0,0,0,0.023771377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19394.457,0,0,0,0,0,0,0,0,0,0,0,0,4.196456,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,matched (3),A,Atlantic,19297,19148,149,4.9666667,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12.4427,3.4,3.4000001,34,45,,,,,,,
