hkg_Alert,Unique,Fish,Alternate,Prog,Species,Spp_Group,Trip,Location,SWFW,Year,Date,SEASON1,Stock,Stock_Region,Histology,SmAd,HW,HatcheryWild,Set,STATION,STATION_NAME,Length,Mass,Sex,Comments,Comments 2,Dissection Comments,catch_R,Ec_Wc_VanIsle,Catch_Sub_region,Catch_Region,Zone,Latitude,Longitude,Unique1,Tissue,LOD,Value,ae_hyd,ae_sal,arena1,arena2,ascv,aspv,c_b_cys,ce_sha,cov,cr_sal,ctv,de_sal,fa_mar,fl_psy,gy_sal,hkg,ic_hof,ic_mul,ihnv,ipnv,isav7,isav8,ku_thy,lo_sal,mitov,mo_vis,my_arc,my_cer,my_ins,na_sal,ne_per,omv,ortho,pa_kab,pa_min,pa_pse,pa_ther,pch_sal,pisck_sal,pmcv,prv,pspv,re_sal,reov,rlo,sav,sch,sgpx,smallUK,sp_des,sp_sal,te_bry,te_mar,toti,ven,ver,vhsv,vi_ang,vi_sal,ye_ruc_glnA
OK,1000-0208-124-G103,G103,DFO-P.2-41  AHC-12-1644,AMD,Chinook-AMD,Aquaculture,AMD Audit Samples,Various Aquaculture sites,SW,2012,19-Apr-12,Spring,,,Y,Adult,,Aquaculture,1000-0208-S-6,Creative Salmon,Dawley Pass or Warne Island,,,,,,White foci on liver,P024,WCVI,WCVI,WCVI,WCVI,49.17227618,-125.7641043,1000-0208-124-G103,Mixed,NO,AvgCopy,0,0,0,0,5.737345998,0,5188.673869,0,0,0,50.55982785,0,0,0,0,2.86104E+11,0,0,0,0,0,0,0,13.2435131,0.535814564,0,0,0,0,0,0,0,0,0,0,0,250.250525,0,0,0,0,0,5731.976123,8355.901243,0,0,0,0,0,0,0,0,0,0,2.422109679,0,0,0,0,0
OK,1000-0208-124-G104,G104,DFO-P.2-41  AHC-12-1644,AMD,Chinook-AMD,Aquaculture,AMD Audit Samples,Various Aquaculture sites,SW,2012,19-Apr-12,Spring,,,Y,Adult,,Aquaculture,1000-0208-S-6,Creative Salmon,Dawley Pass or Warne Island,,,,,,__,P024,WCVI,WCVI,WCVI,WCVI,49.17227618,-125.7641043,1000-0208-124-G104,Mixed,NO,AvgCopy,0,0,0,0,0,0,310.1032071,0,0,0,9.470499218,0,0,0,0,171948814.3,0,0,0,0,0,0,0,27.16747829,-999,0,0,0,0,0,0,0,0,13.03566971,0,0,75.84041452,0,0,0,0.370680089,0,0,48088.56763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OK,1000-0208-124-G113,G113,DFO-P.3-69  AHC-12.262,AMD,Chinook-AMD,Aquaculture,AMD Audit Samples,Various Aquaculture sites,SW,2012,25-Jun-12,Summer,,,Y,Smolt,,Aquaculture,1000-0208-S-13,Yellow Island,Yellow Island,,,,,,Pseudomembrane on spleen,P013,ECVI,DI,VIN,ECVI,50.13400335,-125.3363242,1000-0208-124-G113,Mixed,NO,AvgCopy,0,0.805344825,357.0775003,0,0,0,6166.759598,0,0,0,0,0,0,0,0,5.93924E+12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.8912856,0,0,0,0,72.95181464,0,24982.99227,0,0,0,0,0,0,0,0,0,0,0,17.71390158,0,0,1642.021682,0,0
OK,1000-0208-124-G114,G114,DFO-P.3-69  AHC-12.262,AMD,Chinook-AMD,Aquaculture,AMD Audit Samples,Various Aquaculture sites,SW,2012,25-Jun-12,Summer,,,Y,Smolt,,Aquaculture,1000-0208-S-13,Yellow Island,Yellow Island,,,,,,pale gills; spleen jelly-like,P013,ECVI,DI,VIN,ECVI,50.13400335,-125.3363242,1000-0208-124-G114,Mixed,NO,AvgCopy,0,0,0,0,0,0,1535.265083,0,0,0,82.14630724,0,0,0,0,3.02758E+13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.71192975,0,0,0,0,5.028965639,0,0,0,0,0,0,0,0,0,0,0,0,0,205656.6622,0,0,1284.467643,0,0
OK,1000-0208-124-G115,G115,DFO-P.3-99  AHC-12.2846,AMD,Coho-AMD,Aquaculture,AMD Audit Samples,Various Aquaculture sites,SW,2012,05-Jul-12,Summer,,,Y,Adult,,Aquaculture,1000-0208-S-14,Grieg Seafood,Salten or Site 9,,,,,,"Mild BHM, coho, excess gill mucus",P016,ECVI,NSOG,VIS,ECVI,49.61649291,-123.8284507,1000-0208-124-G115,Mixed,NO,AvgCopy,0,3814.16902,0,0,0,0,128.7833923,0,0,0,0,0,0,0,0,1286496213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-999,25.24745209,0,0,0,0.887819062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OK,1000-0208-124-G129,G129,DFO-P.3-120  AHC-12.3648,AMD,Chinook-AMD,Aquaculture,AMD Audit Samples,Various Aquaculture sites,SW,2012,10-Sep-12,Fall,,,Y,Smolt,,Aquaculture,1000-0208-S-23,Yellow Island,Yellow Island,,,,,,Anemic,P013,ECVI,DI,VIN,ECVI,50.13400335,-125.3363242,1000-0208-124-G129,Mixed,NO,AvgCopy,0,0,0,0,0,0,1488.555478,0,0,0,57.28661673,0,0,0,0,9.59817E+13,0,0,0,0,0,0,0,0,0,0,0,0,0,-999,0,0,0,0,0,1742.53643,10.85071854,0,0,0,29.96855984,0,22.61311687,-999,0,0,0,0,0,0,0,0,0,0,138789.3799,0,0,4.029007287,0,0
OK,1000-0208-124-G133,G133,DFO-P.2-91  AHC-12.3855,AMD,Chinook-AMD,Aquaculture,AMD Audit Samples,Various Aquaculture sites,SW,2012,20-Sep-12,Fall,,,Y,Adult,,Aquaculture,1000-0208-S-26,Creative Salmon,Baxter or Eagle Bay,,,,,,"Enlarged heart, VWF on liver, bloody ascites fluid, enlarged kidney",P024,WCVI,WCVI,WCVI,WCVI,49.13657419,-125.7874503,1000-0208-124-G133,Mixed,NO,AvgCopy,0,0,0,0,0,0,409.6017557,0,0,0,0,0,0,0,0,5.10067E+16,0,0,0,0,0,0,0,8.572548072,0,0,0,0,0,0,0,0,0,0,0,55.1409064,52.40801523,0,1448344.854,0,0.806905882,0,0,25.38578826,0,0,0,0,0,0,0,0,1.308540963,0,0,0,0,0,0,0
OK,1000-0208-124-G134,G134,DFO-P.2-92  AHC-12.3856,AMD,Chinook-AMD,Aquaculture,AMD Audit Samples,Various Aquaculture sites,SW,2012,20-Sep-12,Fall,,,Y,Smolt,,Aquaculture,1000-0208-S-26,Creative Salmon,Baxter or Eagle Bay,,,,,,"Bloated liver, pale liver, enlarged heart",P024,WCVI,WCVI,WCVI,WCVI,49.13657419,-125.7874503,1000-0208-124-G134,Mixed,NO,AvgCopy,0,0,0,0,0,0,21878.28916,0,0,0,0,0,0,0,0,1.1838E+16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,354.7991162,67.55332665,0,0,0,0,0,0,0,0,0,309.2011679,0,0,0,0,0,51.94332727,0,0,0,0,0,0,0
OK,1000-0208-124-G135,G135,DFO-P.3-135  AHC-12.4155,AMD,Chinook-AMD,Aquaculture,AMD Audit Samples,Various Aquaculture sites,SW,2012,11-Oct-12,Fall,,,Y,Smolt,,Aquaculture,1000-0208-S-28,Grieg Seafood,Salten and Newcombe,,,,,,(no comment),P016,ECVI,NSOG,VIS,ECVI,49.61649291,-123.8284507,1000-0208-124-G135,Mixed,NO,AvgCopy,0,0,0,0,0,0,4825.857637,0,0,0,0,0,0,5.671307783,0,104233628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31721.28566,5.334868139,0,0.840141788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OK,1000-0208-124-G136,G136,DFO-P.3-135  AHC-12.4155,AMD,Chinook-AMD,Aquaculture,AMD Audit Samples,Various Aquaculture sites,SW,2012,11-Oct-12,Fall,,,Y,Smolt,,Aquaculture,1000-0208-S-28,Grieg Seafood,Salten and Newcombe,,,,,,#NAME?,P016,ECVI,NSOG,VIS,ECVI,49.61649291,-123.8284507,1000-0208-124-G136,Mixed,NO,AvgCopy,0,0,0,0,0,0,9.819409167,0,0,0,0,0,0,0,0,428787.2902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OK,1000-0208-124-G153,G153,DFO-P.2-129  AHC-12.4984,AMD,Chinook-AMD,Aquaculture,AMD Audit Samples,Various Aquaculture sites,SW,2012,06-Dec-12,Overwinter,,,Y,Adult,,Aquaculture,1000-0208-S-38,Creative Salmon,Baxter,,,,,,Very fatty,P024,WCVI,WCVI,WCVI,WCVI,49.13657419,-125.7874503,1000-0208-124-G153,Mixed,NO,AvgCopy,0,0,0,0,0,0,2585.383426,0,217.4236375,0,0,0,0,0,0,2.11896E+12,0,-999,0,0,0,0,1.73765526,12179.29537,0.797697862,0,0,0,0,0,0,0,0,0,0,98.63926106,14307797.99,0,53.59112545,0,3.450727967,0,0,471.3238141,0,0,0,0,0,0,0,0,16.22779801,0,1.087922291,0,0,0,0,0
OK,1000-0208-124-G154,G154,DFO-P.2-129  AHC-12.4984,AMD,Chinook-AMD,Aquaculture,AMD Audit Samples,Various Aquaculture sites,SW,2012,06-Dec-12,Overwinter,,,Y,Adult,,Aquaculture,1000-0208-S-38,Creative Salmon,Baxter,,,,,,__,P024,WCVI,WCVI,WCVI,WCVI,49.13657419,-125.7874503,1000-0208-124-G154,Mixed,NO,AvgCopy,0,0,0,0,0,0,844.9020406,0,0,0,0,0,0,0,0,4.64275E+12,0,0,0,0,0,0,1.418954771,142281.0808,0,0,0,0,0,0,0,0,0,0,0,115.4761496,410814.5779,0,208.0682575,0,5.899287656,0,0,3.294912889,0,0,0,0,0,0,0,0,-999,0,0.683191773,0,0,0,0,0
OK,1000-0208-124-G155,G155,DFO-P.2-130  AHC-12.4985,AMD,Chinook-AMD,Aquaculture,AMD Audit Samples,Various Aquaculture sites,SW,2012,06-Dec-12,Overwinter,,,Y,Adult,,Aquaculture,1000-0208-S-39,Creative Salmon,Dawley Pass?,,,,,,Bloat,P024,WCVI,WCVI,WCVI,WCVI,49.17227618,-125.7641043,1000-0208-124-G155,Mixed,NO,AvgCopy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.39342E+45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.36774364,0,0,0,0,0,0,3460.787967,0,0,0,0,0,0,0,0,-999,0,0,0,0,0,0,0
OK,1000-0208-124-G157,G157,DFO-P.3-1  AHC-13-0322,AMD,Chinook-AMD,Aquaculture,AMD Audit Samples,Various Aquaculture sites,SW,2013,10-Jan-13,Overwinter,,,Y,Adult,,Aquaculture,1000-0208-S-162,622335 BC,Doctor Bay,,,,,,older clot,P015,ECVI,NSOG,VIS,ECVI,50.24380103,-124.8144736,1000-0208-124-G157,Mixed,NO,AvgCopy,0,0,0,0,0,0,107.4546488,0,0,0,-999,0,0,0,0,59035416328,0,5.918582618,0,0,0,0,0,351968.1806,0,0,0,0,0,0,0,0,0,0,0,0,9.92711935,0,10.18643775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OK,1000-0208-124-G158,G158,DFO-P.3-7  AHC-13-0323,AMD,Chinook-AMD,Aquaculture,AMD Audit Samples,Various Aquaculture sites,SW,2013,21-Jan-13,Overwinter,,,Y,Smolt,,Aquaculture,1000-0208-S-163,Grieg Seafood,"Kunechin, Newcombe or Salten",,,,,,White in urethra,P016,ECVI,NSOG,VIS,ECVI,49.63139405,-123.7970366,1000-0208-124-G158,Mixed,NO,AvgCopy,0,0.252613225,0,0,0,0,0,0,0,0,0,0,0,0,0,4.678206821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.161362751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.861826207,1.341088658,0
OK,1000-0208-124-G17,G17,DFO-P.3-69  AHC-12.262,AMD,Chinook-AMD,Aquaculture,AMD Audit Samples,Various Aquaculture sites,SW,2012,25-Jun-12,Summer,,,Y,Adult,,Aquaculture,1000-0208-S-13,Yellow Island,Yellow Island,,,,,,Pseudomembrane on spleen; white foci on spleen & kidney,P013,ECVI,DI,VIN,ECVI,50.13400335,-125.3363242,1000-0208-124-G17,Mixed,NO,AvgCopy,0,0,552099.3391,0,0,0,11568.33711,0,0,0,0,0,0,0,0,2.36611E+25,0,1.049347423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,317.4249417,0.935083118,0,0,0,65.9140782,0,14806.20802,0,0,0,0,0,0,0,0,0,0,0,685.6913507,0,0,116.3205714,0,0
OK,1000-0208-124-G172,G172,DFO-P.2-3  AHC-13-1044,AMD,Chinook-AMD,Aquaculture,AMD Audit Samples,Various Aquaculture sites,SW,2013,07-Mar-13,Overwinter,,,Y,Adult,,Aquaculture,1000-0208-S-171,Creative Salmon,Dawley Pass or Eagle Bay,,,,,,Pale liver,P024,WCVI,WCVI,WCVI,WCVI,49.17227618,-125.7641043,1000-0208-124-G172,Mixed,NO,AvgCopy,0,0,0,0,0,0,1840.79757,0,0,0,0,0,0,0,0,1.52996E+18,0,0,0,0,0,0,1.552765833,105.9153502,1.894360407,0,0,0,0,0,0,0,0,0,0,14.68268568,111.0392137,0,0,0,13794.88851,0,-999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
