"","N","perc.run","posdet","prev","mean.load"
"ae_hyd",3214,0.697331308309829,0,0,NaN
"ae_sal",4507,0.977869385983944,0,0,NaN
"arena1",1381,0.299631156433066,6,0.00434467776973208,2166.32094271683
"arena2",2285,0.49576914732046,756,0.330853391684902,565554.409954766
"ascv",1370,0.297244521588197,2,0.00145985401459854,0.386433453
"aspv",456,0.098936862660013,0,0,NaN
"Bafini_b",0,0,0,NaN,NaN
"c_b_cys",4372,0.948578867433283,3872,0.885635864592864,30285.7531593199
"ce_sha",4525,0.981774788457366,225,0.0497237569060773,1891.86643204692
"Circo.virus",1632,0.354089824256889,22,0.0134803921568627,169414.75022332
"cov",1363,0.295725753959644,2,0.00146735143066764,15.593152835
"cr_sal",4507,0.977869385983944,3,0.000665631240292878,358.763069651333
"ctv",1370,0.297244521588197,1,0.00072992700729927,0.002629335
"de_sal",4374,0.949012801041441,56,0.0128029263831733,27741.9983534594
"fa_mar",4525,0.981774788457366,67,0.0148066298342541,3060.13163487884
"fl_psy",4526,0.981991755261445,221,0.048828988068935,24103.3391429051
"gy_sal",3214,0.697331308309829,0,0,NaN
"Hantavirus",0,0,0,NaN,NaN
"ic_hof",4524,0.981557821653287,332,0.0733863837312113,44955.954748316
"ic_mul",4508,0.978086352788023,729,0.161712511091393,50.3509033189067
"IcD",1632,0.354089824256889,1215,0.744485294117647,5610424.17193626
"ihnv",4525,0.981774788457366,17,0.00375690607734807,11547.7684496552
"ipnv",3214,0.697331308309829,0,0,NaN
"isav7",3214,0.697331308309829,2,0.000622277535780958,9.963585202
"isav8",3214,0.697331308309829,0,0,NaN
"ku_thy",4526,0.981991755261445,37,0.00817498895271763,4.6079374957027
"lo_sal",4504,0.977218485571708,223,0.0495115452930728,3834.84168030279
"mitov",1360,0.295074853547407,0,0,NaN
"mo_vis",2762,0.599262312866132,5,0.00181028240405503,212.7928248606
"my_arc",4525,0.981774788457366,2709,0.598674033149171,405730.626367553
"my_cer",456,0.098936862660013,0,0,NaN
"my_ins",4374,0.949012801041441,0,0,NaN
"na_sal",4525,0.981774788457366,3,0.000662983425414365,3.39500959166667
"ne_per",4276,0.927750054241701,0,0,NaN
"Nido2_a",0,0,0,NaN,NaN
"nu_sal",1297,0.281405944890432,10,0.00771010023130301,0.2611310066
"omv",3214,0.697331308309829,0,0,NaN
"ortho",1336,0.289867650249512,0,0,NaN
"pa_kab",4525,0.981774788457366,718,0.158674033149171,194805.49844668
"pa_min",4525,0.981774788457366,1798,0.397348066298343,891003.63317368
"pa_pse",4525,0.981774788457366,372,0.0822099447513812,320628.728436503
"pa_ther",4524,0.981557821653287,2159,0.477232537577365,1617.44159527733
"pch_sal",4518,0.980256020828813,5,0.00110668437361664,43390.278909324
"Picorna2_virus",1632,0.354089824256889,6,0.00367647058823529,24.4757722908333
"pisck_sal",4524,0.981557821653287,4,0.000884173297966401,1.74150076125
"pmcv",3213,0.69711434150575,4,0.00124494242141301,260.9859060625
"prv",4496,0.975482751139076,23,0.00511565836298932,1.55663014895652
"pspv",4523,0.981340854849208,2282,0.504532390006633,11128.3306272859
"Qin",1632,0.354089824256889,70,0.0428921568627451,163.347474219986
"re_sal",4526,0.981991755261445,6,0.00132567388422448,2.3237409505
"reov",1357,0.29442395313517,0,0,NaN
"Rhabdo3_virus",1632,0.354089824256889,14,0.00857843137254902,88729.2667894484
"rlo",4525,0.981774788457366,185,0.0408839779005525,42.5285093457027
"Salmovirus",0,0,0,NaN,NaN
"sav",3214,0.697331308309829,0,0,NaN
"sch",4526,0.981991755261445,558,0.123287671232877,38.6821749936165
"SGPV",1102,0.239097418095031,0,0,NaN
"smallUK",1378,0.298980256020829,16,0.011611030478955,1387.24148374887
"sp_des",4508,0.978086352788023,105,0.0232919254658385,407.410187015648
"sp_sal",3214,0.697331308309829,0,0,NaN
"te_bry",4526,0.981991755261445,97,0.0214317277949624,1543.66945856642
"te_mar",4074,0.883922759817748,66,0.01620029455081,265.735543004197
"toti",1352,0.293339119114775,1,0.000739644970414201,0.681975941
"ven",4524,0.981557821653287,500,0.1105216622458,6.8993582568
"ver",4508,0.978086352788023,2,0.000443655723158829,3.4455920565
