"","lower","X25","mid","X75","upper","metric"
"lo_sal",-0.689754028423678,-0.342406694083358,-0.168476213959482,-0.00419682685864244,0.372652326093946,"prev_std"
"pa_kab",-0.644964930382321,-0.258418812231822,-0.080806558974867,0.112095556818859,0.51746313363669,"prev_std"
"ven",-0.230413090171565,0.162077369712092,0.347264166883362,0.537381215861817,0.920093793455876,"prev_std"
"de_sal",-0.335867782346209,0.103089223568232,0.297797552459977,0.508391402213291,0.906413977916942,"prev_std"
"ce_sha",-0.180642819227918,0.195179807243054,0.371778223189208,0.554741050470773,0.938826080387803,"prev_std"
"ku_thy",-0.110072255076829,0.344515403934812,0.550265546261024,0.744189609727902,1.14523604241688,"prev_std"
"ihnv",-0.36487464075111,-0.154285732461686,-0.0578105648643854,0.0426548197022246,0.250961431070551,"prev_std"
"sp_des",1.00532704647084,1.52652899112865,1.74978118424733,1.96827162539624,2.51496561210229,"prev_std"
"pspv",-0.540691636177656,-0.191737697189668,-0.0208784607640224,0.141396514036294,0.460206611330827,"prev_std"
"fl_psy",-0.244005014667052,0.0364514331356792,0.169031231321162,0.294496804613701,0.546124496340587,"prev_std"
"te_bry",-0.137595938851365,0.177170061128131,0.331180786421984,0.481623178740087,0.763707390298845,"prev_std"
"ic_hof",-0.593607927577105,-0.383705239682185,-0.277844240046114,-0.166927882240854,0.0543275339994704,"prev_std"
"ic_mul",-0.635031370491314,-0.242421930595724,-0.0496713457211329,0.14289274715796,0.548352566223545,"prev_std"
"fa_mar",-1.09222888774985,-0.367529349997913,-0.022360646581091,0.29754228222972,1.04436573824021,"prev_std"
"richness",-1.39562755398861,-0.723865296957724,-0.39796063151561,-0.0899469984900454,0.555851645473389,"prev_std"
"my_arc",-1.45413626155236,-1.07993532084891,-0.883058020622072,-0.698646476929675,-0.272328544289428,"prev_std"
"c_b_cys",-0.816577299197549,-0.321149729103399,-0.109022304435172,0.108812564332453,0.566095783971027,"prev_std"
"rib",-0.841384982272419,-0.491626606594337,-0.328176407650297,-0.162398585595066,0.18687691211175,"prev_std"
