"","prev_std","early_sst_stnd","sigma","mean_PPD","log.posterior","metric"
"lo_sal",1.00066910164796,1.00092280935444,1.00070844420931,1.00024047280937,1.00004658821304,"Rhat"
"pa_kab",1.00069479667796,1.00086451893739,0.999534501971039,0.999587660869169,1.00001687445706,"Rhat"
"ven",1.00174377092682,1.00004225693772,1.00165690773358,1.00024502571915,1.00026382574688,"Rhat"
"de_sal",0.999815227037248,0.999784115946306,1.00254182904774,0.999508364430101,1.00098027171912,"Rhat"
"ce_sha",0.999625137564966,0.999726951982493,1.00076791484945,0.999603535704538,1.00143146434842,"Rhat"
"ku_thy",1.00026620863809,1.00230658181223,0.999999529524394,0.999830809878744,1.0030434715451,"Rhat"
"ihnv",1.00016780353913,0.999584620247384,1.00140530762789,0.999582810810389,1.0001564286547,"Rhat"
"sp_des",1.00168600569777,1.0020307187104,1.00077681826508,1.00084696574692,1.00007759430676,"Rhat"
"pspv",1.00221960511793,1.00216757446698,1.00125786632227,1.00043869483265,1.0024223927545,"Rhat"
"fl_psy",1.00084973257865,1.00078361882459,0.999620819779624,0.999256895878343,1.00054743156576,"Rhat"
"te_bry",0.999864102961404,1.00001687533812,1.00595507585499,0.999607830199115,1.00558468348063,"Rhat"
"ic_hof",0.999996358893923,0.999593550979494,1.00049626973125,0.999566623520347,1.00096857404245,"Rhat"
"ic_mul",1.00004821569804,0.999874468301235,1.00154718605147,0.999978095320134,1.00258135900835,"Rhat"
"fa_mar",1.00204362477207,1.00248040984481,1.00126479263548,0.999591739210931,1.00007647220922,"Rhat"
"richness",1.00032274231285,1.00034767283583,1.0007083927582,1.00055495084187,1.00257285916386,"Rhat"
"my_arc",1.00287007612777,1.0016076718066,1.00313483644487,1.00154013278424,1.00277947597481,"Rhat"
"c_b_cys",1.00029077926403,1.00252513204122,1.0035249279969,0.999982470314601,1.0062664760038,"Rhat"
"rib",1.00181158930943,1.0010264787184,1.00128001033312,1.00055522981653,0.999957426242576,"Rhat"
"prv",0.999831870611449,1.00286451095903,1.00065145697638,0.999609896602627,1.0052344500882,"Rhat"
"rlo",1.00102742881369,1.00079722681922,1.00119836299715,0.999984262856861,1.00212592747659,"Rhat"
"pa_pse",0.999926170214009,0.999510947454091,1.00082803541152,0.999544868867201,1.00134605977557,"Rhat"
"pa_ther",1.00006698106659,1.00040304952431,1.00613098900299,0.999727278997377,1.00135749325145,"Rhat"
"pa_min",1.0023747215455,1.00186225065055,1.0022057507143,1.00014218064424,1.00221177837414,"Rhat"
"sch",1.00259954288496,1.00198628247831,1.00112403004758,1.0016819403906,1.00327237354341,"Rhat"
"nu_sal",1.00294037421435,1.00250477877923,1.00029202858437,1.00024122550382,1.00155728971586,"Rhat"
"arena2",1.00001690004756,0.999928489849702,1.001049034648,1.00086130745834,1.00234509299087,"Rhat"
"Circo.virus",1.00048585963638,1.00116881214101,1.00041817880128,1.00037605660805,1.00139097260131,"Rhat"
"te_mar",0.999881480494335,1.00069562153185,1.00171202387297,1.00137306683348,1.00335768592342,"Rhat"
"IcD",1.00042798884688,1.00009317607615,1.00047158880893,1.0002100373405,1.00214849513442,"Rhat"
"Rhabdo3_virus",0.999886824713649,1.00113523627449,0.99990892923363,1.00035262056915,1.00122737183772,"Rhat"
"Qin",1.00091973810206,0.999810002303316,1.00013203762665,0.999585150257489,1.00054227688193,"Rhat"
"lo_sal1",2164,2047,1794,3252,1284,"Neff"
"pa_kab1",1908,1919,2043,3630,1328,"Neff"
"ven1",1939,1828,1819,3444,1181,"Neff"
"de_sal1",2845,2310,1893,3846,1519,"Neff"
"ce_sha1",2158,1924,1905,3315,1339,"Neff"
"ku_thy1",2078,2104,2209,3090,1341,"Neff"
"ihnv1",2297,2088,1739,3948,1325,"Neff"
"sp_des1",1448,1453,1398,2797,1048,"Neff"
"pspv1",1749,1421,1504,3243,1107,"Neff"
"fl_psy1",1883,1998,1878,3265,1458,"Neff"
"te_bry1",1682,1704,1368,3156,1106,"Neff"
"ic_hof1",2423,2043,2026,3221,1436,"Neff"
"ic_mul1",1826,1944,1849,3219,1376,"Neff"
"fa_mar1",1665,1752,1510,3131,1088,"Neff"
"richness1",1224,1409,1563,3655,1292,"Neff"
"my_arc1",1165,1212,1432,2513,948,"Neff"
"c_b_cys1",1914,1717,1512,3539,1074,"Neff"
"rib1",2345,2175,2019,3452,1500,"Neff"
"prv1",1933,1962,1781,3313,1223,"Neff"
"rlo1",1944,1914,1697,3772,1243,"Neff"
"pa_pse1",2661,2162,2098,3217,1247,"Neff"
"pa_ther1",1718,1764,1231,2513,1106,"Neff"
"pa_min1",2368,2332,1945,3217,1294,"Neff"
"sch1",1773,1748,1915,3274,1343,"Neff"
"nu_sal1",1686,1791,1676,3412,1168,"Neff"
"arena21",2275,2591,1822,3314,1152,"Neff"
"Circo.virus1",2042,2028,1754,3295,1192,"Neff"
"te_mar1",1912,2196,1511,3265,1129,"Neff"
"IcD1",1713,1541,1554,3214,1225,"Neff"
"Rhabdo3_virus1",2201,2451,1886,3207,1242,"Neff"
"Qin1",1836,1773,1831,3317,1149,"Neff"
