"","Stock_Analysis","Year","orderID","brood_year","metric","resid_value","N","posdet","prev","mean_load","prevload","agent"
"1","Bowron",2012,126,2010,"SR_resid",-0.286848213813555,0,0,NA,NA,NA,"arena2"
"2","Chilko",2011,190,2009,"SR_resid",0.38529783723828,28,0,0,NA,NA,"arena2"
"3","Chilko",2012,191,2010,"SR_resid",1.51870929766449,30,0,0,NA,NA,"arena2"
"4","Chilko",2013,192,2011,"SR_resid",0.19771074921524,27,0,0,NA,NA,"arena2"
"5","Chilko",2014,193,2012,"SR_resid",0.0142645387748008,30,1,0.0333333333333333,2.794153965,0.0931384655,"arena2"
"6","Chilko",2015,194,2013,"SR_resid",-1.63866409469691,0,0,NA,NA,NA,"arena2"
"7","E.Stuart",2011,255,2009,"SR_resid",0.306542225988378,3,1,0.333333333333333,1371.904795,457.301598333333,"arena2"
"8","E.Stuart",2012,256,2010,"SR_resid",-0.875004702568626,0,0,NA,NA,NA,"arena2"
"9","Gates",2012,354,2010,"SR_resid",-0.740304861860851,2,0,0,NA,NA,"arena2"
"10","Gates",2013,355,2011,"SR_resid",-0.231147951215527,0,0,NA,NA,NA,"arena2"
"11","Gates",2015,357,2013,"SR_resid",0.382737877444286,0,0,NA,NA,NA,"arena2"
"12","Harrison",2012,419,2010,"SR_resid",1.80958084023863,0,0,NA,NA,NA,"arena2"
"13","L.Shuswap",2011,483,2009,"SR_resid",0.158944996920779,15,1,0.0666666666666667,18061.23618,1204.082412,"arena2"
"14","L.Shuswap",2012,484,2010,"SR_resid",0.33121463228102,0,0,NA,NA,NA,"arena2"
"15","L.Shuswap",2013,485,2011,"SR_resid",-2.45594693983033,0,0,NA,NA,NA,"arena2"
"16","L.Shuswap",2015,487,2013,"SR_resid",-3.21084502361583,0,0,NA,NA,NA,"arena2"
"17","L.Stuart",2011,548,2009,"SR_resid",-0.465229188418885,6,0,0,NA,NA,"arena2"
"18","L.Stuart",2012,549,2010,"SR_resid",-0.366224861966881,0,0,NA,NA,NA,"arena2"
"19","L.Stuart",2015,552,2013,"SR_resid",-0.78400170462408,0,0,NA,NA,NA,"arena2"
"20","Pitt",2012,656,2010,"SR_resid",-0.155742343267508,0,0,NA,NA,NA,"arena2"
"21","Pitt",2013,657,2011,"SR_resid",0.508782527675962,0,0,NA,NA,NA,"arena2"
"22","Portage",2012,717,2010,"SR_resid",0.860076407844352,0,0,NA,NA,NA,"arena2"
"23","Portage",2013,718,2011,"SR_resid",-3.46516416664105,0,0,NA,NA,NA,"arena2"
"24","Quesnel",2012,782,2010,"SR_resid",0.376595316873736,4,0,0,NA,NA,"arena2"
"25","Quesnel",2013,783,2011,"SR_resid",-1.88895500726573,0,0,NA,NA,NA,"arena2"
"26","Quesnel",2015,785,2013,"SR_resid",-2.131477207518,0,0,NA,NA,NA,"arena2"
"27","Raft",2012,847,2010,"SR_resid",0.854522107492757,0,0,NA,NA,NA,"arena2"
"28","Raft",2013,848,2011,"SR_resid",-0.415526678167453,0,0,NA,NA,NA,"arena2"
"29","Raft",2015,850,2013,"SR_resid",-2.41772796249681,0,0,NA,NA,NA,"arena2"
"30","Scotch",2012,896,2010,"SR_resid",-0.0184171440669831,0,0,NA,NA,NA,"arena2"
"31","Seymour",2011,960,2009,"SR_resid",0.469168333433819,1,0,0,NA,NA,"arena2"
"32","Seymour",2012,961,2010,"SR_resid",-0.000274470585153209,0,0,NA,NA,NA,"arena2"
"33","Stellako",2011,1025,2009,"SR_resid",0.265047567544258,2,0,0,NA,NA,"arena2"
"34","Stellako",2012,1026,2010,"SR_resid",1.17750373283807,0,0,NA,NA,NA,"arena2"
"35","Stellako",2013,1027,2011,"SR_resid",-1.57290521616195,0,0,NA,NA,NA,"arena2"
"36","Stellako",2015,1029,2013,"SR_resid",-1.34522319065314,0,0,NA,NA,NA,"arena2"
"37","Weaver",2012,1075,2010,"SR_resid",-0.63038571679581,0,0,NA,NA,NA,"arena2"
"38","Weaver",2015,1078,2013,"SR_resid",-0.520865185760699,0,0,NA,NA,NA,"arena2"
"39","Bowron",2012,126,2010,"SR_resid",-0.286848213813555,1,1,1,499.6631893,0,"c_b_cys"
"40","Chilko",2011,190,2009,"SR_resid",0.38529783723828,29,29,1,15104.2267308259,NA,"c_b_cys"
"41","Chilko",2012,191,2010,"SR_resid",1.51870929766449,92,89,0.967391304347826,1723.0023806377,0,"c_b_cys"
"42","Chilko",2013,192,2011,"SR_resid",0.19771074921524,197,195,0.989847715736041,17976.1359398825,0,"c_b_cys"
"43","Chilko",2014,193,2012,"SR_resid",0.0142645387748008,30,30,1,6133.93712026,NA,"c_b_cys"
"44","Chilko",2015,194,2013,"SR_resid",-1.63866409469691,23,22,0.956521739130435,1785.78259836277,0,"c_b_cys"
"45","E.Stuart",2011,255,2009,"SR_resid",0.306542225988378,6,4,0.666666666666667,49.3291735975,NA,"c_b_cys"
"46","E.Stuart",2012,256,2010,"SR_resid",-0.875004702568626,1,1,1,8.797510275,0,"c_b_cys"
"47","Gates",2012,354,2010,"SR_resid",-0.740304861860851,11,8,0.727272727272727,169.882787358,0,"c_b_cys"
"48","Gates",2013,355,2011,"SR_resid",-0.231147951215527,40,30,0.75,1702.99081165597,0,"c_b_cys"
"49","Gates",2015,357,2013,"SR_resid",0.382737877444286,24,15,0.625,513.048225819533,0,"c_b_cys"
