"","Stock_Analysis","Year","orderID","brood_year","metric","resid_value","N","posdet","prev","mean_load","prevload","agent"
"1","Bowron",2012,126,2010,"SR_resid",0.0334612526177868,0,0,NA,NA,NA,"arena2"
"2","Chilko",2008,188,2006,"SR_resid",1.44569296710248,2,0,0,NA,NA,"arena2"
"3","Chilko",2011,191,2009,"SR_resid",0.315737109988712,28,0,0,NA,NA,"arena2"
"4","Chilko",2012,192,2010,"SR_resid",1.33676893034384,30,0,0,NA,NA,"arena2"
"5","Chilko",2013,193,2011,"SR_resid",0.736484760491999,27,0,0,NA,NA,"arena2"
"6","Chilko",2014,194,2012,"SR_resid",0.378396610849526,30,1,0.0333333333333333,2.794153965,0.0931384655,"arena2"
"7","Chilko",2015,195,2013,"SR_resid",-1.60246450711582,0,0,NA,NA,NA,"arena2"
"8","E.Stuart",2011,257,2009,"SR_resid",0.521242624309486,3,1,0.333333333333333,1371.904795,457.301598333333,"arena2"
"9","E.Stuart",2012,258,2010,"SR_resid",-0.655326744328353,0,0,NA,NA,NA,"arena2"
"10","Gates",2012,372,2010,"SR_resid",-0.620044589918579,2,0,0,NA,NA,"arena2"
"11","Gates",2013,373,2011,"SR_resid",0.418225985212489,0,0,NA,NA,NA,"arena2"
"12","Gates",2015,375,2013,"SR_resid",0.393127059657679,1,0,0,NA,NA,"arena2"
"13","Harrison",2012,438,2010,"SR_resid",1.61711041834067,0,0,NA,NA,NA,"arena2"
"14","L.Shuswap",2008,500,2006,"SR_resid",0.797010477442737,0,0,NA,NA,NA,"arena2"
"15","L.Shuswap",2011,503,2009,"SR_resid",0.448302125016622,52,2,0.0384615384615385,9031.2461910385,347.35562273225,"arena2"
"16","L.Shuswap",2012,504,2010,"SR_resid",0.108197691820453,0,0,NA,NA,NA,"arena2"
"17","L.Shuswap",2013,505,2011,"SR_resid",-0.811714498284742,0,0,NA,NA,NA,"arena2"
"18","L.Shuswap",2015,506,2013,"SR_resid",-3.45830598331656,0,0,NA,NA,NA,"arena2"
"19","L.Stuart",2011,568,2009,"SR_resid",-0.394769844970264,6,0,0,NA,NA,"arena2"
"20","L.Stuart",2012,569,2010,"SR_resid",-0.199936265367153,0,0,NA,NA,NA,"arena2"
"21","L.Stuart",2015,572,2013,"SR_resid",-0.761753767816265,2,0,0,NA,NA,"arena2"
"22","Nadina",2008,631,2006,"SR_resid",0.227324805793202,1,0,0,NA,NA,"arena2"
"23","Pitt",2012,701,2010,"SR_resid",1.35144306627051,0,0,NA,NA,NA,"arena2"
"24","Pitt",2013,702,2011,"SR_resid",0.337070237661549,0,0,NA,NA,NA,"arena2"
"25","Portage",2012,763,2010,"SR_resid",0.626087035458184,0,0,NA,NA,NA,"arena2"
"26","Portage",2013,764,2011,"SR_resid",-3.27898030479984,0,0,NA,NA,NA,"arena2"
"27","Quesnel",2008,825,2006,"SR_resid",-0.238344322356356,0,0,NA,NA,NA,"arena2"
"28","Quesnel",2012,829,2010,"SR_resid",0.484517354735783,4,0,0,NA,NA,"arena2"
