"","Stock_Analysis","Year","orderID","brood_year","metric","resid_value","N","posdet","prev","mean_load","prevload","agent"
"1","Bowron",2012,1243,2010,"SR_cov_resid",-0.225381335491589,0,0,NA,NA,NA,"arena2"
"2","Chilko",2008,1306,2006,"SR_cov_resid",1.14899509342246,2,0,0,NA,NA,"arena2"
"3","Chilko",2011,1309,2009,"SR_cov_resid",0.30629425435431,29,1,0.0344827586206897,0.358153377,0.0123501164482759,"arena2"
"4","Chilko",2012,1310,2010,"SR_cov_resid",0.685458079567512,56,3,0.0535714285714286,10.968791421,0.587613826125,"arena2"
"5","Chilko",2013,1311,2011,"SR_cov_resid",0.606684688038082,56,5,0.0892857142857143,15.4560880852,1.38000786475,"arena2"
"6","Chilko",2014,1312,2012,"SR_cov_resid",0.742058742143178,30,1,0.0333333333333333,2.794153965,0.0931384655,"arena2"
"7","Chilko",2015,1313,2013,"SR_cov_resid",-1.10092223207761,7,0,0,NA,NA,"arena2"
"8","Gates",2012,1479,2010,"SR_cov_resid",-1.14368456200958,2,0,0,NA,NA,"arena2"
"9","Gates",2013,1480,2011,"SR_cov_resid",-0.341710855951546,12,0,0,NA,NA,"arena2"
"10","Gates",2015,1482,2013,"SR_cov_resid",0.354033138866531,8,0,0,NA,NA,"arena2"
"11","Nadina",2008,1720,2006,"SR_cov_resid",0.735704110870947,1,0,0,NA,NA,"arena2"
"12","Pitt",2012,1791,2010,"SR_cov_resid",0.0394305874891034,1,1,1,2408.039954,2408.039954,"arena2"
"13","Pitt",2013,1792,2011,"SR_cov_resid",1.12999545549457,0,0,NA,NA,NA,"arena2"
"14","Portage",2012,1854,2010,"SR_cov_resid",0.312269365160085,0,0,NA,NA,NA,"arena2"
"15","Portage",2013,1855,2011,"SR_cov_resid",-2.76094953064122,7,0,0,NA,NA,"arena2"
"16","Quesnel",2008,1917,2006,"SR_cov_resid",0.17607715548743,0,0,NA,NA,NA,"arena2"
"17","Quesnel",2012,1921,2010,"SR_cov_resid",0.551398321188551,5,0,0,NA,NA,"arena2"
"18","Quesnel",2013,1922,2011,"SR_cov_resid",-1.11916717140012,6,0,0,NA,NA,"arena2"
"19","Quesnel",2015,1924,2013,"SR_cov_resid",-1.25651342926018,23,1,0.0434782608695652,7.853917091,0.341474656130435,"arena2"
"20","Raft",2012,1988,2010,"SR_cov_resid",0.921330610853227,0,0,NA,NA,NA,"arena2"
"21","Raft",2013,1989,2011,"SR_cov_resid",0.285596373739357,4,1,0.25,0.200949388,0.050237347,"arena2"
"22","Raft",2015,1991,2013,"SR_cov_resid",-1.63954921242504,9,0,0,NA,NA,"arena2"
"23","Scotch",2008,2035,2006,"SR_cov_resid",0.367592322115916,3,0,0,NA,NA,"arena2"
"24","Scotch",2012,2039,2010,"SR_cov_resid",-0.581486679711928,3,2,0.666666666666667,2644143.487721,1762762.32514733,"arena2"
"25","Seymour",2008,2102,2006,"SR_cov_resid",0.923360797503033,0,0,NA,NA,NA,"arena2"
"26","Seymour",2011,2105,2009,"SR_cov_resid",1.07400822811678,2,0,0,NA,NA,"arena2"
