"","Stock_Analysis","Year","orderID","brood_year","metric","resid_value","N","posdet","prev","mean_load","prevload","agent"
"1","Birkenhead",2009,1173,2007,"SR_cov_resid",0.917485094090912,4,1,0.25,0.617411761,0.15435294025,"arena2"
"2","Birkenhead",2010,1174,2008,"SR_cov_resid",0.60174399453012,2,0,0,NA,NA,"arena2"
"3","Birkenhead",2011,1175,2009,"SR_cov_resid",0.502719917245887,6,0,0,NA,NA,"arena2"
"4","Birkenhead",2012,1176,2010,"SR_cov_resid",-2.43674110496128,1,0,0,NA,NA,"arena2"
"5","Birkenhead",2013,1177,2011,"SR_cov_resid",-0.493983139331974,3,2,0.666666666666667,12.3420730625,8.22804870833333,"arena2"
"6","Birkenhead",2014,1178,2012,"SR_cov_resid",0.571525377256349,4,1,0.25,0.242497382,0.0606243455,"arena2"
"7","Birkenhead",2015,1179,2013,"SR_cov_resid",-0.754015824843491,7,3,0.428571428571429,0.52121273,0.223376884285714,"arena2"
"8","Birkenhead",2018,1182,2016,"SR_cov_resid",-1.88941454436261,4,0,0,NA,NA,"arena2"
"9","Bowron",2013,1244,2011,"SR_cov_resid",-0.412927508335944,3,2,0.666666666666667,1.6451647235,1.09677648233333,"arena2"
"10","Bowron",2014,1245,2012,"SR_cov_resid",0.191831754320866,1,0,0,NA,NA,"arena2"
"11","Chilko",2008,1306,2006,"SR_cov_resid",1.14899509342246,4,1,0.25,0.301947547,0.07548688675,"arena2"
"12","Chilko",2009,1307,2007,"SR_cov_resid",-0.164515041914484,0,0,NA,NA,NA,"arena2"
"13","Chilko",2010,1308,2008,"SR_cov_resid",-0.261094571360216,15,5,0.333333333333333,357.6595915512,119.2198638504,"arena2"
"14","Chilko",2011,1309,2009,"SR_cov_resid",0.30629425435431,63,8,0.126984126984127,2657.61888641113,337.475414147444,"arena2"
"15","Chilko",2012,1310,2010,"SR_cov_resid",0.685458079567512,19,14,0.736842105263158,229.674187116571,169.233611559579,"arena2"
"16","Chilko",2013,1311,2011,"SR_cov_resid",0.606684688038082,128,74,0.578125,197490.205410924,114174.02500319,"arena2"
"17","Chilko",2014,1312,2012,"SR_cov_resid",0.742058742143178,50,5,0.1,29708.7504532112,2970.87504532112,"arena2"
"18","Chilko",2015,1313,2013,"SR_cov_resid",-1.10092223207761,47,18,0.382978723404255,31352.6480958028,12007.3971430734,"arena2"
"19","Chilko",2016,1314,2014,"SR_cov_resid",0.658775634082524,20,14,0.7,206065.882017201,144246.117412041,"arena2"
