"","agent","load2.5","load50","load97.5","prop.neg","model","load.sst2.5","load.sst50","load.sst97.5","sst2.5","sst50","sst97.5","model"
"9","c_b_cys",-0.00707824946600722,0.392827113823005,0.885988034424509,0.024,"load",-0.621479275971641,-0.115264515986853,0.316015980752262,-1.37549348729969,-0.797299566419433,-0.194228825124945,"load+sst"
"5","pa_pse",-0.233721374894347,0.313487691041591,0.998338508120297,0.142,"load",-0.289981982069864,-0.00407609971558155,0.357176229688188,-1.21332895203924,-0.667048846866952,-0.0990673602729643,"load+sst"
"3","ce_sha",-0.180011228903548,0.121928709340661,0.460943529741788,0.1785,"load",-0.283897363241585,0.019970589074919,0.413021532545896,-1.45416246563589,-0.847447505074666,-0.264203273045634,"load+sst"
"10","my_arc",-0.366420273310815,0.0350793822618027,0.332353869785824,0.3945,"load",-0.561042344785202,-0.16953213194762,0.174779996415122,-1.62469421999986,-0.872217036841962,-0.25702042032854,"load+sst"
"12","pa_ther",-0.205158610162139,-0.0069287513088556,0.14732133296203,0.533,"load",-0.591106505260563,0.0214315289560606,0.487897847994184,-1.57087637023625,-0.962781775826621,-0.352941369323645,"load+sst"
"7","pa_kab",-0.298638527878116,-0.00733914692456557,0.368064861721531,0.5195,"load",-0.535017051650785,-0.0519146908280556,0.359303510409043,-1.5808125520461,-0.927374378718884,-0.269545276770196,"load+sst"
"8","pspv",-0.426088533077913,-0.0379426901742878,0.385036691050173,0.5965,"load",-0.753361693915983,-0.149550897556107,0.487900182379044,-1.35167125359509,-0.736613670389651,-0.058348662564351,"load+sst"
"6","sch",-0.210337281381482,-0.0496247334761267,0.117316546865502,0.746,"load",-0.292193853672378,0.0392914448413858,0.361602431102926,-1.44936438201998,-0.831418522164228,-0.217026623184074,"load+sst"
"1","ic_hof",-0.311750803926847,-0.0797168144247936,0.154945450968249,0.7715,"load",-0.187071565339958,0.0794819931848317,0.291676849416981,-1.4889808582927,-0.848730331269904,-0.296571447285832,"load+sst"
"11","pa_min",-0.461056367883222,-0.143137149437034,0.159409433895646,0.869,"load",-0.186320546367201,0.167611682097793,0.667479444605389,-1.54235937527341,-0.921704164677884,-0.266997280552361,"load+sst"
"2","lo_sal",-0.46736301937077,-0.17481474992793,0.108608245201803,0.8975,"load",-0.370418420617828,-0.00455764078886245,0.290803991994782,-1.58271122506528,-0.952886357044409,-0.32806415488735,"load+sst"
"4","ven",-0.738055730716282,-0.200871892262286,0.245950071269796,0.83,"load",-0.335394144578495,-0.09708307703372,0.190515820412473,-1.356616927793,-0.727355294111006,-0.0667399047920751,"load+sst"
