"","taxa","mean","sd","50%","2.5%","25%","40%","60%","75%","97.5%","pathogen_pp_fw"
"1","arena2",-0.0178752905401873,0.0116342256561587,-0.0168553364603504,-0.0427859550097639,-0.0254303896807168,-0.0199236490959129,-0.0138860677791493,-0.00917340606900279,0.000415821633458158,"0.970466666666667"
"2","c_b_cys",-0.00547514155109292,0.00716665482904423,-0.00406662928853771,-0.022487545613914,-0.00929279669845954,-0.00583683241486181,-0.00259398373931375,-0.000814741635539716,0.00691446709757217,"0.836566666666667"
"3","ce_sha",0.0321547536252622,0.0234008841401525,0.0309455091408382,-0.0056534101295068,0.0136815166245855,0.0241491321043694,0.0377009248059706,0.0482651085321214,0.0804612828449556,"0.0665666666666667"
"5","de_sal",2.36944259742019e-05,0.0160324837383179,-0.00143978795674224,-0.0299907999352123,-0.00808928059195461,-0.0034000866834264,-0.000165771362603374,0.00610089618603942,0.0397760695737414,"0.620466666666667"
"6","fl_psy",-0.00355389512436314,0.00724964573531149,-0.00282818142545865,-0.0195330845744659,-0.00723542900376922,-0.00421812829964946,-0.00165418538810667,-0.000210839794670998,0.0120846763161715,"0.7797"
"7","ic_hof",-0.0360379716448357,0.0229112336219464,-0.0345756694203972,-0.0839748786573438,-0.0516634225310763,-0.0408405009361537,-0.0284727033949578,-0.0185596677809142,0.000892317373723679,"0.969333333333333"
"8","ic_mul",0.0103077071244631,0.00642774223089034,0.010138393065122,-0.000830167765661874,0.00560258458886467,0.00845960039080852,0.0117947807656534,0.0146420605544485,0.0232871733583507,"0.0432666666666667"
"9","IcD",-0.0187943338073129,0.0115923516933387,-0.0177422159128832,-0.0438143384990882,-0.0263576515714707,-0.0209745161310733,-0.0147344152960165,-0.00996034480580523,-0.000477319943987931,"0.9839"
"10","ihnv",-0.0457038573899964,0.0394120592705586,-0.0395621122224962,-0.134686103347085,-0.0706277372282931,-0.0509079133704385,-0.0295237335743165,-0.0151661064097984,0.0129776535083338,"0.922466666666667"
"11","lo_sal",0.0301410351712792,0.0231816099065562,0.0274981173482375,-0.00490654273534059,0.0120743127665671,0.0212724563326626,0.0340065847535935,0.0454055372169936,0.0807071347374041,"0.06"
"12","my_arc",-0.00942124262097794,0.0062907253973834,-0.00868560388021787,-0.023338233237477,-0.013435738021361,-0.0104127809919127,-0.00706328929807904,-0.00454866756676935,-5.46539834296665e-05,"0.978333333333333"
"13","nu_sal",0.705216508508053,0.512438942813786,0.609332939871787,-0.0290359144826993,0.323613681308856,0.48341590432178,0.748643219488315,1.00555895607173,1.91421188910458,"0.0313666666666667"
"14","pa_kab",-0.00986008082743639,0.0206325071395582,-0.00791370466112935,-0.0540727732648652,-0.0208882576839547,-0.0123088436545164,-0.00437691475958757,-0.000254922926046261,0.0348726331820714,"0.761833333333333"
"15","pa_min",-0.00556542764855303,0.0067682437826179,-0.00463684546645408,-0.0208355456578827,-0.00911779358546965,-0.00616089610702625,-0.00325496081638448,-0.00141597437155622,0.00740476734709258,"0.873166666666667"
"16","pa_ther",0.0169048423796031,0.0171751434301316,0.0142996236608345,-0.0120972668961515,0.0049881398195439,0.0104858489662504,0.0187270375836679,0.0267597162733901,0.0563667418647017,"0.105733333333333"
"17","prv",0.170321075695366,0.219606590233247,0.144539616826518,-0.22704068579068,0.0326397400921275,0.0988836585050033,0.194072193759172,0.292219026456798,0.669517107969789,"0.1895"
"18","pspv",-0.00740417070291403,0.00530034411351004,-0.00626072794332599,-0.0204022543661367,-0.0102892304956795,-0.00765365234104264,-0.00502764885283304,-0.0033518684914352,-0.000638598718410732,"0.9962"
"19","Qin",-0.0459107943213191,0.0287073872190397,-0.0430024213389557,-0.108093814575704,-0.0647664082155691,-0.0510431571296739,-0.0351478100067131,-0.0237455525274603,-0.00205285756066591,"0.987033333333333"
"21","rib",-0.0169305466429906,0.0183295141635336,-0.0169033163819891,-0.0534955932550948,-0.0291976174345278,-0.021470121952528,-0.0121971087272581,-0.00456018416133058,0.0187608318562417,"0.8214"
"22","richness",-0.00543243433624292,0.0023640164735221,-0.00544821616022201,-0.0100991442903837,-0.00701309548058041,-0.00603011059835714,-0.0048467748274945,-0.00384658814401135,-0.000797680664190552,"0.9893"
"23","rlo",0.0138280655658712,0.0110767752447008,0.0127339199161065,-0.00426418532242327,0.005407409223688,0.00982482277713532,0.0158479080160442,0.0211165610025127,0.0376148067843786,"0.0734333333333333"
"24","sp_des",-0.00915727006727374,0.0184827082371661,-0.00668695555416068,-0.0508127050550531,-0.0192611530788459,-0.0108919632438141,-0.00300835140963158,0.00116914721217051,0.0262254622397917,"0.7091"
"25","te_bry",-0.00660396559821389,0.012158037779755,-0.0048098961215931,-0.0343936293732775,-0.0127748563309529,-0.0074528701478022,-0.00264098815046594,-7.92266682105034e-05,0.0167396196932655,"0.7569"
"26","te_mar",0.0840141028693534,0.0500880278553424,0.0802692455824939,0.00235934365321169,0.0463494372168301,0.0670555720188956,0.0940364641851932,0.117262797877268,0.190916855036163,"0.0172333333333333"
