"","Stock_Analysis","Year","orderID","brood_year","metric","resid_value","N","N+","prev","mean_load","prevload","agent"
"1","Birkenhead",2009,58,2007,"SR_resid",-0.298008117783879,4,0,0,NA,NA,"arena2"
"2","Birkenhead",2010,59,2008,"SR_resid",-0.100769117868461,2,0,0,NA,NA,"arena2"
"3","Birkenhead",2011,60,2009,"SR_resid",-0.650991216116703,5,0,0,NA,NA,"arena2"
"4","Birkenhead",2012,61,2010,"SR_resid",-2.19758782887751,0,0,NA,NA,NA,"arena2"
"5","Birkenhead",2013,62,2011,"SR_resid",-1.26683925767625,0,0,NA,NA,NA,"arena2"
"6","Birkenhead",2014,63,2012,"SR_resid",-0.276079279263662,4,0,0,NA,NA,"arena2"
"7","Birkenhead",2015,64,2013,"SR_resid",-1.81034600909588,2,0,0,NA,NA,"arena2"
"8","Bowron",2013,127,2011,"SR_resid",-1.27851295637267,0,0,NA,NA,NA,"arena2"
"9","Bowron",2014,128,2012,"SR_resid",-0.448958264229366,1,0,0,NA,NA,"arena2"
"10","Chilko",2010,189,2008,"SR_resid",-0.434265073932136,15,4,0.266666666666667,20.97562590775,NA,"arena2"
"11","Chilko",2011,190,2009,"SR_resid",0.38529783723828,60,5,0.0833333333333333,4340.3433331506,NA,"arena2"
"12","Chilko",2012,191,2010,"SR_resid",1.51870929766449,0,0,NA,NA,NA,"arena2"
"13","Chilko",2013,192,2011,"SR_resid",0.19771074921524,9,2,0.222222222222222,59.328874031,NA,"arena2"
"14","Chilko",2014,193,2012,"SR_resid",0.0142645387748008,49,3,0.0612244897959184,40546.4738806667,NA,"arena2"
"15","Chilko",2015,194,2013,"SR_resid",-1.63866409469691,21,3,0.142857142857143,58271.2373423063,NA,"arena2"
"16","Chilko",2016,195,2014,"SR_resid",0.118387368990521,20,14,0.7,210402.063333412,NA,"arena2"
"17","E.Stuart",2009,253,2007,"SR_resid",-0.36854159987182,1,0,0,NA,NA,"arena2"
"18","E.Stuart",2010,254,2008,"SR_resid",0.797398517862314,3,1,0.333333333333333,0.306164406,NA,"arena2"
"19","E.Stuart",2011,255,2009,"SR_resid",0.306542225988378,20,3,0.15,34801.6921387273,NA,"arena2"
"20","E.Stuart",2012,256,2010,"SR_resid",-0.875004702568626,0,0,NA,NA,NA,"arena2"
"21","E.Stuart",2013,257,2011,"SR_resid",0.48067594986311,0,0,NA,NA,NA,"arena2"
"22","E.Stuart",2014,258,2012,"SR_resid",-1.10594629027971,8,0,0,NA,NA,"arena2"
"23","E.Stuart",2015,259,2013,"SR_resid",-2.77552980656922,8,1,0.125,21097.96671,NA,"arena2"
"24","E.Stuart",2016,260,2014,"SR_resid",-0.391618684657425,1,1,1,0.605564687,NA,"arena2"
"25","Gates",2009,351,2007,"SR_resid",2.46731940055161,1,0,0,NA,NA,"arena2"
"26","Gates",2010,352,2008,"SR_resid",0.906764601998679,1,0,0,NA,NA,"arena2"
"27","Gates",2011,353,2009,"SR_resid",0.450906844399479,4,0,0,NA,NA,"arena2"
"28","Gates",2013,355,2011,"SR_resid",-0.231147951215527,1,0,0,NA,NA,"arena2"
"29","Gates",2014,356,2012,"SR_resid",-0.109153978191419,7,1,0.142857142857143,5.250558472,NA,"arena2"
"30","Gates",2015,357,2013,"SR_resid",0.382737877444286,4,1,0.25,30611.04049,NA,"arena2"
"31","Harrison",2009,416,2007,"SR_resid",1.30259479491901,1,0,0,NA,NA,"arena2"
"32","Harrison",2010,417,2008,"SR_resid",1.18199741656538,42,0,0,NA,NA,"arena2"
"33","Harrison",2011,418,2009,"SR_resid",-0.495958986830574,8,1,0.125,667461.6295,NA,"arena2"
"34","Harrison",2013,420,2011,"SR_resid",0.69096343611056,0,0,NA,NA,NA,"arena2"
"35","Harrison",2014,421,2012,"SR_resid",-0.51486879193369,1,0,0,NA,NA,"arena2"
"36","Harrison",2015,422,2013,"SR_resid",-1.08883708095772,4,0,0,NA,NA,"arena2"
"37","L.Shuswap",2009,481,2007,"SR_resid",0.393202735523489,4,0,0,NA,NA,"arena2"
"38","L.Shuswap",2010,482,2008,"SR_resid",2.30839208071176,4,1,0.25,67163.27011,NA,"arena2"
"39","L.Shuswap",2011,483,2009,"SR_resid",0.158944996920779,17,4,0.235294117647059,12.06575848875,NA,"arena2"
"40","L.Shuswap",2012,484,2010,"SR_resid",0.33121463228102,2,0,0,NA,NA,"arena2"
"41","L.Shuswap",2013,485,2011,"SR_resid",-2.45594693983033,1,0,0,NA,NA,"arena2"
"42","L.Shuswap",2014,486,2012,"SR_resid",2.00110064281957,1,0,0,NA,NA,"arena2"
"43","L.Shuswap",2015,487,2013,"SR_resid",-3.21084502361583,41,5,0.121951219512195,24704.8267568296,NA,"arena2"
"44","L.Shuswap",2016,488,2014,"SR_resid",-0.375699293003899,76,69,0.907894736842105,810418.678821952,NA,"arena2"
"45","L.Stuart",2011,548,2009,"SR_resid",-0.465229188418885,14,5,0.357142857142857,4625.060180339,NA,"arena2"
"46","L.Stuart",2014,551,2012,"SR_resid",-1.70954381435929,7,1,0.142857142857143,3.782632744,NA,"arena2"
"47","L.Stuart",2015,552,2013,"SR_resid",-0.78400170462408,5,3,0.6,33860.5423425793,NA,"arena2"
"48","L.Stuart",2016,553,2014,"SR_resid",-0.307344369522045,3,3,1,481.513622158,NA,"arena2"
"49","Nadina",2010,589,2008,"SR_resid",0.262191956095976,1,0,0,NA,NA,"arena2"
"50","Nadina",2011,590,2009,"SR_resid",-0.422092858758246,3,0,0,NA,NA,"arena2"
"51","Nadina",2014,593,2012,"SR_resid",-1.05440346853844,24,2,0.0833333333333333,100267.03403118,NA,"arena2"
"52","Nadina",2015,594,2013,"SR_resid",-2.0479492309041,0,0,NA,NA,NA,"arena2"
"53","Pitt",2010,654,2008,"SR_resid",0.629286548510264,5,0,0,NA,NA,"arena2"
"54","Pitt",2011,655,2009,"SR_resid",-0.249717762759789,1,0,0,NA,NA,"arena2"
"55","Pitt",2012,656,2010,"SR_resid",-0.155742343267508,0,0,NA,NA,NA,"arena2"
"56","Pitt",2013,657,2011,"SR_resid",0.508782527675962,0,0,NA,NA,NA,"arena2"
"57","Pitt",2014,658,2012,"SR_resid",0.146481537253401,11,1,0.0909090909090909,83.49470928,NA,"arena2"
"58","Pitt",2015,659,2013,"SR_resid",-0.887642039376192,3,2,0.666666666666667,1.3756859095,NA,"arena2"
"59","Portage",2009,714,2007,"SR_resid",-1.12356752307804,1,0,0,NA,NA,"arena2"
"60","Portage",2015,720,2013,"SR_resid",-2.17403600765319,1,0,0,NA,NA,"arena2"
"61","Quesnel",2009,779,2007,"SR_resid",-0.837340686796709,1,0,0,NA,NA,"arena2"
"62","Quesnel",2010,780,2008,"SR_resid",-1.46510055265989,5,2,0.4,1.1228006235,NA,"arena2"
"63","Quesnel",2011,781,2009,"SR_resid",-1.28592345329045,15,0,0,NA,NA,"arena2"
"64","Quesnel",2012,782,2010,"SR_resid",0.376595316873736,0,0,NA,NA,NA,"arena2"
"65","Quesnel",2013,783,2011,"SR_resid",-1.88895500726573,0,0,NA,NA,NA,"arena2"
"66","Quesnel",2015,785,2013,"SR_resid",-2.131477207518,41,3,0.0731707317073171,129.401193389667,NA,"arena2"
"67","Quesnel",2016,786,2014,"SR_resid",-0.611307154952856,32,23,0.71875,189973.63780429,NA,"arena2"
"68","Raft",2010,845,2008,"SR_resid",-0.506234743025431,1,0,0,NA,NA,"arena2"
"69","Raft",2012,847,2010,"SR_resid",0.854522107492757,0,0,NA,NA,NA,"arena2"
"70","Raft",2014,849,2012,"SR_resid",0.327180676648054,1,0,0,NA,NA,"arena2"
"71","Scotch",2009,893,2007,"SR_resid",0.163596172132937,1,0,0,NA,NA,"arena2"
"72","Scotch",2010,894,2008,"SR_resid",1.25070295794196,2,1,0.5,3.869282429,NA,"arena2"
"73","Scotch",2012,896,2010,"SR_resid",-0.0184171440669831,0,0,NA,NA,NA,"arena2"
"74","Scotch",2013,897,2011,"SR_resid",-2.09683103258795,1,0,0,NA,NA,"arena2"
"75","Scotch",2014,898,2012,"SR_resid",-0.836006917179086,2,0,0,NA,NA,"arena2"
"76","Scotch",2015,899,2013,"SR_resid",-2.13290651177583,8,2,0.25,6598.7718769035,NA,"arena2"
"77","Scotch",2016,900,2014,"SR_resid",-0.513879926350833,12,9,0.75,251578.847334273,NA,"arena2"
"78","Seymour",2009,958,2007,"SR_resid",-0.993664555476909,5,0,0,NA,NA,"arena2"
"79","Seymour",2010,959,2008,"SR_resid",-0.0984924261895054,1,1,1,31.79107397,NA,"arena2"
"80","Seymour",2011,960,2009,"SR_resid",0.469168333433819,4,1,0.25,5.694136349,NA,"arena2"
"81","Seymour",2012,961,2010,"SR_resid",-0.000274470585153209,0,0,NA,NA,NA,"arena2"
"82","Seymour",2013,962,2011,"SR_resid",-1.60755231711188,0,0,NA,NA,NA,"arena2"
"83","Seymour",2015,964,2013,"SR_resid",-2.77343945717353,6,0,0,NA,NA,"arena2"
"84","Seymour",2016,965,2014,"SR_resid",-0.0275262787415462,3,3,1,247.900437010667,NA,"arena2"
"85","Stellako",2011,1025,2009,"SR_resid",0.265047567544258,4,0,0,NA,NA,"arena2"
"86","Stellako",2012,1026,2010,"SR_resid",1.17750373283807,0,0,NA,NA,NA,"arena2"
"87","Stellako",2013,1027,2011,"SR_resid",-1.57290521616195,1,0,0,NA,NA,"arena2"
"88","Stellako",2014,1028,2012,"SR_resid",-2.48491499670085,11,4,0.363636363636364,26.00421899925,NA,"arena2"
"89","Stellako",2015,1029,2013,"SR_resid",-1.34522319065314,0,0,NA,NA,NA,"arena2"
