"","Stock_Analysis","Year","orderID","brood_year","metric","resid_value","N","posdet","prev","mean_load","prevload","agent"
"1","Birkenhead",2009,57,2007,"SR_resid",-0.19454790918767,4,0,0,NA,NA,"arena2"
"2","Birkenhead",2010,58,2008,"SR_resid",-0.013379287228972,2,0,0,NA,NA,"arena2"
"3","Birkenhead",2011,59,2009,"SR_resid",-0.499534786098582,6,0,0,NA,NA,"arena2"
"4","Birkenhead",2012,60,2010,"SR_resid",-1.85839285056632,0,0,NA,NA,NA,"arena2"
"5","Birkenhead",2013,61,2011,"SR_resid",-1.04943577785258,0,0,NA,NA,NA,"arena2"
"6","Birkenhead",2014,62,2012,"SR_resid",-0.179195631517087,4,0,0,NA,NA,"arena2"
"7","Birkenhead",2015,63,2013,"SR_resid",-1.63988297344311,2,0,0,NA,NA,"arena2"
"8","Bowron",2013,127,2011,"SR_resid",-0.307583891656652,0,0,NA,NA,NA,"arena2"
"9","Bowron",2014,128,2012,"SR_resid",-3.61007840566052,1,0,0,NA,NA,"arena2"
"10","Chilko",2008,188,2006,"SR_resid",1.44569296710248,4,1,0.25,0.301947547,0.07548688675,"arena2"
"11","Chilko",2009,189,2007,"SR_resid",0.0501662692505832,0,0,NA,NA,NA,"arena2"
"12","Chilko",2010,190,2008,"SR_resid",-0.401875247825356,15,4,0.266666666666667,20.97562590775,5.59350024206667,"arena2"
"13","Chilko",2011,191,2009,"SR_resid",0.315737109988712,61,5,0.0819672131147541,4340.3433331506,355.765846979557,"arena2"
"14","Chilko",2012,192,2010,"SR_resid",1.33676893034384,0,0,NA,NA,NA,"arena2"
"15","Chilko",2013,193,2011,"SR_resid",0.736484760491999,9,2,0.222222222222222,59.328874031,13.1841942291111,"arena2"
"16","Chilko",2014,194,2012,"SR_resid",0.378396610849526,49,3,0.0612244897959184,40546.4738806667,2482.43717636735,"arena2"
"17","Chilko",2015,195,2013,"SR_resid",-1.60246450711582,21,3,0.142857142857143,58271.2373423063,8324.46247747233,"arena2"
"18","Chilko",2016,196,2014,"SR_resid",0.618433332542848,20,14,0.7,210402.063333412,147281.444333388,"arena2"
"19","Chilko",2017,197,2015,"SR_resid",-1.71755156245443,15,8,0.533333333333333,612.90777014375,326.884144076667,"arena2"
"20","E.Stuart",2009,255,2007,"SR_resid",-0.281716722704092,1,0,0,NA,NA,"arena2"
"21","E.Stuart",2010,256,2008,"SR_resid",1.05727438036544,3,1,0.333333333333333,0.306164406,0.102054802,"arena2"
"22","E.Stuart",2011,257,2009,"SR_resid",0.521242624309486,20,3,0.15,34801.6921387273,5220.2538208091,"arena2"
"23","E.Stuart",2012,258,2010,"SR_resid",-0.655326744328353,0,0,NA,NA,NA,"arena2"
"24","E.Stuart",2013,259,2011,"SR_resid",-3.62372295752178,0,0,NA,NA,NA,"arena2"
"25","E.Stuart",2014,260,2012,"SR_resid",-0.975108791108115,8,0,0,NA,NA,"arena2"
"26","E.Stuart",2015,261,2013,"SR_resid",-2.26901423543184,8,1,0.125,21097.96671,2637.24583875,"arena2"
"27","E.Stuart",2016,262,2014,"SR_resid",-0.438024523737892,1,1,1,0.605564687,0.605564687,"arena2"
"28","E.Stuart",2017,263,2015,"SR_resid",-2.41719052856788,1,0,0,NA,NA,"arena2"
"29","Gates",2010,370,2008,"SR_resid",NA,1,0,0,NA,NA,"arena2"
"30","Gates",2011,371,2009,"SR_resid",NA,4,0,0,NA,NA,"arena2"
"31","Gates",2012,372,2010,"SR_resid",-0.620044589918579,0,0,NA,NA,NA,"arena2"
"32","Gates",2013,373,2011,"SR_resid",0.418225985212489,1,0,0,NA,NA,"arena2"
"33","Gates",2014,374,2012,"SR_resid",-0.0134260088678968,7,1,0.142857142857143,5.250558472,0.750079781714286,"arena2"
"34","Gates",2015,375,2013,"SR_resid",0.393127059657679,4,1,0.25,30611.04049,7652.7601225,"arena2"
"35","Harrison",2009,435,2007,"SR_resid",2.13053505562267,1,0,0,NA,NA,"arena2"
"36","Harrison",2010,436,2008,"SR_resid",1.70469209708898,42,0,0,NA,NA,"arena2"
"37","Harrison",2011,437,2009,"SR_resid",0.0355786682611115,8,1,0.125,667461.6295,83432.7036875,"arena2"
"38","Harrison",2013,439,2011,"SR_resid",0.170226503686782,0,0,NA,NA,NA,"arena2"
"39","Harrison",2014,440,2012,"SR_resid",-0.074451691389787,1,0,0,NA,NA,"arena2"
"40","Harrison",2015,441,2013,"SR_resid",-0.543716220936436,4,0,0,NA,NA,"arena2"
"41","L.Shuswap",2008,500,2006,"SR_resid",0.797010477442737,10,5,0.5,1625.8338823828,812.9169411914,"arena2"
"42","L.Shuswap",2009,501,2007,"SR_resid",0.336339083219443,5,0,0,NA,NA,"arena2"
"43","L.Shuswap",2010,502,2008,"SR_resid",2.67151634415131,4,1,0.25,67163.27011,16790.8175275,"arena2"
"44","L.Shuswap",2011,503,2009,"SR_resid",0.448302125016622,17,4,0.235294117647059,12.06575848875,2.83900199735294,"arena2"
"45","L.Shuswap",2012,504,2010,"SR_resid",0.108197691820453,3,1,0.333333333333333,87658.46644,29219.4888133333,"arena2"
"46","L.Shuswap",2013,505,2011,"SR_resid",-0.811714498284742,1,0,0,NA,NA,"arena2"
"47","L.Shuswap",2015,506,2013,"SR_resid",-3.45830598331656,41,5,0.121951219512195,24704.8267568296,3012.78375083288,"arena2"
"48","L.Shuswap",2016,507,2014,"SR_resid",-0.45741680700794,78,70,0.897435897435897,798859.637956739,716925.316115022,"arena2"
"49","L.Stuart",2008,565,2006,"SR_resid",0.141018895673049,2,2,1,0.807798793,0.807798793,"arena2"
"50","L.Stuart",2010,567,2008,"SR_resid",-0.796439909434145,0,0,NA,NA,NA,"arena2"
"51","L.Stuart",2011,568,2009,"SR_resid",-0.394769844970264,15,5,0.333333333333333,4625.060180339,1541.68672677967,"arena2"
"52","L.Stuart",2014,571,2012,"SR_resid",-1.7071411567696,7,1,0.142857142857143,3.782632744,0.540376106285714,"arena2"
"53","L.Stuart",2015,572,2013,"SR_resid",-0.761753767816265,5,3,0.6,33860.5423425793,20316.3254055476,"arena2"
"54","L.Stuart",2016,573,2014,"SR_resid",0.12114119502405,3,3,1,481.513622158,481.513622158,"arena2"
"55","Nadina",2010,633,2008,"SR_resid",-0.0516140610541949,1,0,0,NA,NA,"arena2"
"56","Nadina",2011,634,2009,"SR_resid",-0.724334901560131,3,0,0,NA,NA,"arena2"
"57","Nadina",2012,635,2010,"SR_resid",0.656162875862812,0,0,NA,NA,NA,"arena2"
"58","Nadina",2014,637,2012,"SR_resid",-0.957648314899296,25,2,0.08,100267.03403118,8021.3627224944,"arena2"
"59","Nadina",2015,638,2013,"SR_resid",-1.8413264069193,0,0,NA,NA,NA,"arena2"
"60","Pitt",2010,699,2008,"SR_resid",0.673369220891936,5,0,0,NA,NA,"arena2"
"61","Pitt",2011,700,2009,"SR_resid",-0.268580832044508,1,0,0,NA,NA,"arena2"
"62","Pitt",2012,701,2010,"SR_resid",1.35144306627051,0,0,NA,NA,NA,"arena2"
"63","Pitt",2013,702,2011,"SR_resid",0.337070237661549,2,0,0,NA,NA,"arena2"
"64","Pitt",2014,703,2012,"SR_resid",-0.15293176372101,12,1,0.0833333333333333,83.49470928,6.95789244,"arena2"
"65","Pitt",2015,704,2013,"SR_resid",-1.2154711267465,3,2,0.666666666666667,1.3756859095,0.917123939666667,"arena2"
"66","Portage",2009,760,2007,"SR_resid",-1.0449888461496,1,0,0,NA,NA,"arena2"
"67","Portage",2015,766,2013,"SR_resid",-2.03053483321747,1,0,0,NA,NA,"arena2"
"68","Quesnel",2009,826,2007,"SR_resid",-1.00982711519971,1,0,0,NA,NA,"arena2"
"69","Quesnel",2010,827,2008,"SR_resid",-1.20611950198779,5,2,0.4,1.1228006235,0.4491202494,"arena2"
"70","Quesnel",2011,828,2009,"SR_resid",-1.02141381061719,15,0,0,NA,NA,"arena2"
"71","Quesnel",2012,829,2010,"SR_resid",0.484517354735783,0,0,NA,NA,NA,"arena2"
"72","Quesnel",2013,830,2011,"SR_resid",-1.39262255354055,0,0,NA,NA,NA,"arena2"
"73","Quesnel",2015,832,2013,"SR_resid",-1.85333717197638,41,3,0.0731707317073171,129.401193389667,9.46838000412195,"arena2"
"74","Quesnel",2016,833,2014,"SR_resid",-0.514348703650517,32,23,0.71875,189973.63780429,136543.552171834,"arena2"
"75","Raft",2010,893,2008,"SR_resid",-0.374701223699476,2,1,0.5,0.794461938,0.397230969,"arena2"
"76","Raft",2012,895,2010,"SR_resid",0.774435494971088,0,0,NA,NA,NA,"arena2"
"77","Raft",2014,897,2012,"SR_resid",0.314205658359934,1,0,0,NA,NA,"arena2"
"78","Scotch",2009,945,2007,"SR_resid",0.400459147150875,4,3,0.75,11780.3865185463,8835.28988890975,"arena2"
"79","Scotch",2010,946,2008,"SR_resid",1.23798684674538,2,1,0.5,3.869282429,1.9346412145,"arena2"
"80","Scotch",2012,948,2010,"SR_resid",-0.184812769980438,0,0,NA,NA,NA,"arena2"
"81","Scotch",2013,949,2011,"SR_resid",-1.27873950071508,1,0,0,NA,NA,"arena2"
"82","Scotch",2014,950,2012,"SR_resid",-0.315512706574565,2,0,0,NA,NA,"arena2"
"83","Scotch",2015,951,2013,"SR_resid",-1.31912026056849,8,2,0.25,6598.7718769035,1649.69296922588,"arena2"
"84","Scotch",2016,952,2014,"SR_resid",-0.149791112700047,12,9,0.75,251578.847334273,188684.135500704,"arena2"
