"","Stock","FW","SW","FW","SW","FW","SW","FW","SW","FW","SW","FW","SW","FW","SW","FW","SW","FW","SW","FW","SW","NA","NA"
"1","Chilko",7,7,NA,26,NA,62,29,75,92,31,197,510,30,51,23,72,NA,20,NA,15,NA,12
"2","L.Shuswap",10,16,NA,15,NA,6,58,19,160,215,25,29,NA,1,13,93,NA,78,NA,NA,NA,NA
"3","L.Stuart",NA,2,NA,NA,NA,1,6,17,1,NA,NA,NA,NA,7,29,10,NA,3,NA,NA,NA,NA
"4","Nadina",1,NA,NA,NA,NA,2,NA,4,NA,3,NA,NA,NA,25,NA,7,NA,NA,NA,NA,NA,3
"5","Quesnel",1,NA,NA,3,NA,8,NA,20,25,18,95,38,NA,NA,52,158,NA,32,NA,NA,NA,NA
"6","Scotch",4,NA,NA,8,NA,2,NA,NA,22,28,NA,5,NA,2,NA,8,NA,12,NA,NA,NA,NA
"7","Seymour",1,3,NA,5,NA,1,19,7,19,25,NA,37,NA,NA,NA,42,NA,3,NA,3,NA,NA
"8","Birkenhead",NA,NA,NA,4,NA,2,NA,6,NA,1,NA,23,NA,4,NA,17,NA,NA,NA,NA,NA,4
"9","E.Stuart",NA,NA,NA,2,NA,4,6,25,1,1,NA,1,NA,8,NA,18,NA,1,NA,1,NA,2
"10","Gates",NA,NA,NA,1,NA,1,NA,4,11,1,40,17,NA,8,25,5,NA,NA,NA,NA,NA,NA
"11","Harrison",NA,NA,NA,1,NA,56,NA,8,1,NA,NA,4,NA,1,NA,5,NA,NA,NA,NA,NA,NA
"12","Portage",NA,NA,NA,1,NA,NA,NA,NA,5,NA,30,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"13","Pitt",NA,NA,NA,NA,NA,6,NA,1,1,1,30,47,NA,14,NA,32,NA,NA,NA,NA,NA,1
"14","Raft",NA,NA,NA,NA,NA,5,NA,NA,1,1,16,NA,NA,1,29,NA,NA,NA,NA,NA,NA,1
"15","Stellako",NA,NA,NA,NA,NA,2,2,6,6,3,47,32,NA,16,20,12,NA,NA,NA,NA,NA,2
"16","Weaver",NA,NA,NA,NA,NA,1,NA,3,1,1,NA,NA,NA,NA,26,4,NA,NA,NA,NA,NA,1
"17","Bowron",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,7,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
