"","positives","proportion"
"ae_hyd",0,0
"ae_sal",0,0
"aspv",0,0
"cov",0,0
"gy_sal",0,0
"ipnv",0,0
"isav7",0,0
"isav8",0,0
"mitov",0,0
"my_cer",0,0
"my_ins",0,0
"na_sal",0,0
"ne_per",0,0
"omv",0,0
"ortho",0,0
"pmcv",0,0
"re_sal",0,0
"reov",0,0
"sav",0,0
"sgpx",0,0
"sp_sal",0,0
"ver",0,0
"vhsv",0,0
"vi_ang",0,0
"vi_sal",0,0
"ctv",1,0.000316455696202532
"pisck_sal",1,0.000316455696202532
"toti",1,0.000316455696202532
"ye_ruc_glnA",1,0.000316455696202532
"arena1",2,0.000632911392405063
"ascv",2,0.000632911392405063
"cr_sal",3,0.000949367088607595
"pch_sal",3,0.000949367088607595
"mo_vis",5,0.00158227848101266
"prv",7,0.00221518987341772
"ihnv",10,0.00316455696202532
"smallUK",11,0.00348101265822785
"ku_thy",23,0.00727848101265823
"sp_des",32,0.010126582278481
"fa_mar",41,0.0129746835443038
"de_sal",42,0.0132911392405063
"te_mar",54,0.0170886075949367
"te_bry",60,0.0189873417721519
"fl_psy",129,0.0408227848101266
"rlo",139,0.0439873417721519
"lo_sal",150,0.0474683544303797
"ce_sha",155,0.0490506329113924
"ic_hof",165,0.0522151898734177
"arena2",189,0.0598101265822785
"pa_pse",231,0.0731012658227848
"sch",401,0.126898734177215
"ven",407,0.12879746835443
"pa_kab",465,0.147151898734177
"ic_mul",535,0.169303797468354
"pa_min",1311,0.414873417721519
"pa_ther",1622,0.513291139240506
"pspv",1853,0.586392405063291
"my_arc",2066,0.65379746835443
"c_b_cys",2830,0.895569620253165
