"","positives","proportion"
"ae_hyd",0,0
"ae_sal",0,0
"aspv",0,0
"Bafini_b",0,0
"Circo.virus",0,0
"cov",0,0
"gy_sal",0,0
"Hantavirus",0,0
"ipnv",0,0
"isav8",0,0
"mitov",0,0
"my_cer",0,0
"my_ins",0,0
"ne_per",0,0
"Nido2_a",0,0
"omv",0,0
"ortho",0,0
"pmcv",0,0
"Qin",0,0
"reov",0,0
"Salmovirus",0,0
"sav",0,0
"SGPV",0,0
"sp_sal",0,0
"ver",0,0
"vhsv",0,0
"vi_ang",0,0
"vi_sal",0,0
"ye_ruc",0,0
"ctv",1,0.000282965478211658
"isav7",1,0.000282965478211658
"na_sal",1,0.000282965478211658
"Picorna2_virus",1,0.000282965478211658
"pisck_sal",1,0.000282965478211658
"Rhabdo3_virus",1,0.000282965478211658
"toti",1,0.000282965478211658
"ye_ruc_glnA",1,0.000282965478211658
"ascv",2,0.000565930956423316
"nu_sal",2,0.000565930956423316
"arena1",3,0.000848896434634975
"cr_sal",3,0.000848896434634975
"re_sal",3,0.000848896434634975
"pch_sal",4,0.00113186191284663
"mo_vis",5,0.00141482739105829
"prv",13,0.00367855121675156
"ihnv",14,0.00396151669496321
"smallUK",18,0.00509337860780985
"ku_thy",23,0.00650820599886814
"sp_des",41,0.011601584606678
"IcD",45,0.0127334465195246
"de_sal",47,0.0132993774759479
"te_mar",54,0.0152801358234295
"fa_mar",55,0.0155631013016412
"te_bry",61,0.0172608941709111
"fl_psy",138,0.0390492359932088
"rlo",145,0.0410299943406904
"lo_sal",160,0.0452744765138653
"ce_sha",173,0.0489530277306169
"arena2",217,0.0614035087719298
"ic_hof",218,0.0616864742501415
"pa_pse",258,0.0730050933786078
"ven",418,0.118279569892473
"sch",455,0.128749292586304
"pa_kab",522,0.147707979626486
"ic_mul",590,0.166949632144878
"pa_min",1471,0.416242218449349
"pa_ther",1740,0.492359932088285
"pspv",1918,0.54272778720996
"my_arc",2221,0.628466327108093
"c_b_cys",3027,0.856536502546689
