"","positives","proportion"
"ae_hyd",0,0
"ae_sal",0,0
"ascv",0,0
"aspv",0,0
"Bafini_b",0,0
"cov",0,0
"ctv",0,0
"gy_sal",0,0
"Hantavirus",0,0
"ipnv",0,0
"isav7",0,0
"isav8",0,0
"ku_thy",0,0
"mitov",0,0
"mo_vis",0,0
"my_cer",0,0
"my_ins",0,0
"na_sal",0,0
"ne_per",0,0
"Nido2_a",0,0
"omv",0,0
"ortho",0,0
"Picorna2_virus",0,0
"pisck_sal",0,0
"pmcv",0,0
"re_sal",0,0
"reov",0,0
"Salmovirus",0,0
"sav",0,0
"SGPV",0,0
"sp_sal",0,0
"toti",0,0
"ver",0,0
"vhsv",0,0
"vi_ang",0,0
"vi_sal",0,0
"arena1",1,0.000821018062397373
"cr_sal",1,0.000821018062397373
"fa_mar",1,0.000821018062397373
"nu_sal",1,0.000821018062397373
"Rhabdo3_virus",1,0.000821018062397373
"ye_ruc",1,0.000821018062397373
"prv",2,0.00164203612479475
"ven",2,0.00164203612479475
"pch_sal",3,0.00246305418719212
"sch",4,0.00328407224958949
"te_mar",4,0.00328407224958949
"Circo.virus",5,0.00410509031198686
"ihnv",6,0.00492610837438424
"sp_des",6,0.00492610837438424
"smallUK",8,0.00656814449917898
"pa_pse",10,0.00821018062397373
"lo_sal",13,0.0106732348111658
"pa_kab",16,0.013136288998358
"pa_ther",17,0.0139573070607553
"de_sal",19,0.0155993431855501
"Qin",19,0.0155993431855501
"ic_hof",21,0.0172413793103448
"te_bry",28,0.0229885057471264
"ce_sha",45,0.0369458128078818
"arena2",54,0.0443349753694581
"fl_psy",101,0.0829228243021346
"rlo",101,0.0829228243021346
"pa_min",155,0.127257799671593
"IcD",165,0.135467980295567
"ic_mul",475,0.389983579638752
"pspv",643,0.527914614121511
"my_arc",726,0.596059113300493
"c_b_cys",1046,0.858784893267652
"richness",1167,0.958128078817734
"rib",1167,0.958128078817734
