"","prev_prop_neg"
"arena1",0.5335
"arena2",0.831
"ascv",0.3105
"c_b_cys",0.7625
"ce_sha",0.253
"Circo.virus",0.8055
"cr_sal",0.221
"de_sal",0.485
"fa_mar",0.142
"fl_psy",0.705
"ic_hof",0.47
"ic_mul",0.8255
"IcD",0.382
"ihnv",0.2845
"ku_thy",0.2735
"lo_sal",0.2625
"mo_vis",0.7195
"my_arc",0.619
"nu_sal",0.565
"pa_kab",0.088
"pa_min",0.024
"pa_pse",0.6085
"pa_ther",0.102
"pch_sal",0.6435
"Picorna2_virus",0.3735
"pspv",0.1315
"prv",0.4855
"Qin",0.849
"rlo",0.5495
"re_sal",0.2115
"Rhabdo3_virus",0.466
"sch",0.27
"smallUK",0.319
"sp_des",0.04
"te_bry",0.6485
"te_mar",0.8165
"ven",0.158
"richness",0.983
"rib",0.8075
