"","2.5%","25%","50%","75%","97.5%",""
"b[(Intercept) Stock:Birkenhead]","-0.501876624618604","-0.159244678975581","-0.0404894903570036","0.0102918705202571","0.163185204354099","arena2"
"b[(Intercept) Stock:Bowron]","-0.507370824089801","-0.150487989409152","-0.0388505877986042","0.0103532276220204","0.167597580459592","arena2"
"b[(Intercept) Stock:Chilko]","-0.157434852460788","-0.0069996294024379","0.0446329406537555","0.165996331192993","0.522437679412618","arena2"
"b[(Intercept) Stock:E.Stuart]","-0.298706371008061","-0.0591688938285689","0.00134047815870428","0.0689063746078741","0.347242901624084","arena2"
"b[(Intercept) Stock:Fennell]","-0.5161315568867","-0.160594191425747","-0.0386046484744482","0.00825577044940763","0.17022226750148","arena2"
"b[(Intercept) Stock:Gates]","-0.112530218452208","0.00252099227527524","0.0773288923848413","0.228862961324038","0.656359978240748","arena2"
"b[(Intercept) Stock:Harrison]","-0.207896524200161","-0.0196568595694844","0.028503734880191","0.132144786836027","0.479660539740368","arena2"
"b[(Intercept) Stock:L.Shuswap]","-0.176605026482237","-0.0133218577977722","0.0329900684418486","0.141882745271473","0.495655492246248","arena2"
"b[(Intercept) Stock:L.Stuart]","-0.388916807864301","-0.104422980458383","-0.0129111678766997","0.0322906075350084","0.242329231534108","arena2"
"b[(Intercept) Stock:Nadina]","-0.203770527992655","-0.0207972956363848","0.0254969920086318","0.130421462020763","0.495322907197089","arena2"
"b[(Intercept) Stock:Pitt]","-0.295600105909142","-0.0443512911430651","0.0131953635991596","0.113569033589711","0.420636514073665","arena2"
"b[(Intercept) Stock:Portage]","-0.414797173799517","-0.107390390199335","-0.0163912197051851","0.0318530271262899","0.240415449826959","arena2"
"b[(Intercept) Stock:Quesnel]","-0.419943637937591","-0.116840276979541","-0.0195730756483544","0.0249432563757596","0.208317448114929","arena2"
"b[(Intercept) Stock:Raft]","-0.338277825924625","-0.0711332881657967","-0.00236731616283183","0.056390293453132","0.299688125719003","arena2"
"b[(Intercept) Stock:Scotch]","-0.279733561514107","-0.0430104685459212","0.00634950532661006","0.0796776513017743","0.344703280437683","arena2"
"b[(Intercept) Stock:Seymour]","-0.399884094658985","-0.0975588970951501","-0.0117616040164466","0.0360470920149097","0.243644688249919","arena2"
"b[(Intercept) Stock:Stellako]","-0.362284244402303","-0.0785271060258493","-0.00522215844500545","0.050962269061638","0.282644510432211","arena2"
"b[(Intercept) Stock:Weaver]","-0.405535117539271","-0.0939352747534133","-0.0131187397501372","0.0346790860858209","0.247986744911296","arena2"
"b[(Intercept) Stock:Birkenhead]","-0.585674354617118","-0.191043222975753","-0.0563035359867855","0.00879502420546499","0.173633286494964","c_b_cys"
"b[(Intercept) Stock:Bowron]","-0.547013921507573","-0.178520928508031","-0.0535489505191396","0.0101329675463822","0.173069525531603","c_b_cys"
"b[(Intercept) Stock:Chilko]","-0.192835304502255","-0.0102943021340205","0.0562778137330165","0.192576070068871","0.565318757207476","c_b_cys"
"b[(Intercept) Stock:E.Stuart]","-0.299774351473543","-0.0602023884083657","0.00555206591509354","0.0827897311680687","0.354878957863066","c_b_cys"
"b[(Intercept) Stock:Fennell]","-0.523694220980321","-0.174781016897961","-0.0516754236955445","0.0129090761527029","0.177201499087279","c_b_cys"
"b[(Intercept) Stock:Gates]","-0.126718924199961","0.00439837331091178","0.0926776089831084","0.254036254764917","0.669019707179729","c_b_cys"
"b[(Intercept) Stock:Harrison]","-0.206820401420801","-0.016798490885856","0.0429446810177723","0.169074505469465","0.537905544215694","c_b_cys"
"b[(Intercept) Stock:L.Shuswap]","-0.224163155551205","-0.0140074280512192","0.0474207560070815","0.178208218376572","0.548237991830902","c_b_cys"
"b[(Intercept) Stock:L.Stuart]","-0.411384931216308","-0.118836519858322","-0.0180740126157276","0.0428952926912272","0.275716884424137","c_b_cys"
"b[(Intercept) Stock:Nadina]","-0.201726609967954","-0.0213443755488031","0.0389271583917359","0.158950751160163","0.503465980445852","c_b_cys"
"b[(Intercept) Stock:Pitt]","-0.304757854669957","-0.0611654918614561","0.00554067221899215","0.0926273802679604","0.385959183397156","c_b_cys"
"b[(Intercept) Stock:Portage]","-0.414397453544411","-0.113918594846313","-0.0213908911607697","0.0315365638991666","0.266857962335604","c_b_cys"
"b[(Intercept) Stock:Quesnel]","-0.47342749128948","-0.144283842356702","-0.0326561468441205","0.0277309464982947","0.234299735048287","c_b_cys"
"b[(Intercept) Stock:Raft]","-0.377978990480133","-0.0944048395286355","-0.0103249327497697","0.0529487798659199","0.301506407403885","c_b_cys"
"b[(Intercept) Stock:Scotch]","-0.273218154876299","-0.0514383719102259","0.00916667048796877","0.0986771450746009","0.381393130217619","c_b_cys"
"b[(Intercept) Stock:Seymour]","-0.407540791838951","-0.112392476934026","-0.0163205624050855","0.040936436090982","0.263474528005472","c_b_cys"
"b[(Intercept) Stock:Stellako]","-0.371737346709936","-0.0987157415479632","-0.00833238392702338","0.0559249096331423","0.302943467386911","c_b_cys"
"b[(Intercept) Stock:Weaver]","-0.395281887576835","-0.103371745476832","-0.00930399564068399","0.0532402700324606","0.293944610080373","c_b_cys"
"b[(Intercept) Stock:Birkenhead]","-0.524360989505904","-0.14874611071802","-0.0349340009637199","0.00743320317388546","0.141222084020741","ce_sha"
"b[(Intercept) Stock:Bowron]","-0.460465576256775","-0.12909629406824","-0.0262540772602097","0.011120137425289","0.17069433376509","ce_sha"
"b[(Intercept) Stock:Chilko]","-0.15388610191666","-0.00748613400742909","0.0320049066103519","0.14366102396752","0.498298821711978","ce_sha"
"b[(Intercept) Stock:E.Stuart]","-0.291453667896383","-0.0481220562144171","0.00185316926597234","0.0631924229985523","0.32998625993251","ce_sha"
"b[(Intercept) Stock:Fennell]","-0.462068924729226","-0.127886885300714","-0.02695951253268","0.0117038517889831","0.172354563685843","ce_sha"
"b[(Intercept) Stock:Gates]","-0.12658987501497","-0.00267359957774674","0.0456671977189117","0.190719779459654","0.592771816599063","ce_sha"
"b[(Intercept) Stock:Harrison]","-0.184225941714212","-0.0155234208649926","0.0247273955395033","0.126883776815839","0.442646791296715","ce_sha"
"b[(Intercept) Stock:L.Shuswap]","-0.185630164858278","-0.0167438170153317","0.022463299529345","0.128326808469556","0.469038971498862","ce_sha"
"b[(Intercept) Stock:L.Stuart]","-0.357845880720648","-0.0793837821589839","-0.00967267978942003","0.0334894974506527","0.23519132055231","ce_sha"
"b[(Intercept) Stock:Nadina]","-0.185832744153462","-0.0137020643201472","0.0239639368243631","0.119683211667591","0.461571708276859","ce_sha"
"b[(Intercept) Stock:Pitt]","-0.26421941447914","-0.0477542244182661","0.00230206049302733","0.0608762454325498","0.328074833767663","ce_sha"
"b[(Intercept) Stock:Portage]","-0.399188914554721","-0.0817141212475713","-0.00869735059556942","0.0331653462840328","0.235970778209979","ce_sha"
"b[(Intercept) Stock:Quesnel]","-0.410277216416888","-0.0985242302028101","-0.0136350823297136","0.0269590180291027","0.219658213028982","ce_sha"
"b[(Intercept) Stock:Raft]","-0.351661489603375","-0.0698345950625381","-0.00352475658603865","0.0408963725147799","0.266763330466103","ce_sha"
"b[(Intercept) Stock:Scotch]","-0.26063189575059","-0.0385740116893874","0.00417739213061412","0.07329297742226","0.344161035960387","ce_sha"
