"","2.5%","25%","50%","75%","97.5%",""
"b[(Intercept) Stock:Birkenhead]","-0.716450913398907","-0.284144192249004","-0.083494026126379","0.0694912986338605","0.444334256816315","arena2"
"b[(Intercept) Stock:Bowron]","-2.14329530464648","-1.13533520410663","-0.66225023748916","-0.223682320832973","0.166564543966835","arena2"
"b[(Intercept) Stock:Chilko]","-0.333197781701195","-0.00476036078829298","0.163512399501902","0.363114642779163","0.762334471408101","arena2"
"b[(Intercept) Stock:E.Stuart]","-0.765735182026271","-0.340453014735484","-0.135247574960702","0.0178123820133942","0.354516482919372","arena2"
"b[(Intercept) Stock:Gates]","-0.168957233444718","0.131522386877025","0.431689966880473","0.733965519593602","1.3414514515234","arena2"
"b[(Intercept) Stock:Harrison]","-0.064439479262799","0.213750179980871","0.4622863872188","0.725128074671461","1.23457641828803","arena2"
"b[(Intercept) Stock:L.Shuswap]","-0.558899180358246","-0.170850931356867","-0.0102982896139188","0.149082916454882","0.510502054660708","arena2"
"b[(Intercept) Stock:L.Stuart]","-0.958694356356605","-0.412953413534109","-0.15310868011457","0.0315861415900347","0.434544366635866","arena2"
"b[(Intercept) Stock:Nadina]","-1.01090883502686","-0.44733540159022","-0.186327098250713","0.00458158216370194","0.381627887487468","arena2"
"b[(Intercept) Stock:Pitt]","-0.448898269346757","-0.0579993927309354","0.103739095276749","0.313662688024463","0.745811319690609","arena2"
"b[(Intercept) Stock:Portage]","-1.17487000053866","-0.56867898530718","-0.274303770067767","-0.0291182997272881","0.375140314624849","arena2"
"b[(Intercept) Stock:Quesnel]","-1.32183323430323","-0.776498964244553","-0.492846297507981","-0.208369240090348","0.0975182632863888","arena2"
"b[(Intercept) Stock:Raft]","-0.729372203355673","-0.144673800204942","0.0529660074583466","0.294677081805744","0.862833179568961","arena2"
"b[(Intercept) Stock:Scotch]","-0.599472567971887","-0.185725891749735","0.00285529149921876","0.171987433151323","0.58444176997372","arena2"
"b[(Intercept) Stock:Seymour]","-0.853028505423235","-0.389346566230218","-0.179523713032303","-0.00100727254808472","0.336335461017624","arena2"
"b[(Intercept) Stock:Stellako]","-1.28594840348802","-0.595249975313439","-0.305083848879953","-0.0572062945090419","0.264642032905886","arena2"
"b[(Intercept) Stock:Weaver]","-0.084280989513509","0.232951708392273","0.568089788194738","0.877291646327478","1.55377871301488","arena2"
"b[(Intercept) Stock:Birkenhead]","-0.992062693673883","-0.478258001644365","-0.242327492194386","-0.0453687227407194","0.176991608771098","c_b_cys"
"b[(Intercept) Stock:Bowron]","-1.22103488615291","-0.532254418049906","-0.228170826373551","-0.0221998008415381","0.277175729004991","c_b_cys"
"b[(Intercept) Stock:Chilko]","-0.249046332622072","0.0138376148749675","0.162203266974967","0.36082663271058","0.751107545423504","c_b_cys"
"b[(Intercept) Stock:E.Stuart]","-0.829048522526942","-0.403459715418562","-0.187085202321504","-0.022737572558634","0.205983061235084","c_b_cys"
"b[(Intercept) Stock:Gates]","-0.268105733389235","0.0245075230966797","0.23212077525717","0.521587885952481","1.10454041183668","c_b_cys"
"b[(Intercept) Stock:Harrison]","-0.281689225845562","0.00651802027316037","0.176976290084699","0.409702750666077","0.885099137431039","c_b_cys"
"b[(Intercept) Stock:L.Shuswap]","-0.414478526359824","-0.0890908384001403","0.0297372052729925","0.173405381129877","0.541570542689081","c_b_cys"
"b[(Intercept) Stock:L.Stuart]","-0.779103064943453","-0.331807474751958","-0.126047571305075","0.0106076914480944","0.285111552781469","c_b_cys"
"b[(Intercept) Stock:Nadina]","-0.834179337711717","-0.343634782131468","-0.119611600290719","0.0168554388731452","0.335773126279164","c_b_cys"
"b[(Intercept) Stock:Pitt]","-0.307646743023126","-0.00535421625455018","0.14105163236813","0.371865038855805","0.893979818951712","c_b_cys"
"b[(Intercept) Stock:Portage]","-0.909174839055131","-0.343030074483424","-0.0918798639418628","0.0380956887612857","0.434431311706568","c_b_cys"
"b[(Intercept) Stock:Quesnel]","-1.01177597455129","-0.54136994704211","-0.294355481329886","-0.0912838365279384","0.12019683576205","c_b_cys"
