"","2.5%","25%","50%","75%","97.5%",""
"b[(Intercept) Stock:Birkenhead]","-0.27458754689581","-0.0436596937630803","0.00494842204774983","0.074781488819207","0.40176386585363","arena2"
"b[(Intercept) Stock:Bowron]","-0.343782190613923","-0.0524916263090036","0.00217957904273414","0.0735404912140441","0.427848712254675","arena2"
"b[(Intercept) Stock:Chilko]","-0.34899917735629","-0.0769546115979771","-0.00335265873630327","0.0469065461981887","0.282112242168969","arena2"
"b[(Intercept) Stock:E.Stuart]","-0.219590902868371","-0.0201901356711433","0.0191837014014126","0.110718601200874","0.44310432631758","arena2"
"b[(Intercept) Stock:Gates]","-0.152585587035775","-0.00528017618174483","0.0431679315290916","0.185995733600476","0.612595302868727","arena2"
"b[(Intercept) Stock:Harrison]","-0.338913280955153","-0.0659599101115344","-0.00202204804529715","0.0544020659341812","0.323065282704421","arena2"
"b[(Intercept) Stock:L.Shuswap]","-0.297902090895277","-0.0573402601433154","7.96081104633572e-05","0.0577229823898377","0.314067990214961","arena2"
"b[(Intercept) Stock:L.Stuart]","-0.460801681504177","-0.0977169211796847","-0.011265734226955","0.0306088722253879","0.255817827366615","arena2"
"b[(Intercept) Stock:Nadina]","-0.507080540143026","-0.113841273059512","-0.0162935156279866","0.0250536311508577","0.236400109597985","arena2"
"b[(Intercept) Stock:Pitt]","-0.177461507661173","-0.0102071809422416","0.0318839427139525","0.15966669218378","0.546114629251498","arena2"
"b[(Intercept) Stock:Portage]","-0.529427628108642","-0.092111190343874","-0.00964089607953338","0.0361580468274201","0.306844576888484","arena2"
"b[(Intercept) Stock:Quesnel]","-0.587008845838805","-0.170867747560835","-0.0389832818035843","0.00531628681794022","0.146823186923026","arena2"
"b[(Intercept) Stock:Raft]","-0.425794586874029","-0.0824758153837347","-0.00484067435207927","0.0424985390179771","0.30340648132604","arena2"
"b[(Intercept) Stock:Scotch]","-0.402853745364169","-0.0838358867855202","-0.00525424484693818","0.0410568669395157","0.283376655382863","arena2"
"b[(Intercept) Stock:Seymour]","-0.439356167909801","-0.0943670630582813","-0.0121634547279998","0.0279746294104402","0.229930671889405","arena2"
"b[(Intercept) Stock:Stellako]","-0.633632360216994","-0.175978183809334","-0.0353778839704783","0.0101070106112645","0.168902290837849","arena2"
"b[(Intercept) Stock:Weaver]","-0.159561526134409","-0.00400110483019248","0.042454196919812","0.187223852766067","0.676380194641717","arena2"
"b[(Intercept) Stock:Birkenhead]","-0.29904983453623","-0.0721370055396603","-0.0098125115892727","0.0174207457288015","0.15985581615136","c_b_cys"
"b[(Intercept) Stock:Bowron]","-0.266175155470747","-0.0407643543926759","-0.000559061301122647","0.0384957790981976","0.272718719827527","c_b_cys"
"b[(Intercept) Stock:Chilko]","-0.239477458907156","-0.0391117392098187","0.000217391592443759","0.0355524881618134","0.231080279930766","c_b_cys"
"b[(Intercept) Stock:E.Stuart]","-0.116365459989111","-0.00870876209694276","0.0166579306870293","0.0949079033510946","0.423958532048472","c_b_cys"
"b[(Intercept) Stock:Gates]","-0.144216590111491","-0.011559741931733","0.0144561758309614","0.0883299272993612","0.395797247077002","c_b_cys"
"b[(Intercept) Stock:Harrison]","-0.235967871833764","-0.0409140849761067","-0.000229523643000196","0.0347834487678932","0.229384046781413","c_b_cys"
"b[(Intercept) Stock:L.Shuswap]","-0.210847612171312","-0.0275510229192394","0.00231641135648774","0.0467963456563877","0.272851533603777","c_b_cys"
