"","2.5%","25%","50%","75%","97.5%",""
"b[(Intercept) Stock:Birkenhead]","-0.219352423495718","-0.0216751051149985","0.0192625366498989","0.107546959892295","0.466553294210987","arena1"
"b[(Intercept) Stock:Chilko]","-0.354937627403813","-0.0813786954449079","-0.00747677123751917","0.0354491011810005","0.274346382284989","arena1"
"b[(Intercept) Stock:E.Stuart]","-0.386831544245517","-0.0660640236421412","-0.00182449733735348","0.050822986976594","0.309796517095673","arena1"
"b[(Intercept) Stock:Gates]","-0.240981495623514","-0.0261956488963148","0.0157507269605201","0.105265977215074","0.494666290858717","arena1"
"b[(Intercept) Stock:Harrison]","-0.393362724989669","-0.074544706346735","-0.00603386112795077","0.0389138730587377","0.278000529225382","arena1"
"b[(Intercept) Stock:L.Shuswap]","-0.317911958269348","-0.0475344323187613","0.00259994604546394","0.0656701915836402","0.337105153347865","arena1"
"b[(Intercept) Stock:L.Stuart]","-0.41726053392297","-0.0811959713084313","-0.00676972007572029","0.037366874966911","0.289350069866089","arena1"
"b[(Intercept) Stock:Nadina]","-0.415265835759443","-0.0713424564948796","-0.00121018086281821","0.0502265762989193","0.345704718082525","arena1"
"b[(Intercept) Stock:Pitt]","-0.254799571712169","-0.0347152711888912","0.0108743134643005","0.0822993687588247","0.415380373981603","arena1"
"b[(Intercept) Stock:Quesnel]","-0.572810928646161","-0.128091383272453","-0.0207826651259065","0.0179284516588529","0.229180428029601","arena1"
"b[(Intercept) Stock:Scotch]","-0.37507766432396","-0.0599505447647606","0.00061086304320951","0.0615995535305016","0.362360897166635","arena1"
"b[(Intercept) Stock:Seymour]","-0.438085405311401","-0.0921861285913085","-0.00969071263995339","0.0320666456122822","0.267750242485521","arena1"
"b[(Intercept) Stock:Stellako]","-0.527585984255651","-0.105866041938745","-0.0121481484280705","0.0293896384106534","0.251018464262632","arena1"
"b[(Intercept) Stock:Weaver]","-0.277152263278633","-0.0381611849584039","0.0060882968570375","0.0829317603662758","0.450769427586707","arena1"
"b[(Intercept) Stock:Birkenhead]","-0.196277637833489","-0.023626864569781","0.00368333402820922","0.0540862960761087","0.306962160868061","arena2"
"b[(Intercept) Stock:Chilko]","-0.213366659285046","-0.0308167500550091","0.00119117316793988","0.0434570041262669","0.262822474049591","arena2"
"b[(Intercept) Stock:E.Stuart]","-0.279570435531283","-0.0440609919195465","-0.00109762762196151","0.0309518042306629","0.221874115484959","arena2"
"b[(Intercept) Stock:Gates]","-0.214906281521823","-0.024174156099692","0.00426566393212238","0.057783924117197","0.348713663236945","arena2"
"b[(Intercept) Stock:Harrison]","-0.330055921232812","-0.0455635619084126","-0.00130811235650572","0.0315639302641885","0.223674879749213","arena2"
"b[(Intercept) Stock:L.Shuswap]","-0.319130983226089","-0.0558698673115254","-0.00470652209853392","0.0239776938856679","0.183176441546245","arena2"
"b[(Intercept) Stock:L.Stuart]","-0.305315982509122","-0.0478246797288579","-0.00163937864994953","0.0309231432564867","0.240255974432721","arena2"
"b[(Intercept) Stock:Nadina]","-0.302716649082753","-0.0466383941295679","-0.00197227114938458","0.0290929059938136","0.240729526321186","arena2"
"b[(Intercept) Stock:Pitt]","-0.145103927642503","-0.0117821892529215","0.01204776519447","0.0847717365090654","0.439041420137184","arena2"
"b[(Intercept) Stock:Quesnel]","-0.36294558186134","-0.0737560514160344","-0.00941396315905024","0.0152349259485769","0.161368898397999","arena2"
"b[(Intercept) Stock:Scotch]","-0.277417546147569","-0.0385643945526378","-3.28396522275204e-05","0.0397847788239342","0.244107525680588","arena2"
"b[(Intercept) Stock:Seymour]","-0.308779444415436","-0.0501698034866085","-0.00314588796179523","0.0265350755880723","0.213342695236756","arena2"
"b[(Intercept) Stock:Stellako]","-0.347816432989074","-0.059113554125224","-0.00542298786924922","0.0200312494049268","0.184327214694044","arena2"
"b[(Intercept) Stock:Weaver]","-0.232719013803807","-0.0288132441307927","0.00165712039569198","0.0502049837359934","0.350124402857911","arena2"
"b[(Intercept) Stock:Birkenhead]","-0.276359973792058","-0.0356624225284572","0.0054424543859609","0.0749573439368513","0.401635584116155","ascv"
"b[(Intercept) Stock:Chilko]","-0.403152144230387","-0.0905657489726519","-0.0131249207253669","0.0221621650373978","0.197321673991138","ascv"
"b[(Intercept) Stock:E.Stuart]","-0.390092535453335","-0.0612409567818256","-0.00111770587864869","0.0521310234078646","0.307229140761744","ascv"
"b[(Intercept) Stock:Gates]","-0.233652266756389","-0.0223882702565087","0.0146897943438169","0.102976693664775","0.482306467295416","ascv"
"b[(Intercept) Stock:Harrison]","-0.386757549585224","-0.0669673036758236","-0.00413635779624397","0.0409839229734059","0.283757115872246","ascv"
"b[(Intercept) Stock:L.Shuswap]","-0.270077295098684","-0.0394020662081903","0.00437243731347319","0.0747688513084297","0.368835960289273","ascv"
"b[(Intercept) Stock:L.Stuart]","-0.42656901842862","-0.0750744771215242","-0.00523809913408009","0.0373441764766706","0.282356834808031","ascv"
"b[(Intercept) Stock:Nadina]","-0.371990603331683","-0.0629586234746953","-0.00263211051201751","0.0437826727312017","0.313332567356468","ascv"
"b[(Intercept) Stock:Pitt]","-0.224246196700574","-0.024931553329719","0.0130439394597531","0.101420613612049","0.450305374414197","ascv"
"b[(Intercept) Stock:Quesnel]","-0.523826762719722","-0.117598313145219","-0.021351135744353","0.0157152835630564","0.197241101344187","ascv"
"b[(Intercept) Stock:Scotch]","-0.357740683279999","-0.0539213771456857","0.000501526098923681","0.0620562772578262","0.36768720579232","ascv"
"b[(Intercept) Stock:Seymour]","-0.407182405928277","-0.0770207660230102","-0.00551264525051184","0.0361833256243704","0.286009082129427","ascv"
"b[(Intercept) Stock:Stellako]","-0.517669784905592","-0.0925014337330629","-0.0126050914227891","0.0258738426790292","0.221175090621031","ascv"
"b[(Intercept) Stock:Weaver]","-0.332986164871304","-0.0376538309618241","0.00614390905599422","0.0770543110236794","0.487179058474098","ascv"
"b[(Intercept) Stock:Birkenhead]","-0.194276097079699","-0.022953457733497","0.00401692649162327","0.0484593998672353","0.283984485828836","c_b_cys"
"b[(Intercept) Stock:Bowron]","-0.268706869342883","-0.0392785559481128","-0.000784093102188488","0.0325943573870875","0.247675232194779","c_b_cys"
"b[(Intercept) Stock:Chilko]","-0.274393890999117","-0.039386977073144","8.26163943318077e-05","0.0367252530723754","0.22515691665487","c_b_cys"
"b[(Intercept) Stock:E.Stuart]","-0.214552022335565","-0.0258772217831704","0.00357882935813568","0.0508417206895142","0.273708147095093","c_b_cys"
"b[(Intercept) Stock:Gates]","-0.191222592380731","-0.0249806369566966","0.00550883982465276","0.0601641194512519","0.346144107399341","c_b_cys"
"b[(Intercept) Stock:Harrison]","-0.20956892099192","-0.0335019201628717","0.000276567988992349","0.0359751067637983","0.2535838707957","c_b_cys"
"b[(Intercept) Stock:L.Shuswap]","-0.294345425801413","-0.0527399585236479","-0.00257889968838578","0.0282240222919986","0.217085096921138","c_b_cys"
"b[(Intercept) Stock:L.Stuart]","-0.301981689900307","-0.0477178990911377","-0.00248096960021874","0.026002540428634","0.197284766677392","c_b_cys"
"b[(Intercept) Stock:Nadina]","-0.297749974580185","-0.0513135209952205","-0.00404220836441148","0.024195290343087","0.205638609670737","c_b_cys"
"b[(Intercept) Stock:Pitt]","-0.156612519118477","-0.0156421432197357","0.0109278155569836","0.0783714513279023","0.399757302314668","c_b_cys"
"b[(Intercept) Stock:Quesnel]","-0.38588433944334","-0.0709870209310622","-0.0100085241928137","0.0139637861714468","0.154570769889949","c_b_cys"
"b[(Intercept) Stock:Raft]","-0.316657570090386","-0.0509397894403194","-0.00284045009288921","0.0240625290374585","0.228488800495423","c_b_cys"
"b[(Intercept) Stock:Scotch]","-0.319120784297748","-0.0483290621215642","-0.00214082986446315","0.0301572425528999","0.207879690975828","c_b_cys"
"b[(Intercept) Stock:Seymour]","-0.248535074299029","-0.0481153208698792","-0.00242803620909418","0.028383302535137","0.194756949526724","c_b_cys"
"b[(Intercept) Stock:Stellako]","-0.343412763332819","-0.0546378681750034","-0.00407043326871944","0.0243706636148516","0.199297200182381","c_b_cys"
"b[(Intercept) Stock:Weaver]","-0.236765372411396","-0.0325641080518741","0.00186536440202419","0.0491818200600284","0.311292989799694","c_b_cys"
"b[(Intercept) Stock:Birkenhead]","-0.221201024732093","-0.0293524154722133","0.0164304574399342","0.105846352049121","0.415312592083894","ce_sha"
"b[(Intercept) Stock:Bowron]","-0.358191348181627","-0.0651285750596061","-0.000673923501275664","0.058117660251633","0.342931494706522","ce_sha"
"b[(Intercept) Stock:Chilko]","-0.27490253891043","-0.0522823071725299","0.00239057471520037","0.0646824008692971","0.288410694988396","ce_sha"
"b[(Intercept) Stock:E.Stuart]","-0.265190324347146","-0.0350504314193495","0.0105694085059449","0.0950639209807643","0.398837613018483","ce_sha"
"b[(Intercept) Stock:Gates]","-0.225952657647844","-0.0227727364514878","0.0211804395649819","0.107620348582824","0.431270174391554","ce_sha"
"b[(Intercept) Stock:Harrison]","-0.286506180732883","-0.0432598094817494","0.00482432932545663","0.0721588656356213","0.34173078506452","ce_sha"
"b[(Intercept) Stock:L.Shuswap]","-0.488180736728621","-0.142494366277466","-0.0351428918938179","0.0108553532748102","0.170919808034963","ce_sha"
"b[(Intercept) Stock:L.Stuart]","-0.398718368190134","-0.0864879473908916","-0.00693479782742195","0.0450437469583983","0.291233787573807","ce_sha"
