"","2.5%","25%","50%","75%","97.5%",""
"b[(Intercept) Stock:Birkenhead]","-0.528053709840556","-0.146271065859289","-0.0129868629216829","0.0941741679013026","0.479263784359129","arena2"
"b[(Intercept) Stock:Bowron]","-0.611694520340005","-0.123712156871546","0.00746098826563303","0.181393813558343","0.73118188042003","arena2"
"b[(Intercept) Stock:Chilko]","-0.277549203625329","-0.0101158727673175","0.0869154138701718","0.263220480505172","0.652797654325494","arena2"
"b[(Intercept) Stock:E.Stuart]","-0.603390871685905","-0.214981579825246","-0.0485471236900043","0.0378778915246536","0.360015752990479","arena2"
"b[(Intercept) Stock:Gates]","-0.0596085369344249","0.100575230153848","0.398578537006064","0.696484947157905","1.243846648103","arena2"
"b[(Intercept) Stock:Harrison]","-0.470865048068898","-0.0945465701167373","0.00749119184162381","0.147707745029456","0.568463289490558","arena2"
"b[(Intercept) Stock:L.Shuswap]","-0.259138162322784","-0.0126544407487448","0.0846715242258654","0.247515736644221","0.592608647885868","arena2"
"b[(Intercept) Stock:L.Stuart]","-0.785009193903201","-0.293709501868317","-0.0795848488464944","0.019626050784909","0.329820645858586","arena2"
"b[(Intercept) Stock:Nadina]","-0.584170761143763","-0.157759238220277","-0.0115528171262102","0.0967559804258215","0.516053573398217","arena2"
"b[(Intercept) Stock:Pitt]","-0.340327129426188","-0.0272980306420363","0.0646857749521903","0.264096498082937","0.706459673910114","arena2"
"b[(Intercept) Stock:Portage]","-0.886447363442745","-0.334530619867549","-0.0996399204519534","0.0144965500509444","0.326080025371683","arena2"
"b[(Intercept) Stock:Quesnel]","-0.999649820225212","-0.506142655371842","-0.237102161101259","-0.0355318162279005","0.140993866169553","arena2"
"b[(Intercept) Stock:Raft]","-0.471079256365625","-0.0822795868102883","0.0212744135858075","0.202743028776209","0.757725985206543","arena2"
"b[(Intercept) Stock:Scotch]","-0.60800848372352","-0.213977710561559","-0.0417503193520811","0.0442823836910075","0.336342047026316","arena2"
"b[(Intercept) Stock:Seymour]","-0.827373792199885","-0.346618880378713","-0.11891076483837","0.000842329773294448","0.234296028500665","arena2"
"b[(Intercept) Stock:Stellako]","-0.95668655190618","-0.389427876714822","-0.141733575337545","0.000127438517897645","0.265295183769224","arena2"
"b[(Intercept) Stock:Weaver]","-0.206684264129195","0.0106279323167737","0.196948521328959","0.475873903269319","1.05361824295404","arena2"
