"","V1","V2","V3"
"(Intercept)","1.00068820181721","arena2","Rhat"
"sst_anom","1.00235780544261","arena2","Rhat"
"prev_std","1.00091246355689","arena2","Rhat"
"b[(Intercept) Stock:Birkenhead]","1.00000749022892","arena2","Rhat"
"b[prev_std Stock:Birkenhead]","0.999677885058162","arena2","Rhat"
"b[(Intercept) Stock:Bowron]","0.999635741020782","arena2","Rhat"
"b[prev_std Stock:Bowron]","0.999586977282527","arena2","Rhat"
"b[(Intercept) Stock:Chilko]","1.00033499825038","arena2","Rhat"
"b[prev_std Stock:Chilko]","0.999978147443422","arena2","Rhat"
"b[(Intercept) Stock:E.Stuart]","0.999689245713707","arena2","Rhat"
"b[prev_std Stock:E.Stuart]","0.999708711683136","arena2","Rhat"
"b[(Intercept) Stock:Fennell]","0.999607333021038","arena2","Rhat"
"b[prev_std Stock:Fennell]","0.999790563911845","arena2","Rhat"
"b[(Intercept) Stock:Gates]","1.0021452395332","arena2","Rhat"
"b[prev_std Stock:Gates]","1.00039567086493","arena2","Rhat"
"b[(Intercept) Stock:Harrison]","1.00025807405159","arena2","Rhat"
"b[prev_std Stock:Harrison]","0.9994363645809","arena2","Rhat"
"b[(Intercept) Stock:L.Shuswap]","1.00057587213512","arena2","Rhat"
"b[prev_std Stock:L.Shuswap]","0.999322388355949","arena2","Rhat"
"b[(Intercept) Stock:L.Stuart]","0.999160777904746","arena2","Rhat"
"b[prev_std Stock:L.Stuart]","0.999533257318313","arena2","Rhat"
"b[(Intercept) Stock:Nadina]","0.999918095393399","arena2","Rhat"
"b[prev_std Stock:Nadina]","0.999469091414787","arena2","Rhat"
"b[(Intercept) Stock:Pitt]","1.00114815569782","arena2","Rhat"
"b[prev_std Stock:Pitt]","1.00066081277083","arena2","Rhat"
"b[(Intercept) Stock:Portage]","0.999574750229627","arena2","Rhat"
"b[prev_std Stock:Portage]","1.00019132445247","arena2","Rhat"
"b[(Intercept) Stock:Quesnel]","0.99980691911392","arena2","Rhat"
"b[prev_std Stock:Quesnel]","1.00014133128733","arena2","Rhat"
"b[(Intercept) Stock:Raft]","0.999458914598853","arena2","Rhat"
"b[prev_std Stock:Raft]","0.999603397039169","arena2","Rhat"
"b[(Intercept) Stock:Scotch]","0.999581680116883","arena2","Rhat"
"b[prev_std Stock:Scotch]","0.999643901981797","arena2","Rhat"
"b[(Intercept) Stock:Seymour]","0.999870763489304","arena2","Rhat"
"b[prev_std Stock:Seymour]","1.00017584554792","arena2","Rhat"
"b[(Intercept) Stock:Stellako]","0.999800344572134","arena2","Rhat"
"b[prev_std Stock:Stellako]","0.99971431632473","arena2","Rhat"
"b[(Intercept) Stock:Weaver]","0.999409735681504","arena2","Rhat"
"b[prev_std Stock:Weaver]","1.00027376253231","arena2","Rhat"
"b[(Intercept) Year:2009]","1.00167591335627","arena2","Rhat"
"b[(Intercept) Year:2010]","1.00006102861583","arena2","Rhat"
"b[(Intercept) Year:2011]","1.0002362840915","arena2","Rhat"
"b[(Intercept) Year:2012]","1.00116604307579","arena2","Rhat"
"b[(Intercept) Year:2013]","1.00082128305844","arena2","Rhat"
"b[(Intercept) Year:2014]","1.0011793057341","arena2","Rhat"
"b[(Intercept) Year:2015]","1.00211427385157","arena2","Rhat"
"b[(Intercept) Year:2016]","0.999916164169716","arena2","Rhat"
"sigma","1.00065255450611","arena2","Rhat"
"Sigma[Stock:(Intercept),(Intercept)]","1.00060869790699","arena2","Rhat"
"Sigma[Stock:prev_std,(Intercept)]","1.00112134266213","arena2","Rhat"
"Sigma[Stock:prev_std,prev_std]","1.00054682997053","arena2","Rhat"
"Sigma[Year:(Intercept),(Intercept)]","1.00252090358691","arena2","Rhat"
"(Intercept)","1.00009303698754","c_b_cys","Rhat"
"sst_anom","1.00182149055887","c_b_cys","Rhat"
"prev_std","0.999639199753823","c_b_cys","Rhat"
"b[(Intercept) Stock:Birkenhead]","1.00054069443275","c_b_cys","Rhat"
"b[prev_std Stock:Birkenhead]","1.00149500197834","c_b_cys","Rhat"
"b[(Intercept) Stock:Bowron]","1.00095062365453","c_b_cys","Rhat"
"b[prev_std Stock:Bowron]","0.999943254689975","c_b_cys","Rhat"
"b[(Intercept) Stock:Chilko]","1.00245999589887","c_b_cys","Rhat"
"b[prev_std Stock:Chilko]","1.0004104697874","c_b_cys","Rhat"
"b[(Intercept) Stock:E.Stuart]","0.999805771627906","c_b_cys","Rhat"
"b[prev_std Stock:E.Stuart]","0.999880085615469","c_b_cys","Rhat"
"b[(Intercept) Stock:Fennell]","1.00006812226836","c_b_cys","Rhat"
"b[prev_std Stock:Fennell]","0.999778127472098","c_b_cys","Rhat"
"b[(Intercept) Stock:Gates]","1.00193241934069","c_b_cys","Rhat"
"b[prev_std Stock:Gates]","0.999515256785231","c_b_cys","Rhat"
"b[(Intercept) Stock:Harrison]","1.00068888964335","c_b_cys","Rhat"
"b[prev_std Stock:Harrison]","0.999667825205138","c_b_cys","Rhat"
"b[(Intercept) Stock:L.Shuswap]","0.999679156213471","c_b_cys","Rhat"
