"","V1","V2","V3"
"prev_std","1.0001070581769","arena2","Rhat"
"b[(Intercept) Stock:Birkenhead]","0.999760440140183","arena2","Rhat"
"b[prev_std Stock:Birkenhead]","1.00185315069699","arena2","Rhat"
"b[(Intercept) Stock:Bowron]","1.00195667385288","arena2","Rhat"
"b[prev_std Stock:Bowron]","1.00215629720418","arena2","Rhat"
"b[(Intercept) Stock:Chilko]","1.00042266973863","arena2","Rhat"
"b[prev_std Stock:Chilko]","1.00116953480003","arena2","Rhat"
"b[(Intercept) Stock:E.Stuart]","1.00082168925799","arena2","Rhat"
"b[prev_std Stock:E.Stuart]","0.999666754222033","arena2","Rhat"
"b[(Intercept) Stock:Gates]","1.00333838498718","arena2","Rhat"
"b[prev_std Stock:Gates]","1.0000629144929","arena2","Rhat"
"b[(Intercept) Stock:Harrison]","1.00273009708723","arena2","Rhat"
"b[prev_std Stock:Harrison]","1.00147489086877","arena2","Rhat"
"b[(Intercept) Stock:L.Shuswap]","0.99971304156539","arena2","Rhat"
"b[prev_std Stock:L.Shuswap]","1.00026834727783","arena2","Rhat"
"b[(Intercept) Stock:L.Stuart]","0.99952001265771","arena2","Rhat"
"b[prev_std Stock:L.Stuart]","0.999554047336642","arena2","Rhat"
"b[(Intercept) Stock:Nadina]","1.00083937293677","arena2","Rhat"
"b[prev_std Stock:Nadina]","1.0021469189925","arena2","Rhat"
"b[(Intercept) Stock:Pitt]","1.00035553679504","arena2","Rhat"
"b[prev_std Stock:Pitt]","1.00062835906672","arena2","Rhat"
"b[(Intercept) Stock:Portage]","1.00249899000131","arena2","Rhat"
"b[prev_std Stock:Portage]","1.00023472657373","arena2","Rhat"
"b[(Intercept) Stock:Quesnel]","1.00257429080219","arena2","Rhat"
"b[prev_std Stock:Quesnel]","1.00032450410488","arena2","Rhat"
"b[(Intercept) Stock:Raft]","1.00078594738356","arena2","Rhat"
"b[prev_std Stock:Raft]","1.00227679983784","arena2","Rhat"
"b[(Intercept) Stock:Scotch]","0.999803407114701","arena2","Rhat"
"b[prev_std Stock:Scotch]","0.999554423575721","arena2","Rhat"
"b[(Intercept) Stock:Seymour]","1.0012453367867","arena2","Rhat"
"b[prev_std Stock:Seymour]","0.999890024710752","arena2","Rhat"
"b[(Intercept) Stock:Stellako]","1.00154476186002","arena2","Rhat"
"b[prev_std Stock:Stellako]","1.00073425689691","arena2","Rhat"
"b[(Intercept) Stock:Weaver]","1.0050314364142","arena2","Rhat"
"b[prev_std Stock:Weaver]","1.00121555158911","arena2","Rhat"
"b[(Intercept) Year:2008]","0.999907381766575","arena2","Rhat"
"b[(Intercept) Year:2009]","1.00039282218852","arena2","Rhat"
"b[(Intercept) Year:2010]","0.999525921008644","arena2","Rhat"
"b[(Intercept) Year:2011]","1.00004906421538","arena2","Rhat"
"b[(Intercept) Year:2012]","0.999992379803569","arena2","Rhat"
"b[(Intercept) Year:2013]","0.999813012972497","arena2","Rhat"
"b[(Intercept) Year:2014]","1.00196315473686","arena2","Rhat"
"b[(Intercept) Year:2015]","1.00176635611737","arena2","Rhat"
"b[(Intercept) Year:2016]","1.00048796770895","arena2","Rhat"
"b[(Intercept) Year:2017]","1.00052625983701","arena2","Rhat"
"sigma","1.00435402900992","arena2","Rhat"
"Sigma[Stock:(Intercept),(Intercept)]","1.00309122413676","arena2","Rhat"
"Sigma[Stock:prev_std,(Intercept)]","1.00141317701256","arena2","Rhat"
"Sigma[Stock:prev_std,prev_std]","1.00300849060479","arena2","Rhat"
"Sigma[Year:(Intercept),(Intercept)]","1.00203985173038","arena2","Rhat"
"prev_std","1.00106923588615","c_b_cys","Rhat"
"b[(Intercept) Stock:Birkenhead]","1.00009778726985","c_b_cys","Rhat"
"b[prev_std Stock:Birkenhead]","0.999867235222305","c_b_cys","Rhat"
"b[(Intercept) Stock:Bowron]","1.00096019915787","c_b_cys","Rhat"
"b[prev_std Stock:Bowron]","0.99977378695275","c_b_cys","Rhat"
"b[(Intercept) Stock:Chilko]","1.00224979048663","c_b_cys","Rhat"
"b[prev_std Stock:Chilko]","1.00179592040432","c_b_cys","Rhat"
"b[(Intercept) Stock:E.Stuart]","1.00005485486646","c_b_cys","Rhat"
"b[prev_std Stock:E.Stuart]","1.0003740932622","c_b_cys","Rhat"
"b[(Intercept) Stock:Gates]","0.999948417084248","c_b_cys","Rhat"
"b[prev_std Stock:Gates]","1.00027296643321","c_b_cys","Rhat"
"b[(Intercept) Stock:Harrison]","1.00090700937595","c_b_cys","Rhat"
"b[prev_std Stock:Harrison]","1.00109543165184","c_b_cys","Rhat"
"b[(Intercept) Stock:L.Shuswap]","0.999322066928571","c_b_cys","Rhat"
