"","V1","V2","V3"
"prev_std","1.00118524779451","arena2","Rhat"
"b[(Intercept) Stock:Birkenhead]","0.999641780224321","arena2","Rhat"
"b[prev_std Stock:Birkenhead]","1.00003402793268","arena2","Rhat"
"b[(Intercept) Stock:Bowron]","0.999749136866851","arena2","Rhat"
"b[prev_std Stock:Bowron]","0.999977515714375","arena2","Rhat"
"b[(Intercept) Stock:Chilko]","0.999874763276222","arena2","Rhat"
"b[prev_std Stock:Chilko]","0.999335287418761","arena2","Rhat"
"b[(Intercept) Stock:E.Stuart]","0.999993753524011","arena2","Rhat"
"b[prev_std Stock:E.Stuart]","1.00164750723575","arena2","Rhat"
"b[(Intercept) Stock:Gates]","1.00094162772848","arena2","Rhat"
"b[prev_std Stock:Gates]","1.00055324628614","arena2","Rhat"
"b[(Intercept) Stock:Harrison]","1.00068768383104","arena2","Rhat"
"b[prev_std Stock:Harrison]","1.00031797452331","arena2","Rhat"
"b[(Intercept) Stock:L.Shuswap]","1.00005189961846","arena2","Rhat"
"b[prev_std Stock:L.Shuswap]","0.999450676891477","arena2","Rhat"
"b[(Intercept) Stock:L.Stuart]","1.00183686141692","arena2","Rhat"
"b[prev_std Stock:L.Stuart]","1.00105988880991","arena2","Rhat"
"b[(Intercept) Stock:Nadina]","1.00206554378808","arena2","Rhat"
"b[prev_std Stock:Nadina]","0.999592331558606","arena2","Rhat"
"b[(Intercept) Stock:Pitt]","1.00053437495075","arena2","Rhat"
"b[prev_std Stock:Pitt]","0.999778916920311","arena2","Rhat"
"b[(Intercept) Stock:Portage]","1.00123655300997","arena2","Rhat"
"b[prev_std Stock:Portage]","1.0018110916528","arena2","Rhat"
"b[(Intercept) Stock:Quesnel]","1.00113963100217","arena2","Rhat"
"b[prev_std Stock:Quesnel]","1.00047804940291","arena2","Rhat"
"b[(Intercept) Stock:Raft]","1.00083313126458","arena2","Rhat"
"b[prev_std Stock:Raft]","1.00096084153627","arena2","Rhat"
"b[(Intercept) Stock:Scotch]","1.00049699150705","arena2","Rhat"
"b[prev_std Stock:Scotch]","1.00306613064276","arena2","Rhat"
"b[(Intercept) Stock:Seymour]","1.00043726488264","arena2","Rhat"
"b[prev_std Stock:Seymour]","1.00415170800813","arena2","Rhat"
"b[(Intercept) Stock:Stellako]","1.0012152545603","arena2","Rhat"
"b[prev_std Stock:Stellako]","1.00103095366067","arena2","Rhat"
"b[(Intercept) Stock:Weaver]","1.0007302392735","arena2","Rhat"
"b[prev_std Stock:Weaver]","1.00007424002595","arena2","Rhat"
"b[(Intercept) Year:2008]","0.999880698558029","arena2","Rhat"
"b[(Intercept) Year:2009]","1.00026592174838","arena2","Rhat"
"b[(Intercept) Year:2010]","0.999544975709934","arena2","Rhat"
"b[(Intercept) Year:2011]","0.999167332460894","arena2","Rhat"
"b[(Intercept) Year:2012]","0.999645136414945","arena2","Rhat"
"b[(Intercept) Year:2013]","0.999826206195673","arena2","Rhat"
"b[(Intercept) Year:2014]","1.00046577744378","arena2","Rhat"
"b[(Intercept) Year:2015]","1.00043892560416","arena2","Rhat"
"b[(Intercept) Year:2016]","0.999922835573737","arena2","Rhat"
"b[(Intercept) Year:2017]","0.999677189238232","arena2","Rhat"
"b[(Intercept) Year:2018]","0.999541249285333","arena2","Rhat"
"sigma","1.00046088101086","arena2","Rhat"
"Sigma[Stock:(Intercept),(Intercept)]","1.00293080962061","arena2","Rhat"
"Sigma[Stock:prev_std,(Intercept)]","1.00049301181143","arena2","Rhat"
"Sigma[Stock:prev_std,prev_std]","1.00275929657925","arena2","Rhat"
"prev_std","1.00016943809538","c_b_cys","Rhat"
"b[(Intercept) Stock:Birkenhead]","1.00004304861958","c_b_cys","Rhat"
"b[prev_std Stock:Birkenhead]","0.999884196937428","c_b_cys","Rhat"
"b[(Intercept) Stock:Bowron]","0.999330321401018","c_b_cys","Rhat"
"b[prev_std Stock:Bowron]","0.999499361368588","c_b_cys","Rhat"
"b[(Intercept) Stock:Chilko]","1.00185688637088","c_b_cys","Rhat"
"b[prev_std Stock:Chilko]","1.00034078747616","c_b_cys","Rhat"
"b[(Intercept) Stock:E.Stuart]","0.999600605844635","c_b_cys","Rhat"
"b[prev_std Stock:E.Stuart]","0.999502401376908","c_b_cys","Rhat"
"b[(Intercept) Stock:Gates]","1.0006849954954","c_b_cys","Rhat"
"b[prev_std Stock:Gates]","1.00005675636598","c_b_cys","Rhat"
"b[(Intercept) Stock:Harrison]","1.00167994168385","c_b_cys","Rhat"
"b[prev_std Stock:Harrison]","1.00030526231858","c_b_cys","Rhat"
"b[(Intercept) Stock:L.Shuswap]","1.00061631314775","c_b_cys","Rhat"
"b[prev_std Stock:L.Shuswap]","1.00033129944664","c_b_cys","Rhat"
"b[(Intercept) Stock:L.Stuart]","1.00006233684102","c_b_cys","Rhat"
"b[prev_std Stock:L.Stuart]","0.999600045965123","c_b_cys","Rhat"
"b[(Intercept) Stock:Nadina]","0.999298924996075","c_b_cys","Rhat"
"b[prev_std Stock:Nadina]","0.999692104129171","c_b_cys","Rhat"
"b[(Intercept) Stock:Pitt]","1.00015055737002","c_b_cys","Rhat"
"b[prev_std Stock:Pitt]","1.00071158340941","c_b_cys","Rhat"
"b[(Intercept) Stock:Portage]","0.99906495534923","c_b_cys","Rhat"
"b[prev_std Stock:Portage]","1.00017610423026","c_b_cys","Rhat"
"b[(Intercept) Stock:Quesnel]","0.999818254508013","c_b_cys","Rhat"
"b[prev_std Stock:Quesnel]","0.99992385585371","c_b_cys","Rhat"
"b[(Intercept) Stock:Raft]","1.00021972748645","c_b_cys","Rhat"
"b[prev_std Stock:Raft]","0.999656131057577","c_b_cys","Rhat"
"b[(Intercept) Stock:Scotch]","1.00022077249327","c_b_cys","Rhat"
"b[prev_std Stock:Scotch]","1.00002611230491","c_b_cys","Rhat"
"b[(Intercept) Stock:Seymour]","0.999396456825163","c_b_cys","Rhat"
"b[prev_std Stock:Seymour]","0.999638083345435","c_b_cys","Rhat"
"b[(Intercept) Stock:Stellako]","1.00017336941647","c_b_cys","Rhat"
"b[prev_std Stock:Stellako]","0.999988539071538","c_b_cys","Rhat"
"b[(Intercept) Stock:Weaver]","0.999960591374737","c_b_cys","Rhat"
"b[prev_std Stock:Weaver]","1.00103584093834","c_b_cys","Rhat"
"b[(Intercept) Year:2008]","0.999708623396865","c_b_cys","Rhat"
"b[(Intercept) Year:2009]","1.00065451844631","c_b_cys","Rhat"
"b[(Intercept) Year:2010]","1.0022591952583","c_b_cys","Rhat"
"b[(Intercept) Year:2011]","0.999332659608095","c_b_cys","Rhat"
"b[(Intercept) Year:2012]","1.00001703341525","c_b_cys","Rhat"
"b[(Intercept) Year:2013]","1.00010804631265","c_b_cys","Rhat"
"b[(Intercept) Year:2014]","0.99997677554053","c_b_cys","Rhat"
"b[(Intercept) Year:2015]","1.0007487728257","c_b_cys","Rhat"
"b[(Intercept) Year:2016]","0.999901976969346","c_b_cys","Rhat"
"b[(Intercept) Year:2017]","0.999971325435753","c_b_cys","Rhat"
"b[(Intercept) Year:2018]","0.999700691530366","c_b_cys","Rhat"
"sigma","1.0003233736985","c_b_cys","Rhat"
"Sigma[Stock:(Intercept),(Intercept)]","0.999846414840011","c_b_cys","Rhat"
"Sigma[Stock:prev_std,(Intercept)]","0.999844506236637","c_b_cys","Rhat"
"Sigma[Stock:prev_std,prev_std]","1.00036403416413","c_b_cys","Rhat"
"prev_std","0.999585291834766","ce_sha","Rhat"
"b[(Intercept) Stock:Birkenhead]","0.999486675423211","ce_sha","Rhat"
"b[prev_std Stock:Birkenhead]","0.999688312024335","ce_sha","Rhat"
"b[(Intercept) Stock:Bowron]","0.999318318301345","ce_sha","Rhat"
"b[prev_std Stock:Bowron]","0.999174709561513","ce_sha","Rhat"
"b[(Intercept) Stock:Chilko]","0.999350016045213","ce_sha","Rhat"
"b[prev_std Stock:Chilko]","1.00003915039936","ce_sha","Rhat"
"b[(Intercept) Stock:E.Stuart]","0.999571273741643","ce_sha","Rhat"
"b[prev_std Stock:E.Stuart]","0.999509038628916","ce_sha","Rhat"
"b[(Intercept) Stock:Gates]","0.999644654289404","ce_sha","Rhat"
"b[prev_std Stock:Gates]","0.99965571339535","ce_sha","Rhat"
"b[(Intercept) Stock:Harrison]","1.0006417780419","ce_sha","Rhat"
"b[prev_std Stock:Harrison]","1.00025608423818","ce_sha","Rhat"
"b[(Intercept) Stock:L.Shuswap]","0.999119872346152","ce_sha","Rhat"
"b[prev_std Stock:L.Shuswap]","0.999499295592805","ce_sha","Rhat"
"b[(Intercept) Stock:L.Stuart]","1.00045561707793","ce_sha","Rhat"
"b[prev_std Stock:L.Stuart]","0.999620892933524","ce_sha","Rhat"
"b[(Intercept) Stock:Nadina]","1.00014482116011","ce_sha","Rhat"
"b[prev_std Stock:Nadina]","0.999336466367047","ce_sha","Rhat"
"b[(Intercept) Stock:Pitt]","0.999479191141719","ce_sha","Rhat"
"b[prev_std Stock:Pitt]","0.999863873318232","ce_sha","Rhat"
"b[(Intercept) Stock:Portage]","1.00012699173645","ce_sha","Rhat"
"b[prev_std Stock:Portage]","1.00109423122579","ce_sha","Rhat"
"b[(Intercept) Stock:Quesnel]","1.00030470137388","ce_sha","Rhat"
"b[prev_std Stock:Quesnel]","0.999789205924011","ce_sha","Rhat"
"b[(Intercept) Stock:Raft]","0.99945457382473","ce_sha","Rhat"
"b[prev_std Stock:Raft]","0.999713511875582","ce_sha","Rhat"
"b[(Intercept) Stock:Scotch]","0.999828008167422","ce_sha","Rhat"
"b[prev_std Stock:Scotch]","1.00114212011801","ce_sha","Rhat"
"b[(Intercept) Stock:Seymour]","0.999704915102401","ce_sha","Rhat"
"b[prev_std Stock:Seymour]","1.00085756181315","ce_sha","Rhat"
"b[(Intercept) Stock:Stellako]","1.00015599334819","ce_sha","Rhat"
"b[prev_std Stock:Stellako]","0.999781770822899","ce_sha","Rhat"
"b[(Intercept) Stock:Weaver]","0.999533846912001","ce_sha","Rhat"
"b[prev_std Stock:Weaver]","0.999623960357505","ce_sha","Rhat"
"b[(Intercept) Year:2008]","0.999377219933833","ce_sha","Rhat"
"b[(Intercept) Year:2009]","0.999595256741125","ce_sha","Rhat"
"b[(Intercept) Year:2010]","0.999549354510365","ce_sha","Rhat"
"b[(Intercept) Year:2011]","0.999175683282459","ce_sha","Rhat"
"b[(Intercept) Year:2012]","0.999950451504063","ce_sha","Rhat"
"b[(Intercept) Year:2013]","0.999949505869355","ce_sha","Rhat"
"b[(Intercept) Year:2014]","0.999789248629384","ce_sha","Rhat"
"b[(Intercept) Year:2015]","0.999760011166486","ce_sha","Rhat"
"b[(Intercept) Year:2016]","0.999671920031538","ce_sha","Rhat"
"b[(Intercept) Year:2017]","0.999898558116604","ce_sha","Rhat"
"b[(Intercept) Year:2018]","0.99946481220521","ce_sha","Rhat"
"sigma","1.00003329222164","ce_sha","Rhat"
"Sigma[Stock:(Intercept),(Intercept)]","0.999986103860377","ce_sha","Rhat"
"Sigma[Stock:prev_std,(Intercept)]","1.00027282484241","ce_sha","Rhat"
"Sigma[Stock:prev_std,prev_std]","1.00017825251519","ce_sha","Rhat"
"prev_std","0.999679363969339","de_sal","Rhat"
"b[(Intercept) Stock:Birkenhead]","1.00079795177229","de_sal","Rhat"
"b[prev_std Stock:Birkenhead]","0.999711452250928","de_sal","Rhat"
"b[(Intercept) Stock:Bowron]","0.999279817408355","de_sal","Rhat"
