"","V1","V2","V3"
"prev_std","1.00037255164773","arena2","Rhat"
"b[(Intercept) Stock:Birkenhead]","1.00090647813012","arena2","Rhat"
"b[prev_std Stock:Birkenhead]","1.00020751663045","arena2","Rhat"
"b[(Intercept) Stock:Chilko]","0.999613619625901","arena2","Rhat"
"b[prev_std Stock:Chilko]","0.999250757955406","arena2","Rhat"
"b[(Intercept) Stock:E.Stuart]","0.999376364625743","arena2","Rhat"
"b[prev_std Stock:E.Stuart]","0.999955440165516","arena2","Rhat"
"b[(Intercept) Stock:Gates]","1.00080398087232","arena2","Rhat"
"b[prev_std Stock:Gates]","0.999735420644289","arena2","Rhat"
"b[(Intercept) Stock:Harrison]","0.999531008665528","arena2","Rhat"
"b[prev_std Stock:Harrison]","1.00010873100584","arena2","Rhat"
"b[(Intercept) Stock:L.Shuswap]","0.999623370356037","arena2","Rhat"
"b[prev_std Stock:L.Shuswap]","0.999466272077198","arena2","Rhat"
"b[(Intercept) Stock:L.Stuart]","1.00067050958167","arena2","Rhat"
"b[prev_std Stock:L.Stuart]","1.00035175635214","arena2","Rhat"
"b[(Intercept) Stock:Nadina]","0.999706759512779","arena2","Rhat"
"b[prev_std Stock:Nadina]","0.999473144520224","arena2","Rhat"
"b[(Intercept) Stock:Pitt]","1.00011884470314","arena2","Rhat"
"b[prev_std Stock:Pitt]","0.999711066498039","arena2","Rhat"
"b[(Intercept) Stock:Quesnel]","0.999753453480282","arena2","Rhat"
"b[prev_std Stock:Quesnel]","1.00042262356008","arena2","Rhat"
"b[(Intercept) Stock:Scotch]","0.999594533733962","arena2","Rhat"
"b[prev_std Stock:Scotch]","1.00045962545777","arena2","Rhat"
"b[(Intercept) Stock:Seymour]","0.999785674802278","arena2","Rhat"
"b[prev_std Stock:Seymour]","1.00081345263137","arena2","Rhat"
"b[(Intercept) Stock:Stellako]","1.0003360357606","arena2","Rhat"
"b[prev_std Stock:Stellako]","1.00017565198833","arena2","Rhat"
"b[(Intercept) Stock:Weaver]","0.999271092203775","arena2","Rhat"
"b[prev_std Stock:Weaver]","0.999895569057859","arena2","Rhat"
"b[(Intercept) Year:2008]","0.999227805307637","arena2","Rhat"
"b[(Intercept) Year:2009]","0.999659778543248","arena2","Rhat"
"b[(Intercept) Year:2010]","1.00017846827354","arena2","Rhat"
"b[(Intercept) Year:2011]","0.999960261661999","arena2","Rhat"
"b[(Intercept) Year:2013]","0.999445845866823","arena2","Rhat"
"b[(Intercept) Year:2014]","0.999754646268723","arena2","Rhat"
"b[(Intercept) Year:2015]","1.0010965859238","arena2","Rhat"
"b[(Intercept) Year:2016]","1.00006711659872","arena2","Rhat"
"b[(Intercept) Year:2017]","1.00026743996391","arena2","Rhat"
"b[(Intercept) Year:2018]","1.0011586619199","arena2","Rhat"
"sigma","1.00086751201013","arena2","Rhat"
"Sigma[Stock:(Intercept),(Intercept)]","1.00028367788736","arena2","Rhat"
"Sigma[Stock:prev_std,(Intercept)]","1.00082675312228","arena2","Rhat"
"Sigma[Stock:prev_std,prev_std]","1.0003958645024","arena2","Rhat"
"Sigma[Year:(Intercept),(Intercept)]","1.00022190570756","arena2","Rhat"
"mean_PPD","1.0001122520162","arena2","Rhat"
"log-posterior","1.00498406987124","arena2","Rhat"
"prev_std","1.00000968597461","c_b_cys","Rhat"
"b[(Intercept) Stock:Birkenhead]","1.0004568484104","c_b_cys","Rhat"
"b[prev_std Stock:Birkenhead]","0.999564050242745","c_b_cys","Rhat"
"b[(Intercept) Stock:Bowron]","0.999793824682603","c_b_cys","Rhat"
"b[prev_std Stock:Bowron]","1.00069371834793","c_b_cys","Rhat"
"b[(Intercept) Stock:Chilko]","0.999804220106146","c_b_cys","Rhat"
"b[prev_std Stock:Chilko]","1.00010934198881","c_b_cys","Rhat"
"b[(Intercept) Stock:E.Stuart]","0.999787231423909","c_b_cys","Rhat"
"b[prev_std Stock:E.Stuart]","1.00160757564437","c_b_cys","Rhat"
"b[(Intercept) Stock:Gates]","1.00045652605383","c_b_cys","Rhat"
"b[prev_std Stock:Gates]","1.00036257064574","c_b_cys","Rhat"
"b[(Intercept) Stock:Harrison]","1.00078108923964","c_b_cys","Rhat"
"b[prev_std Stock:Harrison]","0.999501629681831","c_b_cys","Rhat"
"b[(Intercept) Stock:L.Shuswap]","0.999246091868231","c_b_cys","Rhat"
"b[prev_std Stock:L.Shuswap]","1.0008888722445","c_b_cys","Rhat"
"b[(Intercept) Stock:L.Stuart]","1.0000654991887","c_b_cys","Rhat"
"b[prev_std Stock:L.Stuart]","1.00059204028786","c_b_cys","Rhat"
"b[(Intercept) Stock:Nadina]","0.999585804787959","c_b_cys","Rhat"
"b[prev_std Stock:Nadina]","1.00003370978967","c_b_cys","Rhat"
"b[(Intercept) Stock:Pitt]","0.999856265451468","c_b_cys","Rhat"
"b[prev_std Stock:Pitt]","1.00046917915758","c_b_cys","Rhat"
"b[(Intercept) Stock:Quesnel]","0.999809745192177","c_b_cys","Rhat"
"b[prev_std Stock:Quesnel]","1.00131939536747","c_b_cys","Rhat"
"b[(Intercept) Stock:Raft]","1.00063089350329","c_b_cys","Rhat"
"b[prev_std Stock:Raft]","1.00025843270572","c_b_cys","Rhat"
"b[(Intercept) Stock:Scotch]","0.999533005178512","c_b_cys","Rhat"
"b[prev_std Stock:Scotch]","1.00001530166838","c_b_cys","Rhat"
"b[(Intercept) Stock:Seymour]","1.00042354579419","c_b_cys","Rhat"
"b[prev_std Stock:Seymour]","1.00028719687828","c_b_cys","Rhat"
"b[(Intercept) Stock:Stellako]","0.999501982298044","c_b_cys","Rhat"
"b[prev_std Stock:Stellako]","1.00035498350857","c_b_cys","Rhat"
"b[(Intercept) Stock:Weaver]","1.00017999118488","c_b_cys","Rhat"
"b[prev_std Stock:Weaver]","0.999771505109232","c_b_cys","Rhat"
"b[(Intercept) Year:2008]","0.999595248815811","c_b_cys","Rhat"
"b[(Intercept) Year:2009]","1.00024046311481","c_b_cys","Rhat"
"b[(Intercept) Year:2010]","0.999329846284694","c_b_cys","Rhat"
"b[(Intercept) Year:2011]","1.00007726162213","c_b_cys","Rhat"
"b[(Intercept) Year:2012]","1.00005883983321","c_b_cys","Rhat"
"b[(Intercept) Year:2013]","0.999388663159704","c_b_cys","Rhat"
"b[(Intercept) Year:2014]","0.999468345178018","c_b_cys","Rhat"
"b[(Intercept) Year:2015]","0.999603490672161","c_b_cys","Rhat"
"b[(Intercept) Year:2016]","1.0000678436143","c_b_cys","Rhat"
"b[(Intercept) Year:2017]","1.00025426801567","c_b_cys","Rhat"
"b[(Intercept) Year:2018]","1.00229993513055","c_b_cys","Rhat"
"sigma","1.00013881115561","c_b_cys","Rhat"
"Sigma[Stock:(Intercept),(Intercept)]","1.00008966331838","c_b_cys","Rhat"
"Sigma[Stock:prev_std,(Intercept)]","1.00035091967065","c_b_cys","Rhat"
"Sigma[Stock:prev_std,prev_std]","1.00044077897036","c_b_cys","Rhat"
"Sigma[Year:(Intercept),(Intercept)]","1.00365385288988","c_b_cys","Rhat"
"mean_PPD","0.999569468968215","c_b_cys","Rhat"
"log-posterior","1.00120372422812","c_b_cys","Rhat"
"prev_std","0.999910334819903","ce_sha","Rhat"
"b[(Intercept) Stock:Birkenhead]","1.00124095270082","ce_sha","Rhat"
"b[prev_std Stock:Birkenhead]","0.99989570399594","ce_sha","Rhat"
"b[(Intercept) Stock:Bowron]","0.999727626776156","ce_sha","Rhat"
"b[prev_std Stock:Bowron]","0.999668438730814","ce_sha","Rhat"
"b[(Intercept) Stock:Chilko]","0.999899831657245","ce_sha","Rhat"
"b[prev_std Stock:Chilko]","1.00005384955133","ce_sha","Rhat"
