"","V1","V2","V3"
"prev_std","1.00051048303642","arena2","Rhat"
"sst_anom","1.00331485053653","arena2","Rhat"
"b[(Intercept) Stock:Birkenhead]","0.999294448167748","arena2","Rhat"
"b[prev_std Stock:Birkenhead]","0.999615195044965","arena2","Rhat"
"b[(Intercept) Stock:Bowron]","1.00046676964369","arena2","Rhat"
"b[prev_std Stock:Bowron]","1.00069404342531","arena2","Rhat"
"b[(Intercept) Stock:Chilko]","0.999500859419306","arena2","Rhat"
"b[prev_std Stock:Chilko]","0.999430863873525","arena2","Rhat"
"b[(Intercept) Stock:E.Stuart]","0.999287456976244","arena2","Rhat"
"b[prev_std Stock:E.Stuart]","1.00110264011372","arena2","Rhat"
"b[(Intercept) Stock:Gates]","1.00166523575407","arena2","Rhat"
"b[prev_std Stock:Gates]","1.00060563875774","arena2","Rhat"
"b[(Intercept) Stock:Harrison]","0.999950899797631","arena2","Rhat"
"b[prev_std Stock:Harrison]","1.0003799972246","arena2","Rhat"
"b[(Intercept) Stock:L.Shuswap]","0.999746970004414","arena2","Rhat"
"b[prev_std Stock:L.Shuswap]","1.0004007792674","arena2","Rhat"
"b[(Intercept) Stock:L.Stuart]","1.00052082823618","arena2","Rhat"
"b[prev_std Stock:L.Stuart]","1.00022436355925","arena2","Rhat"
"b[(Intercept) Stock:Nadina]","0.999362167180079","arena2","Rhat"
"b[prev_std Stock:Nadina]","0.999472994899174","arena2","Rhat"
"b[(Intercept) Stock:Pitt]","1.00031102533349","arena2","Rhat"
"b[prev_std Stock:Pitt]","0.999333608073191","arena2","Rhat"
"b[(Intercept) Stock:Portage]","0.999795393207754","arena2","Rhat"
"b[prev_std Stock:Portage]","0.99956604197768","arena2","Rhat"
"b[(Intercept) Stock:Quesnel]","1.0015074532135","arena2","Rhat"
"b[prev_std Stock:Quesnel]","1.00099199599353","arena2","Rhat"
"b[(Intercept) Stock:Raft]","0.999198794729175","arena2","Rhat"
"b[prev_std Stock:Raft]","0.999573249783084","arena2","Rhat"
"b[(Intercept) Stock:Scotch]","0.999534405643624","arena2","Rhat"
"b[prev_std Stock:Scotch]","0.999594232841492","arena2","Rhat"
"b[(Intercept) Stock:Seymour]","1.00008090507037","arena2","Rhat"
"b[prev_std Stock:Seymour]","0.999436516028586","arena2","Rhat"
"b[(Intercept) Stock:Stellako]","1.00194869266998","arena2","Rhat"
"b[prev_std Stock:Stellako]","0.999477184210888","arena2","Rhat"
"b[(Intercept) Stock:Weaver]","0.999821670929119","arena2","Rhat"
"b[prev_std Stock:Weaver]","1.00008007720389","arena2","Rhat"
"b[(Intercept) Year:2009]","1.00356589379443","arena2","Rhat"
"b[(Intercept) Year:2010]","1.00196953122479","arena2","Rhat"
"b[(Intercept) Year:2011]","1.0003912972679","arena2","Rhat"
"b[(Intercept) Year:2012]","0.999400134878312","arena2","Rhat"
"b[(Intercept) Year:2013]","1.00051261029209","arena2","Rhat"
"b[(Intercept) Year:2014]","1.00153455502489","arena2","Rhat"
"b[(Intercept) Year:2015]","1.00156659226646","arena2","Rhat"
"b[(Intercept) Year:2016]","1.00413011139049","arena2","Rhat"
"sigma","1.00184508365959","arena2","Rhat"
"Sigma[Stock:(Intercept),(Intercept)]","1.00034600662467","arena2","Rhat"
"Sigma[Stock:prev_std,(Intercept)]","0.999957116281044","arena2","Rhat"
"Sigma[Stock:prev_std,prev_std]","0.999316316677776","arena2","Rhat"
"Sigma[Year:(Intercept),(Intercept)]","1.00079790714795","arena2","Rhat"
"mean_PPD","1.00071492886924","arena2","Rhat"
"prev_std","1.00025917203351","c_b_cys","Rhat"
"sst_anom","0.999352404183304","c_b_cys","Rhat"
"b[(Intercept) Stock:Birkenhead]","0.999910581742352","c_b_cys","Rhat"
"b[prev_std Stock:Birkenhead]","0.999504711273827","c_b_cys","Rhat"
"b[(Intercept) Stock:Bowron]","1.00022771209546","c_b_cys","Rhat"
"b[prev_std Stock:Bowron]","1.00017807975682","c_b_cys","Rhat"
"b[(Intercept) Stock:Chilko]","1.00017655121621","c_b_cys","Rhat"
"b[prev_std Stock:Chilko]","0.999476123011329","c_b_cys","Rhat"
"b[(Intercept) Stock:E.Stuart]","0.999518900468639","c_b_cys","Rhat"
"b[prev_std Stock:E.Stuart]","1.00002734595815","c_b_cys","Rhat"
"b[(Intercept) Stock:Gates]","1.00215017545585","c_b_cys","Rhat"
"b[prev_std Stock:Gates]","1.00059630404396","c_b_cys","Rhat"
"b[(Intercept) Stock:Harrison]","0.999852283549724","c_b_cys","Rhat"
"b[prev_std Stock:Harrison]","0.999741905058704","c_b_cys","Rhat"
"b[(Intercept) Stock:L.Shuswap]","0.999335986050597","c_b_cys","Rhat"
"b[prev_std Stock:L.Shuswap]","0.999790389572549","c_b_cys","Rhat"
"b[(Intercept) Stock:L.Stuart]","0.99972818116696","c_b_cys","Rhat"
"b[prev_std Stock:L.Stuart]","0.999816566695724","c_b_cys","Rhat"
"b[(Intercept) Stock:Nadina]","1.0000499599697","c_b_cys","Rhat"
"b[prev_std Stock:Nadina]","1.00048470801031","c_b_cys","Rhat"
"b[(Intercept) Stock:Pitt]","1.00003477030138","c_b_cys","Rhat"
"b[prev_std Stock:Pitt]","1.00045404449651","c_b_cys","Rhat"
"b[(Intercept) Stock:Portage]","0.999810118671564","c_b_cys","Rhat"
"b[prev_std Stock:Portage]","0.999734097374024","c_b_cys","Rhat"
"b[(Intercept) Stock:Quesnel]","1.00051659201106","c_b_cys","Rhat"
"b[prev_std Stock:Quesnel]","0.999695115190744","c_b_cys","Rhat"
"b[(Intercept) Stock:Raft]","0.999325731565247","c_b_cys","Rhat"
"b[prev_std Stock:Raft]","0.999249937894185","c_b_cys","Rhat"
"b[(Intercept) Stock:Scotch]","0.999704886384602","c_b_cys","Rhat"
"b[prev_std Stock:Scotch]","0.99963836768224","c_b_cys","Rhat"
"b[(Intercept) Stock:Seymour]","1.0004559524816","c_b_cys","Rhat"
"b[prev_std Stock:Seymour]","0.999315474354656","c_b_cys","Rhat"
"b[(Intercept) Stock:Stellako]","0.999621317473443","c_b_cys","Rhat"
"b[prev_std Stock:Stellako]","0.999866274196714","c_b_cys","Rhat"
"b[(Intercept) Stock:Weaver]","1.00035235096068","c_b_cys","Rhat"
"b[prev_std Stock:Weaver]","0.999720029332667","c_b_cys","Rhat"
"b[(Intercept) Year:2009]","0.999856801200177","c_b_cys","Rhat"
"b[(Intercept) Year:2010]","0.999382354778365","c_b_cys","Rhat"
"b[(Intercept) Year:2011]","0.999293715412193","c_b_cys","Rhat"
"b[(Intercept) Year:2012]","0.999821273740622","c_b_cys","Rhat"
"b[(Intercept) Year:2013]","1.0000750173717","c_b_cys","Rhat"
"b[(Intercept) Year:2014]","0.999138529745813","c_b_cys","Rhat"
"b[(Intercept) Year:2015]","0.999466637597128","c_b_cys","Rhat"
"b[(Intercept) Year:2016]","0.99976905330109","c_b_cys","Rhat"
"sigma","1.00018182777495","c_b_cys","Rhat"
"Sigma[Stock:(Intercept),(Intercept)]","1.00147105601002","c_b_cys","Rhat"
"Sigma[Stock:prev_std,(Intercept)]","1.00086864161445","c_b_cys","Rhat"
"Sigma[Stock:prev_std,prev_std]","1.00080061063227","c_b_cys","Rhat"
"Sigma[Year:(Intercept),(Intercept)]","1.00131061711658","c_b_cys","Rhat"
