"","2.5%","25%","50%","75%","97.5%",""
"b[(Intercept) Year:2009]","-1.20806989680333","-0.54420868616104","-0.256637708631337","-0.0240616701471294","0.429502239520197","pa_ther"
"b[(Intercept) Year:2010]","-0.261370341710821","0.0965603320057376","0.298064543633358","0.520748644411449","0.959550582138345","pa_ther"
"b[(Intercept) Year:2011]","-0.664800787922606","-0.267780125134752","-0.0826195188021571","0.0798312307932281","0.422293977780356","pa_ther"
"b[(Intercept) Year:2012]","-0.612717800587301","-0.163363554159776","0.02467935977744","0.242274612671549","0.678007094216946","pa_ther"
"b[(Intercept) Year:2013]","-1.30100083376016","-0.904679851930448","-0.703745191175335","-0.496080442857332","-0.0659727644216098","pa_ther"
"b[(Intercept) Year:2014]","-0.738150594537591","-0.353851723963988","-0.169897144630863","-0.00140461740917076","0.303584523831844","pa_ther"
"b[(Intercept) Year:2015]","-1.05746200170197","-0.41009565715344","-0.126415275196504","0.106658108564155","0.698788003853467","pa_ther"
"b[(Intercept) Year:2016]","-0.334252584467137","0.112894306798362","0.392110798687704","0.738630558120411","1.62751299917609","pa_ther"
"b[(Intercept) Year:2010]","-0.466125303465757","-0.143080009025584","0.0120475234110976","0.175540911236061","0.48259479540413","pa_min"
"b[(Intercept) Year:2011]","-0.471764873778665","-0.127699487575788","0.0467265392130764","0.237521941411762","0.617665021263193","pa_min"
"b[(Intercept) Year:2012]","-0.037770172053125","0.253608598675278","0.418569194878974","0.573370724538753","0.897215980672513","pa_min"
"b[(Intercept) Year:2013]","-0.879298278904715","-0.555334421926747","-0.389414175782396","-0.225940760268991","0.052525601363467","pa_min"
"b[(Intercept) Year:2014]","-1.19184915910823","-0.71064207091946","-0.470148453915809","-0.240581500800783","0.13955115382783","pa_min"
"b[(Intercept) Year:2015]","-1.25881197845832","-0.579950144837502","-0.299673800962485","-0.0354923844550617","0.562330760029527","pa_min"
"b[(Intercept) Year:2016]","-0.0872145263575416","0.405378435719685","0.712982701361236","1.05057060347804","1.91336430394932","pa_min"
"b[(Intercept) Year:2009]","-1.42307552539898","-0.847375755761882","-0.571652559803301","-0.320971381104193","0.153957988567636","my_arc"
"b[(Intercept) Year:2010]","0.094366385151837","0.395133007170897","0.575573048793563","0.75180510622691","1.0798846110375","my_arc"
"b[(Intercept) Year:2011]","-0.456984378021652","-0.162589333224911","-0.0110319132412021","0.139049753063919","0.45001267208576","my_arc"
"b[(Intercept) Year:2012]","-0.253403965232238","0.169433065206677","0.390582402701178","0.618793564567819","1.09680591174074","my_arc"
"b[(Intercept) Year:2013]","-1.00143731439337","-0.680066065479895","-0.516002380194871","-0.351453113463404","-0.0446902527508966","my_arc"
"b[(Intercept) Year:2014]","-0.463850309807849","-0.0631294061930093","0.129211013913804","0.339558480987651","0.807269160273405","my_arc"
"b[(Intercept) Year:2015]","-1.37540309059341","-0.810015227664811","-0.504415221677741","-0.183937613801069","0.552623628995522","my_arc"
"b[(Intercept) Year:2016]","-0.103351065281376","0.474514836248635","0.798316548165713","1.16475559945974","2.16782534659296","my_arc"
"b[(Intercept) Year:2009]","-0.882828488946326","-0.377254066813273","-0.1228801441299","0.110788199763361","0.569013163155451","c_b_cys"
"b[(Intercept) Year:2010]","-0.807695375764799","-0.230253567139563","0.0284237148373219","0.285816619686265","0.853982947892175","c_b_cys"
"b[(Intercept) Year:2011]","-0.650490890419286","-0.334305255822506","-0.177252175618741","-0.0200173966190455","0.281434350062234","c_b_cys"
"b[(Intercept) Year:2012]","-0.180744385870025","0.144608907658274","0.325234385529368","0.499885851498886","0.881093056166431","c_b_cys"
"b[(Intercept) Year:2013]","-0.941691981076234","-0.590938450218785","-0.42091861749079","-0.257160146038802","0.0717696536761452","c_b_cys"
"b[(Intercept) Year:2014]","-1.12216372485877","-0.743928844373202","-0.5650011490123","-0.386120205957263","-0.048815156011898","c_b_cys"
"b[(Intercept) Year:2015]","-1.43410627407573","-0.832339416108148","-0.553467352897097","-0.288693530669446","0.241199735951598","c_b_cys"
"b[(Intercept) Year:2016]","-0.00181769233086867","0.53412362328947","0.82906161131278","1.13037203207479","1.8878235922006","c_b_cys"
"b[(Intercept) Year:2009]","-1.34257897330628","-0.69770903795747","-0.362788468708798","-0.0699403905169245","0.487656300427362","pspv"
"b[(Intercept) Year:2010]","-0.299102528236713","0.114401772791125","0.328193432471588","0.548582463041991","0.993291474704591","pspv"
"b[(Intercept) Year:2011]","-0.413560010936927","0.0163326226290811","0.220689351503269","0.435559205709509","0.859897232879963","pspv"
"b[(Intercept) Year:2012]","-0.135678901465256","0.296690937952773","0.531893975176319","0.772238301299531","1.23329018713529","pspv"
"b[(Intercept) Year:2013]","-0.900520728016723","-0.494519281820851","-0.301087647210266","-0.119723607568205","0.252514450503633","pspv"
"b[(Intercept) Year:2014]","-1.15304837110655","-0.752449308113897","-0.55775155416912","-0.357328655570113","0.00329891383821272","pspv"
"b[(Intercept) Year:2015]","-1.69754635677507","-0.96909642999539","-0.659081343492336","-0.355289632163969","0.199377458925641","pspv"
"b[(Intercept) Year:2016]","-0.133248542235159","0.453386393285195","0.771968565812832","1.1191167355502","1.8693385083962","pspv"
"b[(Intercept) Year:2009]","-1.34163385243392","-0.500881970699467","-0.183946375668416","0.107577536086019","0.761946920682426","pa_kab"
"b[(Intercept) Year:2010]","-0.0541810564639281","0.288099600540961","0.488448238631493","0.698587506188282","1.10573250414312","pa_kab"
"b[(Intercept) Year:2011]","-0.499250649752526","-0.113387668403771","0.0735873744999919","0.267020536432645","0.651591582254562","pa_kab"
"b[(Intercept) Year:2012]","-0.550259881814893","-0.159939154144757","0.0425591441862166","0.238312110415409","0.645760654855036","pa_kab"
"b[(Intercept) Year:2013]","-0.996201187878922","-0.649238914713337","-0.470518040701362","-0.299080493386124","0.0185966383510192","pa_kab"
"b[(Intercept) Year:2014]","-0.835862364372622","-0.412953577881269","-0.22103406267678","-0.0418535115818105","0.297774515085559","pa_kab"
"b[(Intercept) Year:2015]","-1.36667134734411","-0.6880737773645","-0.382943270178877","-0.0966543288386369","0.513723803915471","pa_kab"
"b[(Intercept) Year:2016]","-0.115320423520726","0.406835834290067","0.744378627577126","1.08781673195477","1.97869110399243","pa_kab"
"b[(Intercept) Year:2009]","-0.954446733767061","-0.313783425315368","-0.0186029040425953","0.292204184415453","0.960376736477984","sch"
"b[(Intercept) Year:2010]","-0.0283638917759865","0.373606383655038","0.584028156064623","0.828743356598823","1.28432830461164","sch"
"b[(Intercept) Year:2011]","-0.564378492968794","-0.212694997004573","-0.0421473076700121","0.13841456953952","0.476464280897177","sch"
"b[(Intercept) Year:2012]","-0.300757720024237","0.0390653376699457","0.222773567544304","0.408369293886742","0.777969439992725","sch"
"b[(Intercept) Year:2013]","-1.13702449922725","-0.714949569156691","-0.50246474600276","-0.302894272549314","0.0577046769202452","sch"
"b[(Intercept) Year:2014]","-0.703872377655939","-0.303394960946111","-0.115172346282393","0.0787749898327587","0.449556699799109","sch"
"b[(Intercept) Year:2015]","-1.38792084851553","-0.744483419746262","-0.468204398006666","-0.192620403259566","0.397056947341672","sch"
"b[(Intercept) Year:2016]","-0.17139371321996","0.397141251238062","0.693003882863922","1.02040931446271","1.75696233373679","sch"
"b[(Intercept) Year:2009]","-1.26866561294101","-0.801963201535695","-0.56835714512278","-0.349470004788028","0.0664059838279067","pa_pse"
"b[(Intercept) Year:2010]","0.035505611900724","0.380738848362638","0.563559947857265","0.747520400556085","1.08981790527974","pa_pse"
"b[(Intercept) Year:2011]","-0.575247475744862","-0.257628396968099","-0.10221045673237","0.0658089603278315","0.382632679673901","pa_pse"
"b[(Intercept) Year:2012]","-0.386138702651853","-0.0841690038984392","0.0737193143860285","0.228743618135736","0.538799875335442","pa_pse"
"b[(Intercept) Year:2013]","-1.05196514809635","-0.731320334399974","-0.565175981518576","-0.40660649768849","-0.0939288254545246","pa_pse"
"b[(Intercept) Year:2014]","-0.717779911214597","-0.37240118891881","-0.188761366092034","-0.00461915382087092","0.329611887943325","pa_pse"
"b[(Intercept) Year:2015]","-1.53328143792312","-0.918528976811078","-0.654082290358523","-0.395591051806181","0.121084639617625","pa_pse"
"b[(Intercept) Year:2016]","-0.259218642983283","0.285281087999951","0.5453119606695","0.834269802274519","1.4568140204448","pa_pse"
"b[(Intercept) Year:2009]","-0.981723539214917","-0.506386973037207","-0.272284759853515","-0.0461027356918084","0.411175344685854","ven"
"b[(Intercept) Year:2010]","-0.263087273231029","0.0431393897858902","0.201358338791246","0.367364640210539","0.679937007885017","ven"
"b[(Intercept) Year:2011]","-0.492349668313639","-0.171566920677493","-0.014357829507612","0.155791332158989","0.467628387377075","ven"
"b[(Intercept) Year:2012]","-0.198458506258878","0.147621780697965","0.317000389959245","0.491230519084574","0.870471059815835","ven"
"b[(Intercept) Year:2013]","-1.03706928732155","-0.649409011996717","-0.453988264575793","-0.272678758180419","0.0495314696970811","ven"
"b[(Intercept) Year:2014]","-1.22547620916404","-0.834000252727095","-0.61272192890589","-0.405503739781934","-0.0242700053112692","ven"
"b[(Intercept) Year:2015]","-1.57100953011628","-0.870178095551564","-0.568691232887439","-0.296798286637155","0.262223885331817","ven"
"b[(Intercept) Year:2016]","-0.156385012085444","0.453159205527487","0.780415106844675","1.10079732408141","1.92235208636628","ven"
"b[(Intercept) Year:2009]","-0.747754200330027","-0.208263473618487","0.052166800058854","0.317970886057368","0.886331773769989","ce_sha"
"b[(Intercept) Year:2010]","-0.261986376124561","0.0284083129591071","0.182907345365974","0.328845601426548","0.617614474322829","ce_sha"
"b[(Intercept) Year:2011]","-0.614750056484986","-0.234478279740264","-0.0489177113161962","0.12979417460184","0.478988150173254","ce_sha"
"b[(Intercept) Year:2012]","-0.426927318361471","-0.0869422265828883","0.0948232009778839","0.270084766503827","0.630736245503556","ce_sha"
"b[(Intercept) Year:2013]","-0.986936839024045","-0.64116039142269","-0.469829401200741","-0.300782980155345","0.00632240638111625","ce_sha"
"b[(Intercept) Year:2014]","-0.98452008139107","-0.612161118250292","-0.435161846753735","-0.249288355071516","0.0670079678312769","ce_sha"
"b[(Intercept) Year:2015]","-1.31310450668839","-0.685870924405866","-0.420452139844776","-0.162721449334142","0.406245918757827","ce_sha"
"b[(Intercept) Year:2016]","0.0442112665370275","0.589425168752549","0.899211707274363","1.2592117049709","2.06349512267732","ce_sha"
"b[(Intercept) Year:2009]","-1.31330497571196","-0.781229633860092","-0.53119394278905","-0.291452974083048","0.108247448935366","lo_sal"
"b[(Intercept) Year:2010]","-0.291352104127404","0.0418793942154707","0.202678987890756","0.369056733938309","0.722451831549266","lo_sal"
"b[(Intercept) Year:2011]","-0.605257475515541","-0.225605608292826","-0.0266771836724712","0.164088576377088","0.574765674128325","lo_sal"
"b[(Intercept) Year:2012]","-0.625143358351102","-0.162028091413714","0.0603463245071012","0.287312732298058","0.772940713389037","lo_sal"
"b[(Intercept) Year:2013]","-1.02903404875698","-0.685511307973196","-0.517238395297895","-0.357668529954206","-0.0584861014682803","lo_sal"
"b[(Intercept) Year:2014]","-0.709490416396945","-0.307406296526724","-0.108356790653568","0.0812338369497176","0.45420246487536","lo_sal"
"b[(Intercept) Year:2015]","-1.52469608216715","-0.833588312383832","-0.521929933373195","-0.24101220873134","0.325303846475158","lo_sal"
"b[(Intercept) Year:2016]","-0.211191135237164","0.332452689593966","0.633381940532039","0.991485010427546","1.90547107321624","lo_sal"
"b[(Intercept) Year:2009]","-1.08120613388412","-0.544034247075335","-0.289424201618622","-0.0564467567051194","0.365875105370051","ic_hof"
"b[(Intercept) Year:2010]","-0.116015551907037","0.224808594779189","0.412634264545585","0.608608032695774","0.988133552631516","ic_hof"
"b[(Intercept) Year:2011]","-0.442924268318919","-0.145076237188526","0.00496646287424816","0.16247401646136","0.464163931312843","ic_hof"
"b[(Intercept) Year:2012]","-0.710746661961458","-0.339555903622412","-0.15614280138745","0.0265437121277839","0.358586393255264","ic_hof"
"b[(Intercept) Year:2013]","-0.997892360646336","-0.685722798689499","-0.527306834911784","-0.373144950826907","-0.0836035075490755","ic_hof"
"b[(Intercept) Year:2014]","-0.893236317229929","-0.533555746739727","-0.359414903605635","-0.189736797314595","0.134816267029451","ic_hof"
"b[(Intercept) Year:2015]","-1.28938250667455","-0.70974517889906","-0.437361579769445","-0.183574240700812","0.449091019784384","ic_hof"
"b[(Intercept) Year:2016]","-0.0192884552491096","0.464937407708997","0.755694447276028","1.09748196273253","1.89097830670187","ic_hof"
"sigma","0.733689224590709","0.834499792002345","0.896280376002762","0.968912845176716","1.13284223803052","pa_ther"
"Sigma[Stock:(Intercept),(Intercept)]","0.000274152783551125","0.022786924685","0.07544874216826","0.15911412041438","0.462482030538901","pa_ther"
"Sigma[Stock:load_std,(Intercept)]","-0.211700012632297","-0.0479350850103026","-0.00667497434120983","0.00490982928905597","0.132454379003917","pa_ther"
"Sigma[Stock:load_std,load_std]","0.000196164623556037","0.0138784645613483","0.0568854387529344","0.190803486616314","0.97906430646871","pa_ther"
"Sigma[Year:(Intercept),(Intercept)]","0.014045042925604","0.132808602375176","0.245606057854638","0.43321864900181","1.22215073281018","pa_ther"
"sigma","0.545443596261753","0.633823860881415","0.686429703782271","0.748535951506647","0.883198125805473","pa_min"
"Sigma[Stock:(Intercept),(Intercept)]","0.0113327003753684","0.101152919311351","0.167279681789731","0.265750335399225","0.571405580099455","pa_min"
"Sigma[Stock:load_std,(Intercept)]","-0.242601778384958","-0.0883372433453371","-0.0362170549607946","0.00253781675967443","0.107730909263706","pa_min"
"Sigma[Stock:load_std,load_std]","0.00340855542431782","0.0572243180622879","0.145187833896901","0.299582537836858","0.97602481972311","pa_min"
"Sigma[Year:(Intercept),(Intercept)]","0.0330145103660502","0.170018251587807","0.296414347735629","0.50793742754101","1.40793005802244","pa_min"
"sigma","0.670085805104659","0.75732150864944","0.807218712913275","0.863856983567794","0.986613606979764","my_arc"
"Sigma[Stock:(Intercept),(Intercept)]","0.000796220629590896","0.0564213250115102","0.119730646503208","0.206602767869611","0.468412757693721","my_arc"
"Sigma[Stock:load_std,(Intercept)]","-0.0853872530167864","-0.00810789281717107","0.00782599181136558","0.0414379605671762","0.187634465621973","my_arc"
"Sigma[Stock:load_std,load_std]","0.000430379029325158","0.0123163119623944","0.0389696851736836","0.0940114787228117","0.373636705584427","my_arc"
"Sigma[Year:(Intercept),(Intercept)]","0.0990152167921905","0.254064502061127","0.405115557311812","0.643223658408871","1.70746747241368","my_arc"
