"","V1","V2","V3"
"load_std","2044","pa_ther","Neff"
"b[(Intercept) Stock:Birkenhead]","1378","pa_ther","Neff"
"b[load_std Stock:Birkenhead]","5486","pa_ther","Neff"
"b[(Intercept) Stock:Bowron]","2742","pa_ther","Neff"
"b[load_std Stock:Bowron]","3841","pa_ther","Neff"
"b[(Intercept) Stock:Chilko]","1558","pa_ther","Neff"
"b[load_std Stock:Chilko]","4648","pa_ther","Neff"
"b[(Intercept) Stock:E.Stuart]","1472","pa_ther","Neff"
"b[load_std Stock:E.Stuart]","3923","pa_ther","Neff"
"b[(Intercept) Stock:Gates]","1653","pa_ther","Neff"
"b[load_std Stock:Gates]","3223","pa_ther","Neff"
"b[(Intercept) Stock:Harrison]","1991","pa_ther","Neff"
"b[load_std Stock:Harrison]","4888","pa_ther","Neff"
"b[(Intercept) Stock:L.Shuswap]","1728","pa_ther","Neff"
"b[load_std Stock:L.Shuswap]","5574","pa_ther","Neff"
"b[(Intercept) Stock:L.Stuart]","1528","pa_ther","Neff"
"b[load_std Stock:L.Stuart]","3940","pa_ther","Neff"
"b[(Intercept) Stock:Nadina]","1758","pa_ther","Neff"
"b[load_std Stock:Nadina]","4708","pa_ther","Neff"
"b[(Intercept) Stock:Pitt]","2098","pa_ther","Neff"
"b[load_std Stock:Pitt]","4317","pa_ther","Neff"
"b[(Intercept) Stock:Portage]","2706","pa_ther","Neff"
"b[load_std Stock:Portage]","4334","pa_ther","Neff"
"b[(Intercept) Stock:Quesnel]","1392","pa_ther","Neff"
"b[load_std Stock:Quesnel]","2151","pa_ther","Neff"
"b[(Intercept) Stock:Raft]","3172","pa_ther","Neff"
"b[load_std Stock:Raft]","4433","pa_ther","Neff"
"b[(Intercept) Stock:Scotch]","1607","pa_ther","Neff"
"b[load_std Stock:Scotch]","3744","pa_ther","Neff"
"b[(Intercept) Stock:Seymour]","1351","pa_ther","Neff"
"b[load_std Stock:Seymour]","2921","pa_ther","Neff"
"b[(Intercept) Stock:Stellako]","2858","pa_ther","Neff"
"b[load_std Stock:Stellako]","3325","pa_ther","Neff"
"b[(Intercept) Stock:Weaver]","1651","pa_ther","Neff"
"b[load_std Stock:Weaver]","1971","pa_ther","Neff"
"b[(Intercept) Year:2009]","2078","pa_ther","Neff"
"b[(Intercept) Year:2010]","1551","pa_ther","Neff"
"b[(Intercept) Year:2011]","1175","pa_ther","Neff"
"b[(Intercept) Year:2012]","1569","pa_ther","Neff"
"b[(Intercept) Year:2013]","2890","pa_ther","Neff"
"b[(Intercept) Year:2014]","1387","pa_ther","Neff"
"b[(Intercept) Year:2015]","1282","pa_ther","Neff"
"b[(Intercept) Year:2016]","1257","pa_ther","Neff"
"sigma","2139","pa_ther","Neff"
"Sigma[Stock:(Intercept),(Intercept)]","1809","pa_ther","Neff"
"Sigma[Stock:load_std,(Intercept)]","2883","pa_ther","Neff"
"Sigma[Stock:load_std,load_std]","2052","pa_ther","Neff"
"Sigma[Year:(Intercept),(Intercept)]","1487","pa_ther","Neff"
"mean_PPD","4352","pa_ther","Neff"
"log-posterior","754","pa_ther","Neff"
"load_std","1986","pa_min","Neff"
"b[(Intercept) Stock:Birkenhead]","2135","pa_min","Neff"
"b[load_std Stock:Birkenhead]","4446","pa_min","Neff"
"b[(Intercept) Stock:Bowron]","2998","pa_min","Neff"
"b[load_std Stock:Bowron]","3880","pa_min","Neff"
"b[(Intercept) Stock:Chilko]","2200","pa_min","Neff"
"b[load_std Stock:Chilko]","4298","pa_min","Neff"
"b[(Intercept) Stock:E.Stuart]","2054","pa_min","Neff"
"b[load_std Stock:E.Stuart]","3967","pa_min","Neff"
"b[(Intercept) Stock:Gates]","3001","pa_min","Neff"
"b[load_std Stock:Gates]","4816","pa_min","Neff"
"b[(Intercept) Stock:Harrison]","2882","pa_min","Neff"
"b[load_std Stock:Harrison]","3535","pa_min","Neff"
"b[(Intercept) Stock:L.Shuswap]","1838","pa_min","Neff"
"b[load_std Stock:L.Shuswap]","2728","pa_min","Neff"
"b[(Intercept) Stock:L.Stuart]","2315","pa_min","Neff"
"b[load_std Stock:L.Stuart]","4327","pa_min","Neff"
"b[(Intercept) Stock:Nadina]","3281","pa_min","Neff"
"b[load_std Stock:Nadina]","4044","pa_min","Neff"
"b[(Intercept) Stock:Pitt]","2385","pa_min","Neff"
"b[load_std Stock:Pitt]","2485","pa_min","Neff"
"b[(Intercept) Stock:Quesnel]","2215","pa_min","Neff"
"b[load_std Stock:Quesnel]","3991","pa_min","Neff"
"b[(Intercept) Stock:Raft]","3409","pa_min","Neff"
"b[load_std Stock:Raft]","4290","pa_min","Neff"
"b[(Intercept) Stock:Scotch]","1929","pa_min","Neff"
"b[load_std Stock:Scotch]","1938","pa_min","Neff"
"b[(Intercept) Stock:Seymour]","2497","pa_min","Neff"
"b[load_std Stock:Seymour]","2612","pa_min","Neff"
"b[(Intercept) Stock:Stellako]","2489","pa_min","Neff"
"b[load_std Stock:Stellako]","4546","pa_min","Neff"
"b[(Intercept) Year:2009]","3389","pa_min","Neff"
"b[(Intercept) Year:2010]","1873","pa_min","Neff"
"b[(Intercept) Year:2011]","2230","pa_min","Neff"
"b[(Intercept) Year:2012]","3194","pa_min","Neff"
"b[(Intercept) Year:2013]","1496","pa_min","Neff"
"b[(Intercept) Year:2014]","2302","pa_min","Neff"
"b[(Intercept) Year:2015]","1827","pa_min","Neff"
"b[(Intercept) Year:2016]","2182","pa_min","Neff"
"sigma","2336","pa_min","Neff"
"Sigma[Stock:(Intercept),(Intercept)]","1606","pa_min","Neff"
"Sigma[Stock:load_std,(Intercept)]","2307","pa_min","Neff"
"Sigma[Stock:load_std,load_std]","2228","pa_min","Neff"
"Sigma[Year:(Intercept),(Intercept)]","1611","pa_min","Neff"
"mean_PPD","3890","pa_min","Neff"
"log-posterior","864","pa_min","Neff"
"load_std","1624","my_arc","Neff"
"b[(Intercept) Stock:Birkenhead]","1213","my_arc","Neff"
"b[load_std Stock:Birkenhead]","1775","my_arc","Neff"
"b[(Intercept) Stock:Chilko]","2795","my_arc","Neff"
"b[load_std Stock:Chilko]","2018","my_arc","Neff"
"b[(Intercept) Stock:E.Stuart]","4120","my_arc","Neff"
"b[load_std Stock:E.Stuart]","4130","my_arc","Neff"
"b[(Intercept) Stock:Gates]","3847","my_arc","Neff"
"b[load_std Stock:Gates]","3119","my_arc","Neff"
"b[(Intercept) Stock:Harrison]","4144","my_arc","Neff"
"b[load_std Stock:Harrison]","3851","my_arc","Neff"
"b[(Intercept) Stock:L.Shuswap]","2085","my_arc","Neff"
"b[load_std Stock:L.Shuswap]","1636","my_arc","Neff"
"b[(Intercept) Stock:L.Stuart]","4688","my_arc","Neff"
"b[load_std Stock:L.Stuart]","4230","my_arc","Neff"
"b[(Intercept) Stock:Nadina]","3062","my_arc","Neff"
"b[load_std Stock:Nadina]","1818","my_arc","Neff"
"b[(Intercept) Stock:Pitt]","1771","my_arc","Neff"
"b[load_std Stock:Pitt]","2538","my_arc","Neff"
"b[(Intercept) Stock:Quesnel]","2260","my_arc","Neff"
"b[load_std Stock:Quesnel]","3424","my_arc","Neff"
"b[(Intercept) Stock:Scotch]","2936","my_arc","Neff"
"b[load_std Stock:Scotch]","3769","my_arc","Neff"
"b[(Intercept) Stock:Seymour]","1743","my_arc","Neff"
"b[load_std Stock:Seymour]","2104","my_arc","Neff"
"b[(Intercept) Stock:Stellako]","2705","my_arc","Neff"
"b[load_std Stock:Stellako]","3263","my_arc","Neff"
"b[(Intercept) Year:2009]","2053","my_arc","Neff"
"b[(Intercept) Year:2010]","2833","my_arc","Neff"
"b[(Intercept) Year:2011]","3691","my_arc","Neff"
"b[(Intercept) Year:2012]","2257","my_arc","Neff"
"b[(Intercept) Year:2013]","2862","my_arc","Neff"
"b[(Intercept) Year:2014]","3304","my_arc","Neff"
"b[(Intercept) Year:2015]","2635","my_arc","Neff"
"b[(Intercept) Year:2016]","3246","my_arc","Neff"
"sigma","1307","my_arc","Neff"
"Sigma[Stock:(Intercept),(Intercept)]","1385","my_arc","Neff"
"Sigma[Stock:load_std,(Intercept)]","2256","my_arc","Neff"
"Sigma[Stock:load_std,load_std]","1218","my_arc","Neff"
"Sigma[Year:(Intercept),(Intercept)]","2395","my_arc","Neff"
"mean_PPD","3973","my_arc","Neff"
"log-posterior","588","my_arc","Neff"
"load_std","2313","c_b_cys","Neff"
"b[(Intercept) Stock:Birkenhead]","2049","c_b_cys","Neff"
"b[load_std Stock:Birkenhead]","3876","c_b_cys","Neff"
"b[(Intercept) Stock:Chilko]","1813","c_b_cys","Neff"
"b[load_std Stock:Chilko]","3400","c_b_cys","Neff"
"b[(Intercept) Stock:E.Stuart]","2260","c_b_cys","Neff"
"b[load_std Stock:E.Stuart]","3435","c_b_cys","Neff"
"b[(Intercept) Stock:Gates]","2276","c_b_cys","Neff"
"b[load_std Stock:Gates]","3325","c_b_cys","Neff"
"b[(Intercept) Stock:Harrison]","2717","c_b_cys","Neff"
"b[load_std Stock:Harrison]","2478","c_b_cys","Neff"
"b[(Intercept) Stock:L.Shuswap]","1898","c_b_cys","Neff"
"b[load_std Stock:L.Shuswap]","2964","c_b_cys","Neff"
"b[(Intercept) Stock:L.Stuart]","1918","c_b_cys","Neff"
"b[load_std Stock:L.Stuart]","3302","c_b_cys","Neff"
"b[(Intercept) Stock:Nadina]","1996","c_b_cys","Neff"
"b[load_std Stock:Nadina]","3744","c_b_cys","Neff"
"b[(Intercept) Stock:Pitt]","2218","c_b_cys","Neff"
"b[load_std Stock:Pitt]","4171","c_b_cys","Neff"
"b[(Intercept) Stock:Portage]","3468","c_b_cys","Neff"
"b[load_std Stock:Portage]","3993","c_b_cys","Neff"
"b[(Intercept) Stock:Quesnel]","1755","c_b_cys","Neff"
"b[load_std Stock:Quesnel]","2281","c_b_cys","Neff"
"b[(Intercept) Stock:Scotch]","2219","c_b_cys","Neff"
"b[load_std Stock:Scotch]","3085","c_b_cys","Neff"
"b[(Intercept) Stock:Seymour]","2120","c_b_cys","Neff"
"b[load_std Stock:Seymour]","4246","c_b_cys","Neff"
"b[(Intercept) Stock:Stellako]","2158","c_b_cys","Neff"
"b[load_std Stock:Stellako]","3094","c_b_cys","Neff"
"b[(Intercept) Stock:Weaver]","2251","c_b_cys","Neff"
"b[load_std Stock:Weaver]","3787","c_b_cys","Neff"
"b[(Intercept) Year:2009]","2503","c_b_cys","Neff"
"b[(Intercept) Year:2010]","2095","c_b_cys","Neff"
"b[(Intercept) Year:2011]","1478","c_b_cys","Neff"
"b[(Intercept) Year:2012]","2132","c_b_cys","Neff"
"b[(Intercept) Year:2013]","2017","c_b_cys","Neff"
"b[(Intercept) Year:2014]","1593","c_b_cys","Neff"
"b[(Intercept) Year:2015]","1527","c_b_cys","Neff"
"b[(Intercept) Year:2016]","1832","c_b_cys","Neff"
"sigma","1678","c_b_cys","Neff"
"Sigma[Stock:(Intercept),(Intercept)]","1540","c_b_cys","Neff"
"Sigma[Stock:load_std,(Intercept)]","2503","c_b_cys","Neff"
"Sigma[Stock:load_std,load_std]","2156","c_b_cys","Neff"
"Sigma[Year:(Intercept),(Intercept)]","2153","c_b_cys","Neff"
"mean_PPD","4325","c_b_cys","Neff"
"log-posterior","785","c_b_cys","Neff"
"load_std","2306","pspv","Neff"
"b[(Intercept) Stock:Birkenhead]","3057","pspv","Neff"
"b[load_std Stock:Birkenhead]","3958","pspv","Neff"
"b[(Intercept) Stock:Bowron]","4577","pspv","Neff"
"b[load_std Stock:Bowron]","3902","pspv","Neff"
"b[(Intercept) Stock:Chilko]","2753","pspv","Neff"
"b[load_std Stock:Chilko]","4364","pspv","Neff"
"b[(Intercept) Stock:E.Stuart]","3606","pspv","Neff"
"b[load_std Stock:E.Stuart]","3734","pspv","Neff"
"b[(Intercept) Stock:Gates]","3510","pspv","Neff"
"b[load_std Stock:Gates]","4641","pspv","Neff"
"b[(Intercept) Stock:Harrison]","3046","pspv","Neff"
"b[load_std Stock:Harrison]","2800","pspv","Neff"
"b[(Intercept) Stock:L.Shuswap]","2796","pspv","Neff"
"b[load_std Stock:L.Shuswap]","2294","pspv","Neff"
"b[(Intercept) Stock:L.Stuart]","2976","pspv","Neff"
"b[load_std Stock:L.Stuart]","3922","pspv","Neff"
"b[(Intercept) Stock:Nadina]","3268","pspv","Neff"
"b[load_std Stock:Nadina]","3518","pspv","Neff"
"b[(Intercept) Stock:Pitt]","3121","pspv","Neff"
"b[load_std Stock:Pitt]","3380","pspv","Neff"
"b[(Intercept) Stock:Portage]","2558","pspv","Neff"
"b[load_std Stock:Portage]","3437","pspv","Neff"
"b[(Intercept) Stock:Quesnel]","2651","pspv","Neff"
"b[load_std Stock:Quesnel]","3035","pspv","Neff"
"b[(Intercept) Stock:Raft]","4063","pspv","Neff"
"b[load_std Stock:Raft]","3385","pspv","Neff"
"b[(Intercept) Stock:Scotch]","2717","pspv","Neff"
"b[load_std Stock:Scotch]","3283","pspv","Neff"
"b[(Intercept) Stock:Seymour]","3354","pspv","Neff"
"b[load_std Stock:Seymour]","3855","pspv","Neff"
"b[(Intercept) Stock:Stellako]","3203","pspv","Neff"
"b[load_std Stock:Stellako]","4190","pspv","Neff"
"b[(Intercept) Stock:Weaver]","4498","pspv","Neff"
"b[load_std Stock:Weaver]","3865","pspv","Neff"
"b[(Intercept) Year:2009]","2779","pspv","Neff"
"b[(Intercept) Year:2010]","2358","pspv","Neff"
"b[(Intercept) Year:2011]","2877","pspv","Neff"
"b[(Intercept) Year:2012]","4145","pspv","Neff"
"b[(Intercept) Year:2013]","2566","pspv","Neff"
"b[(Intercept) Year:2014]","2989","pspv","Neff"
"b[(Intercept) Year:2015]","2738","pspv","Neff"
"b[(Intercept) Year:2016]","3315","pspv","Neff"
"sigma","2413","pspv","Neff"
"Sigma[Stock:(Intercept),(Intercept)]","1830","pspv","Neff"
"Sigma[Stock:load_std,(Intercept)]","2429","pspv","Neff"
"Sigma[Stock:load_std,load_std]","2218","pspv","Neff"
"Sigma[Year:(Intercept),(Intercept)]","1892","pspv","Neff"
"mean_PPD","4312","pspv","Neff"
"log-posterior","877","pspv","Neff"
"load_std","1646","pa_kab","Neff"
"b[(Intercept) Stock:Birkenhead]","1552","pa_kab","Neff"
"b[load_std Stock:Birkenhead]","1820","pa_kab","Neff"
"b[(Intercept) Stock:Chilko]","1139","pa_kab","Neff"
"b[load_std Stock:Chilko]","1752","pa_kab","Neff"
"b[(Intercept) Stock:E.Stuart]","1409","pa_kab","Neff"
"b[load_std Stock:E.Stuart]","3676","pa_kab","Neff"
"b[(Intercept) Stock:Gates]","2034","pa_kab","Neff"
"b[load_std Stock:Gates]","4737","pa_kab","Neff"
"b[(Intercept) Stock:Harrison]","1754","pa_kab","Neff"
"b[load_std Stock:Harrison]","3292","pa_kab","Neff"
"b[(Intercept) Stock:L.Shuswap]","1137","pa_kab","Neff"
"b[load_std Stock:L.Shuswap]","2030","pa_kab","Neff"
"b[(Intercept) Stock:L.Stuart]","1621","pa_kab","Neff"
"b[load_std Stock:L.Stuart]","4202","pa_kab","Neff"
"b[(Intercept) Stock:Nadina]","1544","pa_kab","Neff"
"b[load_std Stock:Nadina]","4057","pa_kab","Neff"
"b[(Intercept) Stock:Pitt]","1714","pa_kab","Neff"
"b[load_std Stock:Pitt]","3413","pa_kab","Neff"
"b[(Intercept) Stock:Quesnel]","1162","pa_kab","Neff"
"b[load_std Stock:Quesnel]","1815","pa_kab","Neff"
"b[(Intercept) Stock:Raft]","2361","pa_kab","Neff"
"b[load_std Stock:Raft]","3682","pa_kab","Neff"
"b[(Intercept) Stock:Scotch]","1571","pa_kab","Neff"
"b[load_std Stock:Scotch]","2266","pa_kab","Neff"
"b[(Intercept) Stock:Seymour]","1245","pa_kab","Neff"
"b[load_std Stock:Seymour]","2008","pa_kab","Neff"
"b[(Intercept) Stock:Stellako]","1373","pa_kab","Neff"
"b[load_std Stock:Stellako]","1918","pa_kab","Neff"
"b[(Intercept) Stock:Weaver]","2454","pa_kab","Neff"
"b[load_std Stock:Weaver]","3695","pa_kab","Neff"
"b[(Intercept) Year:2009]","1222","pa_kab","Neff"
"b[(Intercept) Year:2010]","1265","pa_kab","Neff"
"b[(Intercept) Year:2011]","1375","pa_kab","Neff"
"b[(Intercept) Year:2012]","1152","pa_kab","Neff"
"b[(Intercept) Year:2013]","1211","pa_kab","Neff"
"b[(Intercept) Year:2014]","1350","pa_kab","Neff"
"b[(Intercept) Year:2015]","1178","pa_kab","Neff"
"b[(Intercept) Year:2016]","1256","pa_kab","Neff"
"sigma","2683","pa_kab","Neff"
"Sigma[Stock:(Intercept),(Intercept)]","1571","pa_kab","Neff"
"Sigma[Stock:load_std,(Intercept)]","2232","pa_kab","Neff"
"Sigma[Stock:load_std,load_std]","1331","pa_kab","Neff"
"Sigma[Year:(Intercept),(Intercept)]","1849","pa_kab","Neff"
"mean_PPD","3911","pa_kab","Neff"
"log-posterior","838","pa_kab","Neff"
"load_std","2488","sch","Neff"
"b[(Intercept) Stock:Birkenhead]","1917","sch","Neff"
"b[load_std Stock:Birkenhead]","5414","sch","Neff"
"b[(Intercept) Stock:Bowron]","2565","sch","Neff"
"b[load_std Stock:Bowron]","4439","sch","Neff"
"b[(Intercept) Stock:Chilko]","1275","sch","Neff"
"b[load_std Stock:Chilko]","5537","sch","Neff"
"b[(Intercept) Stock:E.Stuart]","1417","sch","Neff"
"b[load_std Stock:E.Stuart]","4951","sch","Neff"
"b[(Intercept) Stock:Gates]","1226","sch","Neff"
"b[load_std Stock:Gates]","2693","sch","Neff"
"b[(Intercept) Stock:Harrison]","1268","sch","Neff"
"b[load_std Stock:Harrison]","4779","sch","Neff"
"b[(Intercept) Stock:L.Shuswap]","1817","sch","Neff"
"b[load_std Stock:L.Shuswap]","4168","sch","Neff"
"b[(Intercept) Stock:L.Stuart]","1269","sch","Neff"
"b[load_std Stock:L.Stuart]","2232","sch","Neff"
"b[(Intercept) Stock:Nadina]","1883","sch","Neff"
"b[load_std Stock:Nadina]","5126","sch","Neff"
"b[(Intercept) Stock:Pitt]","1844","sch","Neff"
"b[load_std Stock:Pitt]","5018","sch","Neff"
"b[(Intercept) Stock:Portage]","2664","sch","Neff"
"b[load_std Stock:Portage]","4713","sch","Neff"
"b[(Intercept) Stock:Quesnel]","1212","sch","Neff"
"b[load_std Stock:Quesnel]","4254","sch","Neff"
"b[(Intercept) Stock:Raft]","2250","sch","Neff"
"b[load_std Stock:Raft]","4971","sch","Neff"
"b[(Intercept) Stock:Scotch]","1381","sch","Neff"
"b[load_std Stock:Scotch]","3903","sch","Neff"
"b[(Intercept) Stock:Seymour]","1280","sch","Neff"
"b[load_std Stock:Seymour]","4669","sch","Neff"
