"","V1","V2","V3"
"load_std","1706","pa_ther","Neff"
"sst_anom","1906","pa_ther","Neff"
"b[(Intercept) Stock:Birkenhead]","4056","pa_ther","Neff"
"b[load_std Stock:Birkenhead]","3101","pa_ther","Neff"
"b[(Intercept) Stock:Bowron]","4793","pa_ther","Neff"
"b[load_std Stock:Bowron]","4037","pa_ther","Neff"
"b[(Intercept) Stock:Chilko]","2314","pa_ther","Neff"
"b[load_std Stock:Chilko]","1792","pa_ther","Neff"
"b[(Intercept) Stock:E.Stuart]","2282","pa_ther","Neff"
"b[load_std Stock:E.Stuart]","2870","pa_ther","Neff"
"b[(Intercept) Stock:Gates]","1706","pa_ther","Neff"
"b[load_std Stock:Gates]","2170","pa_ther","Neff"
"b[(Intercept) Stock:Harrison]","3742","pa_ther","Neff"
"b[load_std Stock:Harrison]","2415","pa_ther","Neff"
"b[(Intercept) Stock:L.Shuswap]","3419","pa_ther","Neff"
"b[load_std Stock:L.Shuswap]","1462","pa_ther","Neff"
"b[(Intercept) Stock:L.Stuart]","3140","pa_ther","Neff"
"b[load_std Stock:L.Stuart]","3578","pa_ther","Neff"
"b[(Intercept) Stock:Nadina]","4152","pa_ther","Neff"
"b[load_std Stock:Nadina]","3716","pa_ther","Neff"
"b[(Intercept) Stock:Pitt]","1737","pa_ther","Neff"
"b[load_std Stock:Pitt]","2031","pa_ther","Neff"
"b[(Intercept) Stock:Quesnel]","2228","pa_ther","Neff"
"b[load_std Stock:Quesnel]","1536","pa_ther","Neff"
"b[(Intercept) Stock:Scotch]","3908","pa_ther","Neff"
"b[load_std Stock:Scotch]","3314","pa_ther","Neff"
"b[(Intercept) Stock:Seymour]","2289","pa_ther","Neff"
"b[load_std Stock:Seymour]","2605","pa_ther","Neff"
"b[(Intercept) Stock:Stellako]","1747","pa_ther","Neff"
"b[load_std Stock:Stellako]","2279","pa_ther","Neff"
"b[(Intercept) Stock:Weaver]","2860","pa_ther","Neff"
"b[load_std Stock:Weaver]","3212","pa_ther","Neff"
"b[(Intercept) Year:2009]","3013","pa_ther","Neff"
"b[(Intercept) Year:2010]","3479","pa_ther","Neff"
"b[(Intercept) Year:2011]","4193","pa_ther","Neff"
"b[(Intercept) Year:2012]","3971","pa_ther","Neff"
"b[(Intercept) Year:2013]","1422","pa_ther","Neff"
"b[(Intercept) Year:2014]","2517","pa_ther","Neff"
"b[(Intercept) Year:2015]","1771","pa_ther","Neff"
"b[(Intercept) Year:2016]","2106","pa_ther","Neff"
"sigma","1523","pa_ther","Neff"
"Sigma[Stock:(Intercept),(Intercept)]","1381","pa_ther","Neff"
"Sigma[Stock:load_std,(Intercept)]","2246","pa_ther","Neff"
"Sigma[Stock:load_std,load_std]","1529","pa_ther","Neff"
"Sigma[Year:(Intercept),(Intercept)]","1515","pa_ther","Neff"
"mean_PPD","4189","pa_ther","Neff"
"log-posterior","638","pa_ther","Neff"
"load_std","1468","pa_min","Neff"
"sst_anom","1745","pa_min","Neff"
"b[(Intercept) Stock:Birkenhead]","1616","pa_min","Neff"
"b[load_std Stock:Birkenhead]","1490","pa_min","Neff"
"b[(Intercept) Stock:Bowron]","3912","pa_min","Neff"
"b[load_std Stock:Bowron]","3832","pa_min","Neff"
"b[(Intercept) Stock:Chilko]","2988","pa_min","Neff"
"b[load_std Stock:Chilko]","1619","pa_min","Neff"
"b[(Intercept) Stock:E.Stuart]","3021","pa_min","Neff"
"b[load_std Stock:E.Stuart]","3679","pa_min","Neff"
"b[(Intercept) Stock:Gates]","1930","pa_min","Neff"
"b[load_std Stock:Gates]","1918","pa_min","Neff"
