"","Stock_Analysis","Year","orderID","brood_year","metric","resid_value","N","posdet","prev","mean_load","prevload","agent"
"1","Birkenhead",2009,1173,2007,"SR_cov_resid",0.917485094090912,4,0,0,NA,NA,"arena2"
"2","Birkenhead",2010,1174,2008,"SR_cov_resid",0.60174399453012,2,0,NA,NA,NA,"arena2"
"3","Birkenhead",2011,1175,2009,"SR_cov_resid",0.502719917245887,6,0,0,NA,NA,"arena2"
"4","Birkenhead",2012,1176,2010,"SR_cov_resid",-2.43674110496128,0,0,NA,NA,NA,"arena2"
"5","Birkenhead",2013,1177,2011,"SR_cov_resid",-0.493983139331974,0,0,NA,NA,NA,"arena2"
"6","Birkenhead",2014,1178,2012,"SR_cov_resid",0.571525377256349,4,0,0,NA,NA,"arena2"
"7","Birkenhead",2015,1179,2013,"SR_cov_resid",-0.754015824843491,2,0,NA,NA,NA,"arena2"
"8","Birkenhead",2018,1182,2016,"SR_cov_resid",-1.88941454436261,4,0,0,NA,NA,"arena2"
"9","Bowron",2013,1244,2011,"SR_cov_resid",-0.412927508335944,0,0,NA,NA,NA,"arena2"
"10","Bowron",2014,1245,2012,"SR_cov_resid",0.191831754320866,1,0,NA,NA,NA,"arena2"
"11","Chilko",2008,1306,2006,"SR_cov_resid",1.14899509342246,4,1,0.25,0.301947547,0.07548688675,"arena2"
"12","Chilko",2009,1307,2007,"SR_cov_resid",-0.164515041914484,0,0,NA,NA,NA,"arena2"
"13","Chilko",2010,1308,2008,"SR_cov_resid",-0.261094571360216,15,4,0.266666666666667,20.97562590775,5.59350024206667,"arena2"
"14","Chilko",2011,1309,2009,"SR_cov_resid",0.30629425435431,61,5,0.0819672131147541,4340.3433331506,355.765846979557,"arena2"
"15","Chilko",2012,1310,2010,"SR_cov_resid",0.685458079567512,0,0,NA,NA,NA,"arena2"
"16","Chilko",2013,1311,2011,"SR_cov_resid",0.606684688038082,9,2,0.222222222222222,59.328874031,13.1841942291111,"arena2"
"17","Chilko",2014,1312,2012,"SR_cov_resid",0.742058742143178,49,3,0.0612244897959184,40546.4738806667,2482.43717636735,"arena2"
"18","Chilko",2015,1313,2013,"SR_cov_resid",-1.10092223207761,21,3,0.142857142857143,58271.2373423063,8324.46247747233,"arena2"
"19","Chilko",2016,1314,2014,"SR_cov_resid",0.658775634082524,20,14,0.7,210402.063333412,147281.444333388,"arena2"
"20","Chilko",2017,1315,2015,"SR_cov_resid",-1.67763415630698,15,8,0.533333333333333,612.90777014375,326.884144076667,"arena2"
"21","Chilko",2018,1316,2016,"SR_cov_resid",-2.54325003204444,12,4,0.333333333333333,6.03935825525,2.01311941841667,"arena2"
"22","E.Stuart",2009,1374,2007,"SR_cov_resid",0.595114988858245,1,0,NA,NA,NA,"arena2"
"23","E.Stuart",2010,1375,2008,"SR_cov_resid",1.52207913066035,3,1,NA,0.306164406,0.102054802,"arena2"
"24","E.Stuart",2011,1376,2009,"SR_cov_resid",1.44680538823869,20,3,0.15,34801.6921387273,5220.2538208091,"arena2"
"25","E.Stuart",2012,1377,2010,"SR_cov_resid",-1.08380699220204,0,0,NA,NA,NA,"arena2"
"26","E.Stuart",2013,1378,2011,"SR_cov_resid",1.82635057656134,0,0,NA,NA,NA,"arena2"
"27","E.Stuart",2014,1379,2012,"SR_cov_resid",-0.609241422735495,8,0,0,NA,NA,"arena2"
"28","E.Stuart",2015,1380,2013,"SR_cov_resid",-1.99814933569036,8,1,0.125,21097.96671,2637.24583875,"arena2"
"29","E.Stuart",2016,1381,2014,"SR_cov_resid",1.91991620824276,1,1,NA,0.605564687,0.605564687,"arena2"
"30","E.Stuart",2017,1382,2015,"SR_cov_resid",-1.22055202574078,1,0,NA,NA,NA,"arena2"
"31","E.Stuart",2018,1383,2016,"SR_cov_resid",-0.0975737862826438,2,1,NA,27.10380797,13.551903985,"arena2"
"32","Gates",2009,1476,2007,"SR_cov_resid",2.49112938147928,1,0,NA,NA,NA,"arena2"
"33","Gates",2010,1477,2008,"SR_cov_resid",1.23089410875928,1,0,NA,NA,NA,"arena2"
"34","Gates",2011,1478,2009,"SR_cov_resid",0.452597304826378,4,0,0,NA,NA,"arena2"
"35","Gates",2012,1479,2010,"SR_cov_resid",-1.14368456200958,0,0,NA,NA,NA,"arena2"
"36","Gates",2013,1480,2011,"SR_cov_resid",-0.341710855951546,1,0,NA,NA,NA,"arena2"
"37","Gates",2014,1481,2012,"SR_cov_resid",-0.234160371991448,7,1,0.142857142857143,5.250558472,0.750079781714286,"arena2"
"38","Gates",2015,1482,2013,"SR_cov_resid",0.354033138866531,4,1,0.25,30611.04049,7652.7601225,"arena2"
"39","Harrison",2009,1543,2007,"SR_cov_resid",1.13883050185512,1,0,NA,NA,NA,"arena2"
"40","Harrison",2010,1544,2008,"SR_cov_resid",1.10195972480824,42,0,0,NA,NA,"arena2"
"41","Harrison",2011,1545,2009,"SR_cov_resid",-0.44475152704065,8,1,0.125,667461.6295,83432.7036875,"arena2"
"42","Harrison",2013,1547,2011,"SR_cov_resid",0.730496843726021,0,0,NA,NA,NA,"arena2"
"43","Harrison",2014,1548,2012,"SR_cov_resid",-0.425746480701306,1,0,NA,NA,NA,"arena2"
"44","Harrison",2015,1549,2013,"SR_cov_resid",-0.963594692033247,4,0,0,NA,NA,"arena2"
"45","L.Shuswap",2008,1609,2006,"SR_cov_resid",0.0352282062004946,10,5,0.5,1625.8338823828,812.9169411914,"arena2"
"46","L.Shuswap",2009,1610,2007,"SR_cov_resid",-0.170750031203459,5,0,0,NA,NA,"arena2"
"47","L.Shuswap",2010,1611,2008,"SR_cov_resid",2.24573197762531,4,1,0.25,67163.27011,16790.8175275,"arena2"
"48","L.Shuswap",2011,1612,2009,"SR_cov_resid",0.402581932474835,17,4,0.235294117647059,12.06575848875,2.83900199735294,"arena2"
"49","L.Shuswap",2012,1613,2010,"SR_cov_resid",0.151575729188111,3,1,NA,87658.46644,29219.4888133333,"arena2"
"50","L.Shuswap",2013,1614,2011,"SR_cov_resid",-2.36261739558641,1,0,NA,NA,NA,"arena2"
"51","L.Shuswap",2014,1615,2012,"SR_cov_resid",2.2653537695474,1,0,NA,NA,NA,"arena2"
"52","L.Shuswap",2015,1616,2013,"SR_cov_resid",-1.3548508906092,41,5,0.121951219512195,24704.8267568296,3012.78375083288,"arena2"
"53","L.Shuswap",2016,1617,2014,"SR_cov_resid",0.224064079160927,78,70,0.897435897435897,798859.637956739,716925.316115022,"arena2"
