"","X","Stock_Analysis","Year","orderID","brood_year","metric","resid_value","N","posdet","prev","mean_load","prevload","agent","prev_std","load_std"
"1",1,"Bowron",2012,1243,2010,"SR_cov_resid",-0.225381335491589,0,0,NA,NA,NA,"arena2",NA,NA
"2",2,"Chilko",2008,1306,2006,"SR_cov_resid",1.14899509342246,2,0,NA,NA,NA,"arena2",-0.369967843222274,NA
"3",3,"Chilko",2011,1309,2009,"SR_cov_resid",0.30629425435431,28,0,0,NA,NA,"arena2",-0.369967843222274,NA
"4",4,"Chilko",2012,1310,2010,"SR_cov_resid",0.685458079567512,30,0,0,NA,NA,"arena2",-0.369967843222274,NA
"5",5,"Chilko",2013,1311,2011,"SR_cov_resid",0.606684688038082,27,0,0,NA,NA,"arena2",-0.369967843222274,NA
"6",6,"Chilko",2014,1312,2012,"SR_cov_resid",0.742058742143178,30,1,0.0333333333333333,2.794153965,0.0931384655,"arena2",0.0106238026002008,-0.522702585891483
"7",7,"Chilko",2015,1313,2013,"SR_cov_resid",-1.10092223207761,0,0,NA,NA,NA,"arena2",NA,NA
"8",8,"E.Stuart",2011,1376,2009,"SR_cov_resid",1.44680538823869,3,1,NA,1371.904795,457.301598333333,"arena2",3.43594861500247,-0.481412417825482
"9",9,"E.Stuart",2012,1377,2010,"SR_cov_resid",-1.08380699220204,0,0,NA,NA,NA,"arena2",NA,NA
"10",10,"Gates",2012,1479,2010,"SR_cov_resid",-1.14368456200958,2,0,NA,NA,NA,"arena2",-0.369967843222274,NA
"11",11,"Gates",2013,1480,2011,"SR_cov_resid",-0.341710855951546,0,0,NA,NA,NA,"arena2",NA,NA
"12",12,"Gates",2015,1482,2013,"SR_cov_resid",0.354033138866531,1,0,NA,NA,NA,"arena2",-0.369967843222274,NA
"13",14,"L.Shuswap",2008,1609,2006,"SR_cov_resid",0.0352282062004946,0,0,NA,NA,NA,"arena2",NA,NA
"14",15,"L.Shuswap",2011,1612,2009,"SR_cov_resid",0.402581932474835,52,2,0.0384615384615385,9031.2461910385,347.35562273225,"arena2",0.069176363495967,-0.250419038591915
"15",16,"L.Shuswap",2012,1613,2010,"SR_cov_resid",0.151575729188111,0,0,NA,NA,NA,"arena2",NA,NA
"16",17,"L.Shuswap",2013,1614,2011,"SR_cov_resid",-2.36261739558641,0,0,NA,NA,NA,"arena2",NA,NA
"17",18,"L.Shuswap",2015,1616,2013,"SR_cov_resid",-1.3548508906092,0,0,NA,NA,NA,"arena2",NA,NA
"18",19,"L.Stuart",2011,1679,2009,"SR_cov_resid",0.191652182985228,6,0,0,NA,NA,"arena2",-0.369967843222274,NA
"19",20,"L.Stuart",2012,1680,2010,"SR_cov_resid",-0.319192535759027,0,0,NA,NA,NA,"arena2",NA,NA
"20",21,"L.Stuart",2015,1683,2013,"SR_cov_resid",-0.366438470616542,2,0,NA,NA,NA,"arena2",-0.369967843222274,NA
"21",22,"Nadina",2008,1720,2006,"SR_cov_resid",0.735704110870947,1,0,NA,NA,NA,"arena2",-0.369967843222274,NA
"22",23,"Pitt",2012,1791,2010,"SR_cov_resid",0.0394305874891034,0,0,NA,NA,NA,"arena2",NA,NA
"23",24,"Pitt",2013,1792,2011,"SR_cov_resid",1.12999545549457,0,0,NA,NA,NA,"arena2",NA,NA
"24",25,"Portage",2012,1854,2010,"SR_cov_resid",0.312269365160085,0,0,NA,NA,NA,"arena2",NA,NA
"25",26,"Portage",2013,1855,2011,"SR_cov_resid",-2.76094953064122,0,0,NA,NA,NA,"arena2",NA,NA
"26",27,"Quesnel",2008,1917,2006,"SR_cov_resid",0.17607715548743,0,0,NA,NA,NA,"arena2",NA,NA
"27",28,"Quesnel",2012,1921,2010,"SR_cov_resid",0.551398321188551,4,0,0,NA,NA,"arena2",-0.369967843222274,NA
"28",29,"Quesnel",2013,1922,2011,"SR_cov_resid",-1.11916717140012,0,0,NA,NA,NA,"arena2",NA,NA
"29",30,"Quesnel",2015,1924,2013,"SR_cov_resid",-1.25651342926018,8,0,0,-1,0,"arena2",-0.369967843222274,-0.522817011453733
"30",31,"Raft",2012,1988,2010,"SR_cov_resid",0.921330610853227,0,0,NA,NA,NA,"arena2",NA,NA
"31",32,"Raft",2013,1989,2011,"SR_cov_resid",0.285596373739357,0,0,NA,NA,NA,"arena2",NA,NA
"32",33,"Raft",2015,1991,2013,"SR_cov_resid",-1.63954921242504,0,0,NA,NA,NA,"arena2",NA,NA
"33",34,"Scotch",2008,2035,2006,"SR_cov_resid",0.367592322115916,3,0,NA,NA,NA,"arena2",-0.369967843222274,NA
"34",35,"Scotch",2012,2039,2010,"SR_cov_resid",-0.581486679711928,0,0,NA,NA,NA,"arena2",NA,NA
"35",36,"Seymour",2008,2102,2006,"SR_cov_resid",0.923360797503033,0,0,NA,NA,NA,"arena2",NA,NA
"36",37,"Seymour",2011,2105,2009,"SR_cov_resid",1.07400822811678,19,4,0.210526315789474,76268.5993201747,16056.5472252999,"arena2",2.03376886723547,1.77735105376261
"37",38,"Seymour",2012,2106,2010,"SR_cov_resid",-0.654741715033726,0,0,NA,NA,NA,"arena2",NA,NA
"38",39,"Stellako",2011,2172,2009,"SR_cov_resid",1.26276082483126,2,0,NA,NA,NA,"arena2",-0.369967843222274,NA
"39",40,"Stellako",2012,2173,2010,"SR_cov_resid",1.08126350830362,0,0,NA,NA,NA,"arena2",NA,NA
"40",41,"Stellako",2013,2174,2011,"SR_cov_resid",-1.07113210474373,0,0,NA,NA,NA,"arena2",NA,NA
"41",42,"Stellako",2015,2176,2013,"SR_cov_resid",-0.385136581427814,3,0,NA,NA,NA,"arena2",-0.369967843222274,NA
"42",43,"Weaver",2012,2224,2010,"SR_cov_resid",-0.703881337982957,0,0,NA,NA,NA,"arena2",NA,NA
"43",44,"Weaver",2015,2227,2013,"SR_cov_resid",-0.200278242308706,4,0,0,NA,NA,"arena2",-0.369967843222274,NA
"44",45,"Bowron",2012,1243,2010,"SR_cov_resid",-0.225381335491589,1,1,NA,499.6631893,0,"c_b_cys",0.613794043266389,-0.354082787030399
"45",46,"Chilko",2008,1306,2006,"SR_cov_resid",1.14899509342246,7,7,1,109225.037072003,0,"c_b_cys",0.613794043266389,5.69330637247
"46",47,"Chilko",2011,1309,2009,"SR_cov_resid",0.30629425435431,29,29,1,15104.2267308259,NA,"c_b_cys",0.613794043266389,0.458234302221838
"47",48,"Chilko",2012,1310,2010,"SR_cov_resid",0.685458079567512,92,89,0.967391304347826,1723.0023806377,0,"c_b_cys",0.46292830252332,-0.286039717598705
"48",49,"Chilko",2013,1311,2011,"SR_cov_resid",0.606684688038082,197,195,0.989847715736041,17976.1359398825,0,"c_b_cys",0.566823998771087,0.617972107645759
"49",50,"Chilko",2014,1312,2012,"SR_cov_resid",0.742058742143178,30,30,1,6133.93712026,NA,"c_b_cys",0.613794043266389,-0.0407001250539768
"50",51,"Chilko",2015,1313,2013,"SR_cov_resid",-1.10092223207761,23,22,0.956521739130435,1785.78259836277,0,"c_b_cys",0.412639722275631,-0.282547833463993
"51",52,"E.Stuart",2011,1376,2009,"SR_cov_resid",1.44680538823869,6,4,0.666666666666667,49.3291735975,NA,"c_b_cys",-0.928389084329428,-0.379130712344057
"52",53,"E.Stuart",2012,1377,2010,"SR_cov_resid",-1.08380699220204,1,1,NA,8.797510275,0,"c_b_cys",0.613794043266389,-0.381385114721716
"53",54,"Gates",2012,1479,2010,"SR_cov_resid",-1.14368456200958,11,8,0.727272727272727,169.882787358,0,"c_b_cys",-0.647992152039282,-0.372425427358969
"54",55,"Gates",2013,1480,2011,"SR_cov_resid",-0.341710855951546,40,30,0.75,1702.99081165597,0,"c_b_cys",-0.542843302430475,-0.287152776501177
"55",56,"Gates",2015,1482,2013,"SR_cov_resid",0.354033138866531,24,15,0.625,513.048225819533,0,"c_b_cys",-1.12116197527891,-0.353338300974779
"56",58,"L.Shuswap",2008,1609,2006,"SR_cov_resid",0.0352282062004946,10,10,1,17319.372664666,0,"c_b_cys",0.613794043266389,0.581442427690948
"57",59,"L.Shuswap",2011,1612,2009,"SR_cov_resid",0.402581932474835,49,42,0.857142857142857,1927.64108224783,NA,"c_b_cys",-0.0471415828461052,-0.274657555169294
"58",60,"L.Shuswap",2012,1613,2010,"SR_cov_resid",0.151575729188111,160,153,0.95625,4860.03866589002,0,"c_b_cys",0.411382507769438,-0.111555339693868
"59",61,"L.Shuswap",2013,1614,2011,"SR_cov_resid",-2.36261739558641,25,25,1,4993.2563128302,0,"c_b_cys",0.613794043266389,-0.10414567141506
"60",62,"L.Shuswap",2015,1616,2013,"SR_cov_resid",-1.3548508906092,13,13,1,3857.65951456585,0,"c_b_cys",0.613794043266389,-0.167308441264865
"61",63,"L.Stuart",2011,1679,2009,"SR_cov_resid",0.191652182985228,6,5,0.833333333333333,557.5438313278,NA,"c_b_cys",-0.157297520531521,-0.350863421075203
"62",64,"L.Stuart",2012,1680,2010,"SR_cov_resid",-0.319192535759027,1,0,NA,NA,NA,"c_b_cys",-4.01275533952107,NA
"63",65,"L.Stuart",2015,1683,2013,"SR_cov_resid",-0.366438470616542,27,24,0.888888888888889,1195.8936127625,0,"c_b_cys",0.0997330007344499,-0.315357913847587
"64",66,"Nadina",2008,1720,2006,"SR_cov_resid",0.735704110870947,1,1,NA,18.28084903,0,"c_b_cys",0.613794043266389,-0.380857644105292
"65",67,"Pitt",2012,1791,2010,"SR_cov_resid",0.0394305874891034,1,1,NA,5293.250869,0,"c_b_cys",0.613794043266389,-0.0874597428033304
"66",68,"Pitt",2013,1792,2011,"SR_cov_resid",1.12999545549457,30,9,0.3,3.20752436188889,0,"c_b_cys",-2.62479052468483,-0.381696034049979
"67",69,"Portage",2012,1854,2010,"SR_cov_resid",0.312269365160085,5,5,1,1376.219754307,0,"c_b_cys",0.613794043266389,-0.305328034762257
"68",70,"Portage",2013,1855,2011,"SR_cov_resid",-2.76094953064122,30,15,0.5,500.522250501133,0,"c_b_cys",-1.69948064812734,-0.354035005383764
"69",71,"Quesnel",2008,1917,2006,"SR_cov_resid",0.17607715548743,1,1,NA,7.881013748,0,"c_b_cys",0.613794043266389,-0.381436090965478
"70",72,"Quesnel",2012,1921,2010,"SR_cov_resid",0.551398321188551,25,20,0.8,1751.36357895175,0,"c_b_cys",-0.311515833291102,-0.284462245872373
"71",73,"Quesnel",2013,1922,2011,"SR_cov_resid",-1.11916717140012,95,75,0.789473684210526,1468.97754899793,0,"c_b_cys",-0.360216353109919,-0.300168774673823
"72",74,"Quesnel",2015,1924,2013,"SR_cov_resid",-1.25651342926018,44,31,0.704545454545455,2580.98596283971,0,"c_b_cys",-0.753141001648084,-0.238318008960247
"73",75,"Raft",2012,1988,2010,"SR_cov_resid",0.921330610853227,1,1,NA,5380.25969,0,"c_b_cys",0.613794043266389,-0.0826202450659948
"74",76,"Raft",2013,1989,2011,"SR_cov_resid",0.285596373739357,16,16,1,1787.95769272225,0,"c_b_cys",0.613794043266389,-0.282426853037983
"75",77,"Raft",2015,1991,2013,"SR_cov_resid",-1.63954921242504,29,19,0.655172413793103,5036.59481286432,0,"c_b_cys",-0.981567812867218,-0.101735150614478
"76",78,"Scotch",2008,2035,2006,"SR_cov_resid",0.367592322115916,4,4,1,46043.7622975,0,"c_b_cys",0.613794043266389,2.1791151353173
"77",79,"Scotch",2012,2039,2010,"SR_cov_resid",-0.581486679711928,22,22,1,3468.58379927182,0,"c_b_cys",0.613794043266389,-0.188949132658876
"78",80,"Seymour",2008,2102,2006,"SR_cov_resid",0.923360797503033,1,1,NA,2923.581507,0,"c_b_cys",0.613794043266389,-0.219262580536674
"79",81,"Seymour",2011,2105,2009,"SR_cov_resid",1.07400822811678,13,11,0.846153846153846,1368.07473269455,NA,"c_b_cys",-0.0979827848547584,-0.305781067146916
"80",82,"Seymour",2012,2106,2010,"SR_cov_resid",-0.654741715033726,19,19,1,4480.08792915579,0,"c_b_cys",0.613794043266389,-0.132688492741928
"81",83,"Stellako",2011,2172,2009,"SR_cov_resid",1.26276082483126,2,2,NA,58.9842545195,NA,"c_b_cys",0.613794043266389,-0.378593689295833
"82",84,"Stellako",2012,2173,2010,"SR_cov_resid",1.08126350830362,6,6,1,2287.84369775267,0,"c_b_cys",0.613794043266389,-0.254622807856513
"83",85,"Stellako",2013,2174,2011,"SR_cov_resid",-1.07113210474373,47,44,0.936170212765957,1189.13517558452,0,"c_b_cys",0.318482380535273,-0.315733823336473
"84",86,"Stellako",2015,2176,2013,"SR_cov_resid",-0.385136581427814,17,17,1,5790.04053069759,0,"c_b_cys",0.613794043266389,-0.0598279186263631
"85",87,"Weaver",2012,2224,2010,"SR_cov_resid",-0.703881337982957,1,1,NA,5731.289993,0,"c_b_cys",0.613794043266389,-0.0630956688496967
"86",88,"Weaver",2015,2227,2013,"SR_cov_resid",-0.200278242308706,22,12,0.545454545454545,208.451667641167,0,"c_b_cys",-1.48918294890973,-0.370280196487929
"87",89,"Bowron",2012,1243,2010,"SR_cov_resid",-0.225381335491589,1,0,NA,NA,NA,"ce_sha",-0.406775875417327,NA
"88",90,"Chilko",2008,1306,2006,"SR_cov_resid",1.14899509342246,7,0,0,NA,NA,"ce_sha",-0.406775875417327,NA
"89",91,"Chilko",2011,1309,2009,"SR_cov_resid",0.30629425435431,29,1,0.0344827586206897,0.032965598,0.00113674475862069,"ce_sha",-0.0666623879080015,-0.555610489301594
"90",92,"Chilko",2012,1310,2010,"SR_cov_resid",0.685458079567512,92,2,0.0217391304347826,4.512205489,0.098091423673913,"ce_sha",-0.1923565028571,-0.404931417589019
"91",93,"Chilko",2013,1311,2011,"SR_cov_resid",0.606684688038082,197,2,0.0101522842639594,9.1143140285,0.0925311068883249,"ce_sha",-0.30664094000849,-0.250119114714667
"92",94,"Chilko",2014,1312,2012,"SR_cov_resid",0.742058742143178,30,0,0,NA,NA,"ce_sha",-0.406775875417327,NA
"93",95,"Chilko",2015,1313,2013,"SR_cov_resid",-1.10092223207761,23,0,0,NA,NA,"ce_sha",-0.406775875417327,NA
"94",96,"E.Stuart",2011,1376,2009,"SR_cov_resid",1.44680538823869,6,1,0.166666666666667,1.683702419,0.280617069833333,"ce_sha",1.23710598087775,-0.500080645425669
"95",97,"E.Stuart",2012,1377,2010,"SR_cov_resid",-1.08380699220204,1,0,NA,NA,NA,"ce_sha",-0.406775875417327,NA
"96",98,"Gates",2012,1479,2010,"SR_cov_resid",-1.14368456200958,11,0,0,NA,NA,"ce_sha",-0.406775875417327,NA
"97",99,"Gates",2013,1480,2011,"SR_cov_resid",-0.341710855951546,40,1,0.025,3.500861691,0.087521542275,"ce_sha",-0.160193596973066,-0.438952445346675
"98",100,"Gates",2015,1482,2013,"SR_cov_resid",0.354033138866531,24,1,0.0416666666666667,116.1425806,4.83927419166667,"ce_sha",0.00419458865644106,3.35025064587863
"99",102,"L.Shuswap",2008,1609,2006,"SR_cov_resid",0.0352282062004946,10,1,0.1,38.12930064,3.812930064,"ce_sha",0.579553238359716,0.725928463616207
"100",103,"L.Shuswap",2011,1612,2009,"SR_cov_resid",0.402581932474835,49,2,0.0408163265306122,1.192786206,0.0486851512653061,"ce_sha",-0.00419256367159579,-0.516594786454846
"101",104,"L.Shuswap",2012,1613,2010,"SR_cov_resid",0.151575729188111,160,4,0.025,13.43000378575,0.33575009464375,"ce_sha",-0.160193596973066,-0.104941776093333
"102",105,"L.Shuswap",2013,1614,2011,"SR_cov_resid",-2.36261739558641,25,1,0.04,24.76875344,0.9907501376,"ce_sha",-0.01224422990651,0.27648728639482
"103",106,"L.Shuswap",2015,1616,2013,"SR_cov_resid",-1.3548508906092,13,0,0,NA,NA,"ce_sha",-0.406775875417327,NA
"104",107,"L.Stuart",2011,1679,2009,"SR_cov_resid",0.191652182985228,6,0,0,NA,NA,"ce_sha",-0.406775875417327,NA
"105",108,"L.Stuart",2012,1680,2010,"SR_cov_resid",-0.319192535759027,1,0,NA,NA,NA,"ce_sha",-0.406775875417327,NA
"106",109,"L.Stuart",2015,1683,2013,"SR_cov_resid",-0.366438470616542,27,1,0.037037037037037,4.122846549,0.152698020333333,"ce_sha",-0.0414687962406449,-0.41802922995671
"107",110,"Nadina",2008,1720,2006,"SR_cov_resid",0.735704110870947,1,0,NA,NA,NA,"ce_sha",-0.406775875417327,NA
"108",111,"Pitt",2012,1791,2010,"SR_cov_resid",0.0394305874891034,1,0,NA,NA,NA,"ce_sha",-0.406775875417327,NA
"109",112,"Pitt",2013,1792,2011,"SR_cov_resid",1.12999545549457,30,0,0,NA,NA,"ce_sha",-0.406775875417327,NA
"110",113,"Portage",2012,1854,2010,"SR_cov_resid",0.312269365160085,5,0,0,NA,NA,"ce_sha",-0.406775875417327,NA
"111",114,"Portage",2013,1855,2011,"SR_cov_resid",-2.76094953064122,30,0,0,NA,NA,"ce_sha",-0.406775875417327,NA
"112",115,"Quesnel",2008,1917,2006,"SR_cov_resid",0.17607715548743,1,0,NA,NA,NA,"ce_sha",-0.406775875417327,NA
"113",116,"Quesnel",2012,1921,2010,"SR_cov_resid",0.551398321188551,25,0,0,NA,NA,"ce_sha",-0.406775875417327,NA
"114",117,"Quesnel",2013,1922,2011,"SR_cov_resid",-1.11916717140012,95,0,0,NA,NA,"ce_sha",-0.406775875417327,NA
"115",118,"Quesnel",2015,1924,2013,"SR_cov_resid",-1.25651342926018,44,1,0.0227272727272727,76.89887348,1.74770167,"ce_sha",-0.182610167740727,2.03011475155357
"116",119,"Raft",2012,1988,2010,"SR_cov_resid",0.921330610853227,1,0,NA,NA,NA,"ce_sha",-0.406775875417327,NA
"117",120,"Raft",2013,1989,2011,"SR_cov_resid",0.285596373739357,16,2,0.125,3.503670236,0.4379587795,"ce_sha",0.826135516803976,-0.438857967496914
"118",121,"Raft",2015,1991,2013,"SR_cov_resid",-1.63954921242504,29,2,0.0689655172413793,0.9830623265,0.0677974018275862,"ce_sha",0.273451099601323,-0.523649777981983
"119",122,"Scotch",2008,2035,2006,"SR_cov_resid",0.367592322115916,4,0,0,NA,NA,"ce_sha",-0.406775875417327,NA
"120",123,"Scotch",2012,2039,2010,"SR_cov_resid",-0.581486679711928,22,1,0.0454545454545455,0.89252062,0.0405691190909091,"ce_sha",0.0415555399358746,-0.526695549277713
"121",124,"Seymour",2008,2102,2006,"SR_cov_resid",0.923360797503033,1,0,NA,NA,NA,"ce_sha",-0.406775875417327,NA
"122",125,"Seymour",2011,2105,2009,"SR_cov_resid",1.07400822811678,13,1,0.0769230769230769,0.75237512,0.0578750092307692,"ce_sha",0.35193882748809,-0.531409963856651
"123",126,"Seymour",2012,2106,2010,"SR_cov_resid",-0.654741715033726,19,1,0.0526315789473684,20.07303991,1.05647578473684,"ce_sha",0.112344710781116,0.118526165100507
"124",127,"Stellako",2011,2172,2009,"SR_cov_resid",1.26276082483126,2,0,NA,NA,NA,"ce_sha",-0.406775875417327,NA
"125",128,"Stellako",2012,2173,2010,"SR_cov_resid",1.08126350830362,6,0,0,NA,NA,"ce_sha",-0.406775875417327,NA
"126",129,"Stellako",2013,2174,2011,"SR_cov_resid",-1.07113210474373,47,4,0.0851063829787234,0.72683533675,0.0618583265319149,"ce_sha",0.432653157584411,-0.532269107578688
"127",130,"Stellako",2015,2176,2013,"SR_cov_resid",-0.385136581427814,17,2,0.117647058823529,3.353120756,0.394484794823529,"ce_sha",0.753611317261543,-0.443922366021046
"128",131,"Weaver",2012,2224,2010,"SR_cov_resid",-0.703881337982957,1,0,NA,NA,NA,"ce_sha",-0.406775875417327,NA
"129",132,"Weaver",2015,2227,2013,"SR_cov_resid",-0.200278242308706,22,14,0.636363636363636,7.17838458742857,4.56806291927273,"ce_sha",5.86986393952749,-0.315242675448219
"130",133,"Bowron",2012,1243,2010,"SR_cov_resid",-0.225381335491589,1,0,NA,NA,NA,"cr_sal",-0.152498570332605,NA
"131",134,"Chilko",2008,1306,2006,"SR_cov_resid",1.14899509342246,7,0,0,NA,NA,"cr_sal",-0.152498570332605,NA
"132",135,"Chilko",2011,1309,2009,"SR_cov_resid",0.30629425435431,29,0,0,NA,NA,"cr_sal",-0.152498570332605,NA
"133",136,"Chilko",2012,1310,2010,"SR_cov_resid",0.685458079567512,92,0,0,NA,NA,"cr_sal",-0.152498570332605,NA
