"","Stock_Analysis","Year","orderID","brood_year","metric","resid_value","N","posdet","prev","mean_load","prevload","agent"
"3","Chilko",2011,1309,2009,"SR_cov_resid",0.30629425435431,29,1,0.0344827586206897,0.358153377,0.0123501164482759,"arena2"
"4","Chilko",2012,1310,2010,"SR_cov_resid",0.685458079567512,56,3,0.0535714285714286,10.968791421,0.587613826125,"arena2"
"5","Chilko",2013,1311,2011,"SR_cov_resid",0.606684688038082,56,5,0.0892857142857143,15.4560880852,1.38000786475,"arena2"
"6","Chilko",2014,1312,2012,"SR_cov_resid",0.742058742143178,30,1,0.0333333333333333,2.794153965,0.0931384655,"arena2"
"9","Gates",2013,1480,2011,"SR_cov_resid",-0.341710855951546,12,0,0,NA,NA,"arena2"
"19","Quesnel",2015,1924,2013,"SR_cov_resid",-1.25651342926018,23,1,0.0434782608695652,7.853917091,0.341474656130435,"arena2"
"33","Weaver",2015,2227,2013,"SR_cov_resid",-0.200278242308706,22,1,0.0454545454545455,3.322921603,0.151041891045455,"arena2"
"36","Chilko",2011,1309,2009,"SR_cov_resid",0.30629425435431,29,29,1,15104.2267308259,NA,"c_b_cys"
"37","Chilko",2012,1310,2010,"SR_cov_resid",0.685458079567512,92,89,0.967391304347826,1723.0023806377,0,"c_b_cys"
"38","Chilko",2013,1311,2011,"SR_cov_resid",0.606684688038082,197,195,0.989847715736041,17976.1359398825,0,"c_b_cys"
"39","Chilko",2014,1312,2012,"SR_cov_resid",0.742058742143178,30,30,1,6133.93712026,NA,"c_b_cys"
"40","Chilko",2015,1313,2013,"SR_cov_resid",-1.10092223207761,23,22,0.956521739130435,1785.78259836277,0,"c_b_cys"
"41","Gates",2012,1479,2010,"SR_cov_resid",-1.14368456200958,11,8,0.727272727272727,169.882787358,0,"c_b_cys"
"42","Gates",2013,1480,2011,"SR_cov_resid",-0.341710855951546,40,30,0.75,1702.99081165597,0,"c_b_cys"
"43","Gates",2015,1482,2013,"SR_cov_resid",0.354033138866531,24,15,0.625,513.048225819533,0,"c_b_cys"
"46","Pitt",2013,1792,2011,"SR_cov_resid",1.12999545549457,30,9,0.3,3.20752436188889,0,"c_b_cys"
"48","Portage",2013,1855,2011,"SR_cov_resid",-2.76094953064122,30,15,0.5,500.522250501133,0,"c_b_cys"
"50","Quesnel",2012,1921,2010,"SR_cov_resid",0.551398321188551,25,20,0.8,1751.36357895175,0,"c_b_cys"
"51","Quesnel",2013,1922,2011,"SR_cov_resid",-1.11916717140012,95,75,0.789473684210526,1468.97754899793,0,"c_b_cys"
"52","Quesnel",2015,1924,2013,"SR_cov_resid",-1.25651342926018,44,31,0.704545454545455,2580.98596283971,0,"c_b_cys"
"54","Raft",2013,1989,2011,"SR_cov_resid",0.285596373739357,16,16,1,1787.95769272225,0,"c_b_cys"
"55","Raft",2015,1991,2013,"SR_cov_resid",-1.63954921242504,29,19,0.655172413793103,5036.59481286432,0,"c_b_cys"
"57","Scotch",2012,2039,2010,"SR_cov_resid",-0.581486679711928,22,22,1,3468.58379927182,0,"c_b_cys"
"60","Seymour",2012,2106,2010,"SR_cov_resid",-0.654741715033726,19,19,1,4480.08792915579,0,"c_b_cys"
"63","Stellako",2013,2174,2011,"SR_cov_resid",-1.07113210474373,47,44,0.936170212765957,1189.13517558452,0,"c_b_cys"
"64","Stellako",2015,2176,2013,"SR_cov_resid",-0.385136581427814,17,17,1,5790.04053069759,0,"c_b_cys"
"66","Weaver",2015,2227,2013,"SR_cov_resid",-0.200278242308706,22,12,0.545454545454545,208.451667641167,0,"c_b_cys"
"69","Chilko",2011,1309,2009,"SR_cov_resid",0.30629425435431,29,1,0.0344827586206897,0.032965598,0.00113674475862069,"ce_sha"
"70","Chilko",2012,1310,2010,"SR_cov_resid",0.685458079567512,92,2,0.0217391304347826,4.512205489,0.098091423673913,"ce_sha"
"71","Chilko",2013,1311,2011,"SR_cov_resid",0.606684688038082,197,2,0.0101522842639594,9.1143140285,0.0925311068883249,"ce_sha"
"72","Chilko",2014,1312,2012,"SR_cov_resid",0.742058742143178,30,0,0,NA,NA,"ce_sha"
"73","Chilko",2015,1313,2013,"SR_cov_resid",-1.10092223207761,23,0,0,NA,NA,"ce_sha"
"74","Gates",2012,1479,2010,"SR_cov_resid",-1.14368456200958,11,0,0,NA,NA,"ce_sha"
"75","Gates",2013,1480,2011,"SR_cov_resid",-0.341710855951546,40,1,0.025,3.500861691,0.087521542275,"ce_sha"
"76","Gates",2015,1482,2013,"SR_cov_resid",0.354033138866531,24,1,0.0416666666666667,116.1425806,4.83927419166667,"ce_sha"
"79","Pitt",2013,1792,2011,"SR_cov_resid",1.12999545549457,30,0,0,NA,NA,"ce_sha"
"81","Portage",2013,1855,2011,"SR_cov_resid",-2.76094953064122,30,0,0,NA,NA,"ce_sha"
"83","Quesnel",2012,1921,2010,"SR_cov_resid",0.551398321188551,25,0,0,NA,NA,"ce_sha"
"84","Quesnel",2013,1922,2011,"SR_cov_resid",-1.11916717140012,95,0,0,NA,NA,"ce_sha"
"85","Quesnel",2015,1924,2013,"SR_cov_resid",-1.25651342926018,44,1,0.0227272727272727,76.89887348,1.74770167,"ce_sha"
"87","Raft",2013,1989,2011,"SR_cov_resid",0.285596373739357,16,2,0.125,3.503670236,0.4379587795,"ce_sha"
"88","Raft",2015,1991,2013,"SR_cov_resid",-1.63954921242504,29,2,0.0689655172413793,0.9830623265,0.0677974018275862,"ce_sha"
"90","Scotch",2012,2039,2010,"SR_cov_resid",-0.581486679711928,22,1,0.0454545454545455,0.89252062,0.0405691190909091,"ce_sha"
"93","Seymour",2012,2106,2010,"SR_cov_resid",-0.654741715033726,19,1,0.0526315789473684,20.07303991,1.05647578473684,"ce_sha"
"96","Stellako",2013,2174,2011,"SR_cov_resid",-1.07113210474373,47,4,0.0851063829787234,0.72683533675,0.0618583265319149,"ce_sha"
"97","Stellako",2015,2176,2013,"SR_cov_resid",-0.385136581427814,17,2,0.117647058823529,3.353120756,0.394484794823529,"ce_sha"
"99","Weaver",2015,2227,2013,"SR_cov_resid",-0.200278242308706,22,14,0.636363636363636,7.17838458742857,4.56806291927273,"ce_sha"
