"","Stock_Analysis","Year","orderID","brood_year","metric","resid_value","N","posdet","prev","mean_load","prevload","agent"
"13","Chilko",2010,1308,2008,"SR_cov_resid",-0.261094571360216,15,5,0.333333333333333,357.6595915512,119.2198638504,"arena2"
"14","Chilko",2011,1309,2009,"SR_cov_resid",0.30629425435431,63,8,0.126984126984127,2657.61888641113,337.475414147444,"arena2"
"15","Chilko",2012,1310,2010,"SR_cov_resid",0.685458079567512,19,14,0.736842105263158,229.674187116571,169.233611559579,"arena2"
"16","Chilko",2013,1311,2011,"SR_cov_resid",0.606684688038082,128,74,0.578125,197490.205410924,114174.02500319,"arena2"
"17","Chilko",2014,1312,2012,"SR_cov_resid",0.742058742143178,50,5,0.1,29708.7504532112,2970.87504532112,"arena2"
"18","Chilko",2015,1313,2013,"SR_cov_resid",-1.10092223207761,47,18,0.382978723404255,31352.6480958028,12007.3971430734,"arena2"
"19","Chilko",2016,1314,2014,"SR_cov_resid",0.658775634082524,20,14,0.7,206065.882017201,144246.117412041,"arena2"
"20","Chilko",2017,1315,2015,"SR_cov_resid",-1.67763415630698,12,10,0.833333333333333,39148.182875419,32623.4857295158,"arena2"
"21","Chilko",2018,1316,2016,"SR_cov_resid",-2.54325003204444,12,6,0.5,82.5599778111667,41.2799889055833,"arena2"
"32","Nadina",2014,1726,2012,"SR_cov_resid",-0.822405912433752,25,3,0.12,66844.825113148,8021.37901357776,"arena2"
"38","Pitt",2013,1792,2011,"SR_cov_resid",1.12999545549457,13,4,0.307692307692308,2.82205523075,0.868324686384615,"arena2"
"39","Pitt",2014,1793,2012,"SR_cov_resid",0.156150326932456,13,1,0.0769230769230769,83.49470928,6.42266994461538,"arena2"
"40","Pitt",2015,1794,2013,"SR_cov_resid",-0.564502240957588,29,16,0.551724137931034,7.8415266446875,4.32635952810345,"arena2"
"46","Quesnel",2011,1920,2009,"SR_cov_resid",-0.394221253181931,15,2,0.133333333333333,2.3600621055,0.3146749474,"arena2"
"47","Quesnel",2012,1921,2010,"SR_cov_resid",0.551398321188551,12,7,0.583333333333333,13.0512967368571,7.61325642983333,"arena2"
"49","Quesnel",2015,1924,2013,"SR_cov_resid",-1.25651342926018,83,30,0.36144578313253,13448.482209808,4860.89718426795,"arena2"
"50","Quesnel",2016,1925,2014,"SR_cov_resid",0.626351354981836,32,26,0.8125,135581.711349232,110160.140471251,"arena2"
"57","Scotch",2012,2039,2010,"SR_cov_resid",-0.581486679711928,17,13,0.764705882352941,2152857.81904309,1646303.03809177,"arena2"
"61","Scotch",2016,2043,2014,"SR_cov_resid",1.03152074279853,12,9,0.75,237420.100947402,178065.075710552,"arena2"
"66","Seymour",2012,2106,2010,"SR_cov_resid",-0.654741715033726,19,14,0.736842105263158,6322.234206028,4658.48836233642,"arena2"
"67","Seymour",2013,2107,2011,"SR_cov_resid",0.461501545221233,14,9,0.642857142857143,163597.417295495,105169.76826139,"arena2"
"68","Seymour",2015,2109,2013,"SR_cov_resid",-2.09607030824499,35,19,0.542857142857143,922635.432881649,500859.234992895,"arena2"
"75","Stellako",2014,2175,2012,"SR_cov_resid",-2.60983882500887,15,5,0.333333333333333,8.468460128,2.82282004266667,"arena2"
