"","2.5%","25%","50%","75%","97.5%",""
"b[(Intercept) Stock:Chilko]","-0.481459681092436","-0.0899035591979395","-0.000636550015425642","0.0797230863582236","0.408099903317414","arena2"
"b[(Intercept) Stock:Nadina]","-0.737520936925483","-0.12061753450578","-0.00520077272836547","0.0803047270654684","0.49877448361135","arena2"
"b[(Intercept) Stock:Pitt]","-0.362240587513203","-0.0334721901224349","0.0274317689492514","0.172409679845554","0.686761434505268","arena2"
"b[(Intercept) Stock:Quesnel]","-0.547099238585003","-0.111738125954832","-0.00703583062373023","0.064143050573303","0.460102862852954","arena2"
"b[(Intercept) Stock:Scotch]","-0.664841626885616","-0.105141659670207","-9.8455626888632e-06","0.0897596406470377","0.566045027011147","arena2"
"b[(Intercept) Stock:Seymour]","-0.973949214996643","-0.229363257612583","-0.0389367204253937","0.0207435902438288","0.296805337467611","arena2"
"b[(Intercept) Stock:Stellako]","-1.21848478083649","-0.301460072873948","-0.0600650400912044","0.010841518989139","0.290267109650612","arena2"
"b[(Intercept) Stock:Birkenhead]","-0.568839378477624","-0.108624861177323","-0.006060971079041","0.0620278983246418","0.408737744740189","c_b_cys"
"b[(Intercept) Stock:Chilko]","-0.466798123400509","-0.108482094673833","-0.00658740959609379","0.0537716510431261","0.34749852558363","c_b_cys"
"b[(Intercept) Stock:Gates]","-0.617769240760427","-0.109512520910712","-0.00488879488850562","0.0665985969918534","0.493293102757723","c_b_cys"
"b[(Intercept) Stock:Nadina]","-0.59149354881797","-0.100975737372186","-0.00291648597045684","0.0723943973162307","0.470559988211513","c_b_cys"
"b[(Intercept) Stock:Pitt]","-0.342106456265131","-0.0321631332537723","0.0239053375339901","0.158782898132643","0.747523638983868","c_b_cys"
"b[(Intercept) Stock:Quesnel]","-0.58916318078223","-0.147030466698198","-0.0218803916692701","0.032913768173732","0.298763699854224","c_b_cys"
"b[(Intercept) Stock:Scotch]","-0.577101097149362","-0.0832312753936582","-0.00160922022292914","0.0801552639042611","0.497685266204905","c_b_cys"
"b[(Intercept) Stock:Seymour]","-0.799061562860639","-0.171784567921219","-0.0263211902347346","0.0296129322130633","0.302272409246761","c_b_cys"
"b[(Intercept) Stock:Stellako]","-0.964638044879707","-0.280981944393987","-0.0623167304700172","0.00562652786085287","0.187515165245678","c_b_cys"
"b[(Intercept) Stock:Birkenhead]","-0.693205481774411","-0.117425671738093","-0.000101821449515142","0.115580183413354","0.697821419926549","ce_sha"
"b[(Intercept) Stock:Chilko]","-0.496303543975816","-0.116531669174422","-0.0090002599012112","0.0732308636425313","0.387659875212448","ce_sha"
"b[(Intercept) Stock:Gates]","-0.813941760090019","-0.157230402801932","-0.00812435173414244","0.0733104752668394","0.504405849583291","ce_sha"
"b[(Intercept) Stock:Nadina]","-0.898419210545291","-0.163764234360229","-0.0157143224720782","0.0655360415995151","0.511482785979221","ce_sha"
"b[(Intercept) Stock:Pitt]","-0.333130205690059","-0.0198785339624345","0.0578600714635973","0.275260115069148","0.840728495334491","ce_sha"
"b[(Intercept) Stock:Quesnel]","-0.76864103244777","-0.206063767745562","-0.0397240876921368","0.0329303475213733","0.323771859595823","ce_sha"
"b[(Intercept) Stock:Scotch]","-0.749734126245503","-0.13496523738572","-0.00438236494812369","0.0862410949655371","0.566490701756715","ce_sha"
"b[(Intercept) Stock:Seymour]","-0.83473281924865","-0.261144106900907","-0.0616910940346007","0.015327669079625","0.292433736615173","ce_sha"
"b[(Intercept) Stock:Stellako]","-1.24548176689596","-0.458874326133407","-0.143018107912574","-0.00629237218114032","0.173800028159011","ce_sha"
"b[(Intercept) Stock:Chilko]","-0.468339721796287","-0.0926536179670416","-0.000260111523228546","0.0953854749334932","0.429962093404578","Circo.virus"
"b[(Intercept) Stock:Nadina]","-1.15124936371437","-0.259976611803474","-0.0459675197820123","0.0250638124587311","0.373324983718082","Circo.virus"
"b[(Intercept) Stock:Pitt]","-0.378642528675043","-0.0361889224414709","0.0319852929459615","0.190983317783383","0.775619884824617","Circo.virus"
"b[(Intercept) Stock:Quesnel]","-0.505752765093333","-0.0906607524341185","0.000883204720195834","0.0936867703317075","0.476080133940331","Circo.virus"
"b[(Intercept) Stock:Scotch]","-1.00808815602667","-0.208651145750551","-0.0350920927247917","0.0345046402701673","0.396701393665376","Circo.virus"
"b[(Intercept) Stock:Seymour]","-1.00940915624409","-0.346301446324314","-0.101540400886502","0.00252263268951084","0.245626989733284","Circo.virus"
"b[(Intercept) Stock:Stellako]","-0.454560216812897","-0.0558896798869693","0.0207322738177815","0.18154905230198","0.846694456271046","Circo.virus"
"b[(Intercept) Stock:Birkenhead]","-0.647896959933611","-0.11873036707518","-0.00780487964820952","0.0581295943532635","0.488228654704812","de_sal"
"b[(Intercept) Stock:Chilko]","-0.504816940703675","-0.11811138346932","-0.0138216574324464","0.0445331176487594","0.312372501530529","de_sal"
"b[(Intercept) Stock:Gates]","-0.623351885599941","-0.104988001921572","-0.00266942383633697","0.0778184439951854","0.599186651735601","de_sal"
"b[(Intercept) Stock:Nadina]","-0.710865131407936","-0.122382961042519","-0.00862603212974119","0.0604498841559103","0.499278038952254","de_sal"
"b[(Intercept) Stock:Pitt]","-0.345343886659715","-0.0346273641960741","0.0269783515479463","0.182523193828407","0.8049037837584","de_sal"
