"","V1","V2","V3"
"prev_std","1.00014586598439","arena2","Rhat"
"b[(Intercept) Year:2010]","0.999322743874114","arena2","Rhat"
"b[(Intercept) Year:2011]","1.00034899328875","arena2","Rhat"
"b[(Intercept) Year:2012]","1.0003173592855","arena2","Rhat"
"b[(Intercept) Year:2013]","0.999838553633653","arena2","Rhat"
"b[(Intercept) Year:2014]","0.999978173635406","arena2","Rhat"
"b[(Intercept) Year:2015]","1.00113663611134","arena2","Rhat"
"b[(Intercept) Year:2016]","1.00078211990233","arena2","Rhat"
"b[(Intercept) Year:2017]","0.999884031031417","arena2","Rhat"
"b[(Intercept) Year:2018]","1.00394808501225","arena2","Rhat"
"b[(Intercept) Stock:Chilko]","0.999648059418394","arena2","Rhat"
"b[prev_std Stock:Chilko]","1.00162039194234","arena2","Rhat"
"b[(Intercept) Stock:Nadina]","0.999801948525646","arena2","Rhat"
"b[prev_std Stock:Nadina]","1.00078314891899","arena2","Rhat"
"b[(Intercept) Stock:Pitt]","1.00143279515294","arena2","Rhat"
"b[prev_std Stock:Pitt]","1.00109007769902","arena2","Rhat"
"b[(Intercept) Stock:Quesnel]","0.999885804570641","arena2","Rhat"
"b[prev_std Stock:Quesnel]","0.999528704327393","arena2","Rhat"
"b[(Intercept) Stock:Scotch]","0.99949620391993","arena2","Rhat"
"b[prev_std Stock:Scotch]","1.00120582259336","arena2","Rhat"
"b[(Intercept) Stock:Seymour]","1.00095512249492","arena2","Rhat"
"b[prev_std Stock:Seymour]","1.00058768983769","arena2","Rhat"
"b[(Intercept) Stock:Stellako]","1.00325861566408","arena2","Rhat"
"b[prev_std Stock:Stellako]","1.00331764273137","arena2","Rhat"
"sigma","1.0018003629727","arena2","Rhat"
"Sigma[Year:(Intercept),(Intercept)]","1.003406532684","arena2","Rhat"
"Sigma[Stock:(Intercept),(Intercept)]","1.00246440285068","arena2","Rhat"
"Sigma[Stock:prev_std,(Intercept)]","1.00185830951353","arena2","Rhat"
"Sigma[Stock:prev_std,prev_std]","1.00506762391119","arena2","Rhat"
"mean_PPD","1.00026506914325","arena2","Rhat"
"log-posterior","1.0081816432779","arena2","Rhat"
"prev_std","1.00138635766939","c_b_cys","Rhat"
"b[(Intercept) Year:2009]","0.99960008027969","c_b_cys","Rhat"
"b[(Intercept) Year:2010]","1.00033500546231","c_b_cys","Rhat"
"b[(Intercept) Year:2011]","0.999467359997612","c_b_cys","Rhat"
"b[(Intercept) Year:2012]","0.999971544139773","c_b_cys","Rhat"
"b[(Intercept) Year:2013]","0.999821926344009","c_b_cys","Rhat"
"b[(Intercept) Year:2014]","1.00070943682957","c_b_cys","Rhat"
"b[(Intercept) Year:2015]","1.00129120247182","c_b_cys","Rhat"
"b[(Intercept) Year:2016]","1.00018154325714","c_b_cys","Rhat"
"b[(Intercept) Year:2017]","1.00346097968792","c_b_cys","Rhat"
"b[(Intercept) Year:2018]","1.00235704385182","c_b_cys","Rhat"
"b[(Intercept) Stock:Birkenhead]","0.999665572327253","c_b_cys","Rhat"
"b[prev_std Stock:Birkenhead]","1.00048001017818","c_b_cys","Rhat"
"b[(Intercept) Stock:Chilko]","0.999664980432281","c_b_cys","Rhat"
"b[prev_std Stock:Chilko]","1.0004556013306","c_b_cys","Rhat"
"b[(Intercept) Stock:Gates]","0.999329056540095","c_b_cys","Rhat"
"b[prev_std Stock:Gates]","0.999418504963379","c_b_cys","Rhat"
"b[(Intercept) Stock:Nadina]","1.00025712932137","c_b_cys","Rhat"
"b[prev_std Stock:Nadina]","0.999487551931568","c_b_cys","Rhat"
"b[(Intercept) Stock:Pitt]","1.00127281687042","c_b_cys","Rhat"
"b[prev_std Stock:Pitt]","1.00019088859361","c_b_cys","Rhat"
"b[(Intercept) Stock:Quesnel]","1.00043189899766","c_b_cys","Rhat"
"b[prev_std Stock:Quesnel]","0.999483490178359","c_b_cys","Rhat"
"b[(Intercept) Stock:Scotch]","0.999476164078556","c_b_cys","Rhat"
"b[prev_std Stock:Scotch]","0.999604725247194","c_b_cys","Rhat"
"b[(Intercept) Stock:Seymour]","1.0013548349703","c_b_cys","Rhat"
"b[prev_std Stock:Seymour]","0.999712966231083","c_b_cys","Rhat"
"b[(Intercept) Stock:Stellako]","1.0009015505007","c_b_cys","Rhat"
"b[prev_std Stock:Stellako]","1.0015241245673","c_b_cys","Rhat"
"sigma","1.00146822266066","c_b_cys","Rhat"
"Sigma[Year:(Intercept),(Intercept)]","1.00211085823286","c_b_cys","Rhat"
"Sigma[Stock:(Intercept),(Intercept)]","1.00126830527905","c_b_cys","Rhat"
"Sigma[Stock:prev_std,(Intercept)]","1.00089313233253","c_b_cys","Rhat"
"Sigma[Stock:prev_std,prev_std]","1.00053940719713","c_b_cys","Rhat"
"mean_PPD","1.00106900581682","c_b_cys","Rhat"
"log-posterior","1.00509212871288","c_b_cys","Rhat"
"prev_std","1.0054209444178","ce_sha","Rhat"
"b[(Intercept) Year:2009]","1.00023330103035","ce_sha","Rhat"
"b[(Intercept) Year:2010]","0.999371925941052","ce_sha","Rhat"
"b[(Intercept) Year:2011]","0.999400977552209","ce_sha","Rhat"
"b[(Intercept) Year:2012]","1.0008479946021","ce_sha","Rhat"
"b[(Intercept) Year:2013]","1.00143461258002","ce_sha","Rhat"
"b[(Intercept) Year:2014]","1.00219652644536","ce_sha","Rhat"
"b[(Intercept) Year:2015]","1.0071459088561","ce_sha","Rhat"
"b[(Intercept) Year:2016]","1.00252140353709","ce_sha","Rhat"
"b[(Intercept) Year:2017]","1.00324797299767","ce_sha","Rhat"
"b[(Intercept) Year:2018]","1.00354074228055","ce_sha","Rhat"
"b[(Intercept) Stock:Birkenhead]","0.999360703640154","ce_sha","Rhat"
"b[prev_std Stock:Birkenhead]","1.00289403552227","ce_sha","Rhat"
"b[(Intercept) Stock:Chilko]","1.00025764909796","ce_sha","Rhat"
"b[prev_std Stock:Chilko]","1.00405531379438","ce_sha","Rhat"
"b[(Intercept) Stock:Gates]","0.999941165406273","ce_sha","Rhat"
"b[prev_std Stock:Gates]","1.00143582287243","ce_sha","Rhat"
"b[(Intercept) Stock:Nadina]","1.00063908604577","ce_sha","Rhat"
"b[prev_std Stock:Nadina]","1.00113317677061","ce_sha","Rhat"
"b[(Intercept) Stock:Pitt]","1.00197289368016","ce_sha","Rhat"
"b[prev_std Stock:Pitt]","1.00231979691998","ce_sha","Rhat"
"b[(Intercept) Stock:Quesnel]","1.00190575502813","ce_sha","Rhat"
"b[prev_std Stock:Quesnel]","1.00210189648563","ce_sha","Rhat"
"b[(Intercept) Stock:Scotch]","0.999854010814476","ce_sha","Rhat"
"b[prev_std Stock:Scotch]","0.999427192908497","ce_sha","Rhat"
"b[(Intercept) Stock:Seymour]","1.00129561830409","ce_sha","Rhat"
"b[prev_std Stock:Seymour]","1.00176726128597","ce_sha","Rhat"
"b[(Intercept) Stock:Stellako]","1.00244131091645","ce_sha","Rhat"
"b[prev_std Stock:Stellako]","1.00194333836063","ce_sha","Rhat"
"sigma","1.00474661690923","ce_sha","Rhat"
"Sigma[Year:(Intercept),(Intercept)]","1.00244109866728","ce_sha","Rhat"
"Sigma[Stock:(Intercept),(Intercept)]","1.00193924088066","ce_sha","Rhat"
"Sigma[Stock:prev_std,(Intercept)]","1.00081631219183","ce_sha","Rhat"
"Sigma[Stock:prev_std,prev_std]","1.00266240637841","ce_sha","Rhat"
"mean_PPD","1.00094986515687","ce_sha","Rhat"
"log-posterior","1.01068280595732","ce_sha","Rhat"
"prev_std","1.0014745989262","Circo.virus","Rhat"
"b[(Intercept) Year:2010]","1.00083318224821","Circo.virus","Rhat"
"b[(Intercept) Year:2011]","0.999462962229091","Circo.virus","Rhat"
