"","2.5","25","50","75","97.5","agent"
"prev_std","-0.882277852858194","-0.369077144061586","-0.149446765584325","0.0791018787790639","0.550956399739819","arena2"
"b.prev_std.Stock.Chilko.","-0.998389755919484","-0.511758140249972","-0.269085728775848","-0.0440882508331597","0.361561182974513","arena2"
"b.prev_std.Stock.Nadina.","-0.915977764154674","-0.366375819956155","-0.107179091414952","0.166082189161378","0.809696658435419","arena2"
"b.prev_std.Stock.Pitt.","-1.01476877448896","-0.481402536985349","-0.219171302993597","0.0120213734594762","0.510771092938491","arena2"
"b.prev_std.Stock.Quesnel.","-0.879087361082898","-0.340593588038024","-0.0989335306280123","0.170382211218858","0.675595720680169","arena2"
"b.prev_std.Stock.Scotch.","-1.07841642830983","-0.457623648645112","-0.182696134280262","0.0866742559963867","0.753131395372861","arena2"
"b.prev_std.Stock.Seymour.","-1.15653542344809","-0.482455713581855","-0.208369336955877","0.081392311372624","0.851559422063265","arena2"
"b.prev_std.Stock.Stellako.","-0.840733884007267","-0.271786663278184","0.0131918820782847","0.401062877426358","1.6814528939989","arena2"
"prev_std","-0.485575582345348","-0.156958007033628","0.0145934625809122","0.180564834246692","0.567965314330076","c_b_cys"
"b.prev_std.Stock.Birkenhead.","-0.61802146023233","-0.18486669430978","0.00889394779868716","0.20183336591486","0.785899985357436","c_b_cys"
"b.prev_std.Stock.Chilko.","-0.508986448944617","-0.159460577820407","0.0211332947813524","0.196377357284185","0.588364580098428","c_b_cys"
"b.prev_std.Stock.Gates.","-0.747094093201279","-0.2026403755303","0.00206716201779818","0.208542380530179","0.828689976091429","c_b_cys"
"b.prev_std.Stock.Nadina.","-0.576372150701376","-0.165352807539576","0.0249244061693925","0.220421424113027","0.686593685360536","c_b_cys"
"b.prev_std.Stock.Pitt.","-0.567305716898214","-0.232677776182838","-0.0534640416046544","0.100407223605111","0.435278948723805","c_b_cys"
"b.prev_std.Stock.Quesnel.","-0.509229792071882","-0.151162314237757","0.0324394133870159","0.217040260040826","0.676691579091544","c_b_cys"
"b.prev_std.Stock.Scotch.","-0.611135083696323","-0.180408172821175","0.00484547060323127","0.208681076184988","0.700282569266412","c_b_cys"
"b.prev_std.Stock.Seymour.","-0.768208223722395","-0.236284059998196","-0.0270036236869539","0.168220900718174","0.671812859086757","c_b_cys"
"b.prev_std.Stock.Stellako.","-0.585971445716224","-0.150101459258067","0.041193336979476","0.26122566567604","1.06482923208477","c_b_cys"
"prev_std","-0.430771807333854","-0.127659658827703","0.029110753482408","0.184303966655013","0.552944161166183","ce_sha"
"b.prev_std.Stock.Birkenhead.","-0.63203230757375","-0.221556589107587","-0.0514673685086323","0.101639058466621","0.406857846054616","ce_sha"
"b.prev_std.Stock.Chilko.","-0.759893047750175","-0.322955501432907","-0.119553461673476","0.0416428028149919","0.352538461057225","ce_sha"
"b.prev_std.Stock.Gates.","-0.629308013420434","-0.146943591516707","0.0470941233180038","0.272156770122989","0.998605837549173","ce_sha"
"b.prev_std.Stock.Nadina.","-0.730499125197046","-0.163633001260686","0.0426784035069858","0.266610101701717","1.13354484322706","ce_sha"
"b.prev_std.Stock.Pitt.","-0.682886843267935","-0.219260546256938","-0.0310802763609206","0.156250695938588","0.621395245003514","ce_sha"
"b.prev_std.Stock.Quesnel.","-0.752862923303961","-0.191552072314679","0.00987105026609771","0.209508113113573","0.687716629792171","ce_sha"
"b.prev_std.Stock.Scotch.","-0.788012657850132","-0.180831007847692","0.0223373249575692","0.236740483354849","1.06147730975232","ce_sha"
"b.prev_std.Stock.Seymour.","-0.559726713897017","-0.100044578502604","0.105891399539172","0.382487477300253","1.28013355378632","ce_sha"
"b.prev_std.Stock.Stellako.","-0.339593531242315","0.0101766720157985","0.240356913367876","0.587278924597476","1.260262619883","ce_sha"
"prev_std","-1.08620742499249","-0.544622338874125","-0.295590696674722","-0.0339829696780292","0.711296459208364","Circo.virus"
"b.prev_std.Stock.Chilko.","-0.898929646170283","-0.529897654043357","-0.354039245087653","-0.175830757342893","0.220569591518133","Circo.virus"
"b.prev_std.Stock.Nadina.","-1.45422978756545","-0.554832754765446","-0.272121144851041","0.0528178556329151","1.4667467865895","Circo.virus"
"b.prev_std.Stock.Pitt.","-1.49681197448014","-0.604378205811132","-0.324702217258851","-0.0451098635274646","1.09757007292699","Circo.virus"
"b.prev_std.Stock.Quesnel.","-1.44847556457274","-0.596085809138496","-0.314369255771863","-0.0304635210260141","0.862382043862442","Circo.virus"
"b.prev_std.Stock.Scotch.","-1.37988779626109","-0.558225535171243","-0.279318210389543","0.0353498638089422","1.27709838158153","Circo.virus"
"b.prev_std.Stock.Seymour.","-1.41824887464984","-0.521722990713901","-0.231510749525847","0.102304450053217","1.55095179641072","Circo.virus"
"b.prev_std.Stock.Stellako.","-1.59988893191358","-0.618704931567364","-0.319949392851581","-0.0371420867816018","0.952600366264669","Circo.virus"
"prev_std","-0.324095572020249","0.076643527809048","0.258659575377728","0.439120921790389","0.860962576722849","de_sal"
"b.prev_std.Stock.Birkenhead.","-0.498759891028166","0.0480923874395679","0.249374348393018","0.476664481962487","1.19420296945363","de_sal"
"b.prev_std.Stock.Chilko.","-0.34861978779883","0.0953436272643874","0.283112128539604","0.486780407030605","0.910346399613774","de_sal"
"b.prev_std.Stock.Gates.","-0.482028145451265","0.0385271990946242","0.246587126149246","0.465633361688067","1.18081635805427","de_sal"
"b.prev_std.Stock.Nadina.","-0.442734412157594","0.0467709992996806","0.25382184264094","0.476932274590031","1.17034561872298","de_sal"
"b.prev_std.Stock.Pitt.","-0.60979073265222","-0.00917725827032623","0.216334625804205","0.436339635291835","1.12391543851301","de_sal"
"b.prev_std.Stock.Quesnel.","-0.372019943191977","0.079220225304953","0.273045908389062","0.497625074179936","1.23787002714946","de_sal"
"b.prev_std.Stock.Scotch.","-0.302604551747384","0.0627509475105204","0.240509447938695","0.39998093438815","0.735967606028321","de_sal"
"b.prev_std.Stock.Seymour.","-0.432958975498321","-0.0285535097796857","0.17111969037483","0.339355307151886","0.658531465247576","de_sal"
"b.prev_std.Stock.Stellako.","-0.441315680590997","0.0594174197744946","0.263459770892944","0.48082778191372","1.12087429041283","de_sal"
"prev_std","-0.156693187913645","0.143833479945165","0.302658635013843","0.465187369078336","0.952158602279449","fa_mar"
"b.prev_std.Stock.Birkenhead.","-0.326591914357029","0.121410208981841","0.307036935029555","0.513022555185932","1.2392915380492","fa_mar"
