"","2.5","25","50","75","97.5","agent"
"load_std","-0.305748468169921","-0.147240033096153","-0.0781401791712025","-0.00793947729926926","0.155738498753827","ic_hof"
"b.load_std.Stock.Birkenhead.","-0.494763293153261","-0.206614709834141","-0.0973458274766155","0.00443318906047889","0.246351431722949","ic_hof"
"b.load_std.Stock.Chilko.","-0.287877440855437","-0.126537627893479","-0.0457568490193302","0.0413378463730749","0.234415666353794","ic_hof"
"b.load_std.Stock.E.Stuart.","-0.500716351405633","-0.171636317162341","-0.0665866820433389","0.0536051520348914","0.417513211076814","ic_hof"
"b.load_std.Stock.Gates.","-0.231234601440858","-0.108700715911348","-0.0434391023693397","0.022070175670977","0.164221526076774","ic_hof"
"b.load_std.Stock.Harrison.","-0.564752559435671","-0.190874271383807","-0.0661271674078876","0.0776747796683041","0.571295923225552","ic_hof"
"b.load_std.Stock.L.Shuswap.","-0.602303374206692","-0.219164259797177","-0.109755331213397","-0.00487329657365474","0.226758648730383","ic_hof"
"b.load_std.Stock.L.Stuart.","-0.546772913041154","-0.195349887453339","-0.0892077790135375","0.031264694062844","0.384247654979612","ic_hof"
"b.load_std.Stock.Nadina.","-0.534731814446863","-0.184891102063341","-0.0888989806462007","0.00671250463276232","0.256966595816274","ic_hof"
"b.load_std.Stock.Pitt.","-0.465942668219911","-0.174965519138187","-0.0684890786738947","0.0484082364354195","0.461631897267671","ic_hof"
"b.load_std.Stock.Quesnel.","-0.303394992847301","-0.171180562434844","-0.111971104735027","-0.0550727334108615","0.0583026600582257","ic_hof"
"b.load_std.Stock.Scotch.","-0.538364435419619","-0.186658092332534","-0.0814053908559194","0.0243079680797878","0.367079582816055","ic_hof"
"b.load_std.Stock.Seymour.","-0.909182039658298","-0.337067268577835","-0.13928955200463","0.0018419192333636","0.419516385599617","ic_hof"
"b.load_std.Stock.Stellako.","-0.797617524462819","-0.268170387386047","-0.100894100070964","0.0392489227041007","0.453892188277947","ic_hof"
"b.load_std.Stock.Weaver.","-0.407648415298364","-0.16503672547179","-0.0645054979617666","0.0438816103277719","0.323999311258584","ic_hof"
"load_std","-0.462930347143954","-0.259883024625762","-0.174477933034218","-0.0860147775804886","0.0994150374229354","lo_sal"
"b.load_std.Stock.Birkenhead.","-0.688071244877078","-0.330326555905903","-0.200161321084467","-0.0804865663779791","0.193600741193457","lo_sal"
"b.load_std.Stock.Bowron.","-0.707428990186307","-0.309550028220421","-0.179481925656125","-0.0483073129314219","0.340760539972558","lo_sal"
"b.load_std.Stock.Chilko.","-0.589844147073291","-0.295781075209995","-0.178104575043732","-0.0415378606363428","0.282296999953195","lo_sal"
"b.load_std.Stock.E.Stuart.","-0.533564105080262","-0.235954728079751","-0.12102841548586","0.00584532678379673","0.354955384134388","lo_sal"
"b.load_std.Stock.Gates.","-0.634563317493616","-0.308318696130559","-0.176626671903502","-0.048862411142478","0.318610042723388","lo_sal"
"b.load_std.Stock.Harrison.","-0.534153805490177","-0.26967709339216","-0.148606582685068","0.0150652474476412","0.405606602325014","lo_sal"
"b.load_std.Stock.L.Shuswap.","-0.498761602434196","-0.32292715835148","-0.238401830639039","-0.151007541576908","0.00797724101434874","lo_sal"
"b.load_std.Stock.L.Stuart.","-0.934980794904302","-0.415932504332362","-0.231289272370406","-0.051693853012161","0.453775290357629","lo_sal"
"b.load_std.Stock.Pitt.","-1.01894119030906","-0.484333578643462","-0.269842609649528","-0.0706320291464207","0.435391945840404","lo_sal"
"b.load_std.Stock.Quesnel.","-0.575877417968374","-0.31751526538611","-0.19297850367815","-0.082942640502027","0.133150855684374","lo_sal"
"b.load_std.Stock.Raft.","-0.382518469965397","-0.194200353043327","-0.109707235021772","-0.018032620867497","0.189534499440455","lo_sal"
"b.load_std.Stock.Scotch.","-0.381553659384675","-0.200921582531767","-0.104947095129062","-0.00328221433026607","0.224449790540432","lo_sal"
"b.load_std.Stock.Seymour.","-0.516883180924749","-0.224791085549811","-0.104680215046862","0.0376991987097294","0.47478819953258","lo_sal"
"b.load_std.Stock.Stellako.","-0.788299702169798","-0.361666356342608","-0.210294050023539","-0.0544175720269062","0.407453752620656","lo_sal"
"b.load_std.Stock.Weaver.","-0.628319598764996","-0.274476830447797","-0.138783480138319","0.00490250696537876","0.426732981640242","lo_sal"
"load_std","-0.16745860523647","0.0301301007943651","0.122147353376332","0.210506866075288","0.462282376743773","ce_sha"
"b.load_std.Stock.Birkenhead.","-0.442896824852597","-0.0391553501831159","0.113856253224911","0.284450830940272","0.719650045833904","ce_sha"
"b.load_std.Stock.Bowron.","-0.597462737193337","-0.0714701500411324","0.104840830596292","0.284703417880464","0.817844926839216","ce_sha"
