"","2.5","25","50","75","97.5","agent"
"load_std","-0.210201917993969","0.0043160992623357","0.0794398607503872","0.157647512605674","0.291839349442681","ic_hof"
"b.load_std.Stock.Birkenhead.","-0.495209292261409","-0.0541548554782151","0.0709182880844172","0.177464119302292","0.419575307256747","ic_hof"
"b.load_std.Stock.Chilko.","-0.236165673737102","-0.00176412514417027","0.101901053954727","0.191770168473937","0.366986709550749","ic_hof"
"b.load_std.Stock.E.Stuart.","-0.50708302447759","-0.0506967865198577","0.0755847593822963","0.190517192957466","0.463099772731521","ic_hof"
"b.load_std.Stock.Gates.","0.00401092267500162","0.121210874140594","0.180541572086476","0.246570715898269","0.376842582592901","ic_hof"
"b.load_std.Stock.Harrison.","-0.27517523630297","-0.0101017010868111","0.0832150357877024","0.172563254350454","0.345963084861988","ic_hof"
"b.load_std.Stock.L.Shuswap.","-0.686396030459438","-0.146840968572161","0.0204210913245102","0.135569467793816","0.312349559017351","ic_hof"
"b.load_std.Stock.L.Stuart.","-0.39207942853595","-0.0201998288714909","0.101963219631808","0.206106283587574","0.537764238566379","ic_hof"
"b.load_std.Stock.Nadina.","-0.471554866044885","-0.0406664931648357","0.0887230670753945","0.19118002757149","0.472017594139525","ic_hof"
"b.load_std.Stock.Pitt.","-0.486768095141752","-0.0103897595245211","0.112777506031674","0.219665929804342","0.521539406941094","ic_hof"
"b.load_std.Stock.Quesnel.","-0.201722020071777","-0.0254368393398605","0.059672856796261","0.149589292738415","0.301259230231054","ic_hof"
"b.load_std.Stock.Raft.","-0.440663097750446","-0.0510397308948905","0.0882316624233277","0.192347265273497","0.476256022031544","ic_hof"
"b.load_std.Stock.Scotch.","-0.244532077347141","-0.0271848521465229","0.0727671989333361","0.169395349732023","0.344533999890633","ic_hof"
"b.load_std.Stock.Seymour.","-0.507357423956223","-0.0605133518356228","0.0753524621052904","0.189360088550205","0.470076051021521","ic_hof"
"b.load_std.Stock.Stellako.","-0.660392786109755","-0.114598748892026","0.0438344365967549","0.166118277696337","0.413876326656268","ic_hof"
"b.load_std.Stock.Weaver.","-0.167079804849777","0.056265145332109","0.149620029523283","0.248166198041941","0.484775056214453","ic_hof"
"load_std","-0.334546079497766","-0.103937460377973","0.00253460949964887","0.10070100813222","0.293383524326247","lo_sal"
"b.load_std.Stock.Birkenhead.","-0.625628324468836","-0.107828811704426","0.0221200589272583","0.151756555120067","0.578179984372718","lo_sal"
"b.load_std.Stock.Bowron.","-0.567835056123474","-0.104992087027312","0.0342572834172185","0.175321803071085","0.629884957261262","lo_sal"
"b.load_std.Stock.Chilko.","-0.707442452356776","-0.186176753519676","-0.0217551849452786","0.111845238071765","0.485715468282695","lo_sal"
"b.load_std.Stock.E.Stuart.","-0.580142610948676","-0.141163216734434","0.0073569409313119","0.146610629959601","0.517859377166072","lo_sal"
"b.load_std.Stock.Gates.","-0.299219849295193","-0.0889410057659428","0.0183917398705015","0.118848656949378","0.344080216967806","lo_sal"
"b.load_std.Stock.Harrison.","-0.548218405259352","-0.219048602971016","-0.0670141041302064","0.0532778264376482","0.270468975591656","lo_sal"
"b.load_std.Stock.L.Shuswap.","-0.876143167241797","-0.22468635860307","-0.0479333288795321","0.0804695084317634","0.338967225705504","lo_sal"
"b.load_std.Stock.L.Stuart.","-0.642142434521611","-0.128474315703845","0.0143963585837953","0.145277968515377","0.629274533490268","lo_sal"
"b.load_std.Stock.Nadina.","-0.67591589972182","-0.140471974801738","0.0113501737131593","0.140411271927692","0.624201457251973","lo_sal"
"b.load_std.Stock.Pitt.","-0.893434209600949","-0.24285940245939","-0.0557117637668906","0.105035152530924","0.485825629056175","lo_sal"
"b.load_std.Stock.Portage.","-0.507490119270246","-0.0914139536293055","0.0553453428335038","0.197112886236074","0.755783365439138","lo_sal"
"b.load_std.Stock.Quesnel.","-0.149684055480888","0.0172331248603966","0.108847663364571","0.203715021223316","0.397554274376114","lo_sal"
"b.load_std.Stock.Scotch.","-0.404733883953662","-0.107160348560944","0.0204737664562818","0.140891512210214","0.439424909251293","lo_sal"
