"","2.5","25","50","75","97.5","agent"
"prev_std","-0.258632207225429","-0.0508602960748641","0.0632726796867699","0.173094391207659","0.39835665336168","arena2"
"b.prev_std.Stock.Birkenhead.","-0.343040280536624","-0.0591909213125221","0.079599901350445","0.222648426338179","0.540749531392268","arena2"
"b.prev_std.Stock.Bowron.","-0.439490791537026","-0.0707987993880779","0.0592770561809115","0.203923812231084","0.562207057049891","arena2"
"b.prev_std.Stock.Chilko.","-0.375878901216631","-0.07751256765552","0.0613372846106951","0.193635191907409","0.507265583351771","arena2"
"b.prev_std.Stock.E.Stuart.","-0.315251943423978","-0.0501388938397425","0.0729583784877734","0.213360746646044","0.502235365788333","arena2"
"b.prev_std.Stock.Gates.","-0.545316334175009","-0.138694585074635","0.0209874556304363","0.183733932256805","0.562799288465943","arena2"
"b.prev_std.Stock.Harrison.","-0.437274518607906","-0.103204947616735","0.0310055743921904","0.176951096181477","0.529311507984433","arena2"
"b.prev_std.Stock.L.Shuswap.","-0.364735656955333","-0.0777741951066905","0.0495761046635701","0.159556238592202","0.441221145180003","arena2"
"b.prev_std.Stock.L.Stuart.","-0.317661369265553","-0.042219798857339","0.0872404831844606","0.220859868345778","0.502874193846008","arena2"
"b.prev_std.Stock.Nadina.","-0.386134232306269","-0.0658417698957403","0.0762343184209384","0.216346068765143","0.517115161761994","arena2"
"b.prev_std.Stock.Pitt.","-0.319637541111327","-0.056288286201016","0.0733548228270202","0.207545238467835","0.511535010443248","arena2"
"b.prev_std.Stock.Portage.","-0.36711994300463","-0.0547751847940633","0.08871406034779","0.237162603645764","0.643682519607826","arena2"
"b.prev_std.Stock.Quesnel.","-0.375404989214755","-0.0685073361201431","0.0725829116914172","0.221948291826529","0.555790055482405","arena2"
"b.prev_std.Stock.Raft.","-0.395727001453283","-0.0773327349559505","0.0637240188122866","0.209820016393219","0.55062830213254","arena2"
"b.prev_std.Stock.Scotch.","-0.303986894359033","-0.0453734959126764","0.0911269704572682","0.228721376690005","0.543897644581601","arena2"
"b.prev_std.Stock.Seymour.","-0.288168114934251","-0.0318732554181965","0.0871714642838579","0.212635728982667","0.484746424802996","arena2"
"b.prev_std.Stock.Stellako.","-0.472239096507566","-0.113951548783514","0.0416851242271165","0.181138827018912","0.491061227584615","arena2"
"b.prev_std.Stock.Weaver.","-0.448938577655133","-0.094833149119873","0.0477640034514773","0.197870213958612","0.553911903081053","arena2"
"prev_std","-0.43130792169237","-0.255979417061639","-0.167484062303097","-0.0768630364878755","0.141636867481237","c_b_cys"
"b.prev_std.Stock.Birkenhead.","-0.539848467283216","-0.275190839114276","-0.147251407445973","-0.00133902608523391","0.345783375600122","c_b_cys"
"b.prev_std.Stock.Bowron.","-0.648097274933658","-0.278056848115792","-0.144603094484182","0.0223262541834227","0.527414675172167","c_b_cys"
"b.prev_std.Stock.Chilko.","-0.752642754176542","-0.325178089519407","-0.188065735171031","-0.0310105974349047","0.454087742601051","c_b_cys"
"b.prev_std.Stock.E.Stuart.","-0.661489226527951","-0.307475957750537","-0.172856775859129","-0.011654985155661","0.47892392614201","c_b_cys"
"b.prev_std.Stock.Gates.","-0.864658396202175","-0.550418000926587","-0.378598188738683","-0.24926100604643","-0.0404373662501948","c_b_cys"
"b.prev_std.Stock.Harrison.","-0.499265684479134","-0.309378555570027","-0.21173228545631","-0.117794506925249","0.0655556514567347","c_b_cys"
"b.prev_std.Stock.L.Shuswap.","-0.700468146727918","-0.323519500122596","-0.181636825757971","-0.0292064008776437","0.406704889364603","c_b_cys"
"b.prev_std.Stock.L.Stuart.","-0.506903849895082","-0.242282703129859","-0.102395183431896","0.0720248886776452","0.567993221767428","c_b_cys"
"b.prev_std.Stock.Nadina.","-0.556703918119446","-0.261121638720957","-0.125225115893834","0.0383591125845426","0.502800965533103","c_b_cys"
"b.prev_std.Stock.Pitt.","-0.446590391900907","-0.248548933983143","-0.139535811106454","-0.0365901917549901","0.225600950597828","c_b_cys"
"b.prev_std.Stock.Portage.","-0.760826677692518","-0.326967999246259","-0.177781686432348","-0.011147616078202","0.467488469901797","c_b_cys"
"b.prev_std.Stock.Quesnel.","-0.421071927980368","-0.161451025274883","0.0233429354505655","0.264671775616507","0.741104654608232","c_b_cys"
"b.prev_std.Stock.Raft.","-0.563002555270954","-0.312523352292023","-0.192632780991152","-0.0834219461306193","0.167875361848661","c_b_cys"
"b.prev_std.Stock.Scotch.","-0.771807802886536","-0.312484019821265","-0.173049584418315","-0.00308918492686472","0.46390446760904","c_b_cys"
"b.prev_std.Stock.Seymour.","-0.684509365052095","-0.30817171261506","-0.160423413812311","0.00887278999305158","0.462845970564683","c_b_cys"
"b.prev_std.Stock.Stellako.","-0.546790295658376","-0.256435262073227","-0.11311866338861","0.0713607063959615","0.697199403441648","c_b_cys"
"b.prev_std.Stock.Weaver.","-0.741467030979794","-0.362914376230211","-0.223085586848738","-0.0962303232613333","0.223165933999391","c_b_cys"
"prev_std","-0.348552960150861","-0.16167174056435","-0.0607069056270054","0.0597971654612971","0.311292450857995","ce_sha"
"b.prev_std.Stock.Birkenhead.","-0.594000194993194","-0.382868539552359","-0.269618862794021","-0.166019413830891","0.0195759698778547","ce_sha"
"b.prev_std.Stock.Bowron.","-0.640533380326614","-0.223281133067114","-0.077968957027104","0.120986123938771","0.718976648386085","ce_sha"
"b.prev_std.Stock.Chilko.","-0.650173652199599","-0.237100051453871","-0.0835134571100219","0.113684942168159","0.639285912922524","ce_sha"
"b.prev_std.Stock.E.Stuart.","-0.629647219306858","-0.242175863911875","-0.0911202691557194","0.0916660740821173","0.650783263458017","ce_sha"
"b.prev_std.Stock.Gates.","-0.920304432969694","-0.303990713975488","-0.117327023266719","0.0929599353013946","0.662435247802231","ce_sha"
"b.prev_std.Stock.Harrison.","-0.507153052063412","-0.19098016332505","-0.0357792232387323","0.140962370573966","0.601430491446064","ce_sha"
"b.prev_std.Stock.L.Shuswap.","-0.341262277384738","-0.0946660117711707","0.0756299697786134","0.254392434699199","0.686818203134411","ce_sha"
"b.prev_std.Stock.L.Stuart.","-0.710103602106951","-0.274183218665801","-0.106324287037182","0.0742970891648459","0.592098918614912","ce_sha"
"b.prev_std.Stock.Nadina.","-0.725850031282552","-0.243855038858949","-0.0766106124579443","0.100634857073207","0.607735091254571","ce_sha"
"b.prev_std.Stock.Pitt.","-0.467319081276806","-0.172650091781767","-0.0235023911834292","0.142094745209433","0.562878825404506","ce_sha"
"b.prev_std.Stock.Portage.","-0.675180383995897","-0.223064691008242","-0.0526633927138172","0.154276731707894","0.749704259053015","ce_sha"
"b.prev_std.Stock.Quesnel.","-0.795574575153281","-0.372507246135366","-0.200032797448652","-0.0497650756609295","0.320225362620802","ce_sha"
"b.prev_std.Stock.Raft.","-0.462401354332078","-0.256667600878491","-0.154753176114399","-0.056425883408542","0.11886319795135","ce_sha"
"b.prev_std.Stock.Scotch.","-0.356945304665419","-0.125003754229618","0.0272319829428302","0.231637098386731","0.684832534823393","ce_sha"
"b.prev_std.Stock.Seymour.","-0.604087865546361","-0.233656515135703","-0.070161905524592","0.144214259712436","0.668580674775045","ce_sha"
"b.prev_std.Stock.Stellako.","-0.473246251110631","-0.174533120958829","-0.00756692702015392","0.205691929289342","0.763569501669744","ce_sha"
"b.prev_std.Stock.Weaver.","-0.432453726350206","-0.155062301452862","0.00829770545056185","0.202733774921139","0.678260359581481","ce_sha"
"prev_std","-0.316245181962249","-0.125014129335549","-0.0313028811362094","0.0652660094398409","0.267308504246488","de_sal"
"b.prev_std.Stock.Birkenhead.","-0.452193555525926","-0.120552251727249","0.0104835177637663","0.160875255362161","0.627523053570738","de_sal"
"b.prev_std.Stock.Bowron.","-0.555698369558894","-0.153114360611739","-0.0230713045493157","0.109468323148402","0.500088672517955","de_sal"
"b.prev_std.Stock.Chilko.","-0.352913243994095","-0.169428556405982","-0.0780148832261774","0.0151077491425972","0.174892763943305","de_sal"
"b.prev_std.Stock.E.Stuart.","-0.458675560783351","-0.148852802345221","-0.0186129445444371","0.117756153681304","0.507363147601313","de_sal"
"b.prev_std.Stock.Gates.","-0.813241648155365","-0.24604038159583","-0.0845773321782407","0.0382181335512538","0.457970101809768","de_sal"
"b.prev_std.Stock.Harrison.","-0.556051295568785","-0.1690129520864","-0.0374776976289168","0.0908176110632089","0.504195152046538","de_sal"
"b.prev_std.Stock.L.Shuswap.","-0.532719568269096","-0.168911681797788","-0.0401252938128837","0.0750674388049731","0.394798392899504","de_sal"
"b.prev_std.Stock.L.Stuart.","-0.480538980877858","-0.141965657805239","-0.0187325589663229","0.106547848167463","0.548278209407057","de_sal"
