"","2.5","25","50","75","97.5","agent"
"prev_std","-0.296763266316763","-0.0975457303601549","0.00233927523067465","0.10841511831249","0.320376091817781","arena2"
"b.prev_std.Stock.Birkenhead.","-0.425950881583965","-0.114836500562652","0.0301598321140254","0.177087279527603","0.509855719881974","arena2"
"b.prev_std.Stock.Bowron.","-0.344282980440197","-0.0171406298865331","0.162179818119795","0.381928223078752","0.98509436302321","arena2"
"b.prev_std.Stock.Chilko.","-0.541112586104543","-0.17393692509238","-0.027681262903753","0.11787140267882","0.407296500512889","arena2"
"b.prev_std.Stock.E.Stuart.","-0.400474493102583","-0.0931100152685047","0.0354612824118406","0.169152816985953","0.44854223963109","arena2"
"b.prev_std.Stock.Gates.","-0.698811228629243","-0.239317052724087","-0.0563248223666398","0.100443806355603","0.469140695064016","arena2"
"b.prev_std.Stock.Harrison.","-0.808336155070288","-0.312133264621975","-0.12448384755944","0.0370314628418384","0.370600741167622","arena2"
"b.prev_std.Stock.L.Shuswap.","-0.406915326541568","-0.118345820752638","0.0171212615573208","0.155600135696279","0.434129355834508","arena2"
"b.prev_std.Stock.L.Stuart.","-0.348656216732179","-0.0892154550655878","0.0453704933112001","0.182928844255271","0.460818616270993","arena2"
"b.prev_std.Stock.Nadina.","-0.435839069540077","-0.0864973661432135","0.0632723860246777","0.202194065526153","0.617577945566137","arena2"
"b.prev_std.Stock.Pitt.","-0.451988726259791","-0.158559064578723","-0.017206212410362","0.107575179774143","0.399945032159298","arena2"
"b.prev_std.Stock.Portage.","-0.374512801524828","-0.0692604024200179","0.0888144860623822","0.25596360464126","0.650390303415338","arena2"
"b.prev_std.Stock.Quesnel.","-0.385932991908552","-0.0724420670567072","0.0860225741362082","0.236471299306464","0.561612482401722","arena2"
"b.prev_std.Stock.Raft.","-0.699798199440577","-0.23032444372755","-0.069324031022973","0.0783402646906751","0.393826430216859","arena2"
"b.prev_std.Stock.Scotch.","-0.348507861968984","-0.0935673735192336","0.0394862632904319","0.174423369025397","0.482479814165404","arena2"
"b.prev_std.Stock.Seymour.","-0.318256288793762","-0.0760800548726446","0.0425300095765116","0.16694644953356","0.398611251180625","arena2"
"b.prev_std.Stock.Stellako.","-0.492474687965988","-0.109135961236877","0.0563271823407285","0.204577424699601","0.564092034194668","arena2"
"b.prev_std.Stock.Weaver.","-0.799175860874228","-0.294311862830591","-0.104814879209245","0.066510169178221","0.430646783536309","arena2"
"prev_std","-0.499454989707195","-0.307404923927552","-0.213750839218267","-0.128644704043586","0.0729233024976754","c_b_cys"
"b.prev_std.Stock.Birkenhead.","-0.885052144911539","-0.425141156275025","-0.277236439741963","-0.140617932881856","0.182573674407453","c_b_cys"
"b.prev_std.Stock.Bowron.","-1.46615353066792","-0.586894077004135","-0.335626418267085","-0.186361325917244","0.144486791300546","c_b_cys"
"b.prev_std.Stock.Chilko.","-0.499900486057515","-0.241954465053965","-0.0789884647891068","0.171067568086692","0.986866054370273","c_b_cys"
"b.prev_std.Stock.E.Stuart.","-1.07909804746346","-0.498154594357807","-0.315215611015866","-0.17593416576542","0.155573758787183","c_b_cys"
"b.prev_std.Stock.Gates.","-1.00755897158015","-0.456862267234374","-0.28422944006674","-0.129153231621231","0.29020722807572","c_b_cys"
"b.prev_std.Stock.Harrison.","-0.61865003191652","-0.392779161925021","-0.28363338226505","-0.183311421101036","0.0183991410560523","c_b_cys"
"b.prev_std.Stock.L.Shuswap.","-0.693678644819257","-0.338003595149299","-0.200371824347104","-0.045237086712983","0.48507349758626","c_b_cys"
"b.prev_std.Stock.L.Stuart.","-0.70123789262773","-0.354025713996225","-0.201974844343504","-0.0490564118831471","0.435360408975358","c_b_cys"
"b.prev_std.Stock.Nadina.","-0.62866774791337","-0.324716561114983","-0.17404687075705","-0.00308813781353098","0.489190691912513","c_b_cys"
"b.prev_std.Stock.Pitt.","-0.423398321146179","-0.217544487561901","-0.0917508170106333","0.0746149113205658","0.432978871697032","c_b_cys"
"b.prev_std.Stock.Portage.","-0.974715164320293","-0.432892007247891","-0.267044675262836","-0.12249274458306","0.345155645686655","c_b_cys"
"b.prev_std.Stock.Quesnel.","-0.568867822861421","-0.275427351250435","-0.122093458115209","0.112643332779374","0.80537962199968","c_b_cys"
"b.prev_std.Stock.Raft.","-0.534312568609105","-0.300942711766332","-0.186130941878638","-0.0650255490526907","0.225811583909912","c_b_cys"
"b.prev_std.Stock.Scotch.","-0.758100497881707","-0.331861281075302","-0.199940989329459","-0.0391418446883576","0.429966486728182","c_b_cys"
"b.prev_std.Stock.Seymour.","-0.798324283383182","-0.370308025058025","-0.226167732907694","-0.0806710516356878","0.405000345660153","c_b_cys"
"b.prev_std.Stock.Stellako.","-1.08331457416193","-0.49307637628044","-0.303064604391457","-0.167520629175017","0.152925195498399","c_b_cys"
"b.prev_std.Stock.Weaver.","-0.812835973558483","-0.386846583894298","-0.240082731895765","-0.0931956626735782","0.274289655340808","c_b_cys"
"prev_std","-0.266268600898665","-0.0786239194695836","0.0246584802415845","0.133056254783113","0.399357119994039","ce_sha"
"b.prev_std.Stock.Birkenhead.","-0.577132699814849","-0.355775151094256","-0.237040962671627","-0.121257515170986","0.0763324405276924","ce_sha"
"b.prev_std.Stock.Bowron.","-0.577873797315139","-0.130677364553808","0.0514482432790404","0.296895158938702","0.988645046957752","ce_sha"
"b.prev_std.Stock.Chilko.","-0.65219447633196","-0.180538680804089","0.00198892358015385","0.206261359435906","0.75674273599434","ce_sha"
"b.prev_std.Stock.E.Stuart.","-0.389338886452156","-0.116529194088254","0.0390240113078773","0.206101269266656","0.577587774595292","ce_sha"
"b.prev_std.Stock.Gates.","-0.703442897223204","-0.221456360988585","-0.0314425017298697","0.167994431856989","0.725676428178777","ce_sha"
"b.prev_std.Stock.Harrison.","-0.525558009703659","-0.151892989796151","0.0309244180666439","0.25260440380204","0.790039744066885","ce_sha"
"b.prev_std.Stock.L.Shuswap.","-0.248815533921451","0.0365183594284843","0.226749150372444","0.455837438621004","0.918500314344376","ce_sha"
