"","2.5","25","50","75","97.5","agent"
"prev_std","-0.370385177118564","-0.122447551237547","0.00387918143966879","0.118958078733382","0.370798560413962","arena2"
"b.prev_std.Stock.Birkenhead.","-0.594772641745354","-0.181515047118105","-0.0246963212640266","0.118747023349256","0.434994970003698","arena2"
"b.prev_std.Stock.Chilko.","-0.561373308617835","-0.191715859972941","-0.0340069635759762","0.0958472406717057","0.377046472121436","arena2"
"b.prev_std.Stock.E.Stuart.","-0.507346500560884","-0.135861484840452","0.0122686294857786","0.153713466897487","0.479385172633951","arena2"
"b.prev_std.Stock.Gates.","-0.473807151185141","-0.132495968444225","0.00855296145269712","0.168070831476013","0.542190480260277","arena2"
"b.prev_std.Stock.Harrison.","-0.521324301181176","-0.147362466874535","0.0033948570644108","0.154392979957093","0.481136101237918","arena2"
"b.prev_std.Stock.L.Shuswap.","-0.437595330258619","-0.14838396897058","-0.0133400770530838","0.128020113190037","0.39623518909838","arena2"
"b.prev_std.Stock.L.Stuart.","-0.380831574276635","-0.105963627686693","0.0351562135271475","0.183988179144749","0.512380512309956","arena2"
"b.prev_std.Stock.Nadina.","-0.553686220548025","-0.147626217617195","0.00708724197731796","0.15991781589765","0.512637743174942","arena2"
"b.prev_std.Stock.Pitt.","-0.604818583710124","-0.165345797319435","-0.0136713098239191","0.130354711225794","0.439399587346051","arena2"
"b.prev_std.Stock.Quesnel.","-0.451902838203525","-0.135094539988704","0.00749976213874125","0.15253006962718","0.478426040610176","arena2"
"b.prev_std.Stock.Scotch.","-0.341163228391089","-0.0899028804497837","0.0440979647593348","0.185403415887196","0.496160462791451","arena2"
"b.prev_std.Stock.Seymour.","-0.386268790483654","-0.100073410637935","0.0416607705517808","0.199486996446945","0.609092395434419","arena2"
"b.prev_std.Stock.Stellako.","-0.841754550903681","-0.208759556814952","-0.0451287924885785","0.111165297780537","0.392302684180949","arena2"
"b.prev_std.Stock.Weaver.","-0.548563877839163","-0.147310651990799","0.00167438190788994","0.150634358609186","0.541283270542867","arena2"
"prev_std","-0.342742425719618","-0.168607778269344","-0.082527973916769","0.00511363476840034","0.167690619097266","c_b_cys"
"b.prev_std.Stock.Birkenhead.","-0.43277166912047","-0.19115682824482","-0.0950297938495825","0.00515823844895085","0.189345589591043","c_b_cys"
"b.prev_std.Stock.Bowron.","-0.436900909513939","-0.176881901499895","-0.0772196729281417","0.024658462481157","0.314035140627067","c_b_cys"
"b.prev_std.Stock.Chilko.","-0.36141289913694","-0.160059834877265","-0.0598878416438214","0.053064356569733","0.406100095334196","c_b_cys"
"b.prev_std.Stock.E.Stuart.","-0.464222048622343","-0.19038411314689","-0.080886980764203","0.0255834182085678","0.279413872989147","c_b_cys"
"b.prev_std.Stock.Gates.","-0.526696257206394","-0.210517350316957","-0.105695679296463","0.00095014767238382","0.221811695733723","c_b_cys"
"b.prev_std.Stock.Harrison.","-0.328576637160926","-0.157493458197725","-0.0724669083445698","0.024595026090804","0.208745059785709","c_b_cys"
"b.prev_std.Stock.L.Shuswap.","-0.556972410976133","-0.22420623405987","-0.109696665151643","-0.010758106091067","0.232544816430122","c_b_cys"
"b.prev_std.Stock.L.Stuart.","-0.375082748363873","-0.160639651945933","-0.0593048051281801","0.0503848107618516","0.384174028353715","c_b_cys"
"b.prev_std.Stock.Nadina.","-0.404173924003507","-0.172321879753141","-0.0754461591465218","0.025290380395144","0.265376356648239","c_b_cys"
"b.prev_std.Stock.Pitt.","-0.521681115024399","-0.223832962064624","-0.113432738876524","-0.0151534071185445","0.189173636612973","c_b_cys"
"b.prev_std.Stock.Quesnel.","-0.363834319771024","-0.162383104987039","-0.0647618634647638","0.0522114754365071","0.411203189279751","c_b_cys"
"b.prev_std.Stock.Raft.","-0.375164395657392","-0.160535212383763","-0.0608427050373686","0.0536211440999648","0.395448196078482","c_b_cys"
"b.prev_std.Stock.Scotch.","-0.510576268848623","-0.194863847617092","-0.0922189509074244","0.0159857230437244","0.264389526340284","c_b_cys"
"b.prev_std.Stock.Seymour.","-0.48513427047618","-0.183622936119655","-0.0850513886047376","0.0214301593481519","0.293460026273634","c_b_cys"
