"","agent","plot.agent"
"1","arena2","SPAV-2"
"94","c_b_cys","Ca. B. cysticola"
"187","ce_sha","C. shasta"
"280","de_sal","D. salmonis"
"373","fa_mar","F. margolisi"
"466","fl_psy","F. psychrophilum"
"559","ic_hof","I. hoferi"
"652","ic_mul","I. multifiliis"
"745","ku_thy","K. thyrsites"
"838","lo_sal","L. salmonae"
"931","my_arc","M. arcticus"
"1024","pa_kab","P. kabatai"
"1117","pa_min","P. minibicornis"
"1210","pa_pse","P. pseudobranchicola"
"1303","pa_ther","P. theridion"
"1396","pspv","PSPV"
"1489","rlo","RLO"
"1582","sch","Ca. S. salmonis"
"1675","sp_des","S. destruens"
"1768","te_bry","T. bryosalmonae"
"1861","te_mar","T. maritinum"
"1954","ven","VENV"
