,experiment_name,technician,tray,unique_id,species,region,sub_region,trip_location,SWFW,stock_origin,stock_over_60_prob,catch_date,Year,season,hatchery_wild,thermal_score,osmotic_score,IM_score,VDD_score,X,X.1,Overall.stress,Number.agents..1000,MRS.PC1,Inflammation.PC1,Immune.PC1,Chloride...H2EB1,Chloride...HLA2.G1,Chloride...ICLP2,Chloride...PSMB7..2,Chloride...PSMB8,General.Stress...HSC70,General.Stress...Hsp90,General.Stress...JUN,Growth...IGF.IR_sasa,Hypoxia...anillin,Hypoxia...CDKN1B,Hypoxia...claspin,Hypoxia...GPX3,Hypoxia...HIF1A_6,Hypoxia...kif4,Hypoxia...ncapd3,Hypoxia...ndc80,Hypoxia...RAMP1,Imminent.Mortality...ARRDC2,Imminent.Mortality...CLEC4E,Imminent.Mortality...GLUL,Imminent.Mortality...H1F0,Imminent.Mortality...IQGAP1,Imminent.Mortality...NUPR1,Imminent.Mortality...ODC1,Imminent.Mortality...TAGLN3,Immune.stimulation...B2M_sasa,Immune.stimulation...CD83_sasa,Immune.stimulation...hep_onmy,Immune.stimulation...IFNa_sasa2,Immune.stimulation...IgMs_onmy,Immune.stimulation...IL.15_onmy,Immune.stimulation...IL.1B_sa.om,Immune.stimulation...MHC.II.B,Immune.stimulation...RIG.I_sasa1,Immune.stimulation...SAA_onmy,Inflammation...ES1,Inflammation...GILT,Inflammation...IL.11_onmy,Inflammation...IL.17D_onmy,Inflammation...MMP13_sasa,Inflammation...MMP25,Inflammation...napepld,Inflammation...tgfb,Inflammation...txn,MRS...ATP5G3.C,MRS...C7,MRS...CA055640,MRS...FYB,MRS...HTA,MRS...IRF1,MRS...KRT8,MRS...PRAS,MRS...RPL6,MRS...SCG,Osmotic...CEBPB,Osmotic...CFTR.I_v1,Osmotic...FKBP5.v1,Osmotic...PRLR.v1,Osmotic...RGS21.v1,Osmotic...SHOP21,Stress.Mortality...HSP90ab1_15_v1,Stress.Mortality...LDH_1,Stress.Mortality...VEGFa_1,Thermal...EEF2.v1,Thermal...EF.2_14,Thermal...FKBP10_2,Thermal...FKBP10_4,Thermal...hsp70_6,Thermal...Hsp90AA1,Thermal...HSP90alike_6,Thermal...Map3k14_3,Thermal...SERPIN_20_v1,Thermal...SERPIN_9,Thermal...Sfrs9_1._v2,VDD...CA038063_MGL_1,VDD...DEXH_MGL_1,VDD...GAL3_MGL_2,VDD...IFI,VDD...IFI44A_MGL_2,VDD...IFIT5_MGL_2,VDD...MX_ONTS,VDD...RSAD,VDD...TRIM1,Bacterium...Candidatus.Branchiomonas.cysticola,Bacterium...Candidatus.Syngnamydia.salmonis,Bacterium...Flavobacterium.psychrophilum,Bacterium...Moritella.viscosa,Bacterium...Piscichlamydia.salmonis,Bacterium...Piscirickettsia.salmonis,Bacterium...Renibacterium.salmoninarum,Bacterium...Strawberry.disease...Rickettsia.like.organism.,Bacterium...Tenacibaculum.maritimum,HAB...Heterosigma.akashiwo,HAB...Pseudochattonella,Parasite...Ceratomyxa.shasta,Parasite...Dermocystidium.salmonis,Parasite...Facilispora.margolisi,Parasite...Ichthyobodo,Parasite...Ichthyophonus.hoferi,Parasite...Ichthyophthirius.multifiliis,Parasite...Kudoa.thyrsites,Parasite...Loma.salmonae,Parasite...Myxobolus.arcticus,Parasite...Myxobolus.insidiosus,Parasite...Nanophyetus.salmincola,Parasite...Nucleospora.salmonis,Parasite...Paranucleospora.theridion,Parasite...Parvicapsula.kabatai,Parasite...Parvicapsula.minibicornis,Parasite...Parvicapsula.pseudobranchicola,Parasite...Sphaerothecum.destruens,Parasite...Tetracapsuloides.bryosalmonae,Virus...Circo.virus,Virus...Cutthroat.trout.virus.2,Virus...Erythrocytic.necrosis.virus,Virus...Infectious.hematopoietic.necrosis.virus,Virus...Pacific.salmon.parvovirus,Virus...Picorna.virus,Virus...Piscine.orthoreovirus..1,Virus...putative.RNA.virus.1,Virus...Qin.virus,Virus...Rhabdo.virus,Virus...Salmon.pescarenavirus.1,Virus...Salmon.pescarenavirus.2,Virus...Viral.encephalopathy.and.retinopathy.virus,Virus...Viral.hemorrhagic.septicemia.virus,longitude,latitude,CU_ACRO,CU_NAME,JAZ,dist2fras,deg2samp
1,Onne FitChip 2020,TM,4006,1000-0391-118-1332_33,Sockeye,,,,FW,L Shuswap,Little Shuswap,9/19/14,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,-0.80898612,NA,NA,2.786836353,2.00292574,3.002440154,2.166880128,-1.087470995,-0.145832397,0.160350343,-2.313361857,4.180692454,4.542419151,3.289264335,-0.929620767,0.237248663,-0.483154317,0.177508603,5.722216578,-0.746536217,-0.580467257,0.494791443,0.148677773,0.473545901,0.271941902,-0.563735308,0.435137873,-1.329493776,1.036843565,-1.380490417,-0.978934077,-1.046553217,3.837403813,-0.184598662,2.552746703,0.350550623,2.561669546,-1.734423987,-2.096881197,-0.740267377,0.802757432,-1.060739957,-0.532273417,0.804985692,0.557944183,-0.700990527,4.479833983,2.401461541,1.670110981,-0.573393387,10.78921997,-0.369666007,0.097647763,-0.576703097,2.373652629,1.442369603,-0.014021577,4.694418593,-1.095432057,-4.085123471,-3.446540905,1.828838947,-0.572815017,-2.352341047,1.289955521,-2.622718397,0.095371883,0.570748009,2.257911276,0.044486814,0.224545452,-2.088764337,-0.210191487,-2.824934057,-0.100569791,-0.870118447,-1.435745057,5.29999475,1.322957884,0.809484013,0.247486898,6.915426715,0.672866873,-0.769866897,3.059104293,0.271953223,1.368943244,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,62269.68446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,NA,0,NA,,NA,NA,Shuswap Complex-L,Shuswap Complex-L,STh+GStr,NA,NA
7,Onne FitChip 2020,TM,4029,2017-0007-118-J0141,Sockeye,,,,SW,Chilko,Chilko,6/27/17,NA,3-Summer,Wild,0.6319,0.8052,0.2007,0.5329,NA,NA,1,2,0.240887979,-2.315461752,-2.176360271,1.30779965,1.015438804,0.459655074,1.126196292,-2.871160969,0.673574186,-2.718841379,0.485128125,1.581895703,0.510989134,1.293932848,0.467911036,0.187962544,0.186368101,1.404965839,1.016729769,0.876532661,1.173749629,0.658020501,0.37938931,0.224723954,0.962602021,0.036189135,-0.357128491,-0.27162813,0.437868307,1.941779497,-0.639126149,0.083671866,-0.011608525,-1.403074194,1.003850271,0.839709898,0.850527057,1.033240985,-0.000752525,1.021932532,0.009932635,0.409134408,1.938085816,0.01495505,-0.265519033,-0.890286074,0.225207884,0.185924719,0.065182087,0.534770975,-3.231379635,-0.536046475,-0.49002191,-0.407749753,0.268369852,-0.077689582,5.078596004,-1.231863198,-0.383843812,0.625129877,1.157645688,0.18473313,2.037536149,-0.303970152,-0.407072844,-4.274589738,0.122236886,0.596661859,-0.347955673,0.355761531,0.150771194,-0.077522992,-2.111885323,-1.369558136,-0.203086607,0.555106158,0.642692043,0.112917505,-1.2805625,0.962372276,1.151570272,0.54889379,0.004923266,-0.307878081,-1.169487215,-0.51423649,-0.099977146,2213.289486,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,61093.68424,0,0,NA,52.52462046,0,0,0,NA,0,10.99396956,0,0,0,23.83757618,0,0,0,196.5157954,0,0,12.2174235,NA,0,NA,NA,Chilko-S,Chilko-S,MFR+GStr,NA,NA
8,Onne FitChip 2020,TM,4029,2017-0007-118-J0137,Sockeye,,,,SW,Chilko,Chilko,6/27/17,NA,3-Summer,Wild,0.6509,0.5274,0.256,0.5184,NA,NA,0,3,-0.509057302,-1.17301459,-1.022951247,0.681749677,0.174644212,0.097253207,0.365421992,0.613478958,-0.032250048,-1.365650374,-1.314201248,1.271550028,-0.263684944,-0.458988068,0.279459859,-0.25358568,0.365170176,0.844963737,0.588004747,0.217781886,0.109664699,-0.51880325,0.265955172,-0.029169021,-1.026953858,0.583508259,-0.562870348,0.669690533,0.696380049,-0.307401678,-0.252480762,-0.12302059,0.732487989,-0.822353256,0.175111106,0.103927343,-0.093343441,-0.338716581,0.352790207,-1.309997865,-0.947549948,1.155998925,-0.198830596,0.170034659,0.595847888,0.005631242,0.276577473,-0.268677596,0.071526304,0.382329737,-0.311916289,-0.074182975,-0.48937277,-0.133849259,0.163932824,0.189183389,1.304656298,0.412609506,0.252701837,0.241443209,0.070776596,-0.805498464,0.087134137,0.868578902,-0.168687999,0.009629212,-0.245681891,0.102618457,-0.761217289,-0.330094577,0.102980549,-0.00368183,-1.426579051,-0.784947616,-0.184542095,0.758541821,0.227306853,-0.137529916,-1.006276832,-0.391059967,0.560183797,-0.592778017,-0.153226323,-0.683098325,-1.711525623,0.591348106,-0.967258333,37102.9449,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,465919.9056,0,0,NA,0,17.05432074,0,0,NA,0,12.04331516,0,0,0,43.4108112,0,0,0,1266.583214,0,0,279.9851396,NA,0,NA,NA,Chilko-S,Chilko-S,MFR+GStr,NA,NA
12,Onne FitChip 2020,TM,4001,1000-0391-118-1032_283,Sockeye,,,,FW,L Shuswap,Little Shuswap,9/27/14,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,0.342095909,NA,NA,-1.85168905,-1.592161104,-0.640739706,-0.918193505,-0.246568538,0.387443292,4.52485278,0.058749022,1.166374072,2.835438372,0.503841532,-0.975899378,0.124131322,-3.240005188,-0.213280078,1.195753762,1.294473882,-1.336029657,0.625559092,3.452700912,2.518694331,2.491845766,1.474885822,0.654297012,2.507378812,2.872039957,-1.459147708,1.071115142,-0.295119573,0.582686272,-1.131733489,0.271850952,2.858007382,-1.536597475,-0.331420828,1.057674712,-1.504751108,-0.567807558,4.277201282,-1.652541118,5.333890553,1.397332642,-0.478742408,1.670620402,1.63579509,0.775548802,0.766807562,0.116442902,0.546985952,-0.200957158,-0.915106898,2.828975866,1.769593232,1.085865882,3.917556422,3.246286811,-8.605985398,1.512602424,1.173606222,-0.029353968,1.626575602,0.768108733,1.394380762,2.159919232,0.298985902,-0.700156125,-2.951556599,-3.227615068,2.977663287,5.086876482,3.034780062,0.783358247,3.15859516,3.015825332,0.556314362,-0.871545988,-0.646523878,-0.327614098,-0.003621508,-2.894384398,-1.508951478,0.805792972,-2.366349248,1.32035949,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,214382.1604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,NA,0,NA,,NA,NA,Shuswap Complex-L,Shuswap Complex-L,STh+GStr,NA,NA
60,Onne FitChip 2020,TM,3985,1000-0391-118-1032_283,Sockeye,,,,FW,L Shuswap,Little Shuswap,9/27/14,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,0.342095909,NA,NA,-2.273039951,-2.491129093,-1.323196115,-1.648388388,-0.676706055,-0.660584255,2.970869405,1.682361515,-0.039136155,1.353740585,0.185772365,-1.400304155,-1.101933245,-3.088026485,-0.343903785,-0.198038925,-0.402459595,-2.270447055,0.072474885,1.519932835,1.267452415,-1.080456445,0.440047889,-0.051383235,1.248918747,2.20305852,-2.898649185,-1.032395885,-1.37934995,-0.822555545,-1.940927178,-0.082240845,2.202186225,-1.206237663,-1.978356705,-0.574817515,-1.988247775,-1.837504675,3.544877125,-2.586806675,4.496294822,0.268369465,-0.555085085,0.384806965,1.1279256,-0.243190423,-0.034296075,-2.663569295,-0.611157585,-1.062729985,-1.129559235,1.446158215,0.105340735,-0.570716495,3.604690285,1.578166205,-8.625329095,0.037273915,-0.201488075,-0.568628085,-1.935693885,0.444752391,-0.412230645,0.493772425,-0.927039671,-0.52792376,-3.832496175,-3.650910495,2.112535753,3.351054765,2.775580115,-0.121914925,0.503636065,2.511368785,0.145652685,-1.490755245,-0.893047635,-1.752997127,-1.422499565,-1.921826535,-2.384247335,0.110942295,-2.846744505,-0.266560286,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,214382.1604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,NA,0,NA,,NA,NA,Shuswap Complex-L,Shuswap Complex-L,STh+GStr,NA,NA
70,Onne FitChip 2020,TM,3981,1000-0391-118-1032_283,Sockeye,,,,FW,L Shuswap,Little Shuswap,9/27/14,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,0.342095909,NA,NA,-3.17824868,-2.951019404,-2.532787967,-1.912696136,-0.919113966,-0.568042146,3.069668013,-0.399490486,-0.189793566,0.269602654,0.233909884,-1.352865806,-0.870108316,-2.406201986,0.569742294,-0.649445006,-0.756188746,-2.578537656,-0.479959576,0.647387074,1.017720551,-0.715819056,0.26465126,0.303198074,3.453787327,1.204126818,-1.519681566,-0.672281136,-1.248556896,-1.636124086,-2.87066744,-1.113448356,1.412961424,-1.655260879,-1.573587666,-0.673245296,-2.253389896,-2.531216792,3.214520084,-2.241604436,4.174578693,1.356705024,1.281093864,-0.694794736,0.735178488,-0.961666581,-0.526765166,0.109721284,-0.364929836,-0.358164896,-1.019281376,0.483897188,-0.589203406,-0.475617646,2.423638224,1.718739055,-8.219029066,1.087117136,-1.023684506,-1.195270316,-0.639584896,0.024328779,1.472524164,0.614716224,-0.323592156,-1.856644223,-4.522256348,-4.4325704,1.957648834,2.201681214,2.521564941,-0.139328906,1.690719704,-0.042384186,-0.228882416,-2.094742966,-1.217077846,-2.000636126,-1.906492726,-1.209874036,-2.368963356,0.265683494,-3.131360856,-0.988790642,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,214382.1604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,NA,0,NA,,NA,NA,Shuswap Complex-L,Shuswap Complex-L,STh+GStr,NA,NA
78,Onne FitChip 2020,TM,4020,1000-0391-118-1332_33,Sockeye,,,,FW,L Shuswap,Little Shuswap,9/19/14,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,-0.80898612,NA,NA,1.309917667,-0.061032004,0.136669166,-1.219580563,-1.298447462,0.474538328,-2.627875842,0.298201738,-0.301168282,-0.912945682,-0.916752802,-0.830315652,-0.646198782,-2.529426292,-0.007018312,-1.341974652,-1.060523652,-1.987526992,0.477229278,-0.187289052,-0.933804452,-1.658352909,-0.847681571,0.302843578,-0.733382149,-0.10974376,-1.169999582,-0.214756852,-1.444717477,0.579837558,-2.462704546,0.039666338,-0.805320382,0.029736049,-0.862967782,-1.007572442,-1.738460692,-0.134501139,-1.974119622,-2.125720222,0.009666798,0.530231438,0.378094118,-0.413539812,0.177312561,-0.321385733,-2.305877572,-2.948528082,0.104101888,-0.478932832,-0.545780012,-0.527354959,-0.366313272,0.632750888,2.851186118,-0.940081382,-4.936364752,-3.935212492,-0.074440202,-0.696295702,-2.661768162,-0.06979596,-2.617061572,-1.093951442,0.177319195,0.717275858,-1.643035269,-2.166988756,-2.777328372,-3.380960702,-2.539572912,-0.294984672,-2.209393652,-2.107578202,-0.185697652,0.370483598,-0.478687892,-0.117799932,-0.968147652,-0.304624252,-1.430364112,2.129556978,-2.068225292,-0.080970338,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,62269.68446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,NA,0,NA,,NA,NA,Shuswap Complex-L,Shuswap Complex-L,STh+GStr,NA,NA
95,Onne FitChip 2020,TM,3989,1000-0391-118-1173_370,Sockeye,,,,FW,L Shuswap,L Shuswap,10/4/14,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,-0.843131574,NA,NA,1.256185901,0.260058029,-0.001295559,-0.071858516,-0.804779779,-0.180934919,1.879423311,-2.535612379,-0.655095399,0.102834081,-0.354526749,-0.344683069,-0.862699989,-2.222885019,0.208947541,-0.480715859,-0.532916819,-2.306167529,-0.498355009,-0.248133669,-0.368517273,-1.639931339,-0.652619609,-0.518926139,-1.129884299,-0.51788905,-0.388968289,0.062498691,-1.947407429,-0.971538329,-1.472280769,0.306360411,-0.158810529,0.092336564,-0.847998039,-0.122219489,0.226490091,-0.074815289,0.704385161,-1.533578579,1.700230445,1.107323361,0.511738221,0.047719011,1.062476722,-0.490867183,-1.469720879,-1.165264659,0.455729711,-0.436265169,-0.100524549,0.694593398,-0.373884989,-0.706554849,2.149168961,-0.972555719,-6.501343839,-2.141144784,-0.458642079,-2.014550719,-1.673701559,-0.03604073,0.129409871,-0.225686039,-0.225045653,0.012246775,-3.441012019,-3.090044639,-2.429614789,1.547921671,0.877357721,0.319466691,0.182455301,-0.076981069,0.051340651,1.685639177,-1.103309409,-1.474803569,-0.486069399,0.291272101,-1.073732699,0.515076961,-2.078111709,-0.22835937,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,748585.5611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,NA,0,NA,,NA,NA,Shuswap Complex-L,Shuswap Complex-L,STh+GStr,NA,NA
102,Onne FitChip 2020,TM,3985,1000-0391-118-1173_370,Sockeye,,,,FW,L Shuswap,L Shuswap,10/4/14,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,-0.843131574,NA,NA,1.111680687,0.571993127,-0.331347777,0.25787879,-0.567197747,-0.035288547,1.501095783,-1.344346577,-0.781629747,-0.310765777,-0.738562467,-0.296587487,-0.494830657,-1.171768167,0.119397623,-0.549369497,-0.688017677,-2.512200167,-0.096703497,0.106369083,-0.131128093,-1.648180977,-0.363808245,-0.002345977,-1.992490087,-0.912595188,-0.558581007,0.151212693,-2.054666052,-0.199214637,-1.48424507,0.707820043,0.044354063,0.214644667,-0.738272507,-0.050070027,0.705865633,0.220378697,0.858161203,-1.288292887,1.922349517,1.168236923,0.115633803,0.085983633,1.297372209,-0.302186892,-1.609978237,1.019225573,0.330789253,-0.287608857,0.121084593,0.479078808,-0.174626527,-0.761712057,2.936451793,-1.089172787,-6.295006377,-2.127041887,-0.652715907,-2.355966157,-2.531395097,0.227610039,-1.637442317,-0.530695267,-0.198504643,0.115597854,-3.572782767,-2.869600397,-2.324678317,0.912741753,0.846179393,0.608050813,0.426330913,1.022422523,-0.224913607,1.712792543,-0.269053117,-1.340188099,-0.530482047,1.749924913,-0.819796157,0.162349403,-2.279481807,0.062107724,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,748585.5611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,NA,0,NA,,NA,NA,Shuswap Complex-L,Shuswap Complex-L,STh+GStr,NA,NA
107,Onne FitChip 2020,TM,3983,1000-0391-118-1113_378,Sockeye,,,,FW,L Adams,L Adams,10/4/14,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,0.130470799,NA,NA,-6.226825688,-2.236138879,-1.94087042,-1.94337345,-0.417430394,-1.386026052,2.29709941,-0.184608742,-0.843061282,-0.773852132,-0.158144303,-2.043391392,-1.003664932,-1.786716072,-1.237093662,-2.017235712,-1.526429162,-1.501275582,-0.629887942,1.278505793,0.645303707,-1.633918332,-0.952094006,0.144179558,0.969540769,0.375602614,-1.576412572,-0.911369042,-0.800725617,-1.888962712,-2.421797245,-0.698560652,2.948147948,-1.024125768,-2.557750202,0.368126859,-2.272791642,-1.39616985,3.895663168,-2.493878002,3.299366545,1.015866318,0.887757888,-0.653861622,0.300668784,-1.499161262,2.638217598,0.456167638,0.072311998,0.036661708,-1.206890042,-0.441504802,-0.789944592,-2.222894052,2.488466148,0.934354303,-7.912640142,1.402595546,-1.743329262,-0.999642902,-0.477299222,-0.154242139,0.649211058,-0.950204712,-1.042132871,-1.188099571,-4.269256777,-4.406020586,-0.860408064,1.508296418,1.710991888,-0.894691862,-0.113806952,-0.226703352,-0.589799582,0.243927847,-1.512194302,-2.966675622,-1.072301382,-0.355936972,-1.790504512,0.518297087,-1.325687762,-0.492975272,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,2.850725585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,NA,0,NA,,NA,NA,Shuswap-ES,Shuswap-ES,STh+GStr,NA,NA
