"","Stock_Analysis","Year","N","posdet","prev","mean_load","prevload","agent"
"1","Birkenhead",2009,4,0,0,NA,NA,"arena1"
"2","Birkenhead",2010,2,0,0,NA,NA,"arena1"
"3","Birkenhead",2011,5,0,0,NA,NA,"arena1"
"4","Birkenhead",2012,0,0,NA,NA,NA,"arena1"
"5","Birkenhead",2013,0,0,NA,NA,NA,"arena1"
"6","Birkenhead",2014,4,0,0,NA,NA,"arena1"
"7","Birkenhead",2015,4,0,0,NA,NA,"arena1"
"8","Birkenhead",2018,4,0,0,NA,NA,"arena1"
"9","Bowron",2013,0,0,NA,NA,NA,"arena1"
"10","Bowron",2014,1,0,0,NA,NA,"arena1"
"11","Central Coast",2009,1,0,0,NA,NA,"arena1"
"12","Central Coast",2010,2,0,0,NA,NA,"arena1"
"13","Central Coast",2011,2,0,0,NA,NA,"arena1"
"14","Central Coast",2012,0,0,NA,NA,NA,"arena1"
"15","Central Coast",2013,7,0,0,NA,NA,"arena1"
"16","Central Coast",2014,2,0,0,NA,NA,"arena1"
"17","Central Coast",2018,2,0,0,NA,NA,"arena1"
"18","Chilko",2008,0,0,NA,NA,NA,"arena1"
"19","Chilko",2009,0,0,NA,NA,NA,"arena1"
"20","Chilko",2010,15,1,0.0666666666666667,1.824655431,0.1216436954,"arena1"
"21","Chilko",2011,62,0,0,NA,NA,"arena1"
"22","Chilko",2012,1,0,0,NA,NA,"arena1"
"23","Chilko",2013,15,0,0,NA,NA,"arena1"
"24","Chilko",2014,51,0,0,NA,NA,"arena1"
"25","Chilko",2015,29,0,0,NA,NA,"arena1"
"26","Chilko",2016,20,0,0,NA,NA,"arena1"
"27","Chilko",2017,12,0,0,NA,NA,"arena1"
"28","Chilko",2018,12,0,0,NA,NA,"arena1"
"29","Chilliwack",2010,7,0,0,NA,NA,"arena1"
"30","Chilliwack",2013,0,0,NA,NA,NA,"arena1"
"31","Chilliwack",2014,24,0,0,NA,NA,"arena1"
"32","Chilliwack",2016,1,0,0,NA,NA,"arena1"
"33","Chilliwack",2018,8,0,0,NA,NA,"arena1"
"34","Cultus",2011,1,0,0,NA,NA,"arena1"
"35","Cultus",2012,0,0,NA,NA,NA,"arena1"
"36","Cultus",2013,0,0,NA,NA,NA,"arena1"
"37","Cultus",2014,2,0,0,NA,NA,"arena1"
"38","Cultus",2018,1,0,0,NA,NA,"arena1"
"39","Early Stuart",2009,1,0,0,NA,NA,"arena1"
"40","Early Stuart",2010,3,0,0,NA,NA,"arena1"
"41","Early Stuart",2011,22,0,0,NA,NA,"arena1"
"42","Early Stuart",2012,0,0,NA,NA,NA,"arena1"
"43","Early Stuart",2013,0,0,NA,NA,NA,"arena1"
"44","Early Stuart",2014,8,0,0,NA,NA,"arena1"
"45","Early Stuart",2015,12,0,0,NA,NA,"arena1"
"46","Early Stuart",2016,1,0,0,NA,NA,"arena1"
"47","Early Stuart",2017,1,0,0,NA,NA,"arena1"
"48","Early Stuart",2018,2,0,0,NA,NA,"arena1"
"49","Gates",2009,1,0,0,NA,NA,"arena1"
"50","Gates",2010,1,0,0,NA,NA,"arena1"
"51","Gates",2011,4,0,0,NA,NA,"arena1"
"52","Gates",2012,0,0,NA,NA,NA,"arena1"
"53","Gates",2013,2,0,0,NA,NA,"arena1"
"54","Gates",2014,8,0,0,NA,NA,"arena1"
"55","Gates",2015,4,0,0,NA,NA,"arena1"
"56","Harrison-Lillooet",2013,0,0,NA,NA,NA,"arena1"
"57","Harrison-Lillooet",2014,1,0,0,NA,NA,"arena1"
"58","Harrison-Widgeon",2009,1,0,0,NA,NA,"arena1"
"59","Harrison-Widgeon",2010,44,0,0,NA,NA,"arena1"
"60","Harrison-Widgeon",2011,8,0,0,NA,NA,"arena1"
"61","Harrison-Widgeon",2013,0,0,NA,NA,NA,"arena1"
"62","Harrison-Widgeon",2014,1,0,0,NA,NA,"arena1"
"63","Harrison-Widgeon",2015,5,0,0,NA,NA,"arena1"
"64","Late Shuswap",2008,0,0,NA,NA,NA,"arena1"
"65","Late Shuswap",2009,5,0,0,NA,NA,"arena1"
"66","Late Shuswap",2010,4,0,0,NA,NA,"arena1"
"67","Late Shuswap",2011,17,0,0,NA,NA,"arena1"
"68","Late Shuswap",2012,6,0,0,NA,NA,"arena1"
"69","Late Shuswap",2013,1,0,0,NA,NA,"arena1"
"70","Late Shuswap",2014,1,0,0,NA,NA,"arena1"
"71","Late Shuswap",2015,44,0,0,NA,NA,"arena1"
"72","Late Shuswap",2016,76,0,0,NA,NA,"arena1"
"73","Late Stuart",2008,0,0,NA,NA,NA,"arena1"
"74","Late Stuart",2010,0,0,NA,NA,NA,"arena1"
"75","Late Stuart",2011,14,0,0,NA,NA,"arena1"
"76","Late Stuart",2014,7,0,0,NA,NA,"arena1"
"77","Late Stuart",2015,6,0,0,NA,NA,"arena1"
"78","Late Stuart",2016,3,0,0,NA,NA,"arena1"
"79","Nadina",2010,1,0,0,NA,NA,"arena1"
"80","Nadina",2011,3,0,0,NA,NA,"arena1"
"81","Nadina",2012,0,0,NA,NA,NA,"arena1"
"82","Nadina",2014,24,0,0,NA,NA,"arena1"
"83","Nadina",2015,0,0,NA,NA,NA,"arena1"
"84","Nadina",2018,3,0,0,NA,NA,"arena1"
"85","Nahatlatch",2010,1,0,0,NA,NA,"arena1"
"86","Nahatlatch",2011,1,0,0,NA,NA,"arena1"
"87","Nahatlatch",2013,0,0,NA,NA,NA,"arena1"
"88","Nahatlatch",2015,3,0,0,NA,NA,"arena1"
"89","North Thompson",2008,0,0,NA,NA,NA,"arena1"
"90","North Thompson",2009,0,0,NA,NA,NA,"arena1"
"91","North Thompson",2010,1,0,0,NA,NA,"arena1"
"92","North Thompson",2011,3,0,0,NA,NA,"arena1"
"93","North Thompson",2012,0,0,NA,NA,NA,"arena1"
"94","North Thompson",2013,3,0,0,NA,NA,"arena1"
"95","North Thompson",2014,5,0,0,NA,NA,"arena1"
"96","North Thompson",2015,5,0,0,NA,NA,"arena1"
"97","Pitt",2010,5,0,0,NA,NA,"arena1"
"98","Pitt",2011,1,0,0,NA,NA,"arena1"
"99","Pitt",2012,0,0,NA,NA,NA,"arena1"
"100","Pitt",2013,0,0,NA,NA,NA,"arena1"
"101","Pitt",2014,13,1,0.0769230769230769,0.472508287,0.0363467913076923,"arena1"
"102","Pitt",2015,4,0,0,NA,NA,"arena1"
"103","Pitt",2018,1,0,0,NA,NA,"arena1"
"104","Portage",2009,1,0,0,NA,NA,"arena1"
"105","Portage",2015,1,0,0,NA,NA,"arena1"
"106","Quesnel",2009,1,0,0,NA,NA,"arena1"
"107","Quesnel",2010,5,0,0,NA,NA,"arena1"
"108","Quesnel",2011,15,0,0,NA,NA,"arena1"
"109","Quesnel",2012,0,0,NA,NA,NA,"arena1"
"110","Quesnel",2013,0,0,NA,NA,NA,"arena1"
"111","Quesnel",2015,47,0,0,NA,NA,"arena1"
"112","Quesnel",2016,32,0,0,NA,NA,"arena1"
"113","Raft",2010,1,0,0,NA,NA,"arena1"
"114","Raft",2012,0,0,NA,NA,NA,"arena1"
"115","Raft",2014,1,0,0,NA,NA,"arena1"
"116","Raft",2018,1,0,0,NA,NA,"arena1"
"117","Scotch",2009,1,0,0,NA,NA,"arena1"
"118","Scotch",2010,2,0,0,NA,NA,"arena1"
"119","Scotch",2012,0,0,NA,NA,NA,"arena1"
"120","Scotch",2013,1,0,0,NA,NA,"arena1"
"121","Scotch",2014,2,0,0,NA,NA,"arena1"
"122","Scotch",2015,8,0,0,NA,NA,"arena1"
"123","Scotch",2016,12,0,0,NA,NA,"arena1"
"124","Seymour",2008,0,0,NA,NA,NA,"arena1"
"125","Seymour",2009,5,0,0,NA,NA,"arena1"
"126","Seymour",2010,1,0,0,NA,NA,"arena1"
"127","Seymour",2011,6,0,0,NA,NA,"arena1"
"128","Seymour",2012,1,0,0,NA,NA,"arena1"
"129","Seymour",2013,0,0,NA,NA,NA,"arena1"
"130","Seymour",2015,6,0,0,NA,NA,"arena1"
"131","Seymour",2016,3,0,0,NA,NA,"arena1"
"132","Seymour",2017,2,0,0,NA,NA,"arena1"
"133","South Coast",2009,1,0,0,NA,NA,"arena1"
"134","South Coast",2011,1,0,0,NA,NA,"arena1"
"135","South Coast",2013,0,0,NA,NA,NA,"arena1"
"136","South Coast",2014,2,0,0,NA,NA,"arena1"
"137","South Coast",2018,2,0,0,NA,NA,"arena1"
"138","Stellako",2010,0,0,NA,NA,NA,"arena1"
"139","Stellako",2011,4,0,0,NA,NA,"arena1"
"140","Stellako",2012,0,0,NA,NA,NA,"arena1"
"141","Stellako",2013,1,0,0,NA,NA,"arena1"
"142","Stellako",2014,12,0,0,NA,NA,"arena1"
"143","Stellako",2015,0,0,NA,NA,NA,"arena1"
"144","Stellako",2018,2,0,0,NA,NA,"arena1"
"145","US",2009,3,0,0,NA,NA,"arena1"
"146","US",2010,9,0,0,NA,NA,"arena1"
"147","US",2011,8,0,0,NA,NA,"arena1"
"148","US",2012,0,0,NA,NA,NA,"arena1"
"149","US",2013,0,0,NA,NA,NA,"arena1"
"150","US",2014,5,0,0,NA,NA,"arena1"
"151","US",2015,2,0,0,NA,NA,"arena1"
"152","US",2018,6,0,0,NA,NA,"arena1"
"153","VI",2010,1,0,0,NA,NA,"arena1"
"154","VI",2011,1,0,0,NA,NA,"arena1"
"155","VI",2012,0,0,NA,NA,NA,"arena1"
"156","VI",2013,1,0,0,NA,NA,"arena1"
"157","VI",2014,13,0,0,NA,NA,"arena1"
"158","Weaver",2010,1,0,0,NA,NA,"arena1"
"159","Weaver",2011,3,0,0,NA,NA,"arena1"
"160","Weaver",2012,0,0,NA,NA,NA,"arena1"
"161","Weaver",2015,4,0,0,NA,NA,"arena1"
"162","Weaver",2018,1,0,0,NA,NA,"arena1"
"163","Birkenhead",2009,4,1,0.25,0.617411761,0.15435294025,"arena2"
"164","Birkenhead",2010,2,0,0,NA,NA,"arena2"
"165","Birkenhead",2011,6,0,0,NA,NA,"arena2"
"166","Birkenhead",2012,1,0,0,NA,NA,"arena2"
"167","Birkenhead",2013,3,2,0.666666666666667,12.3420730625,8.22804870833333,"arena2"
"168","Birkenhead",2014,4,1,0.25,0.242497382,0.0606243455,"arena2"
"169","Birkenhead",2015,7,3,0.428571428571429,0.52121273,0.223376884285714,"arena2"
"170","Birkenhead",2018,4,0,0,NA,NA,"arena2"
"171","Bowron",2013,3,2,0.666666666666667,1.6451647235,1.09677648233333,"arena2"
"172","Bowron",2014,1,0,0,NA,NA,"arena2"
"173","Central Coast",2009,1,0,0,NA,NA,"arena2"
"174","Central Coast",2010,3,0,0,NA,NA,"arena2"
"175","Central Coast",2011,2,0,0,NA,NA,"arena2"
"176","Central Coast",2012,0,0,NA,NA,NA,"arena2"
"177","Central Coast",2013,7,0,0,NA,NA,"arena2"
"178","Central Coast",2014,2,0,0,NA,NA,"arena2"
"179","Central Coast",2018,2,0,0,NA,NA,"arena2"
"180","Chilko",2008,4,1,0.25,0.301947547,0.07548688675,"arena2"
"181","Chilko",2009,0,0,NA,NA,NA,"arena2"
"182","Chilko",2010,15,5,0.333333333333333,357.6595915512,119.2198638504,"arena2"
"183","Chilko",2011,63,8,0.126984126984127,2657.61888641113,337.475414147444,"arena2"
"184","Chilko",2012,19,14,0.736842105263158,229.674187116571,169.233611559579,"arena2"
"185","Chilko",2013,132,78,0.590909090909091,187575.097384261,110839.830272518,"arena2"
"186","Chilko",2014,50,5,0.1,29708.7504532112,2970.87504532112,"arena2"
"187","Chilko",2015,47,18,0.382978723404255,31352.6480958028,12007.3971430734,"arena2"
"188","Chilko",2016,20,14,0.7,206065.882017201,144246.117412041,"arena2"
"189","Chilko",2017,12,10,0.833333333333333,39148.182875419,32623.4857295158,"arena2"
"190","Chilko",2018,12,6,0.5,82.5599778111667,41.2799889055833,"arena2"
"191","Chilliwack",2010,7,1,0.142857142857143,0.649039863,0.0927199804285714,"arena2"
"192","Chilliwack",2013,1,0,0,NA,NA,"arena2"
"193","Chilliwack",2014,26,1,0.0384615384615385,33.59317199,1.29204507653846,"arena2"
"194","Chilliwack",2016,1,0,0,NA,NA,"arena2"
"195","Chilliwack",2018,8,1,0.125,2.619996445,0.327499555625,"arena2"
"196","Cultus",2011,1,0,0,NA,NA,"arena2"
"197","Cultus",2012,1,0,0,NA,NA,"arena2"
"198","Cultus",2013,1,0,0,NA,NA,"arena2"
"199","Cultus",2014,1,0,0,NA,NA,"arena2"
"200","Cultus",2018,1,0,0,NA,NA,"arena2"
"201","Early Stuart",2009,1,0,0,NA,NA,"arena2"
"202","Early Stuart",2010,3,1,0.333333333333333,703.8123346,234.604111533333,"arena2"
"203","Early Stuart",2011,21,3,0.142857142857143,34801.6921387273,4971.67030553248,"arena2"
"204","Early Stuart",2012,1,0,0,NA,NA,"arena2"
"205","Early Stuart",2013,0,0,NA,NA,NA,"arena2"
"206","Early Stuart",2014,8,2,0.25,1.053087448,0.263271862,"arena2"
"207","Early Stuart",2015,10,2,0.2,5428.6879286,1085.73758572,"arena2"
"208","Early Stuart",2016,1,1,1,0.605564687,0.605564687,"arena2"
"209","Early Stuart",2017,1,1,1,42.81296216,42.81296216,"arena2"
"210","Early Stuart",2018,2,1,0.5,27.10380797,13.551903985,"arena2"
"211","Gates",2009,1,0,0,NA,NA,"arena2"
"212","Gates",2010,1,0,0,NA,NA,"arena2"
"213","Gates",2011,4,0,0,NA,NA,"arena2"
"214","Gates",2012,0,0,NA,NA,NA,"arena2"
"215","Gates",2013,6,3,0.5,36.5350601293333,18.2675300646667,"arena2"
"216","Gates",2014,7,2,0.285714285714286,3.798015331,1.08514723742857,"arena2"
"217","Gates",2015,4,1,0.25,958058.8011,239514.700275,"arena2"
"218","Harrison-Lillooet",2013,1,0,0,NA,NA,"arena2"
"219","Harrison-Lillooet",2014,1,0,0,NA,NA,"arena2"
"220","Harrison-Widgeon",2009,1,0,0,NA,NA,"arena2"
"221","Harrison-Widgeon",2010,44,0,0,NA,NA,"arena2"
"222","Harrison-Widgeon",2011,8,2,0.25,6587656.59662769,1646914.14915692,"arena2"
