"","Unique","Ewatch","Prog","SWFW","Year","Date","DOY","days","Stock","Stock_Analysis","Stock_Region","Stock_Group","Stock_Area","SEASON1","Length","Mass","K","logK","Sex","Catch_Region","Zone","Latitude","Longitude","Tissue","LOD","Value","hkg","ae_hyd","ae_sal","arena1","arena2","ascv","aspv","Bafini_b","c_b_cys","ce_sha","Circo.virus","cov","cr_sal","ctv","de_sal","fa_mar","fl_psy","gy_sal","Hantavirus","ic_hof","ic_mul","IcD","ihnv","ipnv","isav7","isav8","ku_thy","lo_sal","mitov","mo_vis","my_arc","my_cer","my_ins","na_sal","ne_per","Nido2_a","nu_sal","omv","ortho","pa_kab","pa_min","pa_pse","pa_ther","pch_sal","Picorna2_virus","pisck_sal","pmcv","prv","pspv","Qin","re_sal","reov","Rhabdo3_virus","rlo","Salmovirus","sav","sch","SGPV","smallUK","sp_des","sp_sal","te_bry","te_mar","toti","ven","ver","vhsv","vi_ang","vi_sal","ye_ruc","richness","rib"
"39","1000-0167-118-A0002",1,"FW","FW",2012,"4/3/12",94,1295,"Cultus Lake","Cultus","Lower Fraser","Lower Fraser","Fraser","Spring",91,6.1,0.809479133,0,"0","FW","FW",49.07788,0,"Mixed","NO","AvgCopy",0.136685364,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,0,NA,0,0,0,NA,NA,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,NA,NA,0,NA,0,0,NA,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0
"40","1000-0167-118-A0036",1,"FW","FW",2012,"4/3/12",94,1295,"Cultus Lake","Cultus","Lower Fraser","Lower Fraser","Fraser","Spring",91,6.7,0.889100032,0,"0","FW","FW",49.07788,0,"Mixed","NO","AvgCopy",62.15635758,0,0,NA,NA,NA,NA,NA,39.33676144,0,NA,NA,0,NA,0,0,0,0,NA,0,0.620269436,NA,0,0,0,0,0,0,NA,0,6.956437866,NA,0,0,0,NA,NA,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,NA,NA,0,NA,0,0,NA,NA,0,0,0,0,NA,0,0,0,0,0,0,3,9.2298424179117e-05
"41","1000-0167-118-A0014",1,"FW","FW",2012,"4/3/12",94,1295,"Cultus Lake","Cultus","Lower Fraser","Lower Fraser","Fraser","Spring",92,6.7,0.860421632,0,"0","FW","FW",49.07788,0,"Mixed","NO","AvgCopy",7831.904245,0,0,NA,NA,NA,NA,NA,1680.368231,0,NA,NA,0,NA,0,0,21.83891842,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,0,NA,0,0,0,NA,NA,0,NA,0,0,0,0,0,NA,0,0,0,2.271893273,NA,0,NA,NA,0,NA,0,0,NA,NA,2684.046182,0,0,0,NA,0,0,0,0,0,0,4,0.334863176456992
"42","1000-0167-118-A0060",1,"FW","FW",2012,"4/3/12",94,1295,"Cultus Lake","Cultus","Lower Fraser","Lower Fraser","Fraser","Spring",94,7.6,0.91501883,0,"0","FW","FW",49.07788,0,"Mixed","NO","AvgCopy",0.003400825,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,0,NA,0,0,0,NA,NA,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,NA,NA,0,NA,0,0,NA,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0
"43","1000-0167-118-A0007",1,"FW","FW",2012,"4/3/12",94,1295,"Cultus Lake","Cultus","Lower Fraser","Lower Fraser","Fraser","Spring",96,7.8,0.881618924,0,"0","FW","FW",49.07788,0,"Mixed","NO","AvgCopy",1957.810309,0,0,NA,NA,NA,NA,NA,1240.021432,0,NA,NA,0,NA,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,0,NA,0,0,0,NA,NA,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,NA,NA,0,NA,0,0,NA,NA,0,0,0,0,NA,0,0,0,0,0,0,1,0.00139447154837195
"44","1000-0167-118-A0039",1,"FW","FW",2012,"4/3/12",94,1295,"Cultus Lake","Cultus","Lower Fraser","Lower Fraser","Fraser","Spring",104,8.4,0.746756941,0,"0","FW","FW",49.07788,0,"Mixed","NO","AvgCopy",0.035200634,0,0,NA,NA,NA,NA,NA,23.88978299,0,NA,NA,0,NA,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,115.7735337,NA,0,0,0,NA,NA,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,NA,NA,0,NA,0,0,NA,NA,0,0,0,0,NA,0,0,0,0,0,0,2,3.2630776431984e-05
"45","1000-0167-118-A0069",1,"FW","FW",2012,"4/3/12",94,1295,"Cultus Lake","Cultus","Lower Fraser","Lower Fraser","Fraser","Spring",104,10.4,0.924556213,0,"0","FW","FW",49.07788,0,"Mixed","NO","AvgCopy",0.010087942,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,0,NA,0,0,0,NA,NA,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,NA,NA,0,NA,0,0,NA,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0
"46","1000-0055-118-G5509",0,"LFS","FW",2015,"4/5/15",95,2392,"Chilko","Chilko","Middle Fraser","Middle Fraser","Fraser","Spring",110,NA,NA,NA,"0","FW","FW",49.1329,0,"Mixed","NO","AvgCopy",1.36e-07,0,0,NA,NA,NA,NA,NA,7379.190387,0,NA,NA,0,NA,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,44612.0842,NA,0,0,0,NA,NA,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,NA,NA,0,NA,0,0,NA,NA,0,0,0,0,NA,0,0,0,0,0,0,2,0.0105199419314206
"47","1000-0055-118-G5507",0,"LFS","FW",2015,"4/5/15",95,2392,"Gates Cr","Gates","Middle Fraser","Middle Fraser","Fraser","Spring",83,NA,NA,NA,"0","FW","FW",49.1329,0,"Mixed","NO","AvgCopy",1.2e-06,0,0,NA,NA,NA,NA,NA,4606.195571,0,NA,NA,0,NA,53595.25463,0,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,0,NA,0,0,0,NA,NA,0,NA,0,0,0,0,0,NA,0,0,0,680.3298773,NA,0,NA,NA,0,NA,0,0,NA,NA,0,0,0,0,NA,0,0,0,0,0,0,3,0.722991398274049
"48","1000-0055-118-G5508",0,"LFS","FW",2015,"4/5/15",95,2392,"Gates Cr","Gates","Middle Fraser","Middle Fraser","Fraser","Spring",91,NA,NA,NA,"0","FW","FW",49.1329,0,"Mixed","NO","AvgCopy",4.23e-17,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,0.53269557,0,53.47879793,0,NA,0,72.69930407,NA,0,0,0,0,0,0,NA,0,0,NA,0,0,0,NA,NA,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,NA,NA,0.108994602,NA,0,0,NA,NA,0,0,0,0,NA,0,0,0,0,0,0,4,0.00570718918246833
"49","1000-0055-118-G5500",0,"LFS","FW",2015,"4/5/15",95,2392,"Thompson N","North Thompson","Thompson","Thompson","Thompson","Spring",83,NA,NA,NA,"0","FW","FW",49.1329,0,"Mixed","NO","AvgCopy",8.35e-13,0,0,NA,NA,NA,NA,NA,1086.955649,0,NA,NA,0,NA,0,0,0.066019892,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,0,NA,0,0,0,NA,NA,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,NA,NA,0,NA,0,0,NA,NA,0,0,0,0,NA,0,0,0,0,0,0,2,0.00122235394024278
"50","1000-0055-118-G5501",0,"LFS","FW",2015,"4/5/15",95,2392,"Thompson N","North Thompson","Thompson","Thompson","Thompson","Spring",85,NA,NA,NA,"0","FW","FW",49.1329,0,"Mixed","NO","AvgCopy",1.76e-12,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,0,NA,0,0,0,NA,NA,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,NA,NA,0,NA,0,0,NA,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0
"51","1000-0055-118-G5506",0,"LFS","FW",2015,"4/5/15",95,2392,"Raft","Raft","Thompson","Thompson","Thompson","Spring",80,NA,NA,NA,"0","FW","FW",49.1329,0,"Mixed","NO","AvgCopy",1.28e-13,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,0,0,3.077763309,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,0,NA,0,0,0,NA,NA,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,NA,NA,5.943623989,NA,0,0,NA,NA,0,0,0,0,NA,0,0,0,0,0,0,2,0.00527973614035543
"52","1000-0055-118-G5505",0,"LFS","FW",2015,"4/5/15",95,2392,"Raft","Raft","Thompson","Thompson","Thompson","Spring",83,NA,NA,NA,"0","FW","FW",49.1329,0,"Mixed","NO","AvgCopy",4.1e-11,0,0,NA,NA,NA,NA,NA,6.902637447,0,NA,NA,0,NA,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,0,NA,0,0,0,NA,NA,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,NA,NA,0.075125685,NA,0,0,NA,NA,0,0,0,0,NA,0,0,0,0,0,0,2,7.44889537505214e-05
