"","agent","X","Stock_Analysis","Year","orderID","brood_year","metric","resid_value","N","posdet","prev","mean_load","prevload","prev_std","load_std","Stock","plot.agent"
"1","arena2",13,"Chilko",2010,1308,2008,"SR_cov_resid",-0.261094571360216,15,5,0.333333333333333,357.6595915512,119.2198638504,-0.617356984684841,-0.41118289753221,"Chilko","SPAV-2"
"2","arena2",14,"Chilko",2011,1309,2009,"SR_cov_resid",0.30629425435431,63,8,0.126984126984127,2657.61888641113,337.475414147444,-1.43562406520519,-0.406222475453883,"Chilko","SPAV-2"
"3","arena2",15,"Chilko",2012,1310,2010,"SR_cov_resid",0.685458079567512,19,14,0.736842105263158,229.674187116571,169.233611559579,0.982736132284098,-0.41145892921124,"Chilko","SPAV-2"
"4","arena2",16,"Chilko",2013,1311,2011,"SR_cov_resid",0.606684688038082,128,74,0.578125,197490.205410924,114174.02500319,0.353351679345908,0.0139814237775969,"Chilko","SPAV-2"
"5","arena2",17,"Chilko",2014,1312,2012,"SR_cov_resid",0.742058742143178,50,5,0.1,29708.7504532112,2970.87504532112,-1.54262822188862,-0.347880125409872,"Chilko","SPAV-2"
"6","arena2",18,"Chilko",2015,1313,2013,"SR_cov_resid",-1.10092223207761,47,18,0.382978723404255,31352.6480958028,12007.3971430734,-0.420490764003187,-0.344334659984007,"Chilko","SPAV-2"
"7","arena2",19,"Chilko",2016,1314,2014,"SR_cov_resid",0.658775634082524,20,14,0.7,206065.882017201,144246.117412041,0.836640673778238,0.0324769578809354,"Chilko","SPAV-2"
"8","arena2",20,"Chilko",2017,1315,2015,"SR_cov_resid",-1.67763415630698,12,10,0.833333333333333,39148.182875419,32623.4857295158,1.36536709503754,-0.32752169163296,"Chilko","SPAV-2"
"9","arena2",21,"Chilko",2018,1316,2016,"SR_cov_resid",-2.54325003204444,12,6,0.5,82.5599778111667,41.2799889055833,0.0435510418892864,-0.411776216814332,"Chilko","SPAV-2"
"10","arena2",32,"Nadina",2014,1726,2012,"SR_cov_resid",-0.822405912433752,25,3,0.12,66844.825113148,8021.37901357776,-1.46331925869972,-0.267787140696078,"Nadina","SPAV-2"
"11","arena2",38,"Pitt",2013,1792,2011,"SR_cov_resid",1.12999545549457,13,4,0.307692307692308,2.82205523075,0.868324686384615,-0.71903514261932,-0.411948191054281,"Pitt","SPAV-2"
