"","lower","25","mid","75","upper"
"c_b_cys",-1.72389113460428,-1.12020587409098,-0.902891519162889,-0.702545085092745,-0.315447578421112
"te_mar",-1.56406550574403,-0.922258815925861,-0.681416450503804,-0.466024974334461,-0.0392247303496294
"ce_sha",-1.64376126356332,-1.11612036810882,-0.892175128782312,-0.698932316721375,-0.330386760211065
"pa_ther",-1.85510945406054,-1.32449140378458,-1.10834914899606,-0.92028114676609,-0.534061389315821
"ku_thy",-1.82458391965183,-1.25203744798832,-1.00505624199036,-0.778883769678604,-0.34324959791385
"te_bry",-1.61982113946043,-1.09956739686929,-0.872196412604502,-0.678451075067359,-0.314868249875555
"ven",-1.58167765112218,-1.04823536250705,-0.836930728920964,-0.65211637128911,-0.289202501292342
"pa_min",-1.7064561630925,-1.11624426368761,-0.885500023369986,-0.675001984785621,-0.265297976051625
"pa_kab",-1.64785709947779,-1.10749077335853,-0.884972430413562,-0.700162640740312,-0.320202708846339
"prv",-1.52823156867386,-1.05701321098894,-0.878358373665302,-0.705247142244053,-0.369042884043153
"ic_hof",-1.82161300677921,-1.28991974240807,-1.09230750584043,-0.898661800706267,-0.529571185050561
"my_arc",-1.62402559629259,-1.09914960103761,-0.88542569861111,-0.679065118601846,-0.289240051936159
"sch",-1.72218923668739,-1.21287996308889,-1.0330908095259,-0.872411301240927,-0.532577436492034
"lo_sal",-1.67977275425564,-1.08564958214384,-0.881014305960565,-0.676759872961056,-0.338475368752074
"arena2",-1.89180417810988,-1.3615324376037,-1.15189994663068,-0.955077468074365,-0.549092701685959
"sp_des",-1.86088278196676,-1.29644069853856,-1.09048373841918,-0.893663926560875,-0.482514617213592
"de_sal",-1.55691914144047,-1.08245163701114,-0.903812342719876,-0.752336951353497,-0.453292083682091
"rlo",-1.6942982434263,-1.10766604495712,-0.891905684412362,-0.706311081959147,-0.310983349932231
"fl_psy",-1.84738729976131,-1.27174521032607,-1.03486768433481,-0.801163750834666,-0.352299097026872
"fa_mar",-1.86697301967871,-1.33908778720467,-1.12756031812928,-0.919117188330276,-0.513393402636163
"ic_mul",-1.75837437951427,-1.18503251782699,-0.960002014752078,-0.753532403091266,-0.352701696379383
"pspv",-1.67787030027206,-1.06748574894519,-0.856289856448988,-0.668816794883002,-0.286022686796172
"pa_pse",-1.44462972790864,-1.00352361458438,-0.835484794458891,-0.680085727842739,-0.369426288702392
