"","lower","25","mid","75","upper"
"ic_hof",-1.4889808582927,-1.0338728101149,-0.848730331269904,-0.680420278985591,-0.296571447285832
"lo_sal",-1.58271122506528,-1.13920437628374,-0.952886357044409,-0.75698746863338,-0.32806415488735
"ce_sha",-1.45416246563589,-1.03686882040622,-0.847447505074666,-0.656129693012489,-0.264203273045634
"ven",-1.356616927793,-0.92393457182816,-0.727355294111006,-0.530368741457089,-0.0667399047920751
"pa_pse",-1.21332895203924,-0.847529435669687,-0.667048846866952,-0.490912215593222,-0.0990673602729643
"sch",-1.44936438201998,-1.02353317845821,-0.831418522164228,-0.647748899334867,-0.217026623184074
"pa_kab",-1.5808125520461,-1.11762547551372,-0.927374378718884,-0.726000718020676,-0.269545276770196
"pspv",-1.35167125359509,-0.938028894642482,-0.736613670389651,-0.532230269146328,-0.058348662564351
"c_b_cys",-1.37549348729969,-0.983619523602963,-0.797299566419433,-0.597524402130823,-0.194228825124945
"my_arc",-1.62469421999986,-1.09045421656199,-0.872217036841962,-0.668210598706431,-0.25702042032854
"pa_min",-1.54235937527341,-1.10873325700839,-0.921704164677884,-0.720967065109243,-0.266997280552361
"pa_ther",-1.57087637023625,-1.16622161293475,-0.962781775826621,-0.784474339990033,-0.352941369323645
