"brood_year","Smolt.migration.year","Total.smolts","age.1.smolts","age.2.smolts","age.1.mean.length..mm.","age.2.mean.length..mm.","age.1.mean.weighted.length..mm.","age.2.mean.weighted.length..mm.","Proportion.age.2.smolts","efs","temp_dev","smoltspersp","lnMS","stock_name"
2004,2005,25019941,24778429,241512,"80.21","80.43",127.41,128.75,0.01,49198,-1.15190455969811,508.556059189398,6.2315754536391,"Chilko"
2005,2006,11543687,10974249,569438,"99.96","133.70",100.35,133.79,0.05,285103,0.155492733226994,40.4895318534004,3.70104346794711,"Chilko"
2006,2007,76558088,76507905,50183,"88.42","160.31",88.06,160.15,0,261967,-1.57615931038242,292.243252012658,5.67758651030856,"Chilko"
2007,2008,73940221,72782871,1157350,"80.81","116.75",81.93,116.19,0.02,156566,-1.1865376005703,472.262311102027,6.15753457507735,"Chilko"
2008,2009,27525866,25223336,2302530,"83.03","116.65",81.9,116,0.09,68851,-0.573301890193421,399.788906479209,5.99093667400551,"Chilko"
2009,2010,13486829,12115484,1371345,"91.86","126.27",91.46,126.84,0.11,127367,NA,105.889508271373,4.66239617566327,"Chilko"
2010,2011,34198181,33837813,360368,"87.29","117.15",87.21,106.78,0.01,1181540,NA,28.9437352946155,3.3653537831791,"Chilko"
2011,2012,55627562,54972236,655327,"77.36","107.63",77.42,105.99,0.01,457653,0.100657085179362,121.549650062384,4.80032282179775,"Chilko"
2012,2013,47459317,43224184,4235133,"85.49","115.09",85.28,115.23,0.1,90758,1.51772567419973,522.921582670398,6.25943151529047,"Chilko"
2013,2014,12568328,11492488,1075840,"98.39","143.15",98.89,142.82,0.09,624495,1.29549699526986,20.1255862737092,3.00199195449319,"Chilko"
2014,2015,1085248,1082606,2642,"79.58","116.67",79.43,116.67,0,665987,0.781773555665731,1.62953330920874,0.488293660454301,"Chilko"
2015,2016,62748092,62471644,276449,"77.87","122.73",79.6,123.42,0,429012,0.34597445802403,146.26185747718,4.98539855959247,"Chilko"
2016,2017,71659355,71006623,652732,"87.63","120.30",87.72,113.83,0.01,66013,-0.430382874860858,1085.53398573008,6.98982729765374,"Chilko"
