"BY","stock_name","Stock.ID","total_adult_spawner","total_effective_female_spawner","juv_type","juvenile_estimate","age.21","age.31","age.32","age.41","age.42","age.43","age.51","age.52","age.53","age.62","age.63","recruits_no_jacks","total_recruits_psc","total_recruits","prop_4s","Smolt.migration.year","Total.smolts","age.1.smolts","age.2.smolts","age.1.mean.length..mm.","age.2.mean.length..mm.","age.1.mean.weighted.length..mm.","age.2.mean.weighted.length..mm.","Proportion.age.2.smolts","RSM","efs","efs_lag1","efs_lag2","efs_lag3","lnMS","ocean_0","ocean_1","ocean_2"
1961,"Chilko",7,39101,"15038","",1593017,0,0,256,0,52713,409,0,11583,4492,0,0,68788,69453,69453,"0.819848824",1963,3034370,1593017,1441353,"85.16","106.59",NA,NA,0.9,0.0228887709804671,15038,244864,272891,70433,5.30717877273671,0,0.0212736086897774,0.00161516229068967
1962,"Chilko",7,77713,"42125","",8808628,0,0,10657,0,960609,0,0,13582,696,0,18,974905,985562,985562,"0.986058175",1964,8925883,8808628,117255,"n/a","n/a",NA,NA,0.01,0.110416190756702,42125,15038,244864,272891,5.35606914865574,0,0.110336198670765,7.9992085937044e-05
1963,"Chilko",7,998231,"57163","",9263733,0,0,37579,0,1112861,3971,0,4045,47006,0,841,1164753,1206303,1206303,"0.996378388",1965,9318040,9263733,54307,"77.05","119.41",NA,NA,0.01,0.12945887761804,57163,42125,15038,244864,5.09380074919508,0,0.123897836884152,0.00556104073388824
1964,"Chilko",7,238272,"131590","",23643449,0,0,7252,0,1818921,1343,0,55810,156756,0,0,2031487,2040082,2040082,"0.970230396",1966,24357176,23643449,713727,"73.06","114.12",NA,NA,0.03,0.0837569182897065,131590,57163,42125,15038,5.22089075919123,0,0.0772660590866527,0.00649085920305375
1965,"Chilko",7,35335,"20813","",2343404,0,0,1787,0,138555,1782,0,2360,14460,0,0,155375,158944,158944,"0.983252315",1967,4145886,2343404,1802482,"79.09","100.15",NA,NA,0.77,0.0383377642318192,20813,131590,57163,42125,5.29429400475952,0,0.0344201456576471,0.00391761857417208
1966,"Chilko",7,209619,"107541","",16816182,0,0,26456,0,744469,1479,0,27636,89160,0,0,861265,889200,889200,"0.964206941",1968,17632807,16816182,816625,"85.09","126.30",NA,NA,0.05,0.0504287264075425,107541,20813,131590,57163,5.09964430975769,0,0.0452883650345631,0.00514036137297936
1967,"Chilko",7,174715,"90006","",8812334,0,0,28734,0,1933329,5300,0,23351,13996,0,0,1970676,2004710,2004710,"0.98806601",1969,9432999,8812334,620665,"84.06","117.09",NA,NA,0.07,0.212520959665108,90006,107541,20813,131590,4.65209301786423,0,0.210475374798619,0.00204558486648838
1968,"Chilko",7,413862,"181912","",31772048,0,0,46952,0,2349375,1108,0,21925,55581,0,1128,2428009,2476069,2476069,"0.990754017",1970,32085643,31772048,313595,"84.26","118.45",NA,NA,0.01,0.0771706211404272,181912,90006,107541,20813,5.17264089683969,0,0.0753686625510357,0.00180195858939152
1969,"Chilko",7,70902,"25519","",3570614,0,0,4126,0,369954,294,0,15839,12146,0,0,397939,402359,402359,"0.958944304",1971,4045908,3570614,475294,"92.83","125.92",NA,NA,0.13,0.0994483809320429,25519,181912,90006,107541,5.06603800620614,0,0.0963736693963382,0.00307471153570472
1970,"Chilko",7,135388,"50923","",3848709,0,0,16775,0,630046,5423,0,1084,41128,0,0,672258,694456,694456,"0.998282446",1972,3954690,3848709,105981,"n/a","n/a",NA,NA,0.03,0.175603144620691,50923,25519,181912,90006,4.35234280743423,0,0.163832057632836,0.0117710869878549
1971,"Chilko",7,157193,"90831","",7608969,0,0,58786,0,740253,13222,0,0,40581,0,0,780834,852842,852842,"1",1973,8380720,7608969,771751,"83.75","114.51",NA,NA,0.1,0.101762378411401,90831,50923,25519,181912,4.52468847160788,0,0.0953425242699911,0.00641985414141028
1972,"Chilko",7,562650,"332353","",20273314,0,0,42709,0,1947465,1309,0,34424,83501,0,166,2065556,2109574,2109574,"0.982630712",1974,20958690,20273314,685376,"78.46","114.48",NA,NA,0.03,0.100653905372903,332353,90831,50923,25519,4.14411097940637,0,0.0965994534963779,0.00405445187652473
1973,"Chilko",7,55675,"30231","",4300031,0,0,8835,0,200775,2893,0,6807,27243,0,1744,236569,248297,248297,"0.967208139",1975,5845914,4300031,1545883,"84.99","112.14",NA,NA,0.36,0.0424735977983939,30231,332353,90831,50923,5.26463034668316,0,0.0370202161715003,0.00545338162689359
1974,"Chilko",7,110026,"71126","",7245661,0,0,26487,0,641497,3815,0,4312,36356,0,0,682165,712467,712467,"0.993323103",1976,7378257,7245661,132596,"85.80","121.48",NA,NA,0.02,0.0965630500536915,71126,30231,332353,90831,4.6418397587365,0,0.091118539243076,0.00544451081061557
1975,"Chilko",7,244631,"133782","",14145005,0,0,22821,0,1389008,20230,0,7375,73812,0,390,1470585,1513636,1513636,"0.994718498",1977,14314427,14145005,169422,"77.39","109.44",NA,NA,0.01,0.105741990231254,133782,71126,30231,332353,4.67281157929207,0,0.0991450094369827,0.0065969807942714
1976,"Chilko",7,384390,"228326","",26010772,0,0,8457,0,1650944,334,0,25168,14210,0,0,1690322,1699113,1699113,"0.984984297",1978,27533932,26010772,1523160,"88.50","117.46",NA,NA,0.06,0.061709784131086,228326,133782,71126,30231,4.79239998165594,0,0.0611815631708541,0.000528220960231906
1977,"Chilko",7,51330,"20385","",2268157,0,0,3346,0,190527,0,0,2743,2584,0,0,195854,199200,199200,"0.98580742",1979,2478387,2268157,210230,"95.24","129.36",NA,NA,0.09,0.08037485671124,20385,228326,133782,71126,4.80056388805807,0,0.0793322431081183,0.00104261360312171
1978,"Chilko",7,146842,"85570","",16490014,0,0,8616,0,1169034,397,0,77743,9789,0,0,1256566,1265579,1265579,"0.937644823",1980,16558185,16490014,68171,"81.64","122.46",NA,NA,0,0.0764322297401557,85570,20385,228326,133782,5.26530106605333,0,0.0758170656989278,0.000615164041227949
1979,"Chilko",7,258391,"147920","",21152257,0,0,9358,0,1615466,1371,0,72206,15308,0,7804,1710784,1721513,1721513,"0.95721562",1981,21334406,21152257,182149,"84.11","117.45",NA,NA,0.01,0.0806918645871837,147920,85570,20385,228326,4.97140476658077,0,0.0795442816640876,0.00114758292309615
1980,"Chilko",7,497759,"293204","",35037719,0,0,12504,0,3920494,414,0,473961,32179,0,2375,4429009,4441927,4441927,"0.89214567",1982,35264168,35037719,226449,"80.33","113.51",NA,NA,0.01,0.125961485891288,293204,147920,85570,20385,4.78975404408233,0,0.124969884444743,0.000991601446544833
1981,"Chilko",7,34540,"20164","",1704324,0,0,1722,0,180656,2919,0,4547,18862,0,0,204065,208706,208706,"0.975448562",1983,2018822,1704324,314498,"83.01","111.10",NA,NA,0.18,0.103380089973262,20164,293204,147920,85570,4.60637061574925,0,0.0925911249233464,0.0107889650499152
1982,"Chilko",7,249578,"142515","",13967231,0,0,52424,0,1355953,182,0,131741,57505,0,1412,1546611,1599217,1599217,"0.911446171",1984,14080834,13967231,113603,"83.04","115.93",NA,NA,0.01,0.113574025515818,142515,20164,293204,147920,4.59312260358555,0,0.109376901964756,0.00419712355106239
1983,"Chilko",7,382833,"213715","",19714627,0,0,45476,0,1717330,5243,0,36418,310875,0,4399,2069022,2119741,2119741,"0.979234189",1985,20110529,19714627,395902,"74.99","111.37",NA,NA,0.02,0.105404537095966,213715,142515,20164,293204,4.54435543602194,0,0.0894667663888901,0.0159377707070759
1984,"Chilko",7,580178,"283146","",9843219,0,0,11108,0,500714,1951,0,2890,153893,0,5802,663299,676358,676358,"0.994261364",1986,12093673,9843219,2250454,"74.97","97.84",74.53,98.48,0.23,0.0559265989745216,283146,213715,142515,20164,3.75447503659475,0,0.042560436353786,0.0133661626207357
