"BY","Stock.ID","stock_name","total_adult_spawner","total_effective_female_spawner","juv_type","juvenile_estimate","age.21","age.31","age.32","age.41","age.42","age.43","age.51","age.52","age.53","age.62","age.63","recruits_no_jacks","total_recruits","X","Return","efs","efs_lag1","efs_lag2","efs_lag3","lnRS","ocean_0","ocean_1","ocean_2","early_sst","early_sst_stnd"
1950,1,"E.Stuart",59443,"25657.9205","",NA,0,0,579,0,240545,0,0,542,0,0,0,241087,241666,NA,"0.997751849",25657.9205,NA,NA,NA,2.24030554882443,0,1,0,-0.634422090070314,-1.0540404801114
1951,1,"E.Stuart",61070,"29801.2067","",NA,0,0,9,0,158428,0,0,15217,0,0,0,173645,173654,NA,"0.912367186",29801.2067,25657.9205,NA,NA,1.76246409924518,0,1,0,-0.0905815455059216,-0.164068511595358
1952,1,"E.Stuart",40652,"19750.7686","",NA,0,0,28,0,78012,0,0,10560,0,0,0,88572,88600,NA,"0.880774963",19750.7686,29801.2067,25657.9205,NA,1.50062337353031,0,1,0,-0.642065857835898,-1.06654918162916
1953,1,"E.Stuart",154586,"78293.6337","",NA,0,0,294,0,537711,0,0,2886,0,0,0,540597,540891,NA,"0.994661458",78293.6337,19750.7686,29801.2067,25657.9205,1.93220779125959,0,1,0,-0.973261825373918,-1.60853732528712
1954,1,"E.Stuart",38482,"19757.0752","",NA,0,0,341,0,154781,0,0,701,0,0,0,155482,155823,NA,"0.99549144",19757.0752,78293.6337,19750.7686,29801.2067,2.06301830412217,0,1,0,0.00693458248915148,-0.00448750708722293
1955,1,"E.Stuart",2290,"1448.0714","",NA,0,0,11,0,25824,0,0,1632,0,0,0,27456,27467,NA,"0.940559441",1448.0714,19757.0752,78293.6337,19750.7686,2.94235212116543,0,1,0,0.483746400203301,0.775794794892798
1956,1,"E.Stuart",33005,"20807.5482","",NA,0,0,0,0,101035,0,0,6393,2966,0,0,110394,110394,NA,"0.915221842",20807.5482,1448.0714,19757.0752,78293.6337,1.66873996943216,0,0.973132597786112,0.0268674022138884,1.33239699780778,2.16457547790961
1957,1,"E.Stuart",236376,"119724.0694","",NA,0,0,730,0,1215763,23,0,3272,3148,0,0,1222183,1222936,NA,"0.994747104",119724.0694,20807.5482,1448.0714,19757.0752,2.3232042096345,0,0.997407059731662,0.00259294026833784,0.097839360482682,0.144274303754257
1958,1,"E.Stuart",43696,"24988.2139","",NA,0,0,755,0,102112,0,0,240,0,0,0,102352,103107,NA,"0.997655151",24988.2139,119724.0694,20807.5482,1448.0714,1.41001358300424,0,1,0,-0.0312903871022449,-0.0670410474102776
1959,1,"E.Stuart",4110,"1953.5824","",NA,0,0,0,0,14682,0,0,6153,0,0,0,20835,20835,NA,"0.704679626",1953.5824,24988.2139,119724.0694,20807.5482,2.3669694495497,0,1,0,0.441754791719849,0.707077309893391
