"","Unique","Ewatch","Prog","SWFW","Year","Date","DOY","days","Stock","Stock_Analysis","Stock_Region","Stock_Group","Stock_Area","SEASON1","Length","Mass","K","logK","Sex","Catch_Region","Zone","Latitude","Longitude","Tissue","LOD","Value","hkg","ae_hyd","ae_sal","arena1","arena2","ascv","aspv","Bafini_b","c_b_cys","ce_sha","Circo.virus","cov","cr_sal","ctv","de_sal","fa_mar","fl_psy","gy_sal","Hantavirus","ic_hof","ic_mul","IcD","ihnv","ipnv","isav7","isav8","ku_thy","lo_sal","mitov","mo_vis","my_arc","my_cer","my_ins","na_sal","ne_per","Nido2_a","nu_sal","omv","ortho","pa_kab","pa_min","pa_pse","pa_ther","pch_sal","Picorna2_virus","pisck_sal","pmcv","prv","pspv","Qin","re_sal","reov","Rhabdo3_virus","rlo","Salmovirus","sav","sch","SGPV","smallUK","sp_des","sp_sal","te_bry","te_mar","toti","ven","ver","vhsv","vi_ang","vi_sal","ye_ruc"
"1","1000-0019-118-1213",NA,"HS","SW",2009,"3/3/09",62,NA,"Harrison","Harrison-Widgeon","Lower Fraser","Lower Fraser","Fraser","Winter",215,103,NA,NA,"M","WCVI","WCVI",48.515,-125.796,"Gill","","AvgCopy",3.11e-47,0,0,NA,NA,NA,0,NA,495.6174128,1.849139227,NA,NA,0,NA,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,0,0,NA,0,125.8907659,0,0,0,NA,0,0,0,0,NA,0,NA,NA,0,NA,0,0.766547112,NA,NA,0,0,0,NA,NA,0,0,0,0,0,NA
"2","1000-0019-118-1214",NA,"HS","SW",2009,"3/3/09",62,NA,"Harrison","Harrison-Widgeon","Lower Fraser","Lower Fraser","Fraser","Winter",217,111,NA,NA,"M","WCVI","WCVI",48.515,-125.796,"Gill","","AvgCopy",1.14e-58,0,0,NA,NA,NA,0,NA,16.78448768,1.517659237,NA,NA,0,NA,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,0,0,NA,0,195.8272535,39.41621268,0,0,NA,0,0,0,0,NA,0,NA,NA,0,NA,0,12.05962003,NA,NA,0,0,0,NA,NA,0,0,0,0,0,NA
"3","1000-0019-118-1216",NA,"HS","SW",2009,"3/3/09",62,NA,"Harrison","Harrison-Widgeon","Lower Fraser","Lower Fraser","Fraser","Winter",223,115,NA,NA,"M","WCVI","WCVI",48.515,-125.796,"Gill","","AvgCopy",8.27e-45,0,0,NA,NA,NA,0,NA,146.3779906,28.2931507,NA,NA,0,NA,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,0,0,NA,0,88.6259704,0,0,0,NA,0,0,0,0,NA,0,NA,NA,0,NA,0,0,NA,NA,0,0,0,NA,NA,0,0,0,0,0,NA
"4","1000-0019-118-1215",NA,"HS","SW",2009,"3/3/09",62,NA,"Harrison","Harrison-Widgeon","Lower Fraser","Lower Fraser","Fraser","Winter",225,116,NA,NA,"M","WCVI","WCVI",48.515,-125.796,"Gill","","AvgCopy",3.98e-07,0,0,NA,0.106530417,NA,0,NA,26.24852459,48.91037248,0,NA,0,NA,0,0,0,0,NA,0,0,0.021680889,0,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,0,0,NA,0,465.597824,1.016378186,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,NA,0,0,0,NA,NA,0,0,0,0,0,NA
"5","2020-0001-124-L2027",NA,"WCVI","SW",2020,"3/2/20",62,NA,"","","","","","Winter",430,500,NA,NA,"U","WCVI","WCVI",49.2278,-125.8795,"Gill","","AvgCopy",2.63e-82,NA,NA,0,0,0,NA,0,79.87625853,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,NA,NA,NA,917562.1485,NA,NA,0,NA,0,0,0,0,NA,NA,NA,0,0,0,963.3081124,0,0,0,NA,0,0,0,NA,0,0,0,0,NA,0,NA,0,0,NA,0,0,0,0,NA,0,0,0,NA
"6","2020-0001-124-M4324",NA,"WCVI","SW",2020,"3/2/20",62,NA,"","","","","","Winter",400,550,NA,NA,"U","WCVI","WCVI",49.2278,-125.8795,"Gill","","AvgCopy",1e-100,NA,NA,0,0,0,NA,0,8809.27677,0,0,0,NA,0,0,0.027200798,0,NA,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,0,0,0,0,NA,NA,NA,0,0,120.7063502,2333.426856,0,0,0,NA,0,0,0,NA,0,0,0,0.005310016,NA,0,NA,0,0,NA,0,0,0,0,NA,0,0,0,NA
"7","2020-0001-124-M4320",NA,"WCVI","SW",2020,"3/2/20",62,NA,"","","","","","Winter",NA,600,NA,NA,"U","WCVI","WCVI",49.2278,-125.8795,"Gill","","AvgCopy",2.47e-81,NA,NA,0,0,0,NA,0,68237.85006,0,0,0,NA,0,0,0,0,NA,0,0,0,410.8295096,0,NA,NA,NA,NA,0,NA,NA,0,NA,0,0,0,0,NA,NA,NA,0,0,0.03949702,65.04721417,0,0,0,NA,0,0,0,NA,0,0,0,19.2700205,NA,0,NA,0,0,NA,0,0,0,0,NA,0,0,0,NA
"8","2020-0001-124-M4322",NA,"WCVI","SW",2020,"3/2/20",62,NA,"","","","","","Winter",420,670,NA,NA,"U","WCVI","WCVI",49.2278,-125.8795,"Gill","","AvgCopy",1e-100,NA,NA,0,0,0,NA,0,7789.377759,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,0,0,0,0,NA,NA,NA,0,0,0.124102492,262.6465332,0,0,0,NA,0,0,0,NA,0,0,0,0,NA,0,NA,0,0,NA,0,15.9635113,0,0,NA,0,0,0,NA
"9","2020-0001-124-L2022",NA,"WCVI","SW",2020,"3/2/20",62,NA,"","","","","","Winter",350,NA,NA,NA,"U","WCVI","WCVI",49.2278,-125.8795,"Gill","","AvgCopy",6.39e-43,NA,NA,0,0,0,NA,0,13398.24327,0,0,0,NA,0,0,0,0,NA,0,0,0,1.078300173,0,NA,NA,NA,NA,0,NA,NA,0,NA,0,0,0,0,NA,NA,NA,0,1.117431347,0,7.289254154,0,0,0,NA,0,0,0,NA,0,0,0,0,NA,0,NA,0,0,NA,0,0,0,0,NA,0,0,0,NA
"10","2020-0001-124-L2021",NA,"WCVI","SW",2020,"3/2/20",62,NA,"","","","","","Winter",380,NA,NA,NA,"U","WCVI","WCVI",49.2278,-125.8795,"Gill","","AvgCopy",146919.639,NA,NA,0,0,0,NA,0,1083.684193,0,0,0,NA,0,0,0,0,NA,0,0,0,0.023291438,0,NA,NA,NA,NA,0,NA,NA,0,NA,0,0,0,0,NA,NA,NA,0,0.103151063,0,16.39183807,0,0,0,NA,0,0,0,NA,0,0,0,0,NA,0.217376647,NA,0,0,NA,0,0,0,0,NA,0,0,0,NA
