"","Year","agent","posdet"
"1",2008,"arena1",0
"2",2008,"arena2",3
"3",2008,"ascv",0
"4",2008,"c_b_cys",5
"5",2008,"ce_sha",3
"6",2008,"Circo.virus",0
"7",2008,"cr_sal",0
"8",2008,"de_sal",0
"9",2008,"fa_mar",2
"10",2008,"fl_psy",2
"11",2008,"ic_hof",3
"12",2008,"ic_mul",3
"13",2008,"IcD",4
"14",2008,"ihnv",0
"15",2008,"ku_thy",0
"16",2008,"lo_sal",1
"17",2008,"mo_vis",0
"18",2008,"my_arc",2
"19",2008,"nu_sal",0
"20",2008,"pa_kab",4
"21",2008,"pa_min",1
"22",2008,"pa_pse",3
"23",2008,"pa_ther",3
"24",2008,"pch_sal",0
"25",2008,"Picorna2_virus",0
"26",2008,"prv",3
"27",2008,"pspv",3
"28",2008,"Qin",0
"29",2008,"re_sal",1
"30",2008,"Rhabdo3_virus",1
"31",2008,"rib",5
"32",2008,"richness",5
"33",2008,"rlo",1
"34",2008,"sch",4
"35",2008,"smallUK",0
"36",2008,"sp_des",1
"37",2008,"te_bry",0
"38",2008,"te_mar",0
"39",2008,"ven",1
"40",2009,"arena1",0
"41",2009,"arena2",3
"42",2009,"ascv",0
"43",2009,"c_b_cys",12
"44",2009,"ce_sha",3
"45",2009,"Circo.virus",0
"46",2009,"cr_sal",0
"47",2009,"de_sal",0
"48",2009,"fa_mar",3
"49",2009,"fl_psy",0
"50",2009,"ic_hof",7
"51",2009,"ic_mul",3
"52",2009,"IcD",8
"53",2009,"ihnv",0
"54",2009,"ku_thy",3
"55",2009,"lo_sal",1
"56",2009,"mo_vis",0
"57",2009,"my_arc",7
"58",2009,"nu_sal",1
"59",2009,"pa_kab",7
"60",2009,"pa_min",8
"61",2009,"pa_pse",8
"62",2009,"pa_ther",12
"63",2009,"pch_sal",1
"64",2009,"Picorna2_virus",1
"65",2009,"prv",1
"66",2009,"pspv",7
"67",2009,"Qin",0
"68",2009,"re_sal",0
"69",2009,"Rhabdo3_virus",0
"70",2009,"rib",14
"71",2009,"richness",14
"72",2009,"rlo",0
"73",2009,"sch",6
"74",2009,"smallUK",1
"75",2009,"sp_des",0
"76",2009,"te_bry",1
"77",2009,"te_mar",0
"78",2009,"ven",5
"79",2010,"arena1",1
"80",2010,"arena2",10
"81",2010,"ascv",0
"82",2010,"c_b_cys",21
"83",2010,"ce_sha",12
"84",2010,"Circo.virus",0
"85",2010,"cr_sal",0
"86",2010,"de_sal",4
"87",2010,"fa_mar",3
"88",2010,"fl_psy",4
"89",2010,"ic_hof",11
"90",2010,"ic_mul",6
"91",2010,"IcD",14
"92",2010,"ihnv",0
"93",2010,"ku_thy",1
"94",2010,"lo_sal",5
"95",2010,"mo_vis",0
"96",2010,"my_arc",16
"97",2010,"nu_sal",0
"98",2010,"pa_kab",3
