"","Year","agent","posdet"
"1",2008,"IcD",3
"2",2008,"Qin",0
"3",2008,"arena2",0
"4",2008,"c_b_cys",5
"5",2008,"ce_sha",0
"6",2008,"de_sal",1
"7",2008,"fl_psy",0
"8",2008,"ic_hof",1
"9",2008,"ic_mul",4
"10",2008,"lo_sal",0
"11",2008,"my_arc",1
"12",2008,"pa_min",1
"13",2008,"pa_pse",0
"14",2008,"pa_ther",0
"15",2008,"pspv",3
"16",2008,"rlo",1
"17",2008,"sch",1
"18",2008,"sp_des",0
"19",2008,"te_bry",0
"20",2011,"IcD",3
"21",2011,"Qin",1
"22",2011,"arena2",1
"23",2011,"c_b_cys",3
"24",2011,"ce_sha",1
"25",2011,"de_sal",0
"26",2011,"fl_psy",1
"27",2011,"ic_hof",2
"28",2011,"ic_mul",1
"29",2011,"lo_sal",1
"30",2011,"my_arc",3
"31",2011,"pa_min",2
"32",2011,"pa_pse",1
"33",2011,"pa_ther",1
"34",2011,"pspv",2
"35",2011,"rlo",1
"36",2011,"sch",1
"37",2011,"sp_des",0
"38",2011,"te_bry",1
"39",2012,"IcD",5
"40",2012,"Qin",1
"41",2012,"arena2",4
"42",2012,"c_b_cys",11
"43",2012,"ce_sha",3
"44",2012,"de_sal",2
"45",2012,"fl_psy",4
"46",2012,"ic_hof",0
"47",2012,"ic_mul",8
"48",2012,"lo_sal",3
"49",2012,"my_arc",8
"50",2012,"pa_min",5
"51",2012,"pa_pse",3
"52",2012,"pa_ther",3
"53",2012,"pspv",7
"54",2012,"rlo",3
"55",2012,"sch",0
"56",2012,"sp_des",1
"57",2012,"te_bry",3
"58",2013,"IcD",5
"59",2013,"Qin",1
"60",2013,"arena2",3
"61",2013,"c_b_cys",7
"62",2013,"ce_sha",4
"63",2013,"de_sal",4
"64",2013,"fl_psy",6
"65",2013,"ic_hof",3
"66",2013,"ic_mul",6
"67",2013,"lo_sal",1
"68",2013,"my_arc",7
"69",2013,"pa_min",6
"70",2013,"pa_pse",1
"71",2013,"pa_ther",4
"72",2013,"pspv",7
"73",2013,"rlo",6
"74",2013,"sch",1
"75",2013,"sp_des",2
"76",2013,"te_bry",4
"77",2014,"IcD",0
"78",2014,"Qin",0
"79",2014,"arena2",1
"80",2014,"c_b_cys",1
"81",2014,"ce_sha",0
"82",2014,"de_sal",0
"83",2014,"fl_psy",1
"84",2014,"ic_hof",0
"85",2014,"ic_mul",1
"86",2014,"lo_sal",0
"87",2014,"my_arc",1
"88",2014,"pa_min",0
"89",2014,"pa_pse",0
"90",2014,"pa_ther",0
"91",2014,"pspv",1
"92",2014,"rlo",0
"93",2014,"sch",0
"94",2014,"sp_des",0
"95",2014,"te_bry",1
"96",2015,"IcD",6
"97",2015,"Qin",4
"98",2015,"arena2",3
"99",2015,"c_b_cys",6
"100",2015,"ce_sha",5
"101",2015,"de_sal",1
"102",2015,"fl_psy",6
"103",2015,"ic_hof",0
"104",2015,"ic_mul",6
"105",2015,"lo_sal",0
"106",2015,"my_arc",6
"107",2015,"pa_min",6
"108",2015,"pa_pse",0
"109",2015,"pa_ther",0
"110",2015,"pspv",6
"111",2015,"rlo",6
"112",2015,"sch",0
"113",2015,"sp_des",1
"114",2015,"te_bry",3
