"","Year","agent","posdet"
"1",2008,"Circo.virus",0
"2",2008,"IcD",4
"3",2008,"Picorna2_virus",0
"4",2008,"Qin",0
"5",2008,"Rhabdo3_virus",1
"6",2008,"arena1",0
"7",2008,"arena2",3
"8",2008,"ascv",0
"9",2008,"c_b_cys",5
"10",2008,"ce_sha",3
"11",2008,"cr_sal",0
"12",2008,"de_sal",0
"13",2008,"fa_mar",2
"14",2008,"fl_psy",2
"15",2008,"ic_hof",3
"16",2008,"ic_mul",3
"17",2008,"ihnv",0
"18",2008,"ku_thy",0
"19",2008,"lo_sal",1
"20",2008,"mo_vis",0
"21",2008,"my_arc",2
"22",2008,"nu_sal",0
"23",2008,"pa_kab",4
"24",2008,"pa_min",1
"25",2008,"pa_pse",3
"26",2008,"pa_ther",3
"27",2008,"pch_sal",0
"28",2008,"prv",3
"29",2008,"pspv",3
"30",2008,"re_sal",1
"31",2008,"rib",5
"32",2008,"richness",5
"33",2008,"rlo",1
"34",2008,"sch",4
"35",2008,"smallUK",0
"36",2008,"sp_des",1
"37",2008,"te_bry",0
"38",2008,"te_mar",0
"39",2008,"ven",1
"40",2009,"Circo.virus",0
"41",2009,"IcD",9
"42",2009,"Picorna2_virus",1
"43",2009,"Qin",0
"44",2009,"Rhabdo3_virus",0
"45",2009,"arena1",0
"46",2009,"arena2",3
"47",2009,"ascv",0
"48",2009,"c_b_cys",13
"49",2009,"ce_sha",4
"50",2009,"cr_sal",0
"51",2009,"de_sal",0
"52",2009,"fa_mar",3
"53",2009,"fl_psy",0
"54",2009,"ic_hof",7
"55",2009,"ic_mul",3
"56",2009,"ihnv",0
"57",2009,"ku_thy",3
"58",2009,"lo_sal",1
"59",2009,"mo_vis",0
"60",2009,"my_arc",7
"61",2009,"nu_sal",1
"62",2009,"pa_kab",7
"63",2009,"pa_min",9
"64",2009,"pa_pse",9
"65",2009,"pa_ther",13
"66",2009,"pch_sal",1
"67",2009,"prv",1
"68",2009,"pspv",8
"69",2009,"re_sal",0
"70",2009,"rib",15
"71",2009,"richness",15
"72",2009,"rlo",0
"73",2009,"sch",6
"74",2009,"smallUK",1
"75",2009,"sp_des",0
"76",2009,"te_bry",1
