"","V1"
"ae_hyd",0
"ae_sal",0
"arena1",0.00172562553925798
"arena2",0.343656343656344
"ascv",0.00173761946133797
"aspv",0
"Bafini_b",NA
"c_b_cys",0.88525
"ce_sha",0.0508349705304519
"Circo.virus",0.0134615384615385
"cov",0
"cr_sal",0.000739280433711188
"ctv",0.000871080139372822
"de_sal",0.0134932533733133
"fa_mar",0.0154715127701375
"fl_psy",0.0486128161060643
"gy_sal",0
"Hantavirus",NA
"ic_hof",0.0668140506018177
"ic_mul",0.170815873798373
"IcD",0.751282051282051
"ihnv",0.00368369351669941
"ipnv",0
"isav7",0.00033478406427854
"isav8",0
"ku_thy",0.00712005892462558
"lo_sal",0.0487564639251416
"mitov",0
"mo_vis",0.00185116623472788
"my_arc",0.62647347740668
"my_cer",0
"my_ins",0
"na_sal",0.000245579567779961
"ne_per",0
"Nido2_a",NA
"nu_sal",0.0087719298245614
"omv",0
"ortho",0
"pa_kab",0.149066797642436
"pa_min",0.396119842829077
"pa_pse",0.0766208251473477
"pa_ther",0.481945467943994
"pch_sal",0.001230012300123
"Picorna2_virus",0.00320512820512821
"pisck_sal",0.000245639891918448
"pmcv",0
"prv",0.00519416275043285
"pspv",0.526289926289926
"Qin",0.0435897435897436
"re_sal",0.00147311563957771
"reov",0
"Rhabdo3_virus",0.00769230769230769
"rlo",0.0444499017681729
"Salmovirus",NA
"sav",0
"sch",0.124969310090842
"SGPV",0
"smallUK",0.0129645635263613
"sp_des",0.0216909046093172
"sp_sal",0
"te_bry",0.0208691382273508
"te_mar",0.0153155532083443
"toti",0.000880281690140845
"ven",0.115696389093589
"ver",0.000246487552378605
"vhsv",0.000245579567779961
"vi_ang",0
"vi_sal",0
"ye_ruc",0.000265533722782793
"richness",0.980048661800487
"rib",0.980048661800487
