"","V1"
"ae_hyd",0
"ae_sal",0
"arena1",0
"arena2",0.122950819672131
"ascv",0
"aspv",0
"Bafini_b",NA
"c_b_cys",0.87778528021607
"ce_sha",0.0317353139770425
"Circo.virus",0.015015015015015
"cov",0
"cr_sal",0.000675219446320054
"ctv",0
"de_sal",0.0148548278190412
"fa_mar",0.000675219446320054
"fl_psy",0.103308575286968
"gy_sal",0
"Hantavirus",NA
"ic_hof",0.0162052667116813
"ic_mul",0.37879810938555
"IcD",0.564564564564565
"ihnv",0.00405131667792032
"ipnv",0
"isav7",0
"isav8",0
"ku_thy",0.000675219446320054
"lo_sal",0.0135043889264011
"mitov",0
"mo_vis",0
"my_arc",0.589864864864865
"my_cer",0
"my_ins",0
"na_sal",0
"ne_per",0
"Nido2_a",NA
"nu_sal",0.00359712230215827
"omv",0
"ortho",0
"pa_kab",0.0101282916948008
"pa_min",0.102633355840648
"pa_pse",0.00675219446320054
"pa_ther",0.0135135135135135
"pch_sal",0.00271739130434783
"Picorna2_virus",0
"pisck_sal",0
"pmcv",0
"prv",0.00337609723160027
"pspv",0.513166779203241
"Qin",0.0570570570570571
"re_sal",0.000675219446320054
"reov",0
"Rhabdo3_virus",0.003003003003003
"rlo",0.0850776502363268
"Salmovirus",NA
"sav",0
"sch",0.00337609723160027
"SGPV",0
"smallUK",0.0131004366812227
"sp_des",0.0310600945307225
"sp_sal",0
"te_bry",0.0290344361917623
"te_mar",0.00274725274725275
"toti",0
"ven",0.00337609723160027
"ver",0
"vhsv",0
"vi_ang",0
"vi_sal",0
"ye_ruc",0.000687285223367698
"richness",0.957333333333333
"rib",0.957333333333333
