"","lower","25","mid","75","upper"
"arena2",-0.465335171410446,-0.115540940583426,0.0388213646038408,0.190494251487343,0.518950466841423
"de_sal",-0.348082610766167,0.0803275260560733,0.290372792118297,0.488706855782228,0.902673654988133
"Qin",-0.473984851103452,-0.189667307258998,-0.068820954467135,0.0533410752814106,0.310944894856927
"ic_mul",-0.633850114838605,-0.242312648281772,-0.0627904680467881,0.146529028291098,0.553178277972946
"c_b_cys",-0.766776223564833,-0.321738114302918,-0.11053150377157,0.096266286359484,0.564328065095664
"pa_ther",-0.124160408152466,0.238513037047099,0.384412296696043,0.526255006570813,0.825096131998408
"fl_psy",-0.219586344859655,0.0469052843899901,0.168086644705099,0.296726465422814,0.572932975598668
"te_bry",-0.154283280988338,0.187073808141626,0.332321634156651,0.47317190044657,0.780835197116623
"IcD",-0.484838892576317,-0.140291006724538,0.0249626273633589,0.183319419893811,0.543914776924093
"ce_sha",-0.18389051412571,0.199108880396476,0.373149516287604,0.539132943712308,0.917827454744809
"pspv",-0.523731081478018,-0.182762053681282,-0.0114844383177554,0.159586749519264,0.483155744980003
"ic_hof",-0.59003652783765,-0.382666608874992,-0.27818441408867,-0.166442758768697,0.0640152848128084
"my_arc",-1.47704915254171,-1.09745320068273,-0.897334846687077,-0.698073329714053,-0.294515236051108
"pa_pse",-0.760846132878209,-0.45810876576816,-0.313484275942329,-0.16497030669083,0.151969768633055
"rlo",-0.182130329859862,0.291828310203402,0.52816805821914,0.77067699111643,1.31082341796365
"sp_des",1.00703069294361,1.52520359468393,1.7427556326671,1.96081418944845,2.47934125239934
"lo_sal",-0.706337953150474,-0.348830926987748,-0.165080154690298,0.00767339053673685,0.418329443426924
"pa_min",0.106574621761422,0.379625065681989,0.49966352543968,0.611581871495333,0.850789259183908
"richness",-1.33070986648524,-0.727697660756705,-0.410502060725366,-0.080429130849132,0.491285642718018
"rib",-0.861151115759339,-0.510795282186137,-0.331423854730704,-0.164455282957555,0.202921580119899
"sch",-0.270551788568912,0.208086962800067,0.429608381187105,0.64333766862599,1.09515033150047
