"","lower","25","mid","75","upper"
"c_b_cys",-1.64240490467747,-1.076891551368,-0.866412226924758,-0.669179615454971,-0.286973819349902
"te_mar",-1.75962923101006,-1.00295388197275,-0.709769807664126,-0.459495567560768,-0.00390125005536549
"ce_sha",-1.56121973344179,-1.04981669329612,-0.839493286694586,-0.656442134785502,-0.303092192803332
"pa_ther",-1.58827635108392,-0.959285647435187,-0.725525471959682,-0.517453385595053,-0.153738106879302
"ku_thy",-1.87208948612528,-1.27075929482845,-1.04365830577414,-0.83999726986089,-0.427656542542109
"te_bry",-1.60623870053077,-1.04476767544892,-0.84179909477765,-0.659814851543587,-0.315941014579683
"ven",-1.58153830366923,-1.12131889830013,-0.941665194102996,-0.786387123685631,-0.468710036991471
"pa_min",-1.89794280114954,-1.26373342102256,-1.012834836215,-0.772679750580103,-0.328129313603657
"pa_kab",-1.44464569910656,-1.03477940610344,-0.878931049210447,-0.742761009317625,-0.449759574256945
"prv",-1.63143311915116,-1.0865233620821,-0.870490020742904,-0.67046820838022,-0.27891420172953
"ic_hof",-1.6443888405021,-1.10476696568128,-0.893606051333702,-0.697601519565136,-0.330341356835664
"my_arc",-1.73855215730169,-1.15722986849552,-0.92947689129342,-0.721912162209012,-0.334998211732892
"sch",-1.60755333161734,-1.03370396092053,-0.817819674370624,-0.62909946898055,-0.258080527016945
"lo_sal",-1.6191941816555,-1.0952377578196,-0.885743551058408,-0.691784711176688,-0.302618352779574
"arena2",-1.94456072637303,-1.42279820686162,-1.20222288321679,-0.99664865310682,-0.547699299962549
"sp_des",-1.69675677606803,-1.10335603044041,-0.888245102280171,-0.682143696253465,-0.32030433993845
"de_sal",-1.40657223660415,-0.998811686274851,-0.855032776673019,-0.722478131593252,-0.44496082697517
"rlo",-1.64406646721804,-1.10840755055441,-0.911931786056074,-0.738407958364921,-0.362775418095562
"fl_psy",-2.038727887492,-1.38396103265744,-1.0953211817768,-0.837280640656367,-0.358266960850324
"fa_mar",-1.92779767678163,-1.43234974526354,-1.21938625223553,-1.02265079234166,-0.557898523382362
"ic_mul",-1.06458484328868,-0.651284704589551,-0.507754708152311,-0.382276059699924,-0.127893645480266
"pspv",-1.61721871247967,-1.07579157823427,-0.85535999577686,-0.661028612021288,-0.260749023947524
"pa_pse",-1.76555773333067,-1.15145628991735,-0.917653022577748,-0.700139491818402,-0.243864264569202
