"","lower","25","mid","75","upper"
"arena2",0.0203652967063625,0.247546719835907,0.364045760023898,0.476995049728591,0.6722478829429
"c_b_cys",-0.354664788258077,-0.189803314652162,-0.101086354460396,-0.00619070195677244,0.209873862351126
"ce_sha",-0.318472790190191,-0.145122251821863,-0.0463992310555936,0.0592716400873724,0.290864388202701
"de_sal",-0.2708160694763,-0.0698589442007169,0.0290086197385366,0.121624035031338,0.333483179316103
"fa_mar",-0.281020190969044,-0.04734826141011,0.0551029267247403,0.170744483234498,0.463828805471238
"fl_psy",-0.305901272604312,-0.127834920921078,-0.0385546021254428,0.0520647315666209,0.235694032361517
"ic_hof",-0.501705136462817,-0.205882410996445,-0.0903066516052031,0.00970101376115603,0.186022813268661
"ic_mul",-0.4836543700213,-0.284099480126795,-0.185003929723179,-0.0908441079609478,0.111972962613328
"ku_thy",-0.324068770774247,-0.0581309284647997,0.0452188365034442,0.15146353299943,0.428336985982669
"lo_sal",-0.359927915978004,-0.185970238995552,-0.102564106836353,-0.0171328075226423,0.155632960780014
"my_arc",-0.387051959040718,-0.231600199252604,-0.152546362484562,-0.0773465909277374,0.0812463024083113
"pa_kab",-0.446764689103692,-0.255977683284907,-0.149864940287985,-0.0494783228332968,0.159232755696417
"pa_min",-0.227341832056598,-0.0331150216568354,0.0631793296982475,0.160139884035234,0.351140924436662
"pa_pse",-0.331240382349709,-0.125217127698643,-0.0345995826683658,0.0476901150250205,0.216348496766499
"pa_ther",-0.468399729455578,-0.31214070147727,-0.228350652120028,-0.145081947448692,0.0191367948578372
"pspv",-0.0283346812878792,0.154391838742885,0.242649160490141,0.336524651163697,0.512083846649687
"rlo",-0.269540905693435,-0.0502561129992743,0.0390706065823689,0.12567925461823,0.316042613646908
"sch",-0.302591714877315,-0.104269343258344,-0.0171092579914066,0.0598472423823071,0.221654443310443
"sp_des",-0.192423217727379,0.0409954876202719,0.140257119193655,0.249539816327231,0.546876149612604
"te_bry",-0.412819596429155,-0.106358081890054,0.0149369146978223,0.140076364570816,0.43392061706926
"te_mar",-0.433427932104891,-0.232228716114038,-0.133177371206866,-0.039497718645341,0.157862811968645
"ven",-0.359116102639196,-0.194088423549149,-0.106389058742984,-0.0231589493073,0.150252069754178
