"","lower","25","mid","75","upper"
"arena2",-1.42773779878011,-1.1422349957696,-1.00791620653049,-0.865096919234013,-0.564557017421099
"c_b_cys",-1.34833345578455,-0.951772077073889,-0.76811451980825,-0.601482468603938,-0.239576386282011
"ce_sha",-1.32149760341053,-0.954479957744856,-0.796105951532049,-0.645094624547289,-0.31377013686526
"de_sal",-1.27384123960599,-0.953798075937892,-0.807952629054767,-0.652114891467829,-0.344182616310642
"fa_mar",-1.34376849110663,-0.966914582690772,-0.810056028442524,-0.656360771981272,-0.34493551656505
"fl_psy",-1.28679365751853,-0.937050420766116,-0.773644458515702,-0.621371354287515,-0.297017197717301
"ic_hof",-1.27650055814384,-0.950740549921489,-0.79838215145946,-0.639848115755326,-0.315594892134064
"ic_mul",-1.22444226634971,-0.884503783892763,-0.732959321811976,-0.594788852858389,-0.267980957212291
"ku_thy",-1.30128305598872,-0.949856028038392,-0.795815538902268,-0.64529981054762,-0.325117512609949
"lo_sal",-1.35109625076563,-0.945330466783715,-0.793461194637145,-0.646315860014459,-0.324627450346929
"my_arc",-1.37124907168147,-0.973411865639902,-0.80548777207275,-0.632078047885696,-0.280376733343812
"pa_kab",-1.26133669654417,-0.928795796449371,-0.790291817460583,-0.652396535146715,-0.369174006170596
"pa_min",-1.35665635411007,-1.00475698471455,-0.839011155421628,-0.670376977444846,-0.32916650573628
"pa_pse",-1.33657999387499,-0.964109506318088,-0.815703971551767,-0.655700736032294,-0.326640101993447
"pa_ther",-1.23531536645388,-0.8726239227914,-0.719243102702389,-0.558015964210677,-0.190572165602113
"pspv",-1.26933823700022,-0.894625383724022,-0.736666795131913,-0.594423625905247,-0.293977946715269
"rlo",-1.27980397248739,-0.940919295183652,-0.798349638083521,-0.657396867721279,-0.342676630941457
"sch",-1.29459683066784,-0.953595925332516,-0.805900024947288,-0.65481313434568,-0.326389272125209
"sp_des",-1.35426175076057,-0.964638238699758,-0.804929835336077,-0.644801522006725,-0.286127392231184
"te_bry",-1.29081026880158,-0.940855444248843,-0.792450793780328,-0.649224958204737,-0.324905496951365
"te_mar",-1.19875454824025,-0.871101129331415,-0.723253160028578,-0.578000177785834,-0.262552979632013
"ven",-1.30227806227217,-0.937084715792038,-0.789579230011833,-0.64658445205288,-0.348965284631806
