df_ID,"""ID""",MAP_LABEL,GFE_ID,SYSTEM_SITE,GFE_TYPE,POPMAP,SPECIES_QUALIFIED,YLAT,XLONG,FAZ_ACRO,MAZ_ACRO,JAZ_ACRO,CU_NAME,CU_ACRO,CU_LATITUDE,CU_LONGITUDE,NUMBER_OF_SITES,CU_TYPE,CU_INDEX,FULL_CU_IN,SBJ_ID,POP_ID,IS_INDICATOR,OL_GRP_NM,OL_GRP_N,AREA,ISENH,COMMENTS,GFE_ID_IN_NUSEDS,POP_ID_IN_NUSEDS,CMNT,EFFECTIVE_DT,WATERSHED_CDE,NEWWATERSHEDCDE
Amback,6971,1,937,AMBACK CREEK,Stream,NA,SEL,51.69780864,-127.0435524,RSI,HStr,RSI+HStr,Owikeno<<VREQ[Bin]>>,Owikeno-Late,51.68124637,-126.8567604,2,VREQ[Bin],L-15-03,SEL-15-003,1,51610,Y,Areas 7 to 10,21,NCCoast,Y,NA,Y,Y,Conservation Unit Data-Rev. 4-August 2013,18-Jul-16,910-128800-22600-00000-0000-0000-000-000-000-000-000-000,9.10E+44
Baker Lake,NA,NA,NA,NA,NA,NA,NA,NA,NA,SK,PS,SK+PS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bella Coola mix,7476,9,968,BELLA COOLA RIVER,Stream,NA,SER,52.37847975,-126.7702597,BCD,HStr,BCD+HStr,Northern Coastal Fjords,NCFj,53.16379928,-128.4625467,94,Current,R16,SER-016,1,51765,Y,-,NA,NCCoast,N,NA,Y,Y,Conservation Unit Data-Rev. 4-August 2013,18-Jul-16,910-290700-00000-00000-0000-0000-000-000-000-000-000-000,9.10E+44
Big Silver,6485,1,192,BIG SILVER CREEK,Stream,NA,SEL,49.57559391,-121.8286997,LFR,GStr,LFR+GStr,Harrison-downstream migrating_Late,Harrison-(D/S)-L,49.59035828,-121.9514039,12,Current,L-03-03,SEL-03-003,1,46072,Y,Fall-Lower Fraser,15,LFraser,N,NA,Y,Y,Conservation Unit Data-Rev. 4-August 2013,18-Jul-16,110-599000-00000-00000-0000-0000-000-000-000-000-000-000,1.11E+44
Birkenhead,6541,1,198,BIRKENHEAD RIVER,Stream,NA,SEL,50.30644079,-122.6070114,LILL,GStr,LILL+GStr,Lillooet/Harrison_Late,Lillooet/Harrison-L,50.40062152,-122.8326871,11,Current,L-04-01,SEL-04-001,1,46098,Y,Fall-Birkenhead,14,LFraser,N,NA,Y,Y,Conservation Unit Data-Rev. 4-August 2013,18-Jul-16,119-425100-00000-00000-0000-0000-000-000-000-000-000-000,1.19E+44
Bivouac,6698,6,322,BIVOUAC CREEK,Stream,NA,SEL,55.0754856,-125.5692534,MFR,GStr,MFR+GStr,Takla/Trembleur_Early Stuart,Takla/Trembleur-ESTU,55.2967611,-125.8410348,44,Current,L-06-14,SEL-06-014,1,45574,Y,Early Stuart,2,MFraser,N,NA,Y,Y,Conservation Unit Data-Rev. 4-August 2013,18-Jul-16,182-819600-63300-32300-0000-0000-000-000-000-000-000-000,1.83E+44
Blackwater,6699,7,345,BLACKWATER CREEK,Stream,NA,SEL,55.72520515,-126.3064001,MFR,GStr,MFR+GStr,Takla/Trembleur_Early Stuart,Takla/Trembleur-ESTU,55.2967611,-125.8410348,44,Current,L-06-14,SEL-06-014,1,45600,N,Early Stuart,2,MFraser,N,NA,Y,Y,Conservation Unit Data-Rev. 4-August 2013,18-Jul-16,182-819600-63300-99200-0860-0000-000-000-000-000-000-000,1.83E+44
Blue Lead Cr,6591,10,2422,BLUE LEAD CREEK,Stream,NA,SEL,52.61570352,-120.3838655,MFR,GStr,MFR+GStr,Quesnel_Summer,Quesnel-S,52.60459731,-120.9086453,98,Current,L-06-10,SEL-06-010,1,45073,N,Summer-Quesnel,10,MFraser,N,NA,Y,Y,Conservation Unit Data-Rev. 4-August 2013,18-Jul-16,160-989300-00000-00000-0000-0000-000-000-000-000-000-000,1.61E+44
Bowron,6763,2,157,BOWRON RIVER,Stream,NA,SEL,54.05689106,-121.8230933,UFR,GStr,UFR+GStr,Bowron_Early Summer,Bowron-ES,53.35678949,-121.4043183,6,Current,L-07-01,SEL-07-001,1,47419,Y,Early Summer-Mid and Upper Fraser,5,MFraser,N,NA,Y,Y,Conservation Unit Data-Rev. 4-August 2013,18-Jul-16,100-657000-00000-00000-0000-0000-000-000-000-000-000-000,1.01E+44
Bowser,7182,1,7990600,BOWSER RIVER,Stream,NA,SEL,56.35811112,-129.3167422,UNR,NSKEst,UNR+NSKEst,Bowser,Bowser,56.35811112,-129.3167422,1,Current,L-24-01,SEL-24-001,1,48344,N,Nass,25,Nass,N,NA,Y,Y,Conservation Unit Data-Rev. 4-August 2013,18-Jul-16,560-208600-00000-00000-0000-0000-000-000-000-000-000-000,5.60E+44
Canoona,6992,1,1838,CANOONA RIVER,Stream,NA,SEL,53.07370077,-128.569743,NC,HStr,NC+HStr,Canoona,Canoona,53.07370077,-128.569743,1,Current,L-18-02,SEL-18-002,1,42785,Y,Coastal Areas 3 to 6,22,NCCoast,N,NA,Y,Y,Conservation Unit Data-Rev. 4-August 2013,18-Jul-16,915-488300-84200-00000-0000-0000-000-000-000-000-000-000,9.15E+44
Cayenne,6875,3,224,CAYENNE CREEK,Stream,NA,SEL,51.32071477,-119.3196927,STh,GStr,STh+GStr,Adams and Momich Lakes_Early Summer<<Bin>>,Adams/Momich-ES,51.37367001,-119.3974805,5,Bin,L-09-xx,SEL-09-912,1,46278,N,-,NA,SThom,N,NA,Y,Y,Conservation Unit Data-Rev. 4-August 2013,18-Jul-16,128-453400-32500-49200-0000-0000-000-000-000-000-000-000,1.28E+44
Chilko,6563,2,286,CHILKO RIVER,Stream,NA,SEL,52.09590138,-123.4604675,MFR,GStr,MFR+GStr,Chilko_Summer,Chilko-S,51.7701601,-123.9216045,3,Current,L-06-03,SEL-06-003,1,46843,Y,Summer-Chilko,7,MFraser,N,NA,Y,Y,Conservation Unit Data-Rev. 4-August 2013,18-Jul-16,150-335700-00000-00000-0000-0000-000-000-000-000-000-000,1.50E+44
